Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,100500.00,100500.00,100500.00,100500.00,000,100500.00
2012-12-28,101500.00,104500.00,100500.00,100500.00,43100,100500.00
2012-12-27,100500.00,104500.00,99000.00,102000.00,71300,102000.00
2012-12-26,99300.00,102000.00,99300.00,100000.00,63000,100000.00
2012-12-25,97500.00,97500.00,97500.00,97500.00,000,97500.00
2012-12-24,97500.00,100000.00,97100.00,97500.00,67900,97500.00
2012-12-21,96700.00,99200.00,95600.00,96400.00,98800,96400.00
2012-12-20,96500.00,98300.00,96000.00,96100.00,74600,96100.00
2012-12-19,98400.00,98400.00,98400.00,98400.00,000,98400.00
2012-12-18,101000.00,101000.00,97100.00,98400.00,95300,98400.00
2012-12-17,98400.00,102500.00,98400.00,100500.00,136900,100500.00
2012-12-14,98200.00,99400.00,97200.00,97500.00,69000,97500.00
2012-12-13,98000.00,99400.00,96500.00,98900.00,88200,98900.00
2012-12-12,98000.00,99500.00,95100.00,98000.00,50000,98000.00
2012-12-11,101500.00,104000.00,97500.00,97500.00,113000,97500.00
2012-12-10,106000.00,108000.00,100500.00,102000.00,86500,102000.00
2012-12-07,107500.00,110000.00,105500.00,106500.00,39000,106500.00
2012-12-06,112000.00,112000.00,107000.00,107500.00,88300,107500.00
2012-12-05,108000.00,112500.00,108000.00,110500.00,627200,110500.00
2012-12-04,114500.00,116000.00,108500.00,108500.00,76400,108500.00
2012-12-03,111000.00,117000.00,110500.00,116000.00,85100,116000.00
2012-11-30,105000.00,111000.00,105000.00,111000.00,45800,111000.00
2012-11-29,106500.00,107500.00,105000.00,106000.00,30700,106000.00
2012-11-28,107500.00,109000.00,105500.00,106000.00,21000,106000.00
2012-11-27,111500.00,112000.00,105000.00,107500.00,49000,107500.00
2012-11-26,113000.00,113500.00,110000.00,110500.00,18700,110500.00
2012-11-23,111500.00,115000.00,111500.00,113000.00,24600,113000.00
2012-11-22,112000.00,114500.00,110500.00,112500.00,39100,112500.00
2012-11-21,112000.00,112000.00,108000.00,110500.00,41700,110500.00
2012-11-20,113500.00,115000.00,108000.00,111000.00,60000,111000.00
2012-11-19,112500.00,115000.00,112000.00,113500.00,23700,113500.00
2012-11-16,115000.00,116500.00,111500.00,111500.00,39300,111500.00
2012-11-15,116000.00,117000.00,111500.00,114500.00,64600,114500.00
2012-11-14,120000.00,120000.00,116000.00,117000.00,30000,117000.00
2012-11-13,122000.00,122000.00,116500.00,120000.00,37100,120000.00
2012-11-12,117500.00,121000.00,115500.00,120000.00,49900,120000.00
2012-11-09,115000.00,118500.00,113500.00,117500.00,69200,117500.00
2012-11-08,114000.00,118000.00,108000.00,117500.00,96200,117500.00
2012-11-07,120000.00,120000.00,115500.00,115500.00,42400,115500.00
2012-11-06,119000.00,121000.00,117500.00,121000.00,39500,121000.00
2012-11-05,117500.00,120500.00,116500.00,120000.00,43400,120000.00
2012-11-02,120000.00,120500.00,116000.00,118500.00,87100,118500.00
2012-11-01,112000.00,118000.00,111500.00,118000.00,48400,118000.00
2012-10-31,116000.00,118000.00,112500.00,113500.00,31400,113500.00
2012-10-30,116500.00,117500.00,114000.00,115000.00,52300,115000.00
2012-10-29,109000.00,115000.00,109000.00,114000.00,55300,114000.00
2012-10-26,113000.00,113000.00,109000.00,111000.00,44900,111000.00
2012-10-25,115500.00,118000.00,111000.00,111500.00,49400,111500.00
2012-10-24,116500.00,118500.00,113000.00,116500.00,58500,116500.00
2012-10-23,119500.00,120000.00,115000.00,115500.00,76900,115500.00
2012-10-22,112000.00,120000.00,110500.00,120000.00,96700,120000.00
2012-10-19,111500.00,114500.00,107000.00,114000.00,51000,114000.00
2012-10-18,113500.00,114500.00,104000.00,110000.00,91000,110000.00
2012-10-17,114500.00,116500.00,112000.00,112000.00,74600,112000.00
2012-10-16,110500.00,112000.00,108500.00,112000.00,77500,112000.00
2012-10-15,107000.00,111000.00,106000.00,107500.00,54900,107500.00
2012-10-12,107500.00,109000.00,104000.00,108000.00,115100,108000.00
2012-10-11,108500.00,109000.00,103000.00,106500.00,106900,106500.00
2012-10-10,105500.00,110000.00,103500.00,108500.00,54500,108500.00
2012-10-09,107500.00,110500.00,105000.00,105500.00,101100,105500.00
2012-10-08,109500.00,110500.00,104500.00,108000.00,94200,108000.00
2012-10-05,104500.00,109000.00,104500.00,108000.00,140200,108000.00
2012-10-04,97000.00,104500.00,97000.00,104500.00,189400,104500.00
2012-10-03,97000.00,97000.00,97000.00,97000.00,000,97000.00
2012-10-02,94300.00,97000.00,94300.00,97000.00,86900,97000.00
2012-10-01,96900.00,96900.00,96900.00,96900.00,000,96900.00
2012-09-28,94000.00,97300.00,93100.00,96900.00,1434700,96900.00
2012-09-27,93700.00,95600.00,93700.00,94800.00,54600,94800.00
2012-09-26,95400.00,96000.00,93700.00,93700.00,65500,93700.00
2012-09-25,97200.00,97200.00,93900.00,94700.00,75900,94700.00
2012-09-24,92900.00,97900.00,92600.00,96300.00,137200,96300.00
2012-09-21,91500.00,92000.00,90600.00,91800.00,35000,91800.00
2012-09-20,91100.00,91200.00,89900.00,90700.00,26600,90700.00
2012-09-19,91500.00,92100.00,90800.00,91100.00,34200,91100.00
2012-09-18,91500.00,92000.00,90600.00,91000.00,12300,91000.00
2012-09-17,90500.00,91900.00,89900.00,90900.00,30100,90900.00
2012-09-14,94000.00,94100.00,91300.00,91900.00,33600,91900.00
2012-09-13,91500.00,93000.00,91500.00,92800.00,24400,92800.00
2012-09-12,90100.00,93400.00,90100.00,92400.00,17000,92400.00
2012-09-11,90600.00,91500.00,90000.00,90000.00,12700,90000.00
2012-09-10,92900.00,92900.00,90800.00,91000.00,10700,91000.00
2012-09-07,90700.00,92800.00,90700.00,91500.00,17900,91500.00
2012-09-06,90300.00,92500.00,89700.00,90300.00,19100,90300.00
2012-09-05,90600.00,91900.00,89500.00,89500.00,21200,89500.00
2012-09-04,92300.00,93000.00,91600.00,91800.00,17400,91800.00
2012-09-03,93000.00,93600.00,89100.00,92000.00,29500,92000.00
