Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,57300.00,57300.00,57300.00,57300.00,000,57300.00
2012-12-28,56900.00,58100.00,56700.00,57300.00,354700,57300.00
2012-12-27,56600.00,57000.00,55600.00,56700.00,227900,56700.00
2012-12-26,57400.00,57800.00,56600.00,56700.00,273100,56700.00
2012-12-25,56900.00,56900.00,56900.00,56900.00,000,56900.00
2012-12-24,57900.00,57900.00,56400.00,56900.00,300100,56900.00
2012-12-21,58700.00,58800.00,56700.00,57400.00,493100,57400.00
2012-12-20,56800.00,58300.00,56100.00,58200.00,657400,58200.00
2012-12-19,55800.00,55800.00,55800.00,55800.00,000,55800.00
2012-12-18,56200.00,57100.00,55300.00,55800.00,450700,55800.00
2012-12-17,57200.00,57600.00,55800.00,55900.00,349700,55900.00
2012-12-14,55500.00,57300.00,55200.00,57100.00,698100,57100.00
2012-12-13,55600.00,55900.00,55100.00,55700.00,570200,55700.00
2012-12-12,55500.00,55800.00,54200.00,55400.00,423700,55400.00
2012-12-11,53400.00,55100.00,53100.00,55100.00,728500,55100.00
2012-12-10,52900.00,53700.00,52800.00,53300.00,479100,53300.00
2012-12-07,53500.00,53600.00,52600.00,53500.00,561700,53500.00
2012-12-06,51200.00,53300.00,51100.00,52800.00,507700,52800.00
2012-12-05,51400.00,51600.00,49950.00,51600.00,468200,51600.00
2012-12-04,51600.00,52000.00,51200.00,51700.00,266100,51700.00
2012-12-03,53000.00,53200.00,51600.00,52300.00,385200,52300.00
2012-11-30,53200.00,53700.00,52300.00,53400.00,576600,53400.00
2012-11-29,51900.00,53200.00,51400.00,53000.00,941300,53000.00
2012-11-28,51100.00,51700.00,50400.00,51000.00,464300,51000.00
2012-11-27,49050.00,51900.00,48650.00,51600.00,949000,51600.00
2012-11-26,49100.00,49250.00,48350.00,48650.00,267000,48650.00
2012-11-23,50000.00,50200.00,48150.00,48750.00,520300,48750.00
2012-11-22,49600.00,50600.00,49550.00,49850.00,382600,49850.00
2012-11-21,49700.00,50200.00,48900.00,49000.00,478000,49000.00
2012-11-20,50000.00,50300.00,49450.00,49650.00,634600,49650.00
2012-11-19,47950.00,49200.00,47950.00,49000.00,586200,49000.00
2012-11-16,48100.00,48950.00,47150.00,47500.00,812100,47500.00
