Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10050.00,10050.00,10050.00,10050.00,000,10050.00
2012-12-28,10300.00,10400.00,10000.00,10050.00,27900,10050.00
2012-12-27,10350.00,10500.00,10100.00,10250.00,41900,10250.00
2012-12-26,10100.00,10650.00,10100.00,10600.00,57800,10600.00
2012-12-25,10150.00,10150.00,10150.00,10150.00,000,10150.00
2012-12-24,10250.00,10250.00,10000.00,10150.00,17900,10150.00
2012-12-21,10000.00,10200.00,10000.00,10150.00,27800,10150.00
2012-12-20,10150.00,10250.00,9900.00,10000.00,45300,10000.00
2012-12-19,10200.00,10200.00,10200.00,10200.00,000,10200.00
2012-12-18,10600.00,10700.00,9990.00,10200.00,106600,10200.00
2012-12-17,10450.00,10700.00,10450.00,10600.00,40000,10600.00
2012-12-14,10100.00,10500.00,9970.00,10450.00,52500,10450.00
2012-12-13,10100.00,10100.00,9950.00,10050.00,30800,10050.00
2012-12-12,9870.00,10100.00,9870.00,10000.00,11300,10000.00
2012-12-11,10000.00,10000.00,9860.00,9870.00,13100,9870.00
2012-12-10,10150.00,10150.00,9940.00,10000.00,12000,10000.00
2012-12-07,9970.00,10150.00,9960.00,10100.00,20700,10100.00
2012-12-06,9950.00,10050.00,9870.00,9990.00,25000,9990.00
2012-12-05,9950.00,10000.00,9880.00,9920.00,21800,9920.00
2012-12-04,10050.00,10100.00,9690.00,9950.00,43700,9950.00
2012-12-03,10250.00,10350.00,9960.00,9960.00,36300,9960.00
2012-11-30,10350.00,10450.00,9850.00,10350.00,86600,10350.00
2012-11-29,10450.00,10550.00,10250.00,10350.00,13400,10350.00
2012-11-28,10350.00,10500.00,10250.00,10500.00,14800,10500.00
2012-11-27,10250.00,10500.00,10150.00,10350.00,34500,10350.00
2012-11-26,10200.00,10350.00,10150.00,10300.00,15200,10300.00
2012-11-23,10200.00,10650.00,10200.00,10300.00,14600,10300.00
2012-11-22,10500.00,10600.00,10150.00,10250.00,29000,10250.00
2012-11-21,10200.00,10600.00,10200.00,10450.00,33500,10450.00
2012-11-20,9910.00,10600.00,9910.00,10150.00,41600,10150.00
2012-11-19,9770.00,9900.00,9570.00,9900.00,24100,9900.00
2012-11-16,9590.00,9670.00,9450.00,9510.00,60900,9510.00
2012-11-15,10050.00,10150.00,9220.00,9460.00,185100,9460.00
2012-11-14,10550.00,10700.00,10100.00,10100.00,62400,10100.00
2012-11-13,10700.00,10900.00,10450.00,10500.00,46100,10500.00
2012-11-12,10800.00,11050.00,10650.00,10750.00,34900,10750.00
2012-11-09,11150.00,11150.00,10650.00,10700.00,60300,10700.00
2012-11-08,10700.00,11300.00,10600.00,11300.00,78200,11300.00
2012-11-07,11050.00,11250.00,10650.00,10950.00,60800,10950.00
2012-11-06,11250.00,11250.00,10950.00,10950.00,55300,10950.00
2012-11-05,11300.00,11350.00,10850.00,11200.00,43300,11200.00
2012-11-02,12000.00,12100.00,10850.00,11150.00,244700,11150.00
2012-11-01,10950.00,11700.00,10550.00,11650.00,338100,11650.00
2012-10-31,12700.00,12750.00,10850.00,10850.00,839200,10850.00
2012-10-30,12850.00,12950.00,12650.00,12750.00,27800,12750.00
2012-10-29,13000.00,13300.00,12600.00,12800.00,72900,12800.00
2012-10-26,13850.00,13850.00,12900.00,13000.00,44400,13000.00
2012-10-25,13300.00,13950.00,13250.00,13600.00,51500,13600.00
2012-10-24,13200.00,13550.00,13150.00,13250.00,71000,13250.00
2012-10-23,13750.00,13900.00,13300.00,13500.00,96500,13500.00
2012-10-22,14200.00,14300.00,13500.00,13850.00,144100,13850.00
2012-10-19,12600.00,14650.00,12600.00,14350.00,200600,14350.00
2012-10-18,14300.00,14450.00,14050.00,14350.00,101600,14350.00
2012-10-17,13950.00,14550.00,13750.00,14550.00,225600,14550.00
2012-10-16,13850.00,14100.00,13600.00,13750.00,95200,13750.00
2012-10-15,12950.00,13750.00,12850.00,13600.00,295700,13600.00
2012-10-12,12100.00,12800.00,11900.00,12700.00,64200,12700.00
2012-10-11,12000.00,12200.00,11900.00,12050.00,17000,12050.00
2012-10-10,12200.00,12200.00,11700.00,12000.00,40700,12000.00
2012-10-09,12300.00,12500.00,11850.00,12100.00,80800,12100.00
2012-10-08,12500.00,12700.00,12300.00,12450.00,49800,12450.00
2012-10-05,12550.00,12650.00,12150.00,12650.00,73900,12650.00
2012-10-04,12200.00,12500.00,11500.00,12500.00,172200,12500.00
2012-10-03,12300.00,12300.00,12300.00,12300.00,000,12300.00
2012-10-02,13000.00,13000.00,11450.00,12300.00,391000,12300.00
2012-10-01,13400.00,13400.00,13400.00,13400.00,000,13400.00
2012-09-28,13700.00,14100.00,13100.00,13400.00,155100,13400.00
2012-09-27,13650.00,14100.00,13450.00,13700.00,194600,13700.00
2012-09-26,12700.00,13700.00,12500.00,13650.00,241700,13650.00
2012-09-25,12200.00,12650.00,12200.00,12650.00,46100,12650.00
2012-09-24,12800.00,12850.00,12150.00,12300.00,81600,12300.00
2012-09-21,13150.00,13150.00,12650.00,12750.00,67000,12750.00
2012-09-20,12850.00,13150.00,12700.00,13150.00,67300,13150.00
2012-09-19,12900.00,13100.00,12650.00,12900.00,83800,12900.00
2012-09-18,12550.00,12900.00,12300.00,12900.00,67700,12900.00
2012-09-17,12750.00,13000.00,12500.00,12550.00,51300,12550.00
2012-09-14,12850.00,13050.00,12650.00,12750.00,73200,12750.00
2012-09-13,12700.00,12700.00,12400.00,12600.00,32700,12600.00
2012-09-12,12700.00,12700.00,12350.00,12600.00,47300,12600.00
2012-09-11,12950.00,13000.00,12550.00,12700.00,61300,12700.00
2012-09-10,13250.00,13250.00,12800.00,12800.00,49500,12800.00
2012-09-07,12700.00,13500.00,12600.00,13050.00,121000,13050.00
2012-09-06,12600.00,12800.00,12400.00,12600.00,41800,12600.00
2012-09-05,12700.00,12800.00,12050.00,12750.00,67200,12750.00
2012-09-04,12850.00,13400.00,12750.00,12750.00,95200,12750.00
2012-09-03,13000.00,13100.00,12800.00,13000.00,83600,13000.00
2012-08-31,12550.00,13050.00,12350.00,13050.00,178800,13050.00
2012-08-30,11550.00,13150.00,11550.00,12950.00,253700,12950.00
2012-08-29,11750.00,11950.00,11400.00,11550.00,64600,11550.00
2012-08-28,11750.00,12200.00,11400.00,11700.00,57700,11700.00
2012-08-27,11800.00,12500.00,11550.00,11900.00,145300,11900.00
2012-08-24,10450.00,11950.00,10450.00,11750.00,265900,11750.00
2012-08-23,10650.00,10650.00,10450.00,10550.00,22000,10550.00
2012-08-22,10500.00,10650.00,10400.00,10550.00,16400,10550.00
2012-08-21,10700.00,10700.00,10500.00,10550.00,20800,10550.00
2012-08-20,10400.00,10700.00,10400.00,10600.00,26900,10600.00
2012-08-17,10650.00,10750.00,10400.00,10500.00,32100,10500.00
2012-08-16,10450.00,10650.00,10300.00,10500.00,31700,10500.00
2012-08-15,10500.00,10500.00,10500.00,10500.00,000,10500.00
2012-08-14,10450.00,10950.00,10450.00,10500.00,46200,10500.00
2012-08-13,10250.00,10600.00,10200.00,10550.00,40100,10550.00
2012-08-10,10300.00,10400.00,10150.00,10250.00,31700,10250.00
2012-08-09,10150.00,10300.00,10050.00,10300.00,27500,10300.00
2012-08-08,9990.00,10250.00,9980.00,10000.00,45100,10000.00
2012-08-07,10100.00,10100.00,9970.00,10000.00,23900,10000.00
2012-08-06,10200.00,10200.00,10000.00,10100.00,16100,10100.00
2012-08-03,9950.00,10150.00,9950.00,10050.00,8700,10050.00
2012-08-02,10050.00,10200.00,9980.00,10000.00,33100,10000.00
2012-08-01,10300.00,10300.00,10000.00,10000.00,39700,10000.00
2012-07-31,10400.00,10400.00,10100.00,10200.00,16800,10200.00
2012-07-30,10050.00,10450.00,10000.00,10200.00,36100,10200.00
2012-07-27,10200.00,10200.00,10050.00,10050.00,18100,10050.00
2012-07-26,10050.00,10150.00,9990.00,10050.00,28600,10050.00
2012-07-25,10050.00,10250.00,10000.00,10000.00,20800,10000.00
2012-07-24,10000.00,10350.00,10000.00,10200.00,34100,10200.00
2012-07-23,10500.00,10950.00,10050.00,10100.00,136700,10100.00
2012-07-20,10350.00,10550.00,10100.00,10500.00,45100,10500.00
2012-07-19,10200.00,10450.00,10100.00,10200.00,36600,10200.00
2012-07-18,10200.00,10400.00,9970.00,10150.00,57000,10150.00
2012-07-17,9950.00,10050.00,9890.00,9990.00,25100,9990.00
2012-07-16,9980.00,10050.00,9930.00,9950.00,31100,9950.00
2012-07-13,10200.00,10200.00,9900.00,10000.00,33500,10000.00
2012-07-12,10350.00,10450.00,9920.00,10150.00,61300,10150.00
2012-07-11,10250.00,10350.00,9980.00,10150.00,47900,10150.00
2012-07-10,10650.00,10700.00,10150.00,10150.00,40600,10150.00
2012-07-09,10850.00,10950.00,10500.00,10500.00,65000,10500.00
2012-07-06,10800.00,11050.00,10550.00,10850.00,61100,10850.00
2012-07-05,10400.00,11000.00,10350.00,10800.00,62700,10800.00
2012-07-04,10100.00,10500.00,9950.00,10500.00,70300,10500.00
2012-07-03,10000.00,10100.00,9920.00,9990.00,21800,9990.00
2012-07-02,9900.00,10100.00,9900.00,10000.00,24900,10000.00
2012-06-29,9850.00,9960.00,9650.00,9870.00,34100,9870.00
2012-06-28,10050.00,10100.00,9900.00,10000.00,40300,10000.00
2012-06-27,9900.00,10050.00,9690.00,9990.00,48500,9990.00
2012-06-26,10000.00,10050.00,9920.00,9930.00,38500,9930.00
2012-06-25,10050.00,10200.00,9960.00,10050.00,58000,10050.00
2012-06-22,10000.00,10150.00,9920.00,9950.00,52000,9950.00
2012-06-21,10100.00,10350.00,10100.00,10100.00,28500,10100.00
2012-06-20,10250.00,10300.00,9990.00,10150.00,55500,10150.00
2012-06-19,10350.00,10400.00,10100.00,10250.00,24400,10250.00
2012-06-18,10650.00,10750.00,10250.00,10250.00,54800,10250.00
2012-06-15,10100.00,10500.00,9920.00,10500.00,72300,10500.00
2012-06-14,10250.00,10500.00,10050.00,10150.00,42300,10150.00
2012-06-13,10600.00,10600.00,10300.00,10300.00,25700,10300.00
2012-06-12,10200.00,10600.00,10050.00,10450.00,36100,10450.00
2012-06-11,10450.00,10650.00,10000.00,10300.00,37900,10300.00
2012-06-08,10200.00,10350.00,10000.00,10300.00,40300,10300.00
2012-06-07,10500.00,10550.00,9980.00,10300.00,77300,10300.00
2012-06-06,10150.00,10150.00,10150.00,10150.00,000,10150.00
2012-06-05,9990.00,10200.00,9950.00,10150.00,31000,10150.00
2012-06-04,9730.00,9920.00,8750.00,9840.00,51500,9840.00
2012-06-01,10650.00,10650.00,10250.00,10250.00,22700,10250.00
2012-05-31,9900.00,10700.00,9800.00,10650.00,93500,10650.00
2012-05-30,10250.00,10250.00,9740.00,9920.00,85300,9920.00
2012-05-29,10450.00,10500.00,10100.00,10350.00,48200,10350.00
2012-05-28,10350.00,10350.00,10350.00,10350.00,000,10350.00
2012-05-25,10500.00,10800.00,10150.00,10350.00,57000,10350.00
2012-05-24,9820.00,10500.00,9820.00,10150.00,66700,10150.00
2012-05-23,9580.00,9910.00,9300.00,9820.00,67200,9820.00
2012-05-22,9030.00,10100.00,9000.00,9780.00,178500,9780.00
2012-05-21,8630.00,9130.00,8630.00,8830.00,259700,8830.00
2012-05-18,9380.00,9870.00,8310.00,8510.00,244100,8510.00
2012-05-17,9830.00,9980.00,9100.00,9630.00,126400,9630.00
2012-05-16,9890.00,10200.00,9810.00,9990.00,73700,9990.00
2012-05-15,10800.00,10800.00,9930.00,9990.00,234500,9990.00
2012-05-14,11150.00,11150.00,10700.00,10950.00,52600,10950.00
2012-05-11,11400.00,11400.00,10900.00,11300.00,48800,11300.00
2012-05-10,11250.00,11300.00,10750.00,11250.00,39000,11250.00
2012-05-09,11650.00,11800.00,10500.00,11000.00,234800,11000.00
2012-05-08,11950.00,12050.00,11450.00,11900.00,63200,11900.00
2012-05-07,11500.00,11950.00,11500.00,11800.00,78800,11800.00
2012-05-04,11700.00,11800.00,11100.00,11750.00,133300,11750.00
2012-05-03,12300.00,12300.00,11450.00,11800.00,88500,11800.00
2012-05-02,11450.00,12100.00,11400.00,11850.00,221200,11850.00
2012-05-01,11100.00,11100.00,11100.00,11100.00,000,11100.00
2012-04-30,10400.00,11450.00,10300.00,11100.00,507400,11100.00
2012-04-27,11650.00,12950.00,9950.00,10200.00,820400,10200.00
2012-04-26,13850.00,13900.00,11650.00,11650.00,257600,11650.00
2012-04-25,14550.00,14550.00,13300.00,13700.00,177400,13700.00
2012-04-24,14700.00,15000.00,14550.00,14600.00,37700,14600.00
2012-04-23,15050.00,15100.00,14700.00,15000.00,43100,15000.00
2012-04-20,15250.00,15250.00,15000.00,15050.00,16800,15050.00
2012-04-19,15250.00,15400.00,15000.00,15200.00,31000,15200.00
2012-04-18,15050.00,15200.00,14750.00,15200.00,68000,15200.00
2012-04-17,15350.00,15350.00,14900.00,15050.00,27400,15050.00
2012-04-16,15200.00,15200.00,14700.00,15100.00,50600,15100.00
2012-04-13,15150.00,15150.00,14750.00,14900.00,82600,14900.00
2012-04-12,15550.00,15550.00,14750.00,15150.00,105200,15150.00
