Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,84500.00,84500.00,84500.00,84500.00,000,84500.00
2012-12-28,84000.00,86000.00,84000.00,84500.00,800,84500.00
2012-12-27,84600.00,85300.00,84500.00,84500.00,1100,84500.00
2012-12-26,87000.00,87000.00,84800.00,86000.00,5200,86000.00
2012-12-25,84500.00,84500.00,84500.00,84500.00,000,84500.00
2012-12-24,85000.00,85300.00,84400.00,84500.00,500,84500.00
2012-12-21,85100.00,85300.00,85000.00,85000.00,900,85000.00
2012-12-20,84400.00,85300.00,84400.00,85000.00,600,85000.00
2012-12-19,84500.00,84500.00,84500.00,84500.00,000,84500.00
2012-12-18,84200.00,85200.00,84000.00,84500.00,3100,84500.00
2012-12-17,85500.00,85500.00,84100.00,84900.00,1700,84900.00
2012-12-14,83900.00,85000.00,83900.00,84900.00,700,84900.00
2012-12-13,84800.00,84900.00,83900.00,84700.00,2400,84700.00
2012-12-12,84300.00,84500.00,84000.00,84300.00,800,84300.00
2012-12-11,84800.00,84800.00,83800.00,84000.00,100,84000.00
2012-12-10,84600.00,84600.00,83900.00,84200.00,400,84200.00
2012-12-07,84900.00,85000.00,83600.00,84600.00,700,84600.00
2012-12-06,83700.00,84700.00,83700.00,84100.00,1000,84100.00
2012-12-05,84800.00,84800.00,83500.00,83800.00,800,83800.00
2012-12-04,83100.00,84500.00,83100.00,84200.00,1000,84200.00
2012-12-03,83700.00,83800.00,83000.00,83100.00,400,83100.00
2012-11-30,82200.00,83700.00,82200.00,83700.00,400,83700.00
2012-11-29,82300.00,82300.00,81700.00,82300.00,1600,82300.00
2012-11-28,81700.00,82000.00,81700.00,82000.00,700,82000.00
2012-11-27,81600.00,82300.00,81100.00,81900.00,600,81900.00
2012-11-26,82000.00,82300.00,81600.00,81600.00,600,81600.00
2012-11-23,82000.00,82000.00,81600.00,82000.00,1000,82000.00
2012-11-22,81700.00,82200.00,81300.00,81900.00,900,81900.00
2012-11-21,82300.00,82300.00,81100.00,82100.00,600,82100.00
2012-11-20,81800.00,82300.00,81700.00,82200.00,200,82200.00
2012-11-19,82100.00,82300.00,81500.00,82300.00,000,82300.00
2012-11-16,81400.00,82100.00,81200.00,81600.00,200,81600.00
2012-11-15,82000.00,82000.00,80900.00,81300.00,1400,81300.00
2012-11-14,82000.00,83200.00,81800.00,82100.00,600,82100.00
2012-11-13,81800.00,82300.00,81800.00,82000.00,100,82000.00
2012-11-12,81000.00,81800.00,80900.00,81500.00,700,81500.00
2012-11-09,81700.00,82000.00,80600.00,81000.00,800,81000.00
2012-11-08,82300.00,82700.00,81700.00,81700.00,300,81700.00
2012-11-07,83000.00,83000.00,82000.00,82700.00,100,82700.00
2012-11-06,82600.00,83400.00,81700.00,82900.00,600,82900.00
2012-11-05,83400.00,83400.00,82500.00,82600.00,300,82600.00
2012-11-02,82500.00,83100.00,81800.00,82600.00,300,82600.00
2012-11-01,82800.00,83500.00,82300.00,82600.00,000,82600.00
2012-10-31,82900.00,84100.00,80000.00,82900.00,600,82900.00
2012-10-30,81900.00,83000.00,81900.00,83000.00,100,83000.00
2012-10-29,82400.00,83700.00,81500.00,82000.00,600,82000.00
2012-10-26,82600.00,83900.00,82000.00,82900.00,300,82900.00
2012-10-25,80900.00,84800.00,80900.00,82600.00,1800,82600.00
2012-10-24,83000.00,83900.00,81000.00,81000.00,1500,81000.00
2012-10-23,83500.00,83500.00,82200.00,82700.00,800,82700.00
2012-10-22,82900.00,84000.00,82400.00,83300.00,700,83300.00
2012-10-19,84000.00,84000.00,83000.00,83000.00,800,83000.00
2012-10-18,84500.00,84500.00,83100.00,83700.00,1600,83700.00
