Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,21850.00,21850.00,21850.00,21850.00,000,21850.00
2012-12-28,21150.00,22350.00,21150.00,21850.00,163900,21850.00
2012-12-27,21050.00,21450.00,20450.00,21200.00,100000,21200.00
2012-12-26,20650.00,21250.00,20600.00,21150.00,72700,21150.00
2012-12-25,20600.00,20600.00,20600.00,20600.00,000,20600.00
2012-12-24,20800.00,21300.00,20550.00,20600.00,167000,20600.00
2012-12-21,20450.00,21150.00,20000.00,20750.00,155500,20750.00
2012-12-20,19900.00,20600.00,19850.00,20400.00,81500,20400.00
2012-12-19,19900.00,19900.00,19900.00,19900.00,000,19900.00
2012-12-18,20000.00,20300.00,19650.00,19900.00,61100,19900.00
2012-12-17,20300.00,20400.00,19850.00,19900.00,41800,19900.00
2012-12-14,19200.00,20250.00,19050.00,20250.00,111300,20250.00
2012-12-13,18950.00,19250.00,18950.00,19250.00,60000,19250.00
2012-12-12,19350.00,19400.00,19000.00,19100.00,52600,19100.00
2012-12-11,18900.00,19300.00,18850.00,19200.00,71600,19200.00
2012-12-10,19000.00,19000.00,18700.00,18800.00,37800,18800.00
2012-12-07,18800.00,19150.00,18700.00,18800.00,37800,18800.00
2012-12-06,18400.00,19050.00,18400.00,18700.00,61000,18700.00
2012-12-05,18600.00,18700.00,18300.00,18600.00,53300,18600.00
2012-12-04,18750.00,18950.00,18450.00,18600.00,51200,18600.00
2012-12-03,18800.00,19100.00,18750.00,19000.00,66500,19000.00
2012-11-30,18250.00,18750.00,18200.00,18750.00,55300,18750.00
2012-11-29,18000.00,18550.00,18000.00,18250.00,87300,18250.00
2012-11-28,18000.00,18150.00,17650.00,17900.00,63300,17900.00
2012-11-27,17200.00,18100.00,17200.00,18100.00,99300,18100.00
2012-11-26,17600.00,17700.00,17250.00,17300.00,62100,17300.00
2012-11-23,17800.00,17900.00,17400.00,17500.00,46600,17500.00
2012-11-22,17950.00,18050.00,17750.00,17800.00,38900,17800.00
2012-11-21,18300.00,18350.00,17600.00,17900.00,80100,17900.00
2012-11-20,18500.00,18550.00,18200.00,18300.00,37900,18300.00
2012-11-19,18100.00,18450.00,18000.00,18250.00,42200,18250.00
