Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,15750.00,15750.00,15750.00,15750.00,000,15750.00
2012-12-28,15200.00,15800.00,15200.00,15750.00,3300,15750.00
2012-12-27,15450.00,16050.00,15000.00,15600.00,4700,15600.00
2012-12-26,15700.00,15700.00,15050.00,15100.00,1900,15100.00
2012-12-25,15000.00,15000.00,15000.00,15000.00,000,15000.00
2012-12-24,14900.00,15000.00,14500.00,15000.00,1400,15000.00
2012-12-21,14500.00,15050.00,14500.00,14900.00,700,14900.00
2012-12-20,15000.00,15000.00,14400.00,14650.00,1200,14650.00
2012-12-19,14500.00,14500.00,14500.00,14500.00,000,14500.00
2012-12-18,14550.00,14700.00,14450.00,14500.00,300,14500.00
2012-12-17,14700.00,15100.00,14400.00,14500.00,1600,14500.00
2012-12-14,14750.00,14750.00,14550.00,14700.00,000,14700.00
2012-12-13,14550.00,14700.00,14550.00,14550.00,1200,14550.00
2012-12-12,14600.00,14800.00,14500.00,14500.00,1100,14500.00
2012-12-11,14600.00,15300.00,14500.00,14700.00,6000,14700.00
2012-12-10,14600.00,14950.00,14450.00,14550.00,1300,14550.00
2012-12-07,14650.00,14700.00,14350.00,14550.00,5300,14550.00
2012-12-06,14750.00,14850.00,14550.00,14650.00,8600,14650.00
2012-12-05,14700.00,15050.00,14550.00,14650.00,11300,14650.00
2012-12-04,14750.00,15400.00,14500.00,14700.00,1900,14700.00
2012-12-03,14750.00,15350.00,14700.00,14750.00,600,14750.00
2012-11-30,15400.00,15400.00,14750.00,14750.00,5400,14750.00
2012-11-29,15300.00,15300.00,15050.00,15250.00,000,15250.00
2012-11-28,14900.00,15200.00,14700.00,15200.00,200,15200.00
2012-11-27,15250.00,15250.00,14800.00,15200.00,400,15200.00
2012-11-26,14600.00,15000.00,14600.00,14700.00,900,14700.00
2012-11-23,15100.00,15100.00,14950.00,14950.00,100,14950.00
2012-11-22,14800.00,15100.00,14500.00,15100.00,1200,15100.00
2012-11-21,14600.00,15450.00,14500.00,14500.00,1400,14500.00
2012-11-20,14800.00,14800.00,14450.00,14450.00,1100,14450.00
2012-11-19,14900.00,14900.00,14400.00,14750.00,1300,14750.00
2012-11-16,15050.00,15050.00,14500.00,14600.00,1800,14600.00
2012-11-15,14950.00,14950.00,14600.00,14800.00,3100,14800.00
2012-11-14,14650.00,15000.00,14650.00,14800.00,6200,14800.00
2012-11-13,15550.00,15600.00,15150.00,15150.00,200,15150.00
2012-11-12,15400.00,15700.00,15150.00,15700.00,1600,15700.00
