Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,80800.00,80800.00,80800.00,80800.00,000,80800.00
2012-12-28,79800.00,81700.00,79800.00,80800.00,340800,80800.00
2012-12-27,81100.00,81400.00,80200.00,80600.00,347100,80600.00
2012-12-26,84500.00,84700.00,82900.00,82900.00,326800,82900.00
2012-12-25,83800.00,83800.00,83800.00,83800.00,000,83800.00
2012-12-24,85500.00,86300.00,83200.00,83800.00,363700,83800.00
2012-12-21,82500.00,85000.00,82200.00,85000.00,512200,85000.00
2012-12-20,83000.00,83400.00,82100.00,82500.00,664700,82500.00
2012-12-19,82900.00,82900.00,82900.00,82900.00,000,82900.00
2012-12-18,82700.00,84100.00,82300.00,82900.00,364900,82900.00
2012-12-17,84900.00,85000.00,82700.00,83100.00,302300,83100.00
2012-12-14,82300.00,83800.00,82300.00,83700.00,294400,83700.00
2012-12-13,83400.00,83800.00,82600.00,83500.00,567700,83500.00
2012-12-12,84000.00,85000.00,83500.00,83900.00,354000,83900.00
2012-12-11,83700.00,84300.00,83200.00,84000.00,337600,84000.00
2012-12-10,83600.00,84800.00,83600.00,83700.00,196300,83700.00
2012-12-07,84300.00,85100.00,83900.00,84100.00,257700,84100.00
2012-12-06,85000.00,85500.00,84400.00,85000.00,171800,85000.00
2012-12-05,85600.00,85900.00,85000.00,85100.00,223000,85100.00
2012-12-04,86600.00,87900.00,84800.00,84800.00,229000,84800.00
2012-12-03,87400.00,87700.00,85900.00,87500.00,325900,87500.00
2012-11-30,84900.00,85900.00,83700.00,85700.00,353600,85700.00
2012-11-29,84000.00,84500.00,83300.00,84200.00,217200,84200.00
2012-11-28,82600.00,83700.00,81900.00,83700.00,428900,83700.00
2012-11-27,85900.00,86600.00,83500.00,84600.00,230100,84600.00
2012-11-26,84600.00,85800.00,84000.00,85300.00,177200,85300.00
2012-11-23,86300.00,87500.00,85300.00,85300.00,121500,85300.00
2012-11-22,86500.00,88000.00,85000.00,86400.00,343800,86400.00
2012-11-21,82700.00,85800.00,82100.00,85800.00,280500,85800.00
2012-11-20,81800.00,82500.00,80800.00,82500.00,308400,82500.00
2012-11-19,81600.00,83200.00,81500.00,82300.00,166900,82300.00
2012-11-16,82500.00,82900.00,81300.00,81900.00,169100,81900.00
2012-11-15,83500.00,83600.00,82300.00,82300.00,180000,82300.00
2012-11-14,82300.00,83500.00,81300.00,83500.00,200100,83500.00
2012-11-13,83300.00,83400.00,81000.00,82200.00,237200,82200.00
2012-11-12,84400.00,84400.00,82600.00,82800.00,155100,82800.00
2012-11-09,83100.00,84200.00,82200.00,83800.00,181400,83800.00
2012-11-08,84800.00,84900.00,82700.00,83100.00,265400,83100.00
2012-11-07,82700.00,84300.00,82000.00,84300.00,229700,84300.00
2012-11-06,82700.00,83800.00,82700.00,83000.00,267200,83000.00
2012-11-05,84500.00,85400.00,83000.00,83000.00,244100,83000.00
2012-11-02,84000.00,84800.00,83100.00,83800.00,203100,83800.00
2012-11-01,82200.00,85700.00,82100.00,84300.00,315600,84300.00
2012-10-31,84000.00,84200.00,82400.00,83100.00,216300,83100.00
2012-10-30,85000.00,85800.00,82900.00,83300.00,207100,83300.00
2012-10-29,82300.00,85300.00,80700.00,84400.00,328900,84400.00
2012-10-26,83300.00,84000.00,82300.00,82900.00,348100,82900.00
2012-10-25,85700.00,86600.00,84200.00,85000.00,232500,85000.00
