Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,35500.00,35500.00,35500.00,35500.00,000,35500.00
2012-12-28,35400.00,35900.00,35100.00,35500.00,1019100,35500.00
2012-12-27,35800.00,35950.00,35400.00,35500.00,2003100,35500.00
2012-12-26,37950.00,38050.00,37450.00,37500.00,2623700,37500.00
2012-12-25,38050.00,38050.00,38050.00,38050.00,000,38050.00
2012-12-24,38700.00,38700.00,38050.00,38050.00,1257800,38050.00
2012-12-21,38500.00,38850.00,38450.00,38550.00,1896200,38550.00
2012-12-20,38400.00,38500.00,38100.00,38450.00,1343700,38450.00
2012-12-19,38450.00,38450.00,38450.00,38450.00,000,38450.00
2012-12-18,38400.00,38450.00,38200.00,38450.00,1535200,38450.00
2012-12-17,38100.00,38300.00,37850.00,38100.00,656100,38100.00
2012-12-14,38150.00,38200.00,37750.00,38100.00,648700,38100.00
2012-12-13,37800.00,38300.00,37800.00,38200.00,1360800,38200.00
2012-12-12,37950.00,38050.00,37600.00,38050.00,868500,38050.00
2012-12-11,38200.00,38200.00,37750.00,37750.00,847900,37750.00
2012-12-10,37700.00,38400.00,37700.00,37900.00,807400,37900.00
2012-12-07,37400.00,37850.00,37300.00,37650.00,611600,37650.00
2012-12-06,37850.00,38000.00,37150.00,37350.00,1321400,37350.00
2012-12-05,38150.00,38450.00,37900.00,38000.00,983800,38000.00
2012-12-04,38150.00,38650.00,38150.00,38500.00,639100,38500.00
2012-12-03,37700.00,38700.00,37600.00,38200.00,906400,38200.00
2012-11-30,37400.00,37700.00,37000.00,37700.00,997400,37700.00
2012-11-29,37950.00,38100.00,37050.00,37350.00,1434700,37350.00
2012-11-28,38400.00,38900.00,37700.00,37850.00,1112900,37850.00
2012-11-27,39650.00,39650.00,38050.00,38300.00,1252500,38300.00
2012-11-26,39600.00,39850.00,39300.00,39550.00,526000,39550.00
2012-11-23,39400.00,39750.00,39150.00,39750.00,545900,39750.00
2012-11-22,38950.00,39700.00,38750.00,39450.00,797300,39450.00
2012-11-21,39000.00,39150.00,38600.00,38750.00,662200,38750.00
2012-11-20,39200.00,39500.00,39100.00,39100.00,759500,39100.00
2012-11-19,39550.00,39750.00,38950.00,39550.00,785200,39550.00
2012-11-16,39400.00,39600.00,39100.00,39550.00,1205400,39550.00
2012-11-15,38500.00,39400.00,38400.00,39050.00,1571200,39050.00
2012-11-14,38300.00,38950.00,38250.00,38700.00,1145500,38700.00
2012-11-13,38300.00,38600.00,37950.00,38200.00,816800,38200.00
2012-11-12,38050.00,38350.00,37700.00,37950.00,655300,37950.00
2012-11-09,37550.00,38500.00,37550.00,37950.00,907000,37950.00
2012-11-08,37700.00,38400.00,37700.00,38000.00,969800,38000.00
2012-11-07,38350.00,38350.00,37550.00,38150.00,1266900,38150.00
2012-11-06,38450.00,38900.00,38250.00,38450.00,904100,38450.00
2012-11-05,37300.00,38650.00,37200.00,38400.00,1892700,38400.00
2012-11-02,37150.00,37450.00,36850.00,37050.00,894900,37050.00
2012-11-01,37100.00,37600.00,36850.00,37050.00,1017700,37050.00
2012-10-31,37300.00,37650.00,36950.00,36950.00,565700,36950.00
2012-10-30,37150.00,37400.00,36650.00,37150.00,543900,37150.00
2012-10-29,36500.00,37300.00,36400.00,36950.00,704400,36950.00
2012-10-26,36950.00,37400.00,36400.00,36400.00,995900,36400.00
2012-10-25,36600.00,37800.00,36500.00,36950.00,1554400,36950.00
2012-10-24,35150.00,36950.00,35150.00,36700.00,2591700,36700.00
2012-10-23,35000.00,35550.00,34950.00,35250.00,836900,35250.00
2012-10-22,34800.00,35000.00,34600.00,34950.00,468900,34950.00
2012-10-19,35250.00,35300.00,34850.00,35100.00,440400,35100.00
2012-10-18,35300.00,35300.00,34950.00,35250.00,453000,35250.00
2012-10-17,35300.00,35550.00,35000.00,35200.00,728800,35200.00
2012-10-16,35250.00,35600.00,35000.00,35400.00,839900,35400.00
2012-10-15,34350.00,35550.00,34350.00,35300.00,1140700,35300.00
2012-10-12,34650.00,34850.00,34300.00,34550.00,355300,34550.00
2012-10-11,34800.00,35000.00,34500.00,34500.00,689100,34500.00
2012-10-10,35250.00,35300.00,35000.00,35000.00,556100,35000.00
2012-10-09,34900.00,35500.00,34850.00,35150.00,693200,35150.00
2012-10-08,35100.00,35300.00,34700.00,34800.00,637500,34800.00
2012-10-05,34900.00,35400.00,34800.00,35100.00,599500,35100.00
2012-10-04,34750.00,35150.00,34650.00,34900.00,829200,34900.00
2012-10-03,34750.00,34750.00,34750.00,34750.00,000,34750.00
2012-10-02,34850.00,35000.00,34600.00,34750.00,882400,34750.00
2012-10-01,35200.00,35200.00,35200.00,35200.00,000,35200.00
2012-09-28,35300.00,35350.00,34800.00,35200.00,1109000,35200.00
2012-09-27,35250.00,35700.00,35000.00,35450.00,780200,35450.00
2012-09-26,35350.00,35600.00,35200.00,35450.00,345900,35450.00
2012-09-25,35900.00,35950.00,35550.00,35550.00,603800,35550.00
2012-09-24,35800.00,36050.00,35600.00,35900.00,583200,35900.00
2012-09-21,35850.00,36200.00,35700.00,35900.00,852100,35900.00
2012-09-20,35300.00,35700.00,35200.00,35700.00,834300,35700.00
2012-09-19,35300.00,35450.00,35000.00,35250.00,872700,35250.00
2012-09-18,35300.00,35350.00,34700.00,35100.00,1411400,35100.00
2012-09-17,35900.00,36000.00,35000.00,35450.00,1938200,35450.00
2012-09-14,36650.00,36750.00,35900.00,36300.00,1536000,36300.00
2012-09-13,36400.00,36700.00,36100.00,36350.00,1159700,36350.00
2012-09-12,36100.00,36750.00,36100.00,36100.00,1127800,36100.00
2012-09-11,35250.00,36350.00,35200.00,35900.00,1468900,35900.00
2012-09-10,35700.00,36050.00,35150.00,35350.00,870900,35350.00
2012-09-07,35500.00,36200.00,35300.00,35600.00,1342800,35600.00
2012-09-06,34750.00,35900.00,34700.00,35500.00,1714400,35500.00
2012-09-05,34250.00,34550.00,34100.00,34400.00,1472700,34400.00
2012-09-04,34000.00,34200.00,33750.00,33900.00,873500,33900.00
2012-09-03,34250.00,34550.00,34150.00,34250.00,586300,34250.00
2012-08-31,34300.00,34600.00,34200.00,34400.00,697000,34400.00
2012-08-30,35000.00,35100.00,34050.00,34350.00,1219700,34350.00
2012-08-29,35300.00,35700.00,34650.00,35200.00,1389900,35200.00
2012-08-28,35000.00,35500.00,35000.00,35300.00,1427100,35300.00
2012-08-27,34800.00,35250.00,34550.00,35000.00,1246800,35000.00
2012-08-24,34850.00,35500.00,34650.00,34650.00,1397600,34650.00
2012-08-23,34750.00,35150.00,34550.00,34850.00,1440900,34850.00
2012-08-22,34250.00,35150.00,34150.00,35050.00,2182400,35050.00
2012-08-21,34350.00,34600.00,34150.00,34300.00,703900,34300.00
