Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,56500.00,56500.00,56500.00,56500.00,000,56500.00
2012-12-28,57100.00,57200.00,56300.00,56500.00,1727200,56500.00
2012-12-27,57400.00,58500.00,56700.00,57200.00,2384800,57200.00
2012-12-26,58100.00,59000.00,57900.00,58000.00,1541800,58000.00
2012-12-25,57800.00,57800.00,57800.00,57800.00,000,57800.00
2012-12-24,57800.00,58300.00,57400.00,57800.00,1170200,57800.00
2012-12-21,57800.00,58500.00,57800.00,57800.00,1339300,57800.00
2012-12-20,59500.00,59600.00,57900.00,58100.00,2158600,58100.00
2012-12-19,58700.00,58700.00,58700.00,58700.00,000,58700.00
2012-12-18,58800.00,59200.00,57500.00,58700.00,2192800,58700.00
2012-12-17,61500.00,61700.00,58100.00,59200.00,3701500,59200.00
2012-12-14,61100.00,61500.00,60900.00,61400.00,1278600,61400.00
2012-12-13,62200.00,62200.00,60800.00,61800.00,2136400,61800.00
2012-12-12,62200.00,62500.00,60800.00,61200.00,1601500,61200.00
2012-12-11,61800.00,62300.00,61100.00,62300.00,1283300,62300.00
2012-12-10,62100.00,62600.00,61200.00,61500.00,1290400,61500.00
2012-12-07,61500.00,62100.00,60100.00,60900.00,1443400,60900.00
2012-12-06,62500.00,62800.00,61200.00,61500.00,1358300,61500.00
2012-12-05,62300.00,63200.00,62000.00,62300.00,1122500,62300.00
2012-12-04,62400.00,62600.00,61500.00,62300.00,1090700,62300.00
2012-12-03,63000.00,63500.00,62000.00,62600.00,1624600,62600.00
2012-11-30,62000.00,63200.00,61300.00,61900.00,2524500,61900.00
2012-11-29,60200.00,62500.00,60100.00,62000.00,3258500,62000.00
2012-11-28,59000.00,60600.00,58900.00,59200.00,2094700,59200.00
2012-11-27,58300.00,59900.00,57600.00,59500.00,2567300,59500.00
2012-11-26,57600.00,58000.00,57100.00,57800.00,1106800,57800.00
2012-11-23,55800.00,57800.00,55800.00,57400.00,1820800,57400.00
2012-11-22,54600.00,56400.00,54200.00,55800.00,1672300,55800.00
2012-11-21,55800.00,56100.00,54500.00,54700.00,1831900,54700.00
2012-11-20,57900.00,57900.00,55300.00,55500.00,2396000,55500.00
2012-11-19,58500.00,59300.00,56400.00,56800.00,2350300,56800.00
2012-11-16,54900.00,58300.00,54800.00,58200.00,2852700,58200.00
2012-11-15,54200.00,55900.00,54000.00,54900.00,1292400,54900.00
2012-11-14,55500.00,56000.00,54400.00,55300.00,1687200,55300.00
2012-11-13,56300.00,57000.00,55300.00,55300.00,1362900,55300.00
2012-11-12,56200.00,57100.00,55200.00,56500.00,1773300,56500.00
2012-11-09,55800.00,56600.00,54200.00,56600.00,3275900,56600.00
2012-11-08,57500.00,58900.00,57000.00,57500.00,2090800,57500.00
2012-11-07,58000.00,58800.00,57400.00,58800.00,2497200,58800.00
2012-11-06,56400.00,57700.00,56300.00,57200.00,3330300,57200.00
2012-11-05,56100.00,58000.00,56000.00,56300.00,5384500,56300.00
2012-11-02,61000.00,61200.00,60000.00,60500.00,1815900,60500.00
2012-11-01,61000.00,61400.00,58200.00,60100.00,3265200,60100.00
2012-10-31,61000.00,61800.00,60500.00,60600.00,1375300,60600.00
