Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,330000.00,330000.00,330000.00,330000.00,000,330000.00
2012-12-28,329000.00,332000.00,326500.00,330000.00,171300,330000.00
2012-12-27,332500.00,332500.00,325500.00,329000.00,144300,329000.00
2012-12-26,334000.00,338500.00,330000.00,332000.00,145600,332000.00
2012-12-25,334000.00,334000.00,334000.00,334000.00,000,334000.00
2012-12-24,333000.00,336000.00,331500.00,334000.00,107200,334000.00
2012-12-21,340500.00,340500.00,332000.00,337500.00,238900,337500.00
2012-12-20,337500.00,340000.00,333000.00,339000.00,369000,339000.00
2012-12-19,332500.00,332500.00,332500.00,332500.00,000,332500.00
2012-12-18,327000.00,333500.00,326500.00,332500.00,347600,332500.00
2012-12-17,326500.00,328000.00,323500.00,324500.00,145000,324500.00
2012-12-14,330000.00,331500.00,326500.00,328000.00,240300,328000.00
2012-12-13,328000.00,332000.00,325000.00,330000.00,292800,330000.00
2012-12-12,329500.00,336000.00,326000.00,329000.00,317400,329000.00
2012-12-11,322000.00,328000.00,320000.00,327000.00,391800,327000.00
2012-12-10,318000.00,321500.00,316000.00,318000.00,133400,318000.00
2012-12-07,320000.00,324000.00,317000.00,320000.00,217700,320000.00
2012-12-06,316000.00,320500.00,312000.00,319500.00,328500,319500.00
2012-12-05,309500.00,314500.00,304000.00,314000.00,267900,314000.00
2012-12-04,311000.00,313000.00,309500.00,310500.00,84000,310500.00
2012-12-03,312000.00,315000.00,308000.00,314000.00,144400,314000.00
2012-11-30,314000.00,317000.00,311500.00,312000.00,191300,312000.00
2012-11-29,311500.00,316500.00,310000.00,314000.00,308400,314000.00
2012-11-28,305500.00,308500.00,303000.00,306500.00,171100,306500.00
2012-11-27,305000.00,311500.00,302000.00,309000.00,262400,309000.00
2012-11-26,304000.00,307000.00,302000.00,306000.00,174000,306000.00
2012-11-23,298500.00,301500.00,297000.00,301000.00,135000,301000.00
2012-11-22,300000.00,302000.00,294000.00,296500.00,150900,296500.00
2012-11-21,300000.00,301500.00,291500.00,296500.00,144100,296500.00
2012-11-20,303000.00,303500.00,300000.00,300000.00,118400,300000.00
2012-11-19,293500.00,301500.00,293500.00,297000.00,105200,297000.00
2012-11-16,294000.00,303000.00,292500.00,295000.00,127700,295000.00
2012-11-15,290500.00,298000.00,288000.00,296000.00,133900,296000.00
2012-11-14,300000.00,303000.00,291500.00,296000.00,319200,296000.00
2012-11-13,308500.00,308500.00,300000.00,302000.00,159700,302000.00
2012-11-12,305500.00,310500.00,304500.00,305500.00,107100,305500.00
2012-11-09,300000.00,310000.00,298500.00,307500.00,196700,307500.00
2012-11-08,308000.00,310000.00,303500.00,305500.00,249900,305500.00
2012-11-07,315000.00,317000.00,311500.00,316000.00,180200,316000.00
2012-11-06,308500.00,317500.00,306000.00,315500.00,224900,315500.00
2012-11-05,311500.00,315000.00,308500.00,310500.00,137900,310500.00
2012-11-02,311000.00,316000.00,308500.00,314500.00,336400,314500.00
2012-11-01,303500.00,307500.00,299500.00,306000.00,274800,306000.00
