Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,73600.00,73600.00,73600.00,73600.00,000,73600.00
2012-12-28,73200.00,74200.00,73000.00,73600.00,642600,73600.00
2012-12-27,72400.00,73900.00,72000.00,73400.00,806300,73400.00
2012-12-26,73500.00,73800.00,71900.00,72200.00,979300,72200.00
2012-12-25,73000.00,73000.00,73000.00,73000.00,000,73000.00
2012-12-24,74200.00,74300.00,72500.00,73000.00,627100,73000.00
2012-12-21,73100.00,74700.00,72900.00,73800.00,1229000,73800.00
2012-12-20,72200.00,72900.00,71600.00,72700.00,1157700,72700.00
2012-12-19,72200.00,72200.00,72200.00,72200.00,000,72200.00
2012-12-18,72400.00,72600.00,71400.00,72200.00,983400,72200.00
2012-12-17,72300.00,72900.00,71800.00,72100.00,884700,72100.00
2012-12-14,72800.00,73300.00,71800.00,72200.00,2289000,72200.00
2012-12-13,73700.00,74400.00,72500.00,73800.00,1989900,73800.00
2012-12-12,76000.00,76400.00,73300.00,74000.00,1269700,74000.00
2012-12-11,75300.00,75600.00,74700.00,75600.00,759400,75600.00
2012-12-10,74600.00,75700.00,74500.00,74800.00,710900,74800.00
2012-12-07,74000.00,75100.00,73700.00,74500.00,1476100,74500.00
2012-12-06,71800.00,74300.00,71700.00,74000.00,2658800,74000.00
2012-12-05,75800.00,76500.00,73900.00,75100.00,1896200,75100.00
2012-12-04,77200.00,77300.00,75500.00,75800.00,1090700,75800.00
2012-12-03,76900.00,78300.00,76600.00,77200.00,1018400,77200.00
2012-11-30,76600.00,77400.00,76000.00,76300.00,926600,76300.00
2012-11-29,75700.00,76700.00,74600.00,76700.00,1413100,76700.00
2012-11-28,76500.00,76900.00,74500.00,74900.00,1688500,74900.00
2012-11-27,76900.00,77600.00,75800.00,77000.00,1477200,77000.00
2012-11-26,77100.00,78400.00,75700.00,76200.00,1680700,76200.00
2012-11-23,77200.00,77500.00,74700.00,76300.00,1934600,76300.00
2012-11-22,76500.00,77400.00,74300.00,77300.00,2153000,77300.00
2012-11-21,79300.00,79400.00,76200.00,76400.00,2721800,76400.00
2012-11-20,80500.00,81500.00,79200.00,79300.00,1572700,79300.00
2012-11-19,80600.00,81000.00,78900.00,79300.00,1495200,79300.00
2012-11-16,81400.00,81800.00,80300.00,80500.00,1140600,80500.00
2012-11-15,81800.00,82500.00,80600.00,81000.00,1747900,81000.00
2012-11-14,79200.00,83000.00,79100.00,82000.00,3672800,82000.00
2012-11-13,77000.00,79300.00,76500.00,78400.00,1754500,78400.00
2012-11-12,77000.00,77300.00,76100.00,76400.00,458100,76400.00
2012-11-09,74000.00,76900.00,73700.00,76900.00,1330800,76900.00
2012-11-08,75600.00,76200.00,74100.00,74800.00,1522900,74800.00
2012-11-07,77200.00,77900.00,76300.00,77300.00,872900,77300.00
2012-11-06,76600.00,76900.00,75300.00,76700.00,813000,76700.00
2012-11-05,77900.00,78500.00,75500.00,76200.00,1287200,76200.00
2012-11-02,77200.00,78300.00,77000.00,78200.00,1534000,78200.00
2012-11-01,75900.00,77200.00,75100.00,76300.00,1292800,76300.00
2012-10-31,76500.00,76800.00,75200.00,75900.00,1072600,75900.00
2012-10-30,75800.00,76500.00,75400.00,75700.00,1369200,75700.00
2012-10-29,73700.00,76000.00,73700.00,75000.00,2408400,75000.00
2012-10-26,73700.00,74700.00,72600.00,73000.00,1282900,73000.00
2012-10-25,74500.00,74900.00,73100.00,73900.00,1236600,73900.00
2012-10-24,72100.00,75000.00,71100.00,74000.00,2733000,74000.00
2012-10-23,73400.00,74200.00,72600.00,73000.00,1185000,73000.00
2012-10-22,72500.00,74000.00,72000.00,72800.00,1379300,72800.00
2012-10-19,72900.00,74100.00,72400.00,73500.00,2186000,73500.00
2012-10-18,70700.00,72500.00,70700.00,72200.00,2139200,72200.00
2012-10-17,69800.00,71000.00,69300.00,70300.00,2015300,70300.00
2012-10-16,68800.00,68900.00,68000.00,68600.00,718400,68600.00
2012-10-15,68000.00,68600.00,67500.00,67900.00,644100,67900.00
2012-10-12,67900.00,68500.00,67400.00,68200.00,911400,68200.00
2012-10-11,67600.00,68100.00,66800.00,67200.00,1410000,67200.00
2012-10-10,67300.00,68800.00,67300.00,67600.00,1047800,67600.00
2012-10-09,68400.00,69500.00,67600.00,67900.00,922400,67900.00
2012-10-08,70200.00,70200.00,68300.00,68300.00,814500,68300.00
2012-10-05,70100.00,70500.00,69100.00,69800.00,1139400,69800.00
2012-10-04,68300.00,70200.00,68000.00,69800.00,1183300,69800.00
2012-10-03,68100.00,68100.00,68100.00,68100.00,000,68100.00
2012-10-02,68400.00,68800.00,67700.00,68100.00,1307300,68100.00
2012-10-01,69000.00,69000.00,69000.00,69000.00,000,69000.00
2012-09-28,69300.00,70000.00,68300.00,69000.00,1440500,69000.00
2012-09-27,69000.00,70100.00,68900.00,69300.00,885000,69300.00
2012-09-26,68700.00,70700.00,67900.00,69200.00,1789300,69200.00
2012-09-25,73100.00,73400.00,69700.00,69800.00,3798600,69800.00
2012-09-24,75500.00,75500.00,72800.00,73800.00,1302100,73800.00
2012-09-21,76100.00,76800.00,74100.00,75200.00,1465300,75200.00
2012-09-20,77200.00,78900.00,75500.00,75700.00,1758100,75700.00
2012-09-19,76500.00,77500.00,75600.00,77100.00,1123000,77100.00
2012-09-18,76000.00,76400.00,75000.00,76400.00,1112200,76400.00
2012-09-17,76300.00,77200.00,76000.00,76300.00,1328400,76300.00
2012-09-14,75400.00,76100.00,75300.00,75700.00,1855800,75700.00
2012-09-13,72100.00,74100.00,71800.00,74100.00,1964700,74100.00
