Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,48350.00,48350.00,48350.00,48350.00,000,48350.00
2012-12-28,48000.00,48850.00,47450.00,48350.00,200800,48350.00
2012-12-27,46350.00,48300.00,46350.00,48000.00,259500,48000.00
2012-12-26,47000.00,48350.00,46200.00,46300.00,292700,46300.00
2012-12-25,46950.00,46950.00,46950.00,46950.00,000,46950.00
2012-12-24,47400.00,47400.00,46400.00,46950.00,170400,46950.00
2012-12-21,47300.00,47400.00,46650.00,47200.00,189000,47200.00
2012-12-20,48050.00,48300.00,46650.00,46900.00,306700,46900.00
2012-12-19,47800.00,47800.00,47800.00,47800.00,000,47800.00
2012-12-18,47300.00,48300.00,47150.00,47800.00,237900,47800.00
2012-12-17,47900.00,48300.00,46750.00,46950.00,219600,46950.00
2012-12-14,48200.00,49450.00,47300.00,48150.00,327300,48150.00
2012-12-13,48250.00,49100.00,47850.00,48600.00,278900,48600.00
2012-12-12,47300.00,48900.00,46750.00,48600.00,526700,48600.00
2012-12-11,47150.00,47250.00,46250.00,46650.00,257800,46650.00
2012-12-10,46000.00,47500.00,45950.00,46850.00,295400,46850.00
2012-12-07,46950.00,47500.00,45950.00,46000.00,241900,46000.00
2012-12-06,45900.00,47650.00,45900.00,46950.00,536700,46950.00
2012-12-05,45750.00,46450.00,45450.00,46400.00,265000,46400.00
2012-12-04,44050.00,45950.00,44050.00,45750.00,343400,45750.00
2012-12-03,45200.00,45450.00,44200.00,44500.00,236400,44500.00
2012-11-30,45050.00,45550.00,44250.00,45250.00,231400,45250.00
2012-11-29,44750.00,45200.00,44100.00,44750.00,358900,44750.00
2012-11-28,44500.00,44600.00,43600.00,44400.00,355900,44400.00
2012-11-27,42700.00,44750.00,42650.00,44500.00,522500,44500.00
2012-11-26,41700.00,42500.00,41650.00,42400.00,154100,42400.00
2012-11-23,42000.00,42250.00,41350.00,41850.00,169100,41850.00
2012-11-22,41600.00,42500.00,41500.00,42000.00,118700,42000.00
2012-11-21,42050.00,42500.00,41000.00,41450.00,170200,41450.00
2012-11-20,42900.00,42900.00,41800.00,42250.00,147000,42250.00
2012-11-19,41300.00,42200.00,40850.00,42200.00,178800,42200.00
2012-11-16,41650.00,41850.00,40050.00,41300.00,316600,41300.00
2012-11-15,42000.00,42200.00,41150.00,42000.00,221600,42000.00
2012-11-14,41900.00,42700.00,40900.00,42700.00,247600,42700.00
2012-11-13,42850.00,43900.00,41750.00,41750.00,260500,41750.00
2012-11-12,43900.00,43900.00,42250.00,42650.00,200900,42650.00
2012-11-09,43350.00,44100.00,42200.00,43600.00,393700,43600.00
2012-11-08,42000.00,44600.00,41900.00,43900.00,352000,43900.00
2012-11-07,42850.00,43300.00,42050.00,43100.00,431600,43100.00
2012-11-06,40450.00,42650.00,40400.00,42600.00,533700,42600.00
2012-11-05,39350.00,40750.00,39300.00,39900.00,260500,39900.00
2012-11-02,39100.00,40300.00,38800.00,39500.00,557800,39500.00
2012-11-01,39250.00,39700.00,38200.00,38200.00,233400,38200.00
2012-10-31,37850.00,39950.00,37800.00,39600.00,342800,39600.00
2012-10-30,38300.00,38850.00,37600.00,37600.00,490500,37600.00
2012-10-29,42000.00,42000.00,38550.00,38550.00,470200,38550.00
2012-10-26,41650.00,41850.00,39600.00,40000.00,435000,40000.00
2012-10-25,42050.00,42500.00,41250.00,41650.00,222700,41650.00
2012-10-24,42400.00,42850.00,41150.00,42450.00,398100,42450.00
2012-10-23,43300.00,44100.00,42950.00,42950.00,318800,42950.00
2012-10-22,41500.00,43650.00,41400.00,43500.00,523100,43500.00
2012-10-19,42150.00,42600.00,41300.00,42400.00,323900,42400.00
2012-10-18,42050.00,42350.00,41550.00,42000.00,366800,42000.00
2012-10-17,41450.00,42200.00,41250.00,41900.00,431800,41900.00
