Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,45050.00,45050.00,45050.00,45050.00,000,45050.00
2012-12-28,43000.00,45850.00,42900.00,45050.00,245400,45050.00
2012-12-27,41950.00,42700.00,41800.00,42550.00,55400,42550.00
2012-12-26,41850.00,41900.00,41250.00,41800.00,38800,41800.00
2012-12-25,41350.00,41350.00,41350.00,41350.00,000,41350.00
2012-12-24,41750.00,42200.00,41150.00,41350.00,39400,41350.00
2012-12-21,40550.00,41400.00,40550.00,41250.00,51900,41250.00
2012-12-20,41000.00,41600.00,40450.00,40450.00,54000,40450.00
2012-12-19,41250.00,41250.00,41250.00,41250.00,000,41250.00
2012-12-18,40750.00,41450.00,40550.00,41250.00,53300,41250.00
2012-12-17,42700.00,42750.00,40450.00,40750.00,135900,40750.00
2012-12-14,43450.00,43450.00,41950.00,42400.00,68400,42400.00
2012-12-13,41800.00,43300.00,41800.00,43300.00,88000,43300.00
2012-12-12,41300.00,42100.00,41300.00,42100.00,101400,42100.00
2012-12-11,41750.00,42350.00,41050.00,41050.00,69000,41050.00
2012-12-10,41700.00,42450.00,41600.00,42000.00,40800,42000.00
2012-12-07,42800.00,43000.00,41800.00,42000.00,58900,42000.00
2012-12-06,43900.00,44550.00,42550.00,42600.00,100800,42600.00
2012-12-05,44600.00,45500.00,44300.00,44350.00,70000,44350.00
2012-12-04,44000.00,44950.00,43900.00,44600.00,24000,44600.00
2012-12-03,45400.00,45400.00,44300.00,44300.00,48800,44300.00
2012-11-30,44350.00,45400.00,44200.00,45400.00,58700,45400.00
2012-11-29,43900.00,44900.00,43500.00,44100.00,45200,44100.00
2012-11-28,44750.00,44900.00,43900.00,43900.00,35000,43900.00
2012-11-27,45500.00,45650.00,44200.00,44300.00,44600,44300.00
2012-11-26,46000.00,46100.00,44750.00,45000.00,48000,45000.00
2012-11-23,44750.00,46050.00,43700.00,46000.00,66300,46000.00
2012-11-22,45700.00,46200.00,44600.00,44850.00,60500,44850.00
2012-11-21,46250.00,47400.00,45300.00,45300.00,50400,45300.00
2012-11-20,47700.00,48100.00,45950.00,46500.00,58500,46500.00
2012-11-19,46700.00,48050.00,46200.00,47600.00,45800,47600.00
2012-11-16,45700.00,46850.00,43650.00,46200.00,127100,46200.00
2012-11-15,47300.00,48350.00,45500.00,45600.00,120800,45600.00
2012-11-14,47900.00,48400.00,47300.00,47900.00,65100,47900.00
2012-11-13,49000.00,49150.00,47550.00,47950.00,60700,47950.00
2012-11-12,49300.00,49300.00,48400.00,48900.00,63800,48900.00
2012-11-09,48150.00,48800.00,47350.00,48700.00,71500,48700.00
2012-11-08,48150.00,49800.00,48100.00,48350.00,158500,48350.00
2012-11-07,48200.00,49000.00,47800.00,48550.00,84100,48550.00
2012-11-06,48050.00,49550.00,47650.00,48200.00,148400,48200.00
2012-11-05,45900.00,48000.00,45600.00,48000.00,117700,48000.00
2012-11-02,46250.00,47400.00,45600.00,45950.00,75400,45950.00
2012-11-01,45700.00,46750.00,45300.00,45750.00,103900,45750.00
2012-10-31,46450.00,46450.00,45050.00,45650.00,51800,45650.00
2012-10-30,46500.00,47500.00,45300.00,45750.00,84400,45750.00
2012-10-29,44800.00,46800.00,44800.00,46400.00,63600,46400.00
2012-10-26,46200.00,46450.00,44800.00,44800.00,96200,44800.00
2012-10-25,47000.00,47700.00,46350.00,46450.00,90900,46450.00
2012-10-24,46400.00,48000.00,46350.00,47300.00,127700,47300.00
2012-10-23,46000.00,47200.00,45600.00,46750.00,94700,46750.00
2012-10-22,44150.00,46000.00,44150.00,45950.00,93200,45950.00
2012-10-19,45400.00,46200.00,44750.00,44800.00,88400,44800.00
2012-10-18,45950.00,46650.00,45350.00,45900.00,108500,45900.00
2012-10-17,47450.00,47450.00,45600.00,45700.00,218100,45700.00
2012-10-16,48550.00,48550.00,46600.00,47100.00,131800,47100.00
2012-10-15,49900.00,51100.00,48500.00,48600.00,234800,48600.00
2012-10-12,48000.00,49500.00,47950.00,49500.00,119200,49500.00
2012-10-11,47850.00,48700.00,47150.00,47250.00,66000,47250.00
2012-10-10,48500.00,48800.00,47600.00,48300.00,83300,48300.00
2012-10-09,49600.00,49850.00,48700.00,48800.00,94000,48800.00
2012-10-08,47750.00,49900.00,47500.00,49400.00,159000,49400.00
2012-10-05,45700.00,47950.00,45700.00,47750.00,116100,47750.00
2012-10-04,46500.00,46700.00,45500.00,45700.00,115100,45700.00
2012-10-03,46700.00,46700.00,46700.00,46700.00,000,46700.00
2012-10-02,47150.00,47250.00,46700.00,46700.00,38800,46700.00
2012-10-01,47250.00,47250.00,47250.00,47250.00,000,47250.00
2012-09-28,47650.00,48150.00,47000.00,47250.00,62700,47250.00
2012-09-27,46100.00,47800.00,45400.00,47600.00,103200,47600.00
2012-09-26,45000.00,46650.00,44200.00,46150.00,140900,46150.00
2012-09-25,48650.00,48900.00,45550.00,45700.00,209100,45700.00
2012-09-24,47500.00,48550.00,47050.00,48450.00,89900,48450.00
2012-09-21,47400.00,48800.00,46750.00,47500.00,156000,47500.00
2012-09-20,47800.00,48000.00,46600.00,47200.00,108800,47200.00
2012-09-19,46000.00,47300.00,45800.00,47250.00,155400,47250.00
2012-09-18,44900.00,46000.00,44650.00,45700.00,97900,45700.00
2012-09-17,44550.00,45000.00,44000.00,44500.00,96600,44500.00
2012-09-14,44300.00,45250.00,43950.00,44900.00,197100,44900.00
2012-09-13,43050.00,44600.00,42700.00,43650.00,214600,43650.00
