Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,7800.00,7800.00,7800.00,7800.00,000,7800.00
2012-12-28,7700.00,7850.00,7680.00,7800.00,2136800,7800.00
2012-12-27,7570.00,7710.00,7560.00,7690.00,1426300,7690.00
2012-12-26,7540.00,7660.00,7490.00,7600.00,1863500,7600.00
2012-12-25,7630.00,7630.00,7630.00,7630.00,000,7630.00
2012-12-24,7570.00,7670.00,7550.00,7630.00,889200,7630.00
2012-12-21,7660.00,7730.00,7600.00,7610.00,1682100,7610.00
2012-12-20,7740.00,7740.00,7570.00,7700.00,1759600,7700.00
2012-12-19,7640.00,7640.00,7640.00,7640.00,000,7640.00
2012-12-18,7660.00,7700.00,7550.00,7640.00,2215500,7640.00
2012-12-17,7430.00,7680.00,7350.00,7660.00,2962900,7660.00
2012-12-14,7320.00,7420.00,7300.00,7420.00,2231800,7420.00
2012-12-13,7140.00,7350.00,7080.00,7350.00,2054800,7350.00
2012-12-12,7180.00,7220.00,7020.00,7100.00,2156600,7100.00
2012-12-11,7320.00,7380.00,7170.00,7180.00,1830900,7180.00
2012-12-10,7240.00,7340.00,7180.00,7340.00,1598000,7340.00
2012-12-07,7370.00,7400.00,7210.00,7320.00,1621700,7320.00
2012-12-06,7380.00,7440.00,7340.00,7380.00,1686400,7380.00
2012-12-05,7400.00,7470.00,7360.00,7390.00,2023200,7390.00
2012-12-04,7300.00,7560.00,7290.00,7380.00,2262900,7380.00
2012-12-03,7390.00,7460.00,7310.00,7320.00,1732300,7320.00
2012-11-30,7450.00,7470.00,7220.00,7470.00,2937100,7470.00
2012-11-29,7520.00,7560.00,7400.00,7440.00,1966100,7440.00
2012-11-28,7420.00,7490.00,7180.00,7490.00,2367000,7490.00
2012-11-27,7750.00,7750.00,7390.00,7390.00,3288300,7390.00
2012-11-26,7920.00,7990.00,7700.00,7700.00,2057300,7700.00
2012-11-23,7790.00,7970.00,7660.00,7920.00,2837700,7920.00
2012-11-22,7700.00,7830.00,7650.00,7770.00,2150800,7770.00
2012-11-21,8000.00,8040.00,7610.00,7670.00,5040500,7670.00
2012-11-20,7780.00,7950.00,7650.00,7930.00,2816700,7930.00
2012-11-19,7800.00,7920.00,7690.00,7740.00,2313700,7740.00
2012-11-16,7790.00,7860.00,7720.00,7800.00,2565900,7800.00
2012-11-15,7700.00,7870.00,7610.00,7750.00,2513700,7750.00
2012-11-14,7560.00,7790.00,7560.00,7730.00,3883500,7730.00
2012-11-13,7380.00,7540.00,7360.00,7500.00,2652500,7500.00
2012-11-12,7410.00,7530.00,7340.00,7340.00,2042600,7340.00
2012-11-09,7400.00,7540.00,7310.00,7330.00,1916600,7330.00
2012-11-08,7480.00,7550.00,7400.00,7460.00,1616200,7460.00
2012-11-07,7580.00,7720.00,7510.00,7600.00,1977000,7600.00
2012-11-06,7640.00,7640.00,7500.00,7620.00,2049200,7620.00
2012-11-05,7360.00,7610.00,7300.00,7610.00,3357700,7610.00
2012-11-02,7400.00,7440.00,7210.00,7320.00,2430700,7320.00
2012-11-01,6970.00,7440.00,6940.00,7380.00,3489600,7380.00
2012-10-31,7110.00,7130.00,6970.00,6970.00,1479900,6970.00
2012-10-30,6960.00,7150.00,6960.00,7050.00,1443000,7050.00
2012-10-29,7170.00,7270.00,6940.00,7000.00,1212300,7000.00
2012-10-26,7290.00,7460.00,7130.00,7130.00,2117100,7130.00
2012-10-25,7250.00,7310.00,7120.00,7250.00,2112200,7250.00
2012-10-24,7020.00,7310.00,6950.00,7250.00,4171700,7250.00
2012-10-23,6710.00,7100.00,6680.00,7010.00,2786600,7010.00
2012-10-22,6660.00,6720.00,6570.00,6670.00,1853900,6670.00
2012-10-19,6910.00,6940.00,6750.00,6750.00,1154300,6750.00
2012-10-18,6900.00,6950.00,6810.00,6860.00,1025300,6860.00
2012-10-17,6880.00,6940.00,6790.00,6900.00,1977500,6900.00
2012-10-16,6860.00,6980.00,6720.00,6780.00,2625600,6780.00
2012-10-15,6510.00,6860.00,6510.00,6830.00,3226000,6830.00
2012-10-12,6630.00,6670.00,6480.00,6500.00,1911600,6500.00
2012-10-11,6610.00,6730.00,6590.00,6600.00,2121300,6600.00
2012-10-10,6640.00,6690.00,6570.00,6680.00,1715800,6680.00
2012-10-09,6720.00,6840.00,6560.00,6670.00,3805600,6670.00
2012-10-08,7010.00,7010.00,6690.00,6690.00,2492500,6690.00
2012-10-05,7290.00,7290.00,6160.00,6970.00,4219100,6970.00
2012-10-04,7220.00,7300.00,7150.00,7240.00,958500,7240.00
2012-10-03,7200.00,7200.00,7200.00,7200.00,000,7200.00
2012-10-02,7290.00,7400.00,7200.00,7200.00,1415300,7200.00
2012-10-01,7280.00,7280.00,7280.00,7280.00,000,7280.00
2012-09-28,7220.00,7330.00,7210.00,7280.00,2672000,7280.00
2012-09-27,7230.00,7280.00,7110.00,7220.00,2227700,7220.00
2012-09-26,7200.00,7290.00,7120.00,7250.00,2171500,7250.00
2012-09-25,7190.00,7500.00,7190.00,7220.00,2993800,7220.00
2012-09-24,7370.00,7420.00,7210.00,7210.00,1930200,7210.00
2012-09-21,7390.00,7430.00,7120.00,7330.00,2534400,7330.00
