Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,67100.00,67100.00,67100.00,67100.00,000,67100.00
2012-12-28,66600.00,67700.00,66600.00,67100.00,72200,67100.00
2012-12-27,66600.00,67300.00,66500.00,66700.00,60400,66700.00
2012-12-26,69000.00,69200.00,66600.00,66800.00,179600,66800.00
2012-12-25,68500.00,68500.00,68500.00,68500.00,000,68500.00
2012-12-24,68200.00,68700.00,67500.00,68500.00,57300,68500.00
2012-12-21,69000.00,69500.00,67500.00,68000.00,105800,68000.00
2012-12-20,70000.00,70700.00,68300.00,68600.00,115200,68600.00
2012-12-19,69700.00,69700.00,69700.00,69700.00,000,69700.00
2012-12-18,68600.00,69900.00,68600.00,69700.00,70100,69700.00
2012-12-17,69600.00,70800.00,68200.00,68400.00,79000,68400.00
2012-12-14,70300.00,70800.00,69500.00,69500.00,78800,69500.00
2012-12-13,70500.00,71300.00,69900.00,70300.00,119400,70300.00
2012-12-12,70000.00,71500.00,69800.00,70900.00,82200,70900.00
2012-12-11,70600.00,71400.00,69300.00,69900.00,73300,69900.00
2012-12-10,70700.00,71500.00,70000.00,70400.00,57700,70400.00
2012-12-07,71900.00,72500.00,70200.00,70900.00,125300,70900.00
2012-12-06,73700.00,74300.00,71600.00,71700.00,130900,71700.00
2012-12-05,73500.00,73900.00,72500.00,73700.00,101500,73700.00
2012-12-04,71800.00,73000.00,71500.00,73000.00,52200,73000.00
2012-12-03,73000.00,73500.00,71900.00,71900.00,54600,71900.00
2012-11-30,72400.00,73200.00,71800.00,73000.00,98300,73000.00
2012-11-29,72000.00,72900.00,71400.00,72600.00,87000,72600.00
2012-11-28,72000.00,72300.00,70900.00,71000.00,45700,71000.00
2012-11-27,72000.00,73300.00,71700.00,72100.00,102700,72100.00
2012-11-26,72100.00,72700.00,71200.00,71800.00,50500,71800.00
2012-11-23,72200.00,72900.00,70600.00,72000.00,101400,72000.00
2012-11-22,72900.00,73400.00,71900.00,72200.00,113500,72200.00
2012-11-21,71900.00,72900.00,71200.00,72700.00,117700,72700.00
2012-11-20,70600.00,72100.00,69800.00,71900.00,118300,71900.00
2012-11-19,70500.00,71200.00,70000.00,70200.00,60600,70200.00
2012-11-16,71000.00,71300.00,69400.00,70200.00,59300,70200.00
2012-11-15,69900.00,71000.00,69000.00,71000.00,51800,71000.00
2012-11-14,70800.00,71500.00,69000.00,70800.00,90600,70800.00
2012-11-13,71800.00,72200.00,70200.00,70800.00,89900,70800.00
2012-11-12,69300.00,72200.00,69000.00,72200.00,115900,72200.00
2012-11-09,69100.00,70000.00,68800.00,69600.00,72900,69600.00
2012-11-08,69600.00,70400.00,68800.00,70200.00,83700,70200.00
2012-11-07,70100.00,70700.00,68900.00,70700.00,74500,70700.00
2012-11-06,69500.00,70000.00,69300.00,70000.00,49600,70000.00
2012-11-05,69800.00,70400.00,69200.00,69500.00,73400,69500.00
2012-11-02,68100.00,70000.00,67400.00,70000.00,151200,70000.00
2012-11-01,68300.00,68400.00,66600.00,67500.00,106200,67500.00
2012-10-31,65900.00,68200.00,65700.00,68200.00,188800,68200.00
2012-10-30,63500.00,64500.00,63000.00,63800.00,49900,63800.00
2012-10-29,62400.00,63000.00,61500.00,62900.00,41100,62900.00
2012-10-26,64300.00,64600.00,62300.00,62300.00,50300,62300.00
2012-10-25,64500.00,64600.00,62600.00,64500.00,93000,64500.00
2012-10-24,65600.00,65700.00,64200.00,64200.00,62200,64200.00
2012-10-23,66600.00,67300.00,65800.00,65900.00,51300,65900.00
2012-10-22,66500.00,67500.00,65800.00,66900.00,46700,66900.00
2012-10-19,65700.00,67500.00,65200.00,67500.00,52700,67500.00
2012-10-18,66800.00,67300.00,65100.00,65700.00,74400,65700.00
2012-10-17,66400.00,67200.00,66100.00,66300.00,36400,66300.00
2012-10-16,66000.00,66500.00,65100.00,66000.00,52200,66000.00
2012-10-15,64700.00,65700.00,64100.00,65700.00,74900,65700.00
2012-10-12,67700.00,67800.00,65000.00,65100.00,90300,65100.00
2012-10-11,66600.00,68000.00,66400.00,67200.00,55300,67200.00
2012-10-10,68600.00,68600.00,67000.00,67200.00,45900,67200.00
2012-10-09,68400.00,69000.00,68100.00,68700.00,49000,68700.00
2012-10-08,69000.00,69300.00,67800.00,68400.00,46300,68400.00
2012-10-05,69100.00,69900.00,68700.00,69000.00,57600,69000.00
2012-10-04,68500.00,69700.00,68500.00,68700.00,62200,68700.00
2012-10-03,68300.00,68300.00,68300.00,68300.00,000,68300.00
2012-10-02,68800.00,70000.00,68300.00,68300.00,60300,68300.00
2012-10-01,69800.00,69800.00,69800.00,69800.00,000,69800.00
2012-09-28,69500.00,70200.00,68800.00,69800.00,66200,69800.00
2012-09-27,67600.00,69900.00,67200.00,69900.00,91500,69900.00
2012-09-26,68000.00,68700.00,67700.00,68200.00,43800,68200.00
2012-09-25,69500.00,69500.00,67900.00,68800.00,82200,68800.00
2012-09-24,70200.00,70500.00,68600.00,69600.00,51400,69600.00
2012-09-21,70700.00,70700.00,69000.00,70200.00,96500,70200.00
2012-09-20,69300.00,70400.00,69000.00,70300.00,94100,70300.00
2012-09-19,68700.00,69700.00,68400.00,69500.00,58700,69500.00
2012-09-18,68600.00,68800.00,68100.00,68700.00,37100,68700.00
2012-09-17,68700.00,69900.00,68200.00,69000.00,86000,69000.00
2012-09-14,68300.00,69000.00,67800.00,69000.00,135500,69000.00
2012-09-13,67700.00,68300.00,66800.00,67500.00,75600,67500.00
2012-09-12,67800.00,68400.00,67100.00,68200.00,82100,68200.00
2012-09-11,68000.00,68000.00,66200.00,67500.00,75500,67500.00
2012-09-10,68000.00,68000.00,67300.00,67900.00,48200,67900.00
2012-09-07,66900.00,68800.00,66900.00,68500.00,152900,68500.00
2012-09-06,64500.00,67000.00,64300.00,66900.00,104200,66900.00
2012-09-05,64300.00,64800.00,63700.00,64700.00,54200,64700.00
2012-09-04,64700.00,65800.00,64700.00,64700.00,45700,64700.00
2012-09-03,64500.00,65800.00,64200.00,64900.00,52900,64900.00
2012-08-31,64200.00,65200.00,64200.00,64500.00,54100,64500.00
2012-08-30,65500.00,65600.00,64200.00,64500.00,77800,64500.00
2012-08-29,66300.00,66400.00,65000.00,65400.00,108000,65400.00
2012-08-28,67700.00,67900.00,66100.00,66100.00,64900,66100.00
2012-08-27,67000.00,68200.00,66900.00,68000.00,79100,68000.00
2012-08-24,66800.00,67400.00,66100.00,67000.00,76300,67000.00
