Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,584.00,584.00,584.00,584.00,000,584.00
2012-12-28,600.00,606.00,579.00,584.00,1350300,584.00
2012-12-27,558.00,613.00,551.00,600.00,1899100,600.00
2012-12-26,540.00,587.00,540.00,558.00,1105000,558.00
2012-12-25,550.00,550.00,550.00,550.00,000,550.00
2012-12-24,563.00,569.00,543.00,550.00,753000,550.00
2012-12-21,582.00,602.00,561.00,563.00,918000,563.00
2012-12-20,560.00,594.00,560.00,581.00,1609700,581.00
2012-12-19,555.00,555.00,555.00,555.00,000,555.00
2012-12-18,570.00,582.00,545.00,555.00,954300,555.00
2012-12-17,579.00,594.00,565.00,573.00,735800,573.00
2012-12-14,581.00,589.00,570.00,573.00,911800,573.00
2012-12-13,620.00,625.00,580.00,581.00,3878700,581.00
2012-12-12,520.00,553.00,519.00,553.00,660900,553.00
2012-12-11,514.00,542.00,513.00,525.00,765500,525.00
2012-12-10,525.00,545.00,513.00,513.00,598300,513.00
2012-12-07,527.00,542.00,527.00,533.00,479800,533.00
2012-12-06,539.00,545.00,531.00,531.00,768100,531.00
2012-12-05,580.00,588.00,549.00,549.00,790400,549.00
2012-12-04,590.00,596.00,579.00,580.00,304900,580.00
2012-12-03,585.00,598.00,585.00,586.00,322600,586.00
2012-11-30,590.00,604.00,587.00,594.00,453800,594.00
2012-11-29,591.00,609.00,584.00,596.00,712600,596.00
2012-11-28,595.00,602.00,581.00,583.00,473000,583.00
2012-11-27,628.00,628.00,594.00,594.00,1096800,594.00
2012-11-26,600.00,638.00,582.00,621.00,2480800,621.00
2012-11-23,588.00,594.00,581.00,587.00,335100,587.00
2012-11-22,597.00,598.00,575.00,589.00,544400,589.00
2012-11-21,600.00,612.00,571.00,584.00,733900,584.00
2012-11-20,581.00,623.00,581.00,600.00,1693300,600.00
2012-11-19,535.00,594.00,535.00,573.00,1047100,573.00
2012-11-16,551.00,570.00,545.00,553.00,540600,553.00
2012-11-15,590.00,590.00,566.00,566.00,650000,566.00
2012-11-14,605.00,626.00,580.00,590.00,967500,590.00
2012-11-13,639.00,644.00,610.00,617.00,1008700,617.00
2012-11-12,641.00,648.00,638.00,639.00,414500,639.00
2012-11-09,633.00,645.00,626.00,644.00,792500,644.00
2012-11-08,649.00,653.00,638.00,644.00,690200,644.00
2012-11-07,660.00,664.00,650.00,655.00,536900,655.00
2012-11-06,653.00,670.00,653.00,656.00,819300,656.00
2012-11-05,651.00,659.00,645.00,654.00,810000,654.00
2012-11-02,652.00,661.00,645.00,652.00,592200,652.00
2012-11-01,666.00,666.00,648.00,651.00,468000,651.00
2012-10-31,625.00,672.00,625.00,653.00,897600,653.00
