Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,15100.00,15100.00,15100.00,15100.00,000,15100.00
2012-12-28,14850.00,15400.00,14750.00,15100.00,17500,15100.00
2012-12-27,15000.00,15050.00,14700.00,14750.00,11200,14750.00
2012-12-26,15300.00,15300.00,14900.00,15200.00,52100,15200.00
2012-12-25,15000.00,15000.00,15000.00,15000.00,000,15000.00
2012-12-24,14800.00,15300.00,14800.00,15000.00,13800,15000.00
2012-12-21,15050.00,15250.00,14850.00,15000.00,16600,15000.00
2012-12-20,15300.00,15300.00,15000.00,15050.00,10200,15050.00
2012-12-19,15150.00,15150.00,15150.00,15150.00,000,15150.00
2012-12-18,15150.00,15400.00,14950.00,15150.00,20300,15150.00
2012-12-17,15200.00,15450.00,15050.00,15150.00,5900,15150.00
2012-12-14,15350.00,15500.00,15000.00,15200.00,6300,15200.00
2012-12-13,15050.00,15450.00,15050.00,15350.00,11100,15350.00
2012-12-12,14900.00,15300.00,14900.00,15250.00,9000,15250.00
2012-12-11,14850.00,15050.00,14700.00,14900.00,20800,14900.00
2012-12-10,14800.00,15050.00,14750.00,14850.00,35400,14850.00
2012-12-07,14900.00,15300.00,14900.00,14950.00,29400,14950.00
2012-12-06,15450.00,15450.00,14950.00,14950.00,31800,14950.00
2012-12-05,15350.00,15500.00,15150.00,15450.00,40500,15450.00
2012-12-04,15300.00,15600.00,15300.00,15500.00,22000,15500.00
2012-12-03,15400.00,15700.00,15400.00,15450.00,10800,15450.00
2012-11-30,15600.00,15850.00,15550.00,15550.00,15800,15550.00
2012-11-29,15900.00,16100.00,15700.00,15750.00,26700,15750.00
2012-11-28,15900.00,15900.00,15550.00,15900.00,41100,15900.00
2012-11-27,15800.00,16050.00,15600.00,15850.00,30800,15850.00
2012-11-26,15400.00,16250.00,15150.00,15950.00,69800,15950.00
2012-11-23,15600.00,15600.00,15200.00,15200.00,15600,15200.00
2012-11-22,15400.00,15450.00,15200.00,15350.00,22500,15350.00
2012-11-21,15300.00,15500.00,15200.00,15250.00,43500,15250.00
2012-11-20,14850.00,15300.00,14700.00,15250.00,48800,15250.00
2012-11-19,14850.00,15000.00,14500.00,14650.00,46300,14650.00
2012-11-16,15100.00,15250.00,14600.00,14700.00,39800,14700.00
2012-11-15,15300.00,15300.00,14800.00,14900.00,52400,14900.00
2012-11-14,14950.00,15750.00,14950.00,15300.00,96900,15300.00
2012-11-13,14100.00,15200.00,14100.00,14850.00,141000,14850.00
2012-11-12,13950.00,14350.00,13950.00,14100.00,29500,14100.00
2012-11-09,13500.00,14000.00,13500.00,13900.00,26900,13900.00
2012-11-08,13600.00,13800.00,13500.00,13700.00,15300,13700.00
2012-11-07,13850.00,13950.00,13700.00,13750.00,23700,13750.00
2012-11-06,13600.00,13950.00,13500.00,13750.00,36400,13750.00
2012-11-05,13900.00,14100.00,13600.00,13600.00,39900,13600.00
2012-11-02,13750.00,14000.00,13600.00,13900.00,20200,13900.00
2012-11-01,13900.00,13950.00,13350.00,13650.00,22600,13650.00
