Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,4320.00,4320.00,4320.00,4320.00,000,4320.00
2012-12-28,4400.00,4400.00,4215.00,4320.00,71800,4320.00
2012-12-27,4440.00,4440.00,4280.00,4330.00,67600,4330.00
2012-12-26,4290.00,4350.00,4210.00,4340.00,130300,4340.00
2012-12-25,4230.00,4230.00,4230.00,4230.00,000,4230.00
2012-12-24,4185.00,4310.00,4185.00,4230.00,45100,4230.00
2012-12-21,4260.00,4300.00,4225.00,4250.00,31200,4250.00
2012-12-20,4210.00,4300.00,4110.00,4275.00,60400,4275.00
2012-12-19,4140.00,4140.00,4140.00,4140.00,000,4140.00
2012-12-18,4240.00,4240.00,4095.00,4140.00,39900,4140.00
2012-12-17,4215.00,4280.00,4080.00,4240.00,105800,4240.00
2012-12-14,4350.00,4360.00,4230.00,4265.00,47200,4265.00
2012-12-13,4290.00,4385.00,4190.00,4345.00,31400,4345.00
2012-12-12,4240.00,4290.00,4010.00,4290.00,89700,4290.00
2012-12-11,4350.00,4400.00,4165.00,4165.00,111600,4165.00
2012-12-10,4290.00,4400.00,4215.00,4350.00,159500,4350.00
2012-12-07,4480.00,4500.00,4370.00,4410.00,160400,4410.00
2012-12-06,4515.00,4515.00,4375.00,4480.00,177100,4480.00
2012-12-05,4560.00,4630.00,4445.00,4480.00,117700,4480.00
2012-12-04,4470.00,4630.00,4430.00,4550.00,267800,4550.00
2012-12-03,4470.00,4470.00,4335.00,4415.00,56000,4415.00
2012-11-30,4485.00,4540.00,4400.00,4470.00,68600,4470.00
2012-11-29,4510.00,4510.00,4290.00,4465.00,155500,4465.00
2012-11-28,4470.00,4595.00,4400.00,4510.00,78300,4510.00
2012-11-27,4630.00,4700.00,4355.00,4450.00,177200,4450.00
2012-11-26,4460.00,4660.00,4330.00,4620.00,195800,4620.00
2012-11-23,4520.00,4580.00,4400.00,4420.00,123300,4420.00
2012-11-22,4660.00,4740.00,4530.00,4540.00,166000,4540.00
2012-11-21,4520.00,4640.00,4415.00,4600.00,197200,4600.00
2012-11-20,4440.00,4520.00,4350.00,4490.00,210000,4490.00
2012-11-19,4400.00,4410.00,4300.00,4350.00,186400,4350.00
2012-11-16,4100.00,4400.00,4100.00,4300.00,474900,4300.00
2012-11-15,3710.00,4065.00,3710.00,4065.00,217600,4065.00
2012-11-14,3770.00,3980.00,3710.00,3980.00,213700,3980.00
2012-11-13,3940.00,3960.00,3740.00,3760.00,85500,3760.00
2012-11-12,3955.00,3990.00,3895.00,3900.00,41600,3900.00
2012-11-09,3945.00,3980.00,3915.00,3945.00,27300,3945.00
2012-11-08,3995.00,4000.00,3900.00,3945.00,72300,3945.00
2012-11-07,4000.00,4050.00,3910.00,4000.00,85500,4000.00
2012-11-06,4000.00,4000.00,3925.00,3960.00,76200,3960.00
2012-11-05,4040.00,4080.00,3900.00,4005.00,117600,4005.00
2012-11-02,3890.00,4015.00,3885.00,4015.00,108800,4015.00
2012-11-01,3935.00,3935.00,3815.00,3885.00,56500,3885.00
2012-10-31,3760.00,3925.00,3760.00,3900.00,171000,3900.00
2012-10-30,3850.00,3850.00,3660.00,3755.00,66200,3755.00
2012-10-29,3700.00,3825.00,3700.00,3755.00,67000,3755.00
2012-10-26,3800.00,3885.00,3715.00,3725.00,118000,3725.00
2012-10-25,3700.00,3825.00,3620.00,3740.00,227900,3740.00
2012-10-24,3875.00,3910.00,3685.00,3735.00,232400,3735.00
2012-10-23,4100.00,4100.00,3925.00,3925.00,129800,3925.00
2012-10-22,4030.00,4075.00,3915.00,4070.00,113300,4070.00
2012-10-19,4110.00,4110.00,3850.00,4030.00,341100,4030.00
