Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,112000.00,112000.00,112000.00,112000.00,000,112000.00
2012-12-28,111000.00,112500.00,108000.00,112000.00,47700,112000.00
2012-12-27,111500.00,113500.00,109500.00,110500.00,49300,110500.00
2012-12-26,109500.00,111500.00,107000.00,111500.00,41900,111500.00
2012-12-25,108500.00,108500.00,108500.00,108500.00,000,108500.00
2012-12-24,110000.00,111500.00,107000.00,108500.00,40200,108500.00
2012-12-21,106500.00,110000.00,106500.00,110000.00,60000,110000.00
2012-12-20,106500.00,107000.00,104000.00,106000.00,34300,106000.00
2012-12-19,106000.00,106000.00,106000.00,106000.00,000,106000.00
2012-12-18,106000.00,107000.00,104000.00,106000.00,24600,106000.00
2012-12-17,108000.00,108500.00,104500.00,106000.00,40100,106000.00
2012-12-14,108500.00,110000.00,106000.00,107500.00,53900,107500.00
2012-12-13,105000.00,111500.00,105000.00,110000.00,73600,110000.00
2012-12-12,103000.00,107500.00,103000.00,106500.00,53200,106500.00
2012-12-11,109000.00,112000.00,103000.00,103000.00,109700,103000.00
2012-12-10,109000.00,112000.00,106000.00,110000.00,66300,110000.00
2012-12-07,116000.00,116500.00,108500.00,110500.00,95300,110500.00
2012-12-06,123000.00,124000.00,115000.00,116000.00,68000,116000.00
2012-12-05,119000.00,125000.00,117000.00,122500.00,60400,122500.00
2012-12-04,121000.00,121000.00,118500.00,119500.00,26400,119500.00
2012-12-03,121000.00,121500.00,119000.00,121000.00,47100,121000.00
2012-11-30,119000.00,121000.00,117000.00,121000.00,64300,121000.00
2012-11-29,114500.00,118500.00,114000.00,118500.00,87600,118500.00
2012-11-28,112500.00,114500.00,111500.00,113000.00,34000,113000.00
2012-11-27,117500.00,119000.00,112000.00,112500.00,73600,112500.00
2012-11-26,117500.00,120000.00,116000.00,118500.00,51700,118500.00
2012-11-23,118000.00,119500.00,113500.00,117000.00,71200,117000.00
2012-11-22,126000.00,126000.00,116500.00,119000.00,148100,119000.00
2012-11-21,128000.00,128500.00,123500.00,123500.00,37300,123500.00
2012-11-20,127500.00,127500.00,125500.00,127000.00,44400,127000.00
2012-11-19,124500.00,131000.00,124000.00,126000.00,72500,126000.00
2012-11-16,124500.00,125500.00,121000.00,124500.00,49000,124500.00
2012-11-15,128000.00,130000.00,121000.00,125500.00,78400,125500.00
2012-11-14,127000.00,128500.00,123000.00,128000.00,40100,128000.00
2012-11-13,130500.00,131000.00,126500.00,126500.00,42800,126500.00
2012-11-12,126500.00,130000.00,126500.00,129000.00,48500,129000.00
2012-11-09,132000.00,132000.00,124500.00,128500.00,92200,128500.00
2012-11-08,130500.00,135000.00,130000.00,131500.00,51400,131500.00
2012-11-07,131000.00,133000.00,129000.00,131500.00,64600,131500.00
2012-11-06,131500.00,133500.00,128500.00,130500.00,64800,130500.00
2012-11-05,124000.00,133000.00,123000.00,131500.00,106100,131500.00
2012-11-02,125500.00,128500.00,123000.00,124000.00,159800,124000.00
2012-11-01,117500.00,128500.00,116500.00,127500.00,130700,127500.00
2012-10-31,114000.00,118500.00,113000.00,118500.00,159900,118500.00
2012-10-30,112000.00,114500.00,111000.00,112500.00,160700,112500.00
