Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,12500.00,12500.00,12500.00,12500.00,000,12500.00
2012-12-28,12300.00,12700.00,12250.00,12500.00,257900,12500.00
2012-12-27,12500.00,12600.00,12350.00,12400.00,224500,12400.00
2012-12-26,12500.00,12850.00,12500.00,12600.00,432300,12600.00
2012-12-25,12400.00,12400.00,12400.00,12400.00,000,12400.00
2012-12-24,12200.00,12400.00,12100.00,12400.00,214500,12400.00
2012-12-21,12900.00,13000.00,12200.00,12250.00,769400,12250.00
2012-12-20,13000.00,13000.00,12500.00,12600.00,645300,12600.00
2012-12-19,12950.00,12950.00,12950.00,12950.00,000,12950.00
2012-12-18,12200.00,12950.00,12150.00,12950.00,979700,12950.00
2012-12-17,12350.00,12450.00,12000.00,12000.00,321100,12000.00
2012-12-14,11750.00,12350.00,11650.00,12350.00,627800,12350.00
2012-12-13,12150.00,12300.00,11600.00,11900.00,860300,11900.00
2012-12-12,12400.00,12650.00,12000.00,12250.00,632100,12250.00
2012-12-11,11900.00,12600.00,11850.00,12500.00,971800,12500.00
2012-12-10,11300.00,12150.00,11200.00,11750.00,751100,11750.00
2012-12-07,11300.00,11550.00,11150.00,11200.00,337100,11200.00
2012-12-06,10900.00,11700.00,10750.00,11200.00,685900,11200.00
2012-12-05,10600.00,10850.00,10600.00,10850.00,211800,10850.00
2012-12-04,10800.00,10800.00,10600.00,10600.00,233800,10600.00
2012-12-03,11150.00,11150.00,10800.00,10800.00,242800,10800.00
2012-11-30,11150.00,11200.00,10900.00,11150.00,208100,11150.00
2012-11-29,10900.00,11300.00,10850.00,11100.00,374400,11100.00
2012-11-28,11000.00,11000.00,10650.00,10700.00,242600,10700.00
2012-11-27,10600.00,11100.00,10550.00,11100.00,395200,11100.00
2012-11-26,10700.00,10800.00,10550.00,10550.00,157800,10550.00
2012-11-23,10550.00,10750.00,10350.00,10700.00,258800,10700.00
2012-11-22,10700.00,10900.00,10300.00,10500.00,318300,10500.00
2012-11-21,11100.00,11300.00,10600.00,10600.00,301100,10600.00
2012-11-20,11800.00,11850.00,11100.00,11200.00,299000,11200.00
2012-11-19,11200.00,11550.00,11150.00,11500.00,280700,11500.00
2012-11-16,10850.00,11150.00,10800.00,11100.00,361600,11100.00
2012-11-15,11250.00,11550.00,10800.00,10900.00,877200,10900.00
2012-11-14,12500.00,12600.00,11850.00,11900.00,483500,11900.00
2012-11-13,13200.00,13250.00,12500.00,12600.00,332000,12600.00
2012-11-12,13650.00,13700.00,13150.00,13200.00,201300,13200.00
2012-11-09,13000.00,13700.00,12950.00,13650.00,262500,13650.00
2012-11-08,13100.00,13250.00,13050.00,13250.00,257500,13250.00
2012-11-07,13750.00,13750.00,13350.00,13500.00,244500,13500.00
2012-11-06,13500.00,13750.00,13350.00,13650.00,283600,13650.00
2012-11-05,13250.00,13550.00,13050.00,13500.00,352600,13500.00
2012-11-02,13000.00,13750.00,13000.00,13250.00,788000,13250.00
2012-11-01,12850.00,13200.00,12500.00,12650.00,470500,12650.00
2012-10-31,13200.00,13400.00,12850.00,12900.00,373800,12900.00
2012-10-30,13100.00,13650.00,13000.00,13050.00,297400,13050.00
2012-10-29,13050.00,13500.00,12800.00,13200.00,278800,13200.00
2012-10-26,13550.00,13750.00,12950.00,13050.00,430100,13050.00
2012-10-25,13950.00,14000.00,13200.00,13600.00,455300,13600.00
2012-10-24,13950.00,14050.00,13650.00,13950.00,396300,13950.00
2012-10-23,14550.00,14750.00,14300.00,14300.00,230000,14300.00
2012-10-22,14500.00,14950.00,14400.00,14650.00,231700,14650.00
2012-10-19,14900.00,14900.00,14600.00,14900.00,287600,14900.00
2012-10-18,15500.00,15550.00,14800.00,14900.00,344500,14900.00
2012-10-17,15250.00,15600.00,15200.00,15450.00,277100,15450.00
2012-10-16,15800.00,15850.00,14900.00,15100.00,401200,15100.00
2012-10-15,15950.00,16100.00,15400.00,15500.00,386800,15500.00
2012-10-12,16650.00,16850.00,15650.00,16100.00,587500,16100.00
2012-10-11,16950.00,17250.00,16600.00,16600.00,208200,16600.00
2012-10-10,16900.00,17450.00,16500.00,17150.00,272000,17150.00
2012-10-09,17200.00,17700.00,16850.00,16900.00,286800,16900.00
2012-10-08,17500.00,17650.00,17250.00,17300.00,225000,17300.00
2012-10-05,17250.00,17750.00,17250.00,17400.00,337400,17400.00
2012-10-04,16700.00,17250.00,16700.00,17200.00,387400,17200.00
2012-10-03,16700.00,16700.00,16700.00,16700.00,000,16700.00
2012-10-02,16850.00,17300.00,16700.00,16700.00,198400,16700.00
2012-10-01,16900.00,16900.00,16900.00,16900.00,000,16900.00
2012-09-28,17400.00,17400.00,16700.00,16900.00,208500,16900.00
2012-09-27,17050.00,17250.00,16250.00,17050.00,446300,17050.00
2012-09-26,17500.00,17500.00,17000.00,17300.00,330700,17300.00
2012-09-25,18050.00,18500.00,17600.00,17650.00,459100,17650.00
2012-09-24,17700.00,18250.00,17500.00,18150.00,530000,18150.00
2012-09-21,16950.00,17400.00,16950.00,17300.00,297600,17300.00
2012-09-20,17400.00,17650.00,17050.00,17050.00,351700,17050.00
2012-09-19,17350.00,17800.00,17200.00,17600.00,529600,17600.00
2012-09-18,16700.00,17300.00,16600.00,17300.00,565200,17300.00
2012-09-17,16200.00,17000.00,15950.00,16800.00,765100,16800.00
2012-09-14,15850.00,16200.00,15700.00,16100.00,525100,16100.00
2012-09-13,15450.00,15600.00,15150.00,15450.00,296200,15450.00
2012-09-12,14950.00,15300.00,14850.00,15300.00,284000,15300.00
2012-09-11,14600.00,14950.00,14500.00,14750.00,132600,14750.00
2012-09-10,15100.00,15100.00,14600.00,14650.00,161000,14650.00
2012-09-07,14450.00,14950.00,14350.00,14950.00,254700,14950.00
2012-09-06,14300.00,14350.00,14050.00,14100.00,132200,14100.00
2012-09-05,14700.00,14750.00,14100.00,14100.00,263200,14100.00
2012-09-04,14750.00,14950.00,14700.00,14800.00,105300,14800.00
2012-09-03,14850.00,14900.00,14650.00,14750.00,143200,14750.00
2012-08-31,14550.00,15000.00,14500.00,14700.00,127800,14700.00
2012-08-30,15300.00,15350.00,14700.00,14750.00,257100,14750.00
2012-08-29,15250.00,15350.00,15050.00,15250.00,188400,15250.00
2012-08-28,15200.00,15500.00,15200.00,15300.00,185000,15300.00
2012-08-27,15100.00,15350.00,15100.00,15150.00,206000,15150.00
2012-08-24,14850.00,15000.00,14800.00,14900.00,149800,14900.00
2012-08-23,15300.00,15450.00,15000.00,15100.00,383700,15100.00
2012-08-22,15700.00,15950.00,15350.00,15350.00,301200,15350.00
2012-08-21,16150.00,16350.00,15700.00,15700.00,351600,15700.00
2012-08-20,16250.00,16500.00,15950.00,16200.00,346200,16200.00
2012-08-17,15500.00,16200.00,15500.00,16150.00,603300,16150.00
2012-08-16,15250.00,15650.00,15250.00,15400.00,157900,15400.00
2012-08-15,15350.00,15350.00,15350.00,15350.00,000,15350.00
2012-08-14,15300.00,15500.00,15200.00,15350.00,188800,15350.00
2012-08-13,15700.00,15700.00,15200.00,15200.00,168500,15200.00
2012-08-10,15450.00,15800.00,15300.00,15600.00,220300,15600.00
2012-08-09,15000.00,15650.00,15000.00,15400.00,360500,15400.00
2012-08-08,14950.00,15150.00,14900.00,15000.00,238300,15000.00
2012-08-07,14700.00,14900.00,14600.00,14900.00,169900,14900.00
2012-08-06,14400.00,14750.00,14300.00,14700.00,248000,14700.00
2012-08-03,14050.00,14150.00,13900.00,14050.00,100500,14050.00
2012-08-02,14250.00,14550.00,14000.00,14250.00,133800,14250.00
2012-08-01,14200.00,14700.00,14100.00,14300.00,216700,14300.00
