Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,94200.00,94200.00,94200.00,94200.00,000,94200.00
2012-12-28,94200.00,94600.00,93600.00,94200.00,138300,94200.00
2012-12-27,93500.00,94600.00,93500.00,94100.00,176900,94100.00
2012-12-26,94500.00,94700.00,93900.00,94000.00,240500,94000.00
2012-12-25,94200.00,94200.00,94200.00,94200.00,000,94200.00
2012-12-24,95000.00,95200.00,93800.00,94200.00,184700,94200.00
2012-12-21,95000.00,95300.00,93900.00,94800.00,199400,94800.00
2012-12-20,95900.00,95900.00,94500.00,94500.00,239800,94500.00
2012-12-19,94700.00,94700.00,94700.00,94700.00,000,94700.00
2012-12-18,94200.00,95100.00,93900.00,94700.00,179500,94700.00
2012-12-17,95800.00,96100.00,93700.00,94000.00,210100,94000.00
2012-12-14,94500.00,95800.00,94400.00,95800.00,137100,95800.00
2012-12-13,94000.00,95100.00,93900.00,95100.00,301300,95100.00
2012-12-12,95600.00,96000.00,93600.00,94400.00,220000,94400.00
2012-12-11,96000.00,96200.00,94200.00,95200.00,233400,95200.00
2012-12-10,96500.00,96800.00,95400.00,95500.00,204800,95500.00
2012-12-07,93700.00,96000.00,93600.00,96000.00,432800,96000.00
2012-12-06,94200.00,95200.00,92600.00,93000.00,289800,93000.00
2012-12-05,94900.00,95400.00,93800.00,94600.00,207600,94600.00
2012-12-04,95000.00,95500.00,94000.00,95200.00,250600,95200.00
2012-12-03,95400.00,96100.00,94100.00,95800.00,182800,95800.00
2012-11-30,95100.00,96100.00,94800.00,95700.00,344300,95700.00
2012-11-29,95300.00,95400.00,94300.00,95000.00,250300,95000.00
2012-11-28,92600.00,95300.00,92600.00,94400.00,797200,94400.00
2012-11-27,93000.00,93300.00,92100.00,92300.00,359500,92300.00
2012-11-26,91000.00,92600.00,90900.00,92400.00,482700,92400.00
2012-11-23,87800.00,90800.00,87500.00,90400.00,408600,90400.00
2012-11-22,86400.00,87800.00,86300.00,87800.00,176100,87800.00
2012-11-21,88400.00,88400.00,85100.00,86200.00,293600,86200.00
2012-11-20,88600.00,88800.00,86900.00,88100.00,186000,88100.00
2012-11-19,87400.00,88200.00,87100.00,87700.00,150000,87700.00
2012-11-16,87200.00,88200.00,86600.00,86800.00,246800,86800.00
2012-11-15,85800.00,87200.00,85200.00,86900.00,216600,86900.00
2012-11-14,86400.00,87100.00,85100.00,86800.00,301100,86800.00
2012-11-13,88400.00,88400.00,86100.00,86600.00,410200,86600.00
2012-11-12,91300.00,91300.00,87200.00,88100.00,755100,88100.00
2012-11-09,91000.00,91400.00,90100.00,91400.00,175100,91400.00
2012-11-08,90900.00,91900.00,90800.00,91500.00,294900,91500.00
2012-11-07,91500.00,92600.00,90800.00,92300.00,233200,92300.00
2012-11-06,90300.00,91500.00,90000.00,91400.00,238100,91400.00
2012-11-05,90500.00,90800.00,90100.00,90300.00,175600,90300.00
2012-11-02,92500.00,92800.00,90100.00,90900.00,484700,90900.00
2012-11-01,93400.00,93400.00,91600.00,91600.00,233500,91600.00
2012-10-31,91600.00,93700.00,91500.00,93400.00,281900,93400.00
2012-10-30,90700.00,92900.00,90700.00,90700.00,183300,90700.00
2012-10-29,90600.00,91800.00,90000.00,90700.00,245400,90700.00
2012-10-26,92800.00,92900.00,90000.00,90000.00,296400,90000.00
2012-10-25,91500.00,93500.00,91500.00,92800.00,195300,92800.00
2012-10-24,91500.00,93000.00,91500.00,92300.00,191400,92300.00
2012-10-23,92500.00,93800.00,92000.00,92900.00,217700,92900.00
2012-10-22,92500.00,92800.00,91000.00,92500.00,446700,92500.00
2012-10-19,95700.00,96000.00,93000.00,93800.00,427900,93800.00
2012-10-18,96900.00,97400.00,95700.00,96500.00,155800,96500.00
2012-10-17,96000.00,97500.00,95900.00,96800.00,217700,96800.00
2012-10-16,94200.00,96200.00,93200.00,96000.00,201000,96000.00
2012-10-15,94700.00,95900.00,92600.00,93100.00,376500,93100.00
2012-10-12,95700.00,96200.00,94900.00,95100.00,179000,95100.00
2012-10-11,95700.00,96800.00,95000.00,95800.00,254100,95800.00
2012-10-10,96400.00,97200.00,96000.00,96000.00,217200,96000.00
2012-10-09,97800.00,98500.00,96900.00,97300.00,204900,97300.00
2012-10-08,99300.00,99300.00,96800.00,97700.00,402800,97700.00
2012-10-05,100000.00,100500.00,99100.00,99300.00,232900,99300.00
2012-10-04,100500.00,101000.00,99200.00,99300.00,288800,99300.00
2012-10-03,100000.00,100000.00,100000.00,100000.00,000,100000.00
2012-10-02,101500.00,102000.00,100000.00,100000.00,253000,100000.00
2012-10-01,101500.00,101500.00,101500.00,101500.00,000,101500.00
2012-09-28,102500.00,103000.00,100500.00,101500.00,205000,101500.00
2012-09-27,101500.00,102500.00,101000.00,102000.00,172000,102000.00
2012-09-26,103500.00,104500.00,102000.00,102000.00,259900,102000.00
2012-09-25,103500.00,105000.00,103000.00,103500.00,217500,103500.00
2012-09-24,103500.00,105000.00,102000.00,103500.00,282600,103500.00
2012-09-21,105000.00,105000.00,102500.00,103500.00,344900,103500.00
2012-09-20,103000.00,105500.00,103000.00,103500.00,373400,103500.00
2012-09-19,102500.00,104000.00,101500.00,103500.00,384100,103500.00
2012-09-18,103000.00,103000.00,100500.00,102500.00,398600,102500.00
2012-09-17,104000.00,105000.00,102000.00,103000.00,582000,103000.00
2012-09-14,105000.00,106000.00,103500.00,105000.00,630900,105000.00
2012-09-13,104500.00,104500.00,103000.00,103000.00,406100,103000.00
2012-09-12,105000.00,106000.00,102500.00,105000.00,437900,105000.00
2012-09-11,105000.00,105500.00,102500.00,105000.00,241400,105000.00
