Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,21550.00,21550.00,21550.00,21550.00,000,21550.00
2012-12-28,21350.00,21850.00,21100.00,21550.00,363300,21550.00
2012-12-27,20950.00,21350.00,20750.00,21350.00,260200,21350.00
2012-12-26,21300.00,21350.00,20750.00,20850.00,300200,20850.00
2012-12-25,21250.00,21250.00,21250.00,21250.00,000,21250.00
2012-12-24,21100.00,21350.00,20850.00,21250.00,289200,21250.00
2012-12-21,21050.00,21300.00,20450.00,21100.00,539500,21100.00
2012-12-20,21000.00,21250.00,20500.00,20950.00,468300,20950.00
2012-12-19,20750.00,20750.00,20750.00,20750.00,000,20750.00
2012-12-18,20650.00,20850.00,20050.00,20750.00,622700,20750.00
2012-12-17,20250.00,20850.00,20250.00,20800.00,309900,20800.00
2012-12-14,20450.00,20700.00,20200.00,20350.00,225700,20350.00
2012-12-13,19800.00,20700.00,19800.00,20700.00,609700,20700.00
2012-12-12,20250.00,20350.00,19750.00,20150.00,501200,20150.00
2012-12-11,20250.00,20600.00,19900.00,20200.00,631100,20200.00
2012-12-10,20200.00,20550.00,20150.00,20200.00,288500,20200.00
2012-12-07,21150.00,21150.00,20150.00,20400.00,543700,20400.00
2012-12-06,21100.00,21400.00,20750.00,21050.00,476300,21050.00
2012-12-05,20450.00,21450.00,20400.00,21450.00,865200,21450.00
2012-12-04,20600.00,20900.00,20150.00,20450.00,715600,20450.00
2012-12-03,21300.00,21300.00,20550.00,20700.00,1091800,20700.00
2012-11-30,22000.00,22250.00,21150.00,21150.00,6771300,21150.00
2012-11-29,21900.00,22300.00,21500.00,21900.00,1241000,21900.00
2012-11-28,22100.00,22100.00,21650.00,21750.00,385600,21750.00
2012-11-27,22400.00,22400.00,21650.00,22100.00,634000,22100.00
2012-11-26,22400.00,22550.00,22050.00,22300.00,464400,22300.00
2012-11-23,21500.00,22150.00,21500.00,22100.00,484900,22100.00
2012-11-22,21200.00,21850.00,21050.00,21700.00,687100,21700.00
