Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,37000.00,37000.00,37000.00,37000.00,000,37000.00
2012-12-28,37300.00,37700.00,36700.00,37000.00,77700,37000.00
2012-12-27,36350.00,37250.00,35500.00,36950.00,94400,36950.00
2012-12-26,34500.00,36750.00,34500.00,36500.00,146300,36500.00
2012-12-25,34050.00,34050.00,34050.00,34050.00,000,34050.00
2012-12-24,34000.00,34500.00,33700.00,34050.00,71500,34050.00
2012-12-21,33300.00,34000.00,33100.00,33550.00,57900,33550.00
2012-12-20,34300.00,35100.00,32900.00,33100.00,73400,33100.00
2012-12-19,34300.00,34300.00,34300.00,34300.00,000,34300.00
2012-12-18,34650.00,35500.00,33550.00,34300.00,102800,34300.00
2012-12-17,35700.00,36100.00,34150.00,34500.00,87500,34500.00
2012-12-14,36500.00,36500.00,35300.00,35750.00,106200,35750.00
2012-12-13,33700.00,36600.00,33550.00,36500.00,194800,36500.00
2012-12-12,32300.00,33900.00,32200.00,33550.00,144700,33550.00
2012-12-11,34300.00,34450.00,32600.00,32600.00,87500,32600.00
2012-12-10,33200.00,34250.00,32900.00,34100.00,93200,34100.00
2012-12-07,33700.00,34650.00,32600.00,33150.00,150100,33150.00
2012-12-06,35400.00,35850.00,33900.00,33900.00,72700,33900.00
2012-12-05,36300.00,36750.00,35400.00,35400.00,111200,35400.00
2012-12-04,34550.00,36300.00,34550.00,36300.00,126700,36300.00
2012-12-03,35500.00,36100.00,34550.00,34550.00,87700,34550.00
2012-11-30,36400.00,36800.00,35500.00,35700.00,95200,35700.00
2012-11-29,36700.00,37250.00,36050.00,36800.00,85900,36800.00
2012-11-28,36000.00,37100.00,35400.00,36450.00,74800,36450.00
2012-11-27,38050.00,39400.00,35700.00,36300.00,189400,36300.00
2012-11-26,37500.00,38500.00,36800.00,37750.00,96000,37750.00
2012-11-23,36400.00,38100.00,35850.00,37500.00,118300,37500.00
2012-11-22,36800.00,37450.00,35600.00,36800.00,122600,36800.00
2012-11-21,38100.00,38600.00,36650.00,36700.00,167100,36700.00
2012-11-20,39050.00,39300.00,37850.00,37850.00,173700,37850.00
2012-11-19,38900.00,39350.00,38150.00,39250.00,112400,39250.00
2012-11-16,39450.00,39500.00,37800.00,38500.00,135200,38500.00
2012-11-15,38200.00,39600.00,37800.00,39450.00,134300,39450.00
2012-11-14,38600.00,39150.00,37350.00,38750.00,126400,38750.00
2012-11-13,39800.00,39850.00,37750.00,38600.00,147700,38600.00
2012-11-12,36500.00,39500.00,36200.00,39500.00,195800,39500.00
2012-11-09,36900.00,37550.00,36050.00,36550.00,114500,36550.00
2012-11-08,35550.00,38150.00,35550.00,36850.00,189400,36850.00
2012-11-07,37500.00,37500.00,35600.00,35850.00,167400,35850.00
2012-11-06,37500.00,37800.00,36300.00,37300.00,171200,37300.00
2012-11-05,37200.00,38800.00,36250.00,38000.00,206000,38000.00
2012-11-02,36600.00,36700.00,35000.00,35600.00,170900,35600.00
2012-11-01,34700.00,37500.00,34250.00,36500.00,224400,36500.00
2012-10-31,33450.00,35600.00,32950.00,34700.00,197000,34700.00
2012-10-30,32000.00,33000.00,32000.00,33000.00,126100,33000.00
2012-10-29,30350.00,32000.00,28800.00,31700.00,172000,31700.00
2012-10-26,30750.00,31150.00,29850.00,30500.00,72400,30500.00
2012-10-25,32850.00,32950.00,31100.00,31150.00,103400,31150.00
2012-10-24,31700.00,32800.00,31500.00,32500.00,150800,32500.00
2012-10-23,30150.00,31700.00,29900.00,31500.00,87500,31500.00
2012-10-22,29000.00,30750.00,28600.00,30150.00,85500,30150.00
2012-10-19,30050.00,30450.00,29200.00,29600.00,55400,29600.00
2012-10-18,30900.00,30900.00,29150.00,29900.00,48600,29900.00
2012-10-17,31350.00,31600.00,30500.00,30500.00,46500,30500.00
2012-10-16,31150.00,31950.00,30150.00,31500.00,84200,31500.00
2012-10-15,30050.00,31450.00,30050.00,31100.00,172700,31100.00
2012-10-12,29050.00,30000.00,28550.00,30000.00,133600,30000.00
2012-10-11,28700.00,29650.00,28250.00,28700.00,125300,28700.00
2012-10-10,27900.00,28700.00,27500.00,28700.00,71500,28700.00
2012-10-09,28800.00,28950.00,27350.00,27800.00,124800,27800.00
2012-10-08,28700.00,29000.00,28450.00,28800.00,47400,28800.00
2012-10-05,28950.00,29200.00,28250.00,28500.00,68600,28500.00
2012-10-04,28200.00,28900.00,27750.00,28900.00,90400,28900.00
2012-10-03,28200.00,28200.00,28200.00,28200.00,000,28200.00
2012-10-02,28000.00,28450.00,27500.00,28200.00,69700,28200.00
2012-10-01,27950.00,27950.00,27950.00,27950.00,000,27950.00
2012-09-28,27500.00,28100.00,26700.00,27950.00,100000,27950.00
2012-09-27,27750.00,28000.00,26250.00,27600.00,116500,27600.00
2012-09-26,27200.00,28350.00,27050.00,27750.00,77000,27750.00
2012-09-25,28750.00,28750.00,26200.00,27400.00,77000,27400.00
2012-09-24,28100.00,28700.00,27800.00,28650.00,86800,28650.00
2012-09-21,27200.00,28100.00,26750.00,28100.00,138900,28100.00
2012-09-20,25700.00,26850.00,25550.00,26850.00,105500,26850.00
2012-09-19,26600.00,26600.00,25700.00,25700.00,78000,25700.00
