Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,202500.00,202500.00,202500.00,202500.00,000,202500.00
2012-12-28,203500.00,204000.00,201000.00,202500.00,2400,202500.00
2012-12-27,203500.00,206000.00,200000.00,201500.00,2900,201500.00
2012-12-26,201000.00,205000.00,198500.00,204500.00,6900,204500.00
2012-12-25,201000.00,201000.00,201000.00,201000.00,000,201000.00
2012-12-24,202500.00,202500.00,196500.00,201000.00,1200,201000.00
2012-12-21,198000.00,201500.00,196000.00,201500.00,900,201500.00
2012-12-20,190500.00,199500.00,190500.00,199000.00,1800,199000.00
2012-12-19,196500.00,196500.00,196500.00,196500.00,000,196500.00
2012-12-18,191500.00,196500.00,191500.00,196500.00,1500,196500.00
2012-12-17,189500.00,191500.00,186500.00,191500.00,1500,191500.00
2012-12-14,186500.00,193000.00,186500.00,189500.00,6200,189500.00
2012-12-13,185500.00,189500.00,184000.00,189500.00,1700,189500.00
2012-12-12,187000.00,188500.00,185500.00,188000.00,3700,188000.00
2012-12-11,187000.00,188500.00,185500.00,188000.00,2200,188000.00
2012-12-10,189000.00,193000.00,180000.00,188000.00,8800,188000.00
2012-12-07,185500.00,191500.00,185000.00,190000.00,2400,190000.00
2012-12-06,186000.00,190000.00,183500.00,186000.00,1800,186000.00
2012-12-05,190000.00,192000.00,186000.00,189000.00,1400,189000.00
2012-12-04,190000.00,193000.00,188500.00,189000.00,5100,189000.00
2012-12-03,190000.00,191000.00,186000.00,190000.00,1800,190000.00
2012-11-30,182000.00,191000.00,181500.00,191000.00,1200,191000.00
2012-11-29,183500.00,184500.00,180500.00,184500.00,500,184500.00
2012-11-28,182500.00,183500.00,179500.00,183000.00,500,183000.00
2012-11-27,186500.00,187500.00,178500.00,182500.00,2700,182500.00
2012-11-26,195000.00,198000.00,186000.00,186000.00,2100,186000.00
2012-11-23,195000.00,199000.00,193000.00,195000.00,2000,195000.00
2012-11-22,194000.00,199000.00,192000.00,195500.00,1200,195500.00
2012-11-21,194500.00,195500.00,190000.00,194000.00,1800,194000.00
2012-11-20,194000.00,200000.00,191000.00,194500.00,5700,194500.00
2012-11-19,180000.00,188500.00,180000.00,187000.00,1400,187000.00
2012-11-16,185500.00,185500.00,177000.00,185000.00,3400,185000.00
2012-11-15,187500.00,188000.00,182000.00,185500.00,1500,185500.00
2012-11-14,185000.00,189500.00,185000.00,188000.00,300,188000.00
2012-11-13,186500.00,189500.00,183500.00,187000.00,2900,187000.00
2012-11-12,195500.00,195500.00,186000.00,187000.00,3700,187000.00
2012-11-09,192000.00,195500.00,191000.00,194000.00,500,194000.00
2012-11-08,191000.00,194500.00,190000.00,194500.00,800,194500.00
2012-11-07,194500.00,197000.00,190000.00,195500.00,900,195500.00
2012-11-06,198000.00,198500.00,193000.00,194500.00,1800,194500.00
2012-11-05,196500.00,198500.00,194000.00,198500.00,1200,198500.00
2012-11-02,199000.00,200000.00,190000.00,197000.00,1700,197000.00
2012-11-01,192000.00,195500.00,190000.00,195500.00,1600,195500.00
2012-10-31,198500.00,198500.00,190000.00,191000.00,1500,191000.00
2012-10-30,198500.00,200000.00,190000.00,192500.00,3200,192500.00
2012-10-29,203500.00,204000.00,196000.00,197000.00,2000,197000.00
2012-10-26,211000.00,211000.00,201500.00,204000.00,2000,204000.00
2012-10-25,207000.00,213000.00,204000.00,210000.00,3100,210000.00
2012-10-24,208500.00,208500.00,202500.00,207000.00,2200,207000.00
2012-10-23,200500.00,208000.00,200500.00,207000.00,2000,207000.00
2012-10-22,202000.00,205000.00,200000.00,201500.00,1800,201500.00
2012-10-19,203000.00,205000.00,199000.00,202000.00,1300,202000.00
2012-10-18,207000.00,207000.00,200000.00,205000.00,1800,205000.00
2012-10-17,211500.00,211500.00,205000.00,207000.00,2400,207000.00
2012-10-16,210000.00,216000.00,208000.00,211500.00,16800,211500.00
2012-10-15,206500.00,215500.00,203000.00,211000.00,6100,211000.00
2012-10-12,197000.00,209000.00,192500.00,207000.00,3900,207000.00
2012-10-11,199000.00,199000.00,192500.00,194000.00,18400,194000.00
2012-10-10,198500.00,199500.00,195500.00,197500.00,1700,197500.00
2012-10-09,204500.00,205000.00,200000.00,200000.00,600,200000.00
2012-10-08,199500.00,204500.00,198500.00,203000.00,3400,203000.00
2012-10-05,203000.00,204000.00,197500.00,199500.00,3600,199500.00
2012-10-04,204500.00,206000.00,200000.00,204000.00,1600,204000.00
2012-10-03,204500.00,204500.00,204500.00,204500.00,000,204500.00
2012-10-02,203000.00,206500.00,202500.00,204500.00,1900,204500.00
2012-10-01,205500.00,205500.00,205500.00,205500.00,000,205500.00
2012-09-28,206000.00,212500.00,205000.00,205500.00,8100,205500.00
2012-09-27,202500.00,207000.00,199000.00,205500.00,5100,205500.00
2012-09-26,204500.00,208000.00,200000.00,206500.00,5000,206500.00
2012-09-25,209000.00,214000.00,205000.00,207500.00,13900,207500.00
2012-09-24,198000.00,213500.00,196500.00,208000.00,10000,208000.00
2012-09-21,190000.00,201000.00,190000.00,199000.00,7100,199000.00
2012-09-20,194000.00,195000.00,190000.00,194500.00,2700,194500.00
2012-09-19,180000.00,192500.00,178500.00,191000.00,3600,191000.00
2012-09-18,178500.00,181500.00,174500.00,180000.00,3700,180000.00
2012-09-17,173000.00,179000.00,171500.00,179000.00,4500,179000.00
2012-09-14,174500.00,174500.00,169000.00,171000.00,7300,171000.00
2012-09-13,174000.00,174500.00,172000.00,172000.00,600,172000.00
2012-09-12,174000.00,175500.00,173000.00,173000.00,1800,173000.00
2012-09-11,177000.00,177000.00,174000.00,176000.00,600,176000.00
2012-09-10,178500.00,178500.00,175500.00,177000.00,2300,177000.00
2012-09-07,176500.00,177000.00,175000.00,177000.00,2100,177000.00
2012-09-06,172000.00,175500.00,172000.00,175500.00,2000,175500.00
2012-09-05,174000.00,174000.00,171500.00,173500.00,2500,173500.00
2012-09-04,174000.00,174000.00,171500.00,174000.00,2500,174000.00
2012-09-03,173500.00,174500.00,173500.00,174000.00,1300,174000.00
2012-08-31,172000.00,175500.00,170000.00,174500.00,2700,174500.00
2012-08-30,170000.00,173000.00,169500.00,172000.00,4700,172000.00
2012-08-29,171500.00,172500.00,169000.00,172500.00,2700,172500.00
2012-08-28,170500.00,174500.00,169500.00,171500.00,4300,171500.00
2012-08-27,174500.00,174500.00,170500.00,171500.00,1100,171500.00
2012-08-24,171000.00,172000.00,169000.00,171500.00,7400,171500.00
2012-08-23,176000.00,176000.00,167000.00,171500.00,6200,171500.00
2012-08-22,177000.00,177000.00,173500.00,176000.00,300,176000.00
2012-08-21,179000.00,179000.00,175500.00,177000.00,3300,177000.00
2012-08-20,175000.00,177000.00,173500.00,177000.00,7100,177000.00
2012-08-17,172500.00,174000.00,169500.00,174000.00,7000,174000.00
2012-08-16,175500.00,176000.00,169500.00,173500.00,7400,173500.00
2012-08-15,177000.00,177000.00,177000.00,177000.00,000,177000.00
2012-08-14,178000.00,179000.00,175000.00,177000.00,800,177000.00
