Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1295.00,1295.00,1295.00,1295.00,000,1295.00
2012-12-28,1290.00,1310.00,1275.00,1295.00,495600,1295.00
2012-12-27,1270.00,1300.00,1270.00,1290.00,871100,1290.00
2012-12-26,1260.00,1285.00,1255.00,1260.00,1110900,1260.00
2012-12-25,1260.00,1260.00,1260.00,1260.00,000,1260.00
2012-12-24,1300.00,1315.00,1255.00,1260.00,1251900,1260.00
2012-12-21,1345.00,1355.00,1290.00,1300.00,1537200,1300.00
2012-12-20,1360.00,1370.00,1335.00,1360.00,564200,1360.00
2012-12-19,1360.00,1360.00,1360.00,1360.00,000,1360.00
2012-12-18,1400.00,1410.00,1355.00,1360.00,1218500,1360.00
2012-12-17,1415.00,1420.00,1385.00,1395.00,800100,1395.00
2012-12-14,1430.00,1435.00,1385.00,1410.00,1273700,1410.00
2012-12-13,1385.00,1435.00,1385.00,1430.00,1352000,1430.00
2012-12-12,1410.00,1415.00,1385.00,1385.00,681400,1385.00
2012-12-11,1375.00,1415.00,1360.00,1400.00,1049600,1400.00
2012-12-10,1355.00,1385.00,1350.00,1350.00,720400,1350.00
2012-12-07,1415.00,1415.00,1350.00,1360.00,1336800,1360.00
2012-12-06,1430.00,1435.00,1400.00,1410.00,825100,1410.00
2012-12-05,1415.00,1430.00,1370.00,1425.00,1622200,1425.00
2012-12-04,1415.00,1420.00,1385.00,1405.00,778500,1405.00
2012-12-03,1380.00,1425.00,1375.00,1405.00,2135000,1405.00
2012-11-30,1350.00,1395.00,1345.00,1370.00,1666200,1370.00
2012-11-29,1350.00,1370.00,1330.00,1340.00,1123400,1340.00
2012-11-28,1350.00,1365.00,1325.00,1335.00,707400,1335.00
2012-11-27,1330.00,1370.00,1325.00,1360.00,1410300,1360.00
2012-11-26,1325.00,1330.00,1290.00,1320.00,571000,1320.00
2012-11-23,1300.00,1325.00,1295.00,1320.00,856000,1320.00
2012-11-22,1290.00,1310.00,1255.00,1290.00,1171000,1290.00
2012-11-21,1350.00,1350.00,1265.00,1270.00,1147900,1270.00
2012-11-20,1275.00,1340.00,1270.00,1330.00,817200,1330.00
2012-11-19,1240.00,1270.00,1235.00,1250.00,512900,1250.00
2012-11-16,1265.00,1280.00,1210.00,1225.00,631600,1225.00
2012-11-15,1265.00,1290.00,1240.00,1245.00,894000,1245.00
2012-11-14,1270.00,1310.00,1240.00,1305.00,1096600,1305.00
2012-11-13,1340.00,1350.00,1265.00,1270.00,972700,1270.00
2012-11-12,1365.00,1375.00,1330.00,1350.00,672400,1350.00
2012-11-09,1340.00,1370.00,1310.00,1355.00,586900,1355.00
2012-11-08,1320.00,1370.00,1320.00,1360.00,627700,1360.00
2012-11-07,1315.00,1365.00,1290.00,1365.00,907400,1365.00
2012-11-06,1285.00,1315.00,1250.00,1315.00,936600,1315.00
2012-11-05,1240.00,1285.00,1240.00,1285.00,774900,1285.00
2012-11-02,1260.00,1275.00,1240.00,1265.00,514900,1265.00
2012-11-01,1240.00,1250.00,1205.00,1220.00,695400,1220.00
2012-10-31,1245.00,1270.00,1220.00,1250.00,828900,1250.00
2012-10-30,1160.00,1265.00,1160.00,1250.00,2215900,1250.00
2012-10-29,1195.00,1210.00,1160.00,1165.00,868500,1165.00
2012-10-26,1185.00,1210.00,1170.00,1180.00,1132000,1180.00
2012-10-25,1190.00,1220.00,1175.00,1175.00,1793400,1175.00
2012-10-24,1290.00,1305.00,1185.00,1195.00,4540200,1195.00
2012-10-23,1385.00,1400.00,1300.00,1310.00,2577600,1310.00
2012-10-22,1375.00,1410.00,1350.00,1400.00,1861500,1400.00
2012-10-19,1440.00,1440.00,1370.00,1430.00,1283700,1430.00
2012-10-18,1410.00,1435.00,1380.00,1430.00,1485800,1430.00
2012-10-17,1455.00,1465.00,1390.00,1390.00,1511000,1390.00
2012-10-16,1375.00,1450.00,1375.00,1445.00,1609000,1445.00
2012-10-15,1385.00,1385.00,1335.00,1375.00,1027200,1375.00
2012-10-12,1430.00,1430.00,1375.00,1380.00,1144400,1380.00
2012-10-11,1355.00,1415.00,1355.00,1415.00,1313500,1415.00
2012-10-10,1405.00,1415.00,1360.00,1365.00,1321500,1365.00
2012-10-09,1415.00,1475.00,1375.00,1400.00,4155800,1400.00
2012-10-08,1530.00,1530.00,1440.00,1445.00,1965100,1445.00
2012-10-05,1525.00,1545.00,1495.00,1520.00,1405400,1520.00
2012-10-04,1520.00,1535.00,1490.00,1510.00,1341400,1510.00
2012-10-03,1520.00,1520.00,1520.00,1520.00,000,1520.00
2012-10-02,1540.00,1560.00,1505.00,1520.00,1298300,1520.00
2012-10-01,1530.00,1530.00,1530.00,1530.00,000,1530.00
2012-09-28,1505.00,1545.00,1480.00,1530.00,1564000,1530.00
2012-09-27,1500.00,1505.00,1435.00,1490.00,3589500,1490.00
2012-09-26,1465.00,1525.00,1440.00,1490.00,1947400,1490.00
2012-09-25,1630.00,1630.00,1445.00,1485.00,5565500,1485.00
2012-09-24,1650.00,1700.00,1605.00,1630.00,2333900,1630.00
2012-09-21,1580.00,1650.00,1565.00,1615.00,3794400,1615.00
2012-09-20,1710.00,1725.00,1585.00,1590.00,4078700,1590.00
2012-09-19,1610.00,1765.00,1600.00,1690.00,6332700,1690.00
2012-09-18,1570.00,1650.00,1520.00,1610.00,5703800,1610.00
2012-09-17,1450.00,1620.00,1445.00,1550.00,7905200,1550.00
2012-09-14,1450.00,1470.00,1410.00,1420.00,3040800,1420.00
2012-09-13,1380.00,1410.00,1365.00,1400.00,1481900,1400.00
2012-09-12,1365.00,1390.00,1325.00,1380.00,2534300,1380.00
2012-09-11,1335.00,1365.00,1320.00,1355.00,1678200,1355.00
2012-09-10,1320.00,1365.00,1320.00,1335.00,2808000,1335.00
2012-09-07,1300.00,1315.00,1280.00,1295.00,1427500,1295.00
2012-09-06,1250.00,1290.00,1250.00,1265.00,863500,1265.00
2012-09-05,1280.00,1310.00,1255.00,1285.00,1747600,1285.00
2012-09-04,1270.00,1325.00,1240.00,1285.00,2955400,1285.00
2012-09-03,1220.00,1285.00,1220.00,1260.00,2563200,1260.00
2012-08-31,1205.00,1225.00,1200.00,1220.00,872500,1220.00
2012-08-30,1245.00,1245.00,1190.00,1215.00,1356800,1215.00
2012-08-29,1245.00,1250.00,1215.00,1230.00,1203000,1230.00
2012-08-28,1165.00,1240.00,1160.00,1240.00,2090100,1240.00
2012-08-27,1160.00,1180.00,1155.00,1165.00,723500,1165.00
2012-08-24,1185.00,1195.00,1150.00,1160.00,873000,1160.00
2012-08-23,1145.00,1230.00,1145.00,1185.00,1861800,1185.00
2012-08-22,1160.00,1160.00,1140.00,1145.00,544500,1145.00
2012-08-21,1175.00,1180.00,1155.00,1160.00,717300,1160.00
2012-08-20,1170.00,1180.00,1160.00,1170.00,366100,1170.00
2012-08-17,1160.00,1190.00,1160.00,1165.00,660600,1165.00
2012-08-16,1165.00,1170.00,1155.00,1155.00,383500,1155.00
2012-08-15,1155.00,1155.00,1155.00,1155.00,000,1155.00
2012-08-14,1145.00,1175.00,1140.00,1155.00,761900,1155.00
2012-08-13,1145.00,1150.00,1135.00,1135.00,361800,1135.00
2012-08-10,1150.00,1150.00,1130.00,1135.00,286500,1135.00
2012-08-09,1140.00,1155.00,1130.00,1140.00,634200,1140.00
2012-08-08,1135.00,1145.00,1125.00,1125.00,704200,1125.00
2012-08-07,1105.00,1150.00,1100.00,1120.00,860600,1120.00
2012-08-06,1100.00,1115.00,1095.00,1110.00,330200,1110.00
2012-08-03,1080.00,1095.00,1075.00,1080.00,270200,1080.00
2012-08-02,1105.00,1110.00,1090.00,1090.00,279900,1090.00
2012-08-01,1100.00,1115.00,1100.00,1105.00,244000,1105.00
