Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10700.00,10700.00,10700.00,10700.00,000,10700.00
2012-12-28,10900.00,10950.00,10550.00,10700.00,314700,10700.00
2012-12-27,10550.00,10900.00,10450.00,10900.00,546800,10900.00
2012-12-26,10700.00,10800.00,10550.00,10700.00,374500,10442.00
2012-12-25,10700.00,10700.00,10700.00,10700.00,000,10442.00
2012-12-24,10750.00,10800.00,10600.00,10700.00,321100,10442.00
2012-12-21,10600.00,10800.00,10500.00,10700.00,395900,10442.00
2012-12-20,10800.00,10800.00,10450.00,10450.00,307000,10198.03
2012-12-19,10750.00,10750.00,10750.00,10750.00,000,10490.79
2012-12-18,10300.00,10750.00,10300.00,10750.00,471000,10490.79
2012-12-17,10550.00,10700.00,10100.00,10250.00,504100,10002.85
2012-12-14,10950.00,11000.00,10550.00,10550.00,372200,10295.62
2012-12-13,10800.00,10900.00,10750.00,10900.00,278600,10637.18
2012-12-12,10700.00,10850.00,10550.00,10850.00,332900,10588.38
2012-12-11,10650.00,10850.00,10550.00,10650.00,388500,10393.21
2012-12-10,10800.00,10950.00,10500.00,10700.00,481100,10442.00
2012-12-07,11100.00,11350.00,10750.00,10750.00,498700,10490.79
2012-12-06,11400.00,11450.00,10950.00,11100.00,506700,10832.35
2012-12-05,11150.00,11500.00,11150.00,11400.00,796600,11125.12
2012-12-04,11000.00,11300.00,10850.00,11200.00,614200,10929.94
2012-12-03,11000.00,11100.00,10800.00,11000.00,341200,10734.77
2012-11-30,10750.00,11100.00,10750.00,11100.00,926800,10832.35
2012-11-29,10500.00,10850.00,10500.00,10700.00,967900,10442.00
2012-11-28,10200.00,10500.00,10100.00,10300.00,490000,10051.64
2012-11-27,10600.00,10700.00,10250.00,10300.00,454500,10051.64
2012-11-26,10600.00,10800.00,10400.00,10650.00,666500,10393.21
2012-11-23,10250.00,10500.00,10200.00,10500.00,698500,10246.82
2012-11-22,10300.00,10400.00,10150.00,10200.00,725300,9954.06
2012-11-21,9910.00,10200.00,9880.00,10150.00,1247500,9905.26
2012-11-20,9380.00,9880.00,9270.00,9770.00,1169900,9534.42
2012-11-19,9100.00,9260.00,9060.00,9250.00,246600,9026.96
2012-11-16,9300.00,9300.00,8950.00,8980.00,321900,8763.47
2012-11-15,8940.00,9320.00,8870.00,9290.00,405500,9066.00
2012-11-14,9150.00,9230.00,9000.00,9080.00,312900,8861.06
2012-11-13,9320.00,9430.00,9160.00,9180.00,297300,8958.65
2012-11-12,9280.00,9460.00,9150.00,9350.00,287000,9124.55
2012-11-09,9250.00,9260.00,9030.00,9250.00,303600,9026.96
2012-11-08,9090.00,9370.00,9000.00,9360.00,387200,9134.31
2012-11-07,9030.00,9250.00,9030.00,9210.00,274700,8987.93
2012-11-06,8950.00,9040.00,8910.00,9020.00,185100,8802.51
2012-11-05,9020.00,9070.00,8840.00,8930.00,325500,8714.68
2012-11-02,9360.00,9400.00,9030.00,9050.00,294900,8831.78
2012-11-01,9160.00,9350.00,8990.00,9290.00,256200,9066.00
2012-10-31,9150.00,9420.00,9150.00,9230.00,273700,9007.44
