Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,139000.00,139000.00,139000.00,139000.00,000,139000.00
2012-12-28,140000.00,140000.00,137500.00,139000.00,1900,139000.00
2012-12-27,138500.00,140000.00,137500.00,139500.00,800,139500.00
2012-12-26,140500.00,142000.00,139000.00,140000.00,3900,140000.00
2012-12-25,140500.00,140500.00,140500.00,140500.00,000,140500.00
2012-12-24,137000.00,140500.00,137000.00,140500.00,2100,140500.00
2012-12-21,138500.00,139500.00,136000.00,137500.00,3100,137500.00
2012-12-20,140000.00,141500.00,136500.00,137000.00,3800,137000.00
2012-12-19,141500.00,141500.00,141500.00,141500.00,000,141500.00
2012-12-18,142000.00,143500.00,138500.00,141500.00,2600,141500.00
2012-12-17,137500.00,143000.00,136500.00,140500.00,4100,140500.00
2012-12-14,135500.00,137000.00,134500.00,136500.00,1700,136500.00
2012-12-13,133500.00,135500.00,133000.00,135500.00,3700,135500.00
2012-12-12,132500.00,133500.00,130000.00,133500.00,2700,133500.00
2012-12-11,130500.00,134500.00,130500.00,132500.00,2400,132500.00
2012-12-10,130000.00,132500.00,130000.00,130500.00,1100,130500.00
2012-12-07,130500.00,132500.00,130000.00,130000.00,1100,130000.00
2012-12-06,131000.00,132000.00,130500.00,131000.00,1800,131000.00
2012-12-05,131500.00,131500.00,128500.00,131000.00,2900,131000.00
2012-12-04,131500.00,134500.00,130000.00,130500.00,5600,130500.00
2012-12-03,132000.00,134000.00,132000.00,133000.00,1300,133000.00
2012-11-30,131000.00,133000.00,130000.00,133000.00,2600,133000.00
2012-11-29,131500.00,132500.00,131000.00,132000.00,1500,132000.00
2012-11-28,135500.00,135500.00,130000.00,130500.00,1900,130500.00
2012-11-27,135000.00,136500.00,134500.00,135500.00,5600,135500.00
2012-11-26,134000.00,135000.00,133500.00,135000.00,1300,135000.00
2012-11-23,135500.00,135500.00,133500.00,134000.00,2200,134000.00
2012-11-22,135000.00,136000.00,135000.00,135500.00,4900,135500.00
2012-11-21,132000.00,134500.00,131000.00,134000.00,8500,134000.00
2012-11-20,129000.00,133000.00,128500.00,132000.00,9200,132000.00
2012-11-19,127500.00,128500.00,126500.00,128500.00,1100,128500.00
2012-11-16,125500.00,129000.00,125500.00,127500.00,1400,127500.00
2012-11-15,128000.00,128500.00,126000.00,127500.00,1400,127500.00
2012-11-14,130000.00,130000.00,127500.00,127500.00,2500,127500.00
2012-11-13,126500.00,129000.00,125000.00,128500.00,31200,128500.00
2012-11-12,122500.00,127000.00,122500.00,127000.00,1700,127000.00
2012-11-09,124000.00,125000.00,122500.00,125000.00,2600,125000.00
2012-11-08,127000.00,127000.00,124000.00,124000.00,3000,124000.00
2012-11-07,131000.00,131000.00,127000.00,127500.00,1200,127500.00
2012-11-06,131000.00,131000.00,129000.00,129500.00,1000,129500.00
2012-11-05,128500.00,131500.00,127500.00,130000.00,3100,130000.00
2012-11-02,128500.00,129000.00,126000.00,128000.00,1700,128000.00
2012-11-01,125000.00,127500.00,124500.00,126500.00,11200,126500.00
