Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,87000.00,87000.00,87000.00,87000.00,000,87000.00
2012-12-28,84800.00,87100.00,84700.00,87000.00,267700,87000.00
2012-12-27,83600.00,85000.00,82600.00,84500.00,130000,84500.00
2012-12-26,83700.00,85000.00,83600.00,84000.00,216400,83570.00
2012-12-25,83500.00,83500.00,83500.00,83500.00,000,83072.56
2012-12-24,85800.00,85900.00,83100.00,83500.00,273300,83072.56
2012-12-21,87400.00,87600.00,84500.00,85700.00,289400,85261.30
2012-12-20,84900.00,87400.00,84100.00,86700.00,409400,86256.18
2012-12-19,83600.00,83600.00,83600.00,83600.00,000,83172.05
2012-12-18,83100.00,83900.00,82400.00,83600.00,183800,83172.05
2012-12-17,83400.00,83900.00,81800.00,82200.00,198500,81779.22
2012-12-14,80800.00,84400.00,80200.00,83500.00,334500,83072.56
2012-12-13,82700.00,83000.00,81000.00,81600.00,351200,81182.29
2012-12-12,83200.00,83500.00,81400.00,82700.00,227200,82276.66
2012-12-11,78600.00,83300.00,78600.00,82800.00,512500,82376.14
2012-12-10,79200.00,80400.00,78600.00,79000.00,184100,78595.60
2012-12-07,80600.00,80600.00,78700.00,79700.00,304800,79292.01
2012-12-06,76900.00,80800.00,76600.00,80000.00,436300,79590.48
2012-12-05,77200.00,77500.00,75200.00,77500.00,302800,77103.28
2012-12-04,76600.00,77400.00,76000.00,77200.00,188000,76804.81
2012-12-03,78100.00,78300.00,76300.00,77700.00,308000,77302.25
2012-11-30,78400.00,79000.00,77300.00,78900.00,380900,78496.11
2012-11-29,76000.00,79200.00,75100.00,78400.00,589100,77998.67
2012-11-28,74500.00,76500.00,74500.00,74900.00,486900,74516.58
2012-11-27,70000.00,75100.00,69200.00,74900.00,818400,74516.58
2012-11-26,69100.00,70100.00,68600.00,69500.00,154600,69144.23
2012-11-23,69800.00,70000.00,68000.00,68700.00,109000,68348.32
2012-11-22,69300.00,70400.00,68700.00,69300.00,167800,68945.25
2012-11-21,69000.00,69800.00,67500.00,68000.00,166700,67651.91
2012-11-20,70100.00,70700.00,68300.00,68800.00,205000,68447.81
2012-11-19,68000.00,69600.00,67900.00,68600.00,154900,68248.83
2012-11-16,68800.00,69800.00,66900.00,67600.00,298900,67253.95
2012-11-15,69300.00,71000.00,68700.00,69400.00,268300,69044.74
2012-11-14,69000.00,71500.00,69000.00,70500.00,231700,70139.11
2012-11-13,69000.00,70300.00,67900.00,69300.00,212700,68945.25
2012-11-12,70600.00,71300.00,68600.00,69500.00,279700,69144.23
2012-11-09,72300.00,72300.00,70200.00,71200.00,448800,70835.53
2012-11-08,74800.00,75300.00,72300.00,73000.00,690400,72626.31
2012-11-07,77300.00,78100.00,76000.00,77800.00,287900,77401.74
2012-11-06,74500.00,76500.00,73900.00,76500.00,323700,76108.39
2012-11-05,76100.00,77200.00,74400.00,75100.00,261800,74715.56
2012-11-02,74200.00,77600.00,73100.00,77100.00,453000,76705.32
2012-11-01,75900.00,76700.00,72500.00,72700.00,398200,72327.85
2012-10-31,75900.00,77800.00,75700.00,75900.00,250200,75511.47
2012-10-30,73900.00,76500.00,73900.00,75300.00,195200,74914.54
2012-10-29,75700.00,75900.00,73700.00,74400.00,281600,74019.14
2012-10-26,76900.00,77400.00,74700.00,75200.00,416600,74815.05
2012-10-25,76300.00,78200.00,75400.00,77700.00,379500,77302.25
2012-10-24,76400.00,77700.00,75600.00,76500.00,474000,76108.39
2012-10-23,81200.00,81600.00,78300.00,78300.00,503100,77899.18
2012-10-22,81600.00,82300.00,80400.00,81600.00,344600,81182.29
2012-10-19,86400.00,86400.00,83300.00,83900.00,293200,83470.51
2012-10-18,84100.00,86700.00,83000.00,86400.00,364100,85957.72
2012-10-17,83500.00,85100.00,83000.00,83700.00,288100,83271.54
2012-10-16,82800.00,83400.00,81700.00,83000.00,201100,82575.12
2012-10-15,84900.00,85200.00,81100.00,81500.00,570200,81082.80
2012-10-12,87100.00,87400.00,84800.00,85500.00,244900,85062.32
2012-10-11,87000.00,88200.00,85900.00,87000.00,295900,86554.64
2012-10-10,89100.00,89100.00,87000.00,87500.00,418200,87052.09
2012-10-09,90000.00,92000.00,89900.00,90100.00,163000,89638.78
2012-10-08,91400.00,91600.00,88900.00,89500.00,224300,89041.85
2012-10-05,93200.00,93300.00,91300.00,91300.00,198900,90832.63
2012-10-04,94000.00,94100.00,91400.00,92600.00,223200,92125.98
2012-10-03,94000.00,94000.00,94000.00,94000.00,000,93518.81
2012-10-02,94200.00,95100.00,93500.00,94000.00,114700,93518.81
2012-10-01,94900.00,94900.00,94900.00,94900.00,000,94414.20
2012-09-28,95400.00,95500.00,93800.00,94900.00,118700,94414.20
2012-09-27,92900.00,94800.00,92500.00,94800.00,214800,94314.72
2012-09-26,96100.00,96600.00,93100.00,94200.00,373600,93717.79
2012-09-25,98000.00,99900.00,97100.00,97400.00,145200,96901.41
2012-09-24,98900.00,99600.00,97100.00,98500.00,217400,97995.78
2012-09-21,98600.00,100500.00,97400.00,99900.00,181800,99388.61
2012-09-20,99100.00,99900.00,97200.00,97400.00,200200,96901.41
2012-09-19,98400.00,100500.00,97500.00,99100.00,279800,98592.70
2012-09-18,101000.00,101000.00,97800.00,99000.00,404300,98493.22
2012-09-17,102000.00,105000.00,101000.00,101500.00,376000,100980.42
2012-09-14,99600.00,104500.00,98600.00,102000.00,689500,101477.86
2012-09-13,96000.00,96500.00,94300.00,95400.00,133800,94911.64
2012-09-12,94000.00,96200.00,94000.00,95900.00,258900,95409.09
2012-09-11,95300.00,95300.00,93000.00,93000.00,217900,92523.93
2012-09-10,94800.00,96400.00,94200.00,95600.00,388100,95110.62
2012-09-07,91800.00,94000.00,90900.00,93500.00,473300,93021.37
2012-09-06,87700.00,88900.00,86700.00,88500.00,197000,88046.97
2012-09-05,89800.00,90000.00,87500.00,87800.00,258600,87350.55
2012-09-04,90500.00,91100.00,90000.00,90400.00,154000,89937.24
2012-09-03,89400.00,91300.00,87600.00,90500.00,171400,90036.73
2012-08-31,88500.00,89300.00,88200.00,88800.00,140100,88345.43
2012-08-30,89800.00,90300.00,88500.00,88700.00,192800,88245.94
2012-08-29,91400.00,91400.00,89600.00,90500.00,288800,90036.73
2012-08-28,92800.00,93500.00,90700.00,91500.00,169400,91031.61
2012-08-27,91800.00,93700.00,91800.00,93000.00,129300,92523.93
2012-08-24,91600.00,92400.00,90900.00,91800.00,157800,91330.07
2012-08-23,92900.00,93700.00,91700.00,93400.00,134900,92921.88
2012-08-22,94300.00,94800.00,91300.00,92800.00,282900,92324.95
2012-08-21,96500.00,96800.00,94600.00,95000.00,169000,94513.69
2012-08-20,95800.00,96900.00,95100.00,95800.00,151900,95309.60
2012-08-17,96000.00,97000.00,95400.00,95400.00,132000,94911.64
2012-08-16,96600.00,97300.00,94900.00,95300.00,189800,94812.16
2012-08-15,96300.00,96300.00,96300.00,96300.00,000,95807.04
2012-08-14,93700.00,96600.00,93300.00,96300.00,373200,95807.04
2012-08-13,93000.00,94700.00,92200.00,92700.00,151100,92225.47
2012-08-10,93800.00,94900.00,92300.00,93500.00,188900,93021.37
2012-08-09,93800.00,95400.00,93300.00,94200.00,253500,93717.79
2012-08-08,93300.00,94800.00,92000.00,94000.00,378600,93518.81
2012-08-07,90200.00,93300.00,89500.00,92300.00,378000,91827.51
2012-08-06,87100.00,90400.00,87100.00,90200.00,374200,89738.26
2012-08-03,86400.00,87400.00,85600.00,86400.00,293700,85957.72
2012-08-02,88200.00,90000.00,88100.00,88600.00,260000,88146.45
2012-08-01,87200.00,88800.00,86800.00,88500.00,275800,88046.97
2012-07-31,83100.00,88300.00,83100.00,87600.00,441400,87151.57
2012-07-30,84800.00,85300.00,83500.00,83500.00,157300,83072.56
2012-07-27,83800.00,84200.00,82900.00,84200.00,271200,83768.98
2012-07-26,81700.00,82500.00,79900.00,81700.00,343500,81281.78
2012-07-25,83700.00,83900.00,80900.00,81700.00,409900,81281.78
2012-07-24,87500.00,88200.00,84600.00,85500.00,353200,85062.32
2012-07-23,89300.00,90000.00,87500.00,88600.00,133900,88146.45
2012-07-20,88400.00,90600.00,88400.00,90400.00,136500,89937.24
2012-07-19,89300.00,90000.00,88400.00,88500.00,255300,88046.97
2012-07-18,91500.00,92000.00,88000.00,88500.00,289600,88046.97
2012-07-17,91700.00,93200.00,90400.00,91000.00,198400,90534.17
2012-07-16,92100.00,92700.00,90900.00,91900.00,113600,91429.56
2012-07-13,90300.00,92300.00,88000.00,91800.00,250500,91330.07
2012-07-12,92000.00,94100.00,89600.00,89600.00,248300,89141.34
2012-07-11,90800.00,92000.00,89900.00,92000.00,154500,91529.05
2012-07-10,92600.00,93500.00,90300.00,90900.00,172700,90434.68
2012-07-09,95500.00,95500.00,91400.00,92600.00,187400,92125.98
2012-07-06,96300.00,97000.00,95300.00,96000.00,96700,95508.57
2012-07-05,95800.00,97800.00,95200.00,96300.00,218000,95807.04
2012-07-04,95900.00,98200.00,95400.00,95400.00,379500,94911.64
2012-07-03,90900.00,96900.00,90400.00,95400.00,462900,94911.64
2012-07-02,91300.00,91300.00,89500.00,90100.00,227200,89638.78
2012-06-29,86700.00,90500.00,86600.00,90200.00,339400,89738.26
2012-06-28,89300.00,89800.00,87600.00,87700.00,239200,87251.06
