Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,26200.00,26200.00,26200.00,26200.00,000,26200.00
2012-12-28,27100.00,27550.00,26200.00,26200.00,222500,26200.00
2012-12-27,26700.00,27200.00,26550.00,27100.00,115700,27100.00
2012-12-26,26700.00,27300.00,26500.00,26500.00,121400,26500.00
2012-12-25,26400.00,26400.00,26400.00,26400.00,000,26400.00
2012-12-24,26350.00,26700.00,26200.00,26400.00,135200,26400.00
2012-12-21,26400.00,26900.00,26200.00,26250.00,256500,26250.00
2012-12-20,27000.00,27100.00,25800.00,26100.00,204300,26100.00
2012-12-19,26700.00,26700.00,26700.00,26700.00,000,26700.00
2012-12-18,27650.00,28450.00,26700.00,26700.00,315200,26700.00
2012-12-17,26550.00,27500.00,26100.00,27400.00,313900,27400.00
2012-12-14,27550.00,27550.00,26000.00,26300.00,390700,26300.00
2012-12-13,27050.00,27550.00,26800.00,27550.00,229900,27550.00
2012-12-12,26400.00,27250.00,25850.00,27150.00,276200,27150.00
2012-12-11,27250.00,27450.00,26150.00,26300.00,185100,26300.00
2012-12-10,27250.00,27600.00,26350.00,27250.00,211400,27250.00
2012-12-07,27000.00,27800.00,26800.00,27600.00,346200,27600.00
2012-12-06,28750.00,28900.00,26700.00,26850.00,464000,26850.00
2012-12-05,29500.00,30250.00,28750.00,28750.00,367800,28750.00
2012-12-04,28350.00,29300.00,28350.00,29300.00,229500,29300.00
2012-12-03,28150.00,28650.00,28150.00,28250.00,98600,28250.00
2012-11-30,28450.00,28900.00,27800.00,28500.00,190000,28500.00
2012-11-29,28050.00,28850.00,27550.00,28700.00,379900,28700.00
2012-11-28,28350.00,28450.00,27400.00,27750.00,241400,27750.00
2012-11-27,28800.00,29350.00,27500.00,28000.00,311300,28000.00
2012-11-26,30300.00,30400.00,28600.00,28600.00,344600,28600.00
2012-11-23,30250.00,30850.00,29700.00,30500.00,268400,30500.00
2012-11-22,29600.00,30950.00,29600.00,30250.00,445800,30250.00
2012-11-21,29300.00,30300.00,29100.00,29350.00,310300,29350.00
2012-11-20,30500.00,30500.00,28850.00,29050.00,340700,29050.00
2012-11-19,27650.00,30500.00,27650.00,29950.00,514000,29950.00
