Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,9950.00,9950.00,9950.00,9950.00,000,9950.00
2012-12-28,9970.00,10100.00,9930.00,9950.00,378700,9950.00
2012-12-27,10100.00,10100.00,9870.00,10000.00,282800,10000.00
2012-12-26,10100.00,10200.00,10000.00,10150.00,390600,10150.00
2012-12-25,10000.00,10000.00,10000.00,10000.00,000,10000.00
2012-12-24,10000.00,10100.00,9910.00,10000.00,387100,10000.00
2012-12-21,10200.00,10200.00,9860.00,9980.00,768900,9980.00
2012-12-20,9600.00,10150.00,9590.00,10050.00,1313000,10050.00
2012-12-19,9590.00,9590.00,9590.00,9590.00,000,9590.00
2012-12-18,9640.00,9740.00,9470.00,9590.00,565000,9590.00
2012-12-17,9850.00,9900.00,9520.00,9550.00,388300,9550.00
2012-12-14,9800.00,9880.00,9690.00,9810.00,347700,9810.00
2012-12-13,9540.00,9800.00,9540.00,9800.00,751400,9800.00
2012-12-12,9570.00,9670.00,9500.00,9650.00,398200,9650.00
2012-12-11,9200.00,9590.00,9200.00,9540.00,600500,9540.00
2012-12-10,9240.00,9370.00,9240.00,9250.00,214000,9250.00
2012-12-07,9260.00,9420.00,9260.00,9320.00,222200,9320.00
2012-12-06,9200.00,9500.00,9190.00,9250.00,363500,9250.00
2012-12-05,9280.00,9340.00,9200.00,9240.00,348900,9240.00
2012-12-04,9250.00,9420.00,9230.00,9330.00,445500,9330.00
2012-12-03,9440.00,9550.00,9320.00,9320.00,340200,9320.00
2012-11-30,9450.00,9560.00,9370.00,9500.00,557200,9500.00
2012-11-29,9450.00,9530.00,9400.00,9450.00,492700,9450.00
2012-11-28,9560.00,9560.00,9270.00,9450.00,483300,9450.00
2012-11-27,9310.00,9570.00,9270.00,9540.00,611400,9540.00
2012-11-26,9200.00,9340.00,9090.00,9340.00,345500,9340.00
2012-11-23,9250.00,9250.00,9060.00,9130.00,282600,9130.00
2012-11-22,9240.00,9340.00,9160.00,9250.00,451300,9250.00
2012-11-21,9170.00,9200.00,9010.00,9140.00,322400,9140.00
2012-11-20,9200.00,9250.00,8900.00,9000.00,381400,9000.00
2012-11-19,8990.00,9120.00,8870.00,9080.00,457700,9080.00
2012-11-16,8990.00,8990.00,8810.00,8860.00,398400,8860.00
2012-11-15,8970.00,8970.00,8740.00,8940.00,416100,8940.00
2012-11-14,8950.00,9080.00,8930.00,9040.00,310900,9040.00
2012-11-13,8780.00,8920.00,8700.00,8920.00,329100,8920.00
2012-11-12,8820.00,8960.00,8760.00,8850.00,459500,8850.00
2012-11-09,8900.00,8920.00,8740.00,8800.00,802700,8800.00
2012-11-08,9210.00,9440.00,8950.00,8960.00,997600,8960.00
2012-11-07,9230.00,9440.00,9110.00,9440.00,421000,9440.00
2012-11-06,9090.00,9250.00,9040.00,9190.00,340300,9190.00
2012-11-05,9180.00,9200.00,8970.00,9090.00,357500,9090.00
2012-11-02,9000.00,9280.00,8960.00,9100.00,890600,9100.00
2012-11-01,9280.00,9350.00,8880.00,8950.00,794100,8950.00
2012-10-31,9310.00,9430.00,9150.00,9280.00,666400,9280.00
2012-10-30,9630.00,9750.00,9190.00,9410.00,694500,9410.00
2012-10-29,9170.00,9640.00,9170.00,9540.00,589600,9540.00
2012-10-26,9520.00,9630.00,9120.00,9170.00,939500,9170.00
2012-10-25,9540.00,9710.00,9320.00,9610.00,738700,9610.00
2012-10-24,9920.00,9920.00,9570.00,9610.00,939900,9610.00
2012-10-23,10150.00,10250.00,9950.00,9950.00,517000,9950.00
2012-10-22,10100.00,10300.00,10050.00,10150.00,479700,10150.00
2012-10-19,10450.00,10450.00,10200.00,10250.00,471900,10250.00
2012-10-18,10150.00,10550.00,10100.00,10450.00,522400,10450.00
2012-10-17,10150.00,10150.00,10000.00,10100.00,255400,10100.00
2012-10-16,10050.00,10150.00,9980.00,10000.00,242300,10000.00
2012-10-15,10100.00,10350.00,9980.00,10050.00,340600,10050.00
2012-10-12,10100.00,10200.00,10050.00,10150.00,510800,10150.00
2012-10-11,9900.00,10550.00,9820.00,10050.00,1046300,10050.00
2012-10-10,10000.00,10050.00,9910.00,9920.00,290300,9920.00
2012-10-09,9850.00,10200.00,9850.00,10150.00,327900,10150.00
2012-10-08,10050.00,10100.00,9870.00,9900.00,329400,9900.00
2012-10-05,10100.00,10250.00,10000.00,10000.00,384500,10000.00
2012-10-04,10400.00,10400.00,10000.00,10150.00,616100,10150.00
2012-10-03,10300.00,10300.00,10300.00,10300.00,000,10300.00
2012-10-02,10350.00,10450.00,10250.00,10300.00,281900,10300.00
2012-10-01,10450.00,10450.00,10450.00,10450.00,000,10450.00
2012-09-28,10650.00,10700.00,10400.00,10450.00,352100,10450.00
2012-09-27,10200.00,10700.00,10200.00,10550.00,464500,10550.00
2012-09-26,10350.00,10400.00,10150.00,10350.00,487000,10350.00
2012-09-25,10550.00,10650.00,10400.00,10400.00,339700,10400.00
2012-09-24,10600.00,10650.00,10350.00,10550.00,359300,10550.00
2012-09-21,10600.00,10800.00,10600.00,10700.00,355100,10700.00
2012-09-20,10800.00,10800.00,10600.00,10600.00,453400,10600.00
2012-09-19,10700.00,10850.00,10450.00,10750.00,787700,10750.00
2012-09-18,10500.00,10700.00,10400.00,10650.00,650700,10650.00
2012-09-17,10450.00,10750.00,10350.00,10450.00,715300,10450.00
2012-09-14,10250.00,10700.00,10200.00,10550.00,1608500,10550.00
2012-09-13,10050.00,10150.00,9970.00,10050.00,486200,10050.00
2012-09-12,9880.00,10100.00,9880.00,10050.00,398000,10050.00
2012-09-11,9920.00,10150.00,9860.00,9870.00,573200,9870.00
2012-09-10,10050.00,10150.00,9950.00,9950.00,477200,9950.00
2012-09-07,9870.00,10050.00,9870.00,10000.00,756000,10000.00
2012-09-06,9420.00,9850.00,9390.00,9780.00,664800,9780.00
2012-09-05,9590.00,9600.00,9340.00,9380.00,532400,9380.00
2012-09-04,9740.00,9940.00,9640.00,9650.00,474500,9650.00
2012-09-03,9970.00,9980.00,9660.00,9850.00,709900,9850.00
2012-08-31,9590.00,10050.00,9580.00,10000.00,682200,10000.00
2012-08-30,9900.00,9920.00,9610.00,9680.00,683800,9680.00
2012-08-29,10250.00,10250.00,9900.00,9940.00,585600,9940.00
2012-08-28,10050.00,10250.00,10000.00,10250.00,421900,10250.00
2012-08-27,9990.00,10200.00,9980.00,10100.00,727000,10100.00
