Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,39650.00,39650.00,39650.00,39650.00,000,39650.00
2012-12-28,39650.00,40200.00,39650.00,39650.00,249300,39650.00
2012-12-27,39800.00,40000.00,39300.00,39650.00,204500,39650.00
2012-12-26,40200.00,40300.00,39400.00,39450.00,248200,39450.00
2012-12-25,40000.00,40000.00,40000.00,40000.00,000,40000.00
2012-12-24,40150.00,40250.00,39650.00,40000.00,178800,40000.00
2012-12-21,40400.00,40400.00,39400.00,39650.00,220400,39650.00
2012-12-20,39450.00,40300.00,39200.00,40150.00,449600,40150.00
2012-12-19,39000.00,39000.00,39000.00,39000.00,000,39000.00
2012-12-18,38700.00,39150.00,38600.00,39000.00,194400,39000.00
2012-12-17,38850.00,39250.00,38100.00,38650.00,357800,38650.00
2012-12-14,39050.00,39750.00,38500.00,38650.00,363500,38650.00
2012-12-13,40150.00,40450.00,39000.00,39500.00,476400,39500.00
2012-12-12,38350.00,40200.00,38250.00,40200.00,370900,40200.00
2012-12-11,39450.00,39700.00,38200.00,38300.00,481900,38300.00
2012-12-10,39100.00,40300.00,38900.00,39350.00,322200,39350.00
2012-12-07,40550.00,40550.00,39150.00,39400.00,313800,39400.00
2012-12-06,40050.00,40800.00,39900.00,40200.00,228100,40200.00
2012-12-05,39850.00,40250.00,39450.00,40050.00,253000,40050.00
2012-12-04,39100.00,40050.00,39100.00,39500.00,205100,39500.00
2012-12-03,40000.00,40550.00,39200.00,39250.00,335000,39250.00
2012-11-30,39950.00,41000.00,39500.00,39950.00,963500,39950.00
2012-11-29,40600.00,41050.00,39850.00,40000.00,538600,40000.00
2012-11-28,41450.00,41450.00,40350.00,40350.00,374300,40350.00
2012-11-27,42700.00,43100.00,41500.00,41500.00,381200,41500.00
2012-11-26,42850.00,43200.00,42450.00,42500.00,159300,42500.00
2012-11-23,42000.00,42550.00,41600.00,42500.00,219500,42500.00
2012-11-22,42500.00,42650.00,41700.00,42000.00,245600,42000.00
2012-11-21,41100.00,42500.00,41100.00,42200.00,316200,42200.00
2012-11-20,41700.00,41800.00,40650.00,41500.00,196300,41500.00
2012-11-19,41150.00,41600.00,40900.00,41250.00,196800,41250.00
2012-11-16,42350.00,42450.00,40500.00,40550.00,368000,40550.00
2012-11-15,41300.00,42500.00,40700.00,42500.00,321600,42500.00
2012-11-14,42300.00,42450.00,40550.00,41850.00,395300,41850.00
2012-11-13,42050.00,42750.00,41750.00,42150.00,206800,42150.00
2012-11-12,43000.00,43000.00,41900.00,42050.00,212700,42050.00
2012-11-09,42500.00,43000.00,42150.00,42850.00,250000,42850.00
2012-11-08,43300.00,43850.00,42900.00,43050.00,365700,43050.00
2012-11-07,43100.00,44150.00,43050.00,43950.00,529300,43950.00
2012-11-06,43250.00,43400.00,42200.00,42700.00,293900,42700.00
2012-11-05,42200.00,43300.00,41950.00,43200.00,333900,43200.00
2012-11-02,42750.00,43600.00,42400.00,42500.00,515300,42500.00
2012-11-01,41600.00,43000.00,41250.00,42200.00,443600,42200.00
2012-10-31,41100.00,41900.00,40850.00,41900.00,243600,41900.00
2012-10-30,40000.00,41550.00,39750.00,41050.00,253900,41050.00
2012-10-29,40300.00,40600.00,39600.00,39950.00,222900,39950.00
2012-10-26,40000.00,40350.00,39150.00,39800.00,263200,39800.00
2012-10-25,40700.00,41050.00,39600.00,40000.00,249400,40000.00
2012-10-24,41000.00,42000.00,40350.00,40500.00,334700,40500.00
2012-10-23,41900.00,42250.00,41350.00,41550.00,337100,41550.00
2012-10-22,38700.00,41550.00,38600.00,41550.00,398500,41550.00
2012-10-19,39200.00,40350.00,38750.00,39550.00,473300,39550.00
2012-10-18,41750.00,41750.00,38700.00,38800.00,797200,38800.00
2012-10-17,41500.00,42450.00,41400.00,41650.00,246900,41650.00
2012-10-16,42100.00,42600.00,41350.00,41450.00,242700,41450.00
2012-10-15,40100.00,42050.00,39600.00,42050.00,606800,42050.00
2012-10-12,41150.00,41950.00,39850.00,40000.00,696000,40000.00
2012-10-11,42650.00,43250.00,40750.00,41300.00,808500,41300.00
2012-10-10,42100.00,43400.00,41500.00,43350.00,531400,43350.00
2012-10-09,43650.00,43650.00,41950.00,42750.00,674400,42750.00
2012-10-08,43550.00,43950.00,43000.00,43750.00,448100,43750.00
2012-10-05,41700.00,44100.00,41100.00,43400.00,740800,43400.00
2012-10-04,43350.00,43500.00,40450.00,41350.00,796800,41350.00
2012-10-03,43000.00,43000.00,43000.00,43000.00,000,43000.00
2012-10-02,42100.00,44250.00,41950.00,43000.00,504200,43000.00
2012-10-01,42100.00,42100.00,42100.00,42100.00,000,42100.00
2012-09-28,42500.00,42750.00,41750.00,42100.00,363300,42100.00
2012-09-27,40000.00,42500.00,39850.00,42500.00,625100,42500.00
2012-09-26,38900.00,40650.00,38750.00,40000.00,639700,40000.00
2012-09-25,40800.00,41050.00,39000.00,39000.00,447400,39000.00
2012-09-24,39800.00,40850.00,39450.00,40400.00,461200,40400.00
2012-09-21,40450.00,40450.00,39400.00,39800.00,413300,39800.00
2012-09-20,40250.00,40700.00,39350.00,40100.00,552200,40100.00
2012-09-19,38200.00,40200.00,38200.00,40100.00,792200,40100.00
2012-09-18,38300.00,39200.00,37800.00,38300.00,516600,38300.00
2012-09-17,38050.00,39600.00,38000.00,38950.00,525400,38950.00
2012-09-14,39000.00,39700.00,38100.00,38150.00,727200,38150.00
2012-09-13,37150.00,39250.00,36900.00,38100.00,986500,38100.00
2012-09-12,35200.00,37250.00,35200.00,37150.00,606200,37150.00
2012-09-11,35100.00,35650.00,34850.00,35050.00,163400,35050.00
2012-09-10,35250.00,35400.00,34900.00,35300.00,169500,35300.00
2012-09-07,35200.00,35900.00,34850.00,35200.00,437300,35200.00
2012-09-06,34400.00,34950.00,33900.00,34700.00,329900,34700.00
2012-09-05,34750.00,34750.00,34000.00,34400.00,350700,34400.00
2012-09-04,35100.00,35350.00,34600.00,35100.00,263000,35100.00
2012-09-03,34500.00,35350.00,34050.00,35250.00,310000,35250.00
2012-08-31,34050.00,34750.00,33900.00,34350.00,399100,34350.00
2012-08-30,35450.00,35600.00,34050.00,34050.00,419000,34050.00
2012-08-29,35400.00,35750.00,34750.00,35550.00,585000,35550.00
2012-08-28,36000.00,36800.00,35500.00,35500.00,357100,35500.00
2012-08-27,36100.00,36300.00,35950.00,36150.00,297300,36150.00
2012-08-24,35100.00,36000.00,34800.00,36000.00,447800,36000.00
2012-08-23,34800.00,35350.00,34350.00,35350.00,576600,35350.00
2012-08-22,34600.00,34900.00,34200.00,34500.00,447800,34500.00
2012-08-21,35600.00,35600.00,34550.00,34850.00,465600,34850.00
2012-08-20,36200.00,36400.00,35350.00,35450.00,292900,35450.00
2012-08-17,36350.00,36400.00,35450.00,36250.00,264700,36250.00
2012-08-16,36100.00,36500.00,35850.00,36250.00,264900,36250.00
2012-08-15,36100.00,36100.00,36100.00,36100.00,000,36100.00
2012-08-14,35150.00,36150.00,35050.00,36100.00,487000,36100.00
2012-08-13,35400.00,35500.00,34900.00,35250.00,176700,35250.00
2012-08-10,35050.00,35350.00,34550.00,35250.00,450200,35250.00
2012-08-09,35700.00,35750.00,34850.00,35000.00,848000,35000.00
2012-08-08,36000.00,36050.00,35200.00,35700.00,405400,35700.00
2012-08-07,35400.00,35900.00,35300.00,35850.00,502300,35850.00
2012-08-06,36500.00,36500.00,35200.00,35850.00,595800,35850.00
2012-08-03,35850.00,36300.00,35150.00,36150.00,282000,36150.00
2012-08-02,36300.00,36450.00,35550.00,36250.00,295200,36250.00
2012-08-01,35600.00,36450.00,35150.00,36450.00,357100,36450.00
2012-07-31,35200.00,36000.00,34850.00,36000.00,559100,36000.00
2012-07-30,35000.00,35500.00,34600.00,35500.00,430500,35500.00
2012-07-27,35350.00,35400.00,34550.00,35250.00,637800,35250.00
2012-07-26,33800.00,35400.00,33750.00,35000.00,686900,35000.00
2012-07-25,31950.00,34000.00,31700.00,33500.00,594400,33500.00
2012-07-24,32400.00,32800.00,31900.00,32450.00,342300,32450.00
2012-07-23,32850.00,33000.00,32400.00,32700.00,423600,32700.00
2012-07-20,33200.00,33650.00,32700.00,33150.00,432600,33150.00
2012-07-19,33400.00,33900.00,32950.00,33150.00,519700,33150.00
2012-07-18,33000.00,33750.00,32550.00,32800.00,545500,32800.00
2012-07-17,32950.00,33350.00,32350.00,33000.00,1050100,33000.00
2012-07-16,31400.00,33000.00,31350.00,33000.00,941400,33000.00
2012-07-13,30900.00,31550.00,30100.00,31000.00,660700,31000.00
2012-07-12,31600.00,32150.00,30800.00,30800.00,1978900,30800.00
2012-07-11,30900.00,32150.00,30900.00,32000.00,308500,32000.00
2012-07-10,32100.00,32250.00,30850.00,31200.00,480100,31200.00
2012-07-09,32650.00,32850.00,32050.00,32050.00,166000,32050.00
2012-07-06,32900.00,33050.00,32600.00,32700.00,176500,32700.00
2012-07-05,33300.00,33400.00,32700.00,32850.00,296700,32850.00
2012-07-04,34000.00,35100.00,33150.00,33350.00,493900,33350.00
2012-07-03,33150.00,34200.00,32900.00,34200.00,263900,34200.00
2012-07-02,33300.00,33300.00,32550.00,33150.00,233500,33150.00
2012-06-29,31500.00,33000.00,31200.00,33000.00,342600,33000.00
2012-06-28,31700.00,31750.00,31050.00,31700.00,238100,31700.00
2012-06-27,31400.00,31850.00,30850.00,31700.00,309300,31700.00
2012-06-26,32200.00,32550.00,31200.00,31450.00,411500,31450.00
2012-06-25,32200.00,32600.00,30950.00,32500.00,388400,32500.00
2012-06-22,31800.00,32450.00,31600.00,32350.00,394600,32350.00
2012-06-21,32450.00,32650.00,31550.00,32400.00,403400,32400.00
2012-06-20,31950.00,32750.00,31200.00,32750.00,570200,32750.00
2012-06-19,31850.00,32600.00,31350.00,31800.00,515100,31800.00
2012-06-18,31600.00,32250.00,31400.00,31900.00,591800,31900.00
2012-06-15,30450.00,31700.00,30200.00,31150.00,780600,31150.00
2012-06-14,29450.00,30550.00,29400.00,30400.00,850800,30400.00
2012-06-13,29600.00,29700.00,29300.00,29500.00,405500,29500.00
2012-06-12,29500.00,29800.00,29450.00,29500.00,365900,29500.00
2012-06-11,29250.00,30000.00,29050.00,29900.00,367900,29900.00
2012-06-08,28900.00,29100.00,28750.00,29000.00,264200,29000.00
2012-06-07,29150.00,29650.00,28900.00,29000.00,400100,29000.00
2012-06-06,28700.00,28700.00,28700.00,28700.00,000,28700.00
2012-06-05,28750.00,29100.00,28550.00,28700.00,310800,28700.00
2012-06-04,28150.00,29300.00,28100.00,28550.00,395400,28550.00
2012-06-01,28800.00,29100.00,28800.00,28900.00,146300,28900.00
2012-05-31,28800.00,29250.00,28600.00,29000.00,173400,29000.00
2012-05-30,29450.00,29500.00,28950.00,29200.00,156500,29200.00
2012-05-29,29800.00,29800.00,28800.00,29400.00,518700,29400.00
2012-05-28,29750.00,29750.00,29750.00,29750.00,000,29750.00
2012-05-25,29250.00,29800.00,29050.00,29750.00,348900,29750.00
2012-05-24,28900.00,29500.00,28750.00,29250.00,119800,29250.00
2012-05-23,29100.00,29300.00,28700.00,28950.00,137400,28950.00
2012-05-22,29600.00,29600.00,28700.00,29500.00,342900,29500.00
2012-05-21,29850.00,29850.00,28550.00,29600.00,338700,29600.00
2012-05-18,29050.00,29900.00,28650.00,29500.00,301300,29500.00
2012-05-17,28500.00,30450.00,28450.00,29500.00,323400,29500.00
2012-05-16,29300.00,29300.00,28300.00,28350.00,312200,28350.00
2012-05-15,29300.00,29450.00,28400.00,29400.00,384900,29400.00
2012-05-14,28700.00,29800.00,28150.00,29700.00,330700,29700.00
2012-05-11,29550.00,29700.00,28850.00,29000.00,268100,29000.00
2012-05-10,29750.00,30050.00,29350.00,29750.00,241500,29750.00
2012-05-09,30600.00,30700.00,29750.00,29750.00,396200,29750.00
2012-05-08,31050.00,31350.00,30500.00,30750.00,308000,30750.00
2012-05-07,31000.00,31250.00,30350.00,31050.00,409700,31050.00
2012-05-04,31550.00,32100.00,31350.00,31700.00,354100,31700.00
2012-05-03,32800.00,33000.00,30850.00,31350.00,506900,31350.00
2012-05-02,32750.00,33600.00,32700.00,32750.00,208900,32750.00
2012-05-01,32800.00,32800.00,32800.00,32800.00,000,32800.00
2012-04-30,33750.00,33800.00,32700.00,32800.00,184800,32800.00
2012-04-27,33000.00,33900.00,32500.00,33650.00,396800,33650.00
2012-04-26,33550.00,34200.00,32550.00,32850.00,289300,32850.00
2012-04-25,33100.00,33800.00,32600.00,33750.00,459600,33750.00
2012-04-24,33500.00,33550.00,32750.00,33200.00,280900,33200.00
2012-04-23,34300.00,34700.00,33250.00,33950.00,309600,33950.00
2012-04-20,34600.00,35200.00,34250.00,34500.00,247000,34500.00
2012-04-19,35250.00,35450.00,34300.00,34700.00,207700,34700.00
2012-04-18,35500.00,35650.00,35100.00,35600.00,360900,35600.00
2012-04-17,36350.00,36350.00,34800.00,35100.00,432100,35100.00
2012-04-16,36650.00,36650.00,35900.00,36350.00,216300,36350.00
2012-04-13,36600.00,36900.00,36200.00,36700.00,176400,36700.00
2012-04-12,36200.00,36700.00,35650.00,36700.00,430600,36700.00
2012-04-11,36200.00,36200.00,36200.00,36200.00,000,36200.00
2012-04-10,35050.00,36200.00,35050.00,36200.00,251700,36200.00
2012-04-09,35300.00,35800.00,35100.00,35200.00,168700,35200.00
2012-04-06,35400.00,36050.00,35250.00,35600.00,213000,35600.00
2012-04-05,35950.00,36500.00,35050.00,35300.00,316300,35300.00
2012-04-04,36500.00,36650.00,35850.00,36200.00,334200,36200.00
2012-04-03,36050.00,37100.00,35700.00,36400.00,520800,36400.00
2012-04-02,36000.00,36750.00,35700.00,35800.00,288800,35800.00
2012-03-30,37050.00,37050.00,35900.00,35900.00,277300,35900.00
2012-03-29,36000.00,37200.00,35700.00,37000.00,415700,37000.00
2012-03-28,36750.00,36750.00,35900.00,36500.00,429600,36500.00
2012-03-27,37250.00,37850.00,36650.00,36750.00,535600,36750.00
2012-03-26,36300.00,37400.00,36300.00,37200.00,382800,37200.00
2012-03-23,36800.00,37000.00,36000.00,36400.00,374300,36400.00
2012-03-22,35300.00,37050.00,35200.00,36700.00,686800,36700.00
2012-03-21,35000.00,35700.00,34700.00,35200.00,202300,35200.00
2012-03-20,34700.00,35500.00,34700.00,35300.00,112100,35300.00
2012-03-19,35000.00,35400.00,34500.00,34900.00,193600,34900.00
2012-03-16,35800.00,35800.00,34850.00,35000.00,250900,35000.00
2012-03-15,35800.00,35950.00,35350.00,35750.00,279000,35750.00
2012-03-14,35950.00,36500.00,35500.00,36050.00,364400,36050.00
2012-03-13,35350.00,36000.00,35300.00,35600.00,370800,35600.00
2012-03-12,34100.00,35700.00,33950.00,35350.00,668100,35350.00
2012-03-09,33800.00,34150.00,33250.00,34100.00,269700,34100.00
2012-03-08,33600.00,33700.00,33100.00,33650.00,437800,33650.00
2012-03-07,33550.00,34150.00,33150.00,33450.00,399300,33450.00
2012-03-06,34750.00,35050.00,34050.00,34300.00,329500,34300.00
2012-03-05,34700.00,35150.00,34350.00,34750.00,311200,34750.00
2012-03-02,35550.00,35900.00,34600.00,34850.00,361400,34850.00
2012-03-01,35250.00,35250.00,35250.00,35250.00,000,35250.00
2012-02-29,34300.00,35400.00,34150.00,35250.00,471700,35250.00
2012-02-28,34900.00,35100.00,33950.00,34200.00,499500,34200.00
2012-02-27,35750.00,35850.00,34800.00,35100.00,455800,35100.00
2012-02-24,34800.00,35850.00,34450.00,35600.00,1124700,35600.00
2012-02-23,31950.00,34700.00,31950.00,34500.00,1265800,34500.00
2012-02-22,32450.00,32850.00,32200.00,32200.00,344400,32200.00
2012-02-21,32000.00,32450.00,31850.00,32150.00,152900,32150.00
2012-02-20,32500.00,32600.00,32150.00,32200.00,146300,32200.00
2012-02-17,32100.00,32650.00,32050.00,32600.00,251200,32600.00
2012-02-16,32350.00,32750.00,32000.00,32000.00,341100,32000.00
2012-02-15,32150.00,32700.00,32150.00,32450.00,314000,32450.00
2012-02-14,31750.00,32600.00,31700.00,32200.00,343500,32200.00
2012-02-13,31950.00,32100.00,31700.00,31700.00,213000,31700.00
2012-02-10,31900.00,32600.00,31800.00,31950.00,534700,31950.00
2012-02-09,31800.00,32000.00,31200.00,31700.00,318100,31700.00
2012-02-08,30700.00,31600.00,30700.00,31500.00,460700,31500.00
2012-02-07,31100.00,31350.00,30500.00,30850.00,458000,30850.00
2012-02-06,31750.00,31750.00,31000.00,31250.00,300200,31250.00
2012-02-03,31100.00,31350.00,30650.00,31300.00,233400,31300.00
2012-02-02,30800.00,31400.00,30500.00,31100.00,627200,31100.00
2012-02-01,30100.00,31100.00,29950.00,30450.00,521300,30450.00
2012-01-31,30150.00,30500.00,29900.00,30150.00,210000,30150.00
2012-01-30,30350.00,30650.00,29900.00,30100.00,239000,30100.00
2012-01-27,29850.00,30400.00,29700.00,30350.00,306200,30350.00
2012-01-26,30000.00,30150.00,29500.00,29650.00,260400,29650.00
2012-01-25,30300.00,30600.00,29750.00,29900.00,310400,29900.00
2012-01-24,30300.00,30300.00,30300.00,30300.00,000,30300.00
2012-01-23,30300.00,30300.00,30300.00,30300.00,000,30300.00
2012-01-20,29600.00,30350.00,29550.00,30300.00,380100,30300.00
2012-01-19,30000.00,30300.00,29300.00,29400.00,499400,29400.00
2012-01-18,29500.00,30550.00,29500.00,29700.00,1019100,29700.00
2012-01-17,28200.00,28800.00,28050.00,28800.00,234800,28800.00
2012-01-16,28150.00,28400.00,27650.00,28350.00,219200,28350.00
2012-01-13,27600.00,28550.00,27600.00,28350.00,317900,28350.00
2012-01-12,27350.00,27900.00,27250.00,27800.00,282900,27800.00
2012-01-11,27500.00,27500.00,27100.00,27100.00,286100,27100.00
