Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,12000.00,12000.00,12000.00,12000.00,000,12000.00
2012-12-28,11950.00,12100.00,11850.00,12000.00,1203300,12000.00
2012-12-27,11750.00,12000.00,11600.00,12000.00,1233900,12000.00
2012-12-26,11700.00,11900.00,11700.00,11700.00,1149300,11700.00
2012-12-25,11650.00,11650.00,11650.00,11650.00,000,11650.00
2012-12-24,11800.00,11850.00,11600.00,11650.00,1116900,11650.00
2012-12-21,12100.00,12150.00,11600.00,11850.00,2459300,11850.00
2012-12-20,11850.00,12100.00,11800.00,11950.00,2671800,11950.00
2012-12-19,11700.00,11700.00,11700.00,11700.00,000,11700.00
2012-12-18,11700.00,11900.00,11550.00,11700.00,2290700,11700.00
2012-12-17,11700.00,11750.00,11400.00,11550.00,1155700,11550.00
2012-12-14,11600.00,11800.00,11550.00,11800.00,1496800,11800.00
2012-12-13,11500.00,11750.00,11450.00,11750.00,3227000,11750.00
2012-12-12,11300.00,11550.00,11200.00,11550.00,3115200,11550.00
2012-12-11,10850.00,11300.00,10800.00,11200.00,2763600,11200.00
2012-12-10,10900.00,10950.00,10750.00,10800.00,986900,10800.00
2012-12-07,11000.00,11100.00,10800.00,10850.00,1325000,10850.00
2012-12-06,10900.00,10950.00,10800.00,10900.00,1094300,10900.00
2012-12-05,10600.00,11000.00,10550.00,10900.00,1725900,10900.00
2012-12-04,10500.00,10700.00,10450.00,10650.00,563800,10650.00
2012-12-03,10600.00,10700.00,10550.00,10600.00,856300,10600.00
2012-11-30,10700.00,10800.00,10550.00,10700.00,1106900,10700.00
2012-11-29,10600.00,10900.00,10550.00,10700.00,2319500,10700.00
2012-11-28,10450.00,10500.00,10250.00,10400.00,1172900,10400.00
2012-11-27,10100.00,10650.00,10050.00,10550.00,2940700,10550.00
2012-11-26,10150.00,10200.00,10000.00,10000.00,863200,10000.00
2012-11-23,10150.00,10150.00,9990.00,10100.00,705200,10100.00
2012-11-22,10050.00,10200.00,10000.00,10050.00,831500,10050.00
2012-11-21,10150.00,10200.00,9950.00,9960.00,1020900,9960.00
2012-11-20,10450.00,10450.00,10150.00,10150.00,1111900,10150.00
2012-11-19,10000.00,10250.00,10000.00,10200.00,1166900,10200.00
2012-11-16,9730.00,9990.00,9730.00,9970.00,3873500,9970.00
2012-11-15,10250.00,10350.00,10150.00,10200.00,1046300,10200.00
2012-11-14,10350.00,10500.00,10150.00,10500.00,947100,10500.00
2012-11-13,10700.00,10750.00,10300.00,10400.00,1551300,10400.00
2012-11-12,10850.00,10900.00,10700.00,10750.00,647700,10750.00
2012-11-09,10800.00,10950.00,10700.00,10900.00,830400,10900.00
2012-11-08,11050.00,11150.00,10800.00,10950.00,1603500,10950.00
2012-11-07,11250.00,11450.00,11100.00,11400.00,1568000,11400.00
2012-11-06,10750.00,11350.00,10750.00,11250.00,1417900,11250.00
2012-11-05,10750.00,10900.00,10700.00,10800.00,825500,10800.00
2012-11-02,10950.00,11000.00,10850.00,11000.00,950600,11000.00
2012-11-01,10950.00,10950.00,10650.00,10650.00,1105000,10650.00
2012-10-31,10950.00,11100.00,10950.00,11000.00,706800,11000.00
2012-10-30,10750.00,11000.00,10750.00,10850.00,619300,10850.00
2012-10-29,10850.00,10950.00,10650.00,10750.00,700800,10750.00
2012-10-26,11050.00,11100.00,10750.00,10750.00,1415000,10750.00
2012-10-25,11200.00,11400.00,10950.00,11150.00,1334800,11150.00
2012-10-24,11200.00,11400.00,11100.00,11250.00,1056100,11250.00
2012-10-23,11600.00,11650.00,11400.00,11400.00,798000,11400.00
2012-10-22,11450.00,11650.00,11400.00,11650.00,711600,11650.00
2012-10-19,11950.00,12000.00,11700.00,11800.00,745700,11800.00
2012-10-18,11850.00,11950.00,11750.00,11950.00,758500,11950.00
2012-10-17,11900.00,12100.00,11800.00,11800.00,1429200,11800.00
2012-10-16,11800.00,11850.00,11600.00,11700.00,1013000,11700.00
2012-10-15,11700.00,11800.00,11350.00,11500.00,1186800,11500.00
2012-10-12,12050.00,12150.00,11750.00,11800.00,1024600,11800.00
2012-10-11,12000.00,12250.00,11900.00,12050.00,1692400,12050.00
2012-10-10,12050.00,12100.00,11850.00,11950.00,1461500,11950.00
2012-10-09,12050.00,12300.00,12050.00,12200.00,839000,12200.00
2012-10-08,12650.00,12750.00,12050.00,12150.00,1830800,12150.00
2012-10-05,12850.00,12950.00,12650.00,12650.00,1260500,12650.00
2012-10-04,12700.00,12750.00,12450.00,12600.00,1254300,12600.00
2012-10-03,12700.00,12700.00,12700.00,12700.00,000,12700.00
2012-10-02,12800.00,12850.00,12600.00,12700.00,854400,12700.00
2012-10-01,12750.00,12750.00,12750.00,12750.00,000,12750.00
2012-09-28,13100.00,13100.00,12650.00,12750.00,1411100,12750.00
2012-09-27,12650.00,13100.00,12400.00,13000.00,2070600,13000.00
2012-09-26,12750.00,12950.00,12600.00,12800.00,1292700,12800.00
2012-09-25,12900.00,13400.00,12850.00,12950.00,2094300,12950.00
2012-09-24,13150.00,13150.00,12800.00,13050.00,1844100,13050.00
2012-09-21,13300.00,13350.00,13050.00,13300.00,1425000,13300.00
2012-09-20,13450.00,13750.00,13100.00,13150.00,2243200,13150.00
2012-09-19,13350.00,13750.00,13000.00,13550.00,2720800,13550.00
2012-09-18,13150.00,13550.00,13100.00,13350.00,2485200,13350.00
2012-09-17,13400.00,13500.00,13150.00,13150.00,5968200,13150.00
2012-09-14,12400.00,13450.00,12400.00,13450.00,12054300,13450.00
2012-09-13,11700.00,11700.00,11500.00,11700.00,931100,11700.00
2012-09-12,11350.00,11800.00,11300.00,11700.00,1426900,11700.00
2012-09-11,11350.00,11400.00,11100.00,11250.00,562400,11250.00
2012-09-10,11500.00,11550.00,11400.00,11400.00,429600,11400.00
2012-09-07,11300.00,11450.00,11250.00,11450.00,1028900,11450.00
2012-09-06,10900.00,11150.00,10800.00,10950.00,427400,10950.00
2012-09-05,11100.00,11100.00,10850.00,10900.00,581800,10900.00
2012-09-04,11100.00,11200.00,11000.00,11200.00,729500,11200.00
2012-09-03,11350.00,11400.00,11150.00,11200.00,811300,11200.00
2012-08-31,11100.00,11250.00,11100.00,11250.00,436400,11250.00
2012-08-30,11450.00,11500.00,11100.00,11200.00,782900,11200.00
2012-08-29,11450.00,11550.00,11300.00,11500.00,483800,11500.00
2012-08-28,11500.00,11600.00,11400.00,11450.00,428700,11450.00
2012-08-27,11400.00,11600.00,11350.00,11550.00,687200,11550.00
2012-08-24,11450.00,11550.00,11250.00,11300.00,894500,11300.00
2012-08-23,11550.00,11650.00,11350.00,11650.00,904100,11650.00
2012-08-22,11650.00,11750.00,11400.00,11600.00,838300,11600.00
2012-08-21,11850.00,11900.00,11700.00,11700.00,626500,11700.00
2012-08-20,11900.00,11950.00,11700.00,11750.00,745200,11750.00
2012-08-17,11950.00,12000.00,11850.00,11850.00,679400,11850.00
2012-08-16,11800.00,11900.00,11700.00,11850.00,590200,11850.00
2012-08-15,11850.00,11850.00,11850.00,11850.00,000,11850.00
2012-08-14,11700.00,11900.00,11650.00,11850.00,818500,11850.00
2012-08-13,11800.00,11900.00,11600.00,11600.00,602900,11600.00
2012-08-10,11750.00,11850.00,11500.00,11800.00,1131000,11800.00
2012-08-09,11400.00,11800.00,11400.00,11700.00,2008200,11700.00
2012-08-08,11250.00,11550.00,11200.00,11400.00,2336500,11400.00
2012-08-07,10800.00,11300.00,10750.00,11200.00,2054000,11200.00
2012-08-06,10950.00,11050.00,10850.00,10850.00,1619500,10850.00
2012-08-03,10400.00,10750.00,10350.00,10600.00,1041400,10600.00
2012-08-02,10550.00,10650.00,10450.00,10550.00,612900,10550.00
2012-08-01,10450.00,10700.00,10400.00,10600.00,908700,10600.00
2012-07-31,10250.00,10650.00,10100.00,10600.00,1673400,10600.00
2012-07-30,10350.00,10400.00,10150.00,10200.00,368600,10200.00
2012-07-27,10100.00,10250.00,10050.00,10200.00,781900,10200.00
2012-07-26,9860.00,9960.00,9850.00,9930.00,420000,9930.00
2012-07-25,9910.00,9950.00,9810.00,9850.00,546900,9850.00
2012-07-24,9900.00,10050.00,9900.00,10000.00,606700,10000.00
2012-07-23,10050.00,10100.00,9930.00,10050.00,969600,10050.00
2012-07-20,10200.00,10250.00,10050.00,10250.00,712500,10250.00
2012-07-19,10300.00,10350.00,10150.00,10200.00,528700,10200.00
2012-07-18,10400.00,10450.00,10150.00,10150.00,949900,10150.00
2012-07-17,10400.00,10600.00,10250.00,10400.00,636000,10400.00
2012-07-16,10550.00,10650.00,10400.00,10400.00,695000,10400.00
2012-07-13,10450.00,10600.00,10150.00,10450.00,1059500,10450.00
2012-07-12,10400.00,10750.00,10300.00,10300.00,1826700,10300.00
2012-07-11,10250.00,10450.00,10250.00,10350.00,538100,10350.00
2012-07-10,10450.00,10550.00,10350.00,10350.00,611400,10350.00
2012-07-09,10550.00,10550.00,10400.00,10550.00,816900,10550.00
2012-07-06,10750.00,10800.00,10550.00,10650.00,739500,10650.00
2012-07-05,10700.00,10800.00,10600.00,10750.00,833900,10750.00
2012-07-04,10800.00,10850.00,10650.00,10750.00,686600,10750.00
2012-07-03,10550.00,10800.00,10550.00,10750.00,1153100,10750.00
2012-07-02,10700.00,10700.00,10450.00,10550.00,973200,10550.00
2012-06-29,10200.00,10600.00,10150.00,10500.00,1440300,10500.00
2012-06-28,10300.00,10350.00,10150.00,10250.00,575300,10250.00
2012-06-27,10300.00,10300.00,10150.00,10250.00,587800,10250.00
2012-06-26,10250.00,10350.00,10200.00,10250.00,549500,10250.00
2012-06-25,10500.00,10500.00,10250.00,10350.00,771900,10350.00
2012-06-22,10500.00,10550.00,10400.00,10450.00,932800,10450.00
2012-06-21,10800.00,10800.00,10550.00,10750.00,691600,10750.00
2012-06-20,10850.00,10950.00,10750.00,10850.00,894800,10850.00
2012-06-19,10700.00,10850.00,10600.00,10700.00,717900,10700.00
2012-06-18,10850.00,10950.00,10750.00,10750.00,1387900,10750.00
2012-06-15,10550.00,10650.00,10300.00,10500.00,1127800,10500.00
2012-06-14,10450.00,10600.00,10400.00,10450.00,1215000,10450.00
2012-06-13,10800.00,10850.00,10450.00,10500.00,911900,10500.00
2012-06-12,10250.00,10750.00,10250.00,10700.00,1599600,10700.00
2012-06-11,10300.00,10650.00,10250.00,10550.00,1585100,10550.00
2012-06-08,10250.00,10250.00,10050.00,10100.00,446800,10100.00
2012-06-07,10350.00,10400.00,10200.00,10200.00,1009600,10200.00
2012-06-06,10050.00,10050.00,10050.00,10050.00,000,10050.00
2012-06-05,9930.00,10100.00,9930.00,10050.00,701100,10050.00
2012-06-04,9840.00,10050.00,9830.00,9930.00,1176800,9930.00
2012-06-01,10200.00,10300.00,10100.00,10200.00,918300,10200.00
2012-05-31,10250.00,10400.00,10150.00,10200.00,1848300,10200.00
2012-05-30,10550.00,10600.00,10350.00,10500.00,1023300,10500.00
2012-05-29,10250.00,10700.00,10200.00,10600.00,1422900,10600.00
2012-05-28,10300.00,10300.00,10300.00,10300.00,000,10300.00
2012-05-25,10350.00,10350.00,10100.00,10300.00,678100,10300.00
2012-05-24,10050.00,10250.00,10050.00,10250.00,506300,10250.00
2012-05-23,10350.00,10350.00,10100.00,10100.00,870400,10100.00
2012-05-22,10350.00,10450.00,10250.00,10400.00,965800,10400.00
2012-05-21,10200.00,10350.00,10100.00,10150.00,571800,10150.00
2012-05-18,10300.00,10300.00,10000.00,10200.00,1254600,10200.00
2012-05-17,10450.00,10750.00,10450.00,10550.00,870400,10550.00
2012-05-16,10600.00,10650.00,10400.00,10400.00,973300,10400.00
2012-05-15,10650.00,10800.00,10600.00,10700.00,1117200,10700.00
2012-05-14,10900.00,11000.00,10700.00,10900.00,714600,10900.00
2012-05-11,11200.00,11250.00,10950.00,10950.00,851000,10950.00
2012-05-10,11300.00,11300.00,11100.00,11300.00,725200,11300.00
2012-05-09,11400.00,11500.00,11250.00,11400.00,505000,11400.00
2012-05-08,11500.00,11600.00,11450.00,11550.00,414500,11550.00
2012-05-07,11550.00,11600.00,11300.00,11400.00,789900,11400.00
2012-05-04,11550.00,11850.00,11550.00,11850.00,606200,11850.00
2012-05-03,11700.00,11800.00,11600.00,11700.00,412000,11700.00
2012-05-02,11550.00,11900.00,11450.00,11700.00,965500,11700.00
2012-05-01,11500.00,11500.00,11500.00,11500.00,000,11500.00
2012-04-30,11600.00,11700.00,11200.00,11500.00,522800,11500.00
2012-04-27,11300.00,11550.00,11250.00,11550.00,835700,11550.00
2012-04-26,11700.00,11700.00,11200.00,11250.00,1099400,11250.00
2012-04-25,12100.00,12100.00,11450.00,11650.00,1564200,11650.00
2012-04-24,12000.00,12050.00,11800.00,11950.00,905000,11950.00
2012-04-23,12100.00,12250.00,12000.00,12200.00,448100,12200.00
2012-04-20,12200.00,12250.00,12100.00,12150.00,568900,12150.00
2012-04-19,12500.00,12500.00,12250.00,12350.00,572200,12350.00
2012-04-18,12750.00,12900.00,12550.00,12550.00,698300,12550.00
2012-04-17,12600.00,12650.00,12400.00,12450.00,445600,12450.00
2012-04-16,12450.00,12600.00,12300.00,12600.00,520300,12600.00
2012-04-13,12650.00,12750.00,12550.00,12700.00,729400,12700.00
2012-04-12,12100.00,12450.00,12050.00,12450.00,728400,12450.00
2012-04-11,12250.00,12250.00,12250.00,12250.00,000,12250.00
2012-04-10,12100.00,12400.00,12100.00,12250.00,598700,12250.00
2012-04-09,12400.00,12400.00,12150.00,12150.00,905700,12150.00
2012-04-06,12650.00,12750.00,12550.00,12650.00,769800,12650.00
2012-04-05,12600.00,12800.00,12400.00,12800.00,1361800,12800.00
2012-04-04,13400.00,13450.00,12900.00,12950.00,1051000,12950.00
2012-04-03,13350.00,13650.00,13300.00,13550.00,1217500,13550.00
2012-04-02,13150.00,13450.00,13050.00,13350.00,652300,13350.00
2012-03-30,12950.00,13200.00,12850.00,13200.00,750400,13200.00
2012-03-29,13350.00,13350.00,12900.00,13000.00,1353900,13000.00
2012-03-28,13750.00,13750.00,13450.00,13500.00,975100,13364.64
2012-03-27,14000.00,14050.00,13700.00,13800.00,863900,13661.63
2012-03-26,13850.00,14150.00,13650.00,13750.00,943500,13612.13
2012-03-23,13700.00,13850.00,13500.00,13850.00,712500,13711.13
2012-03-22,13750.00,13850.00,13600.00,13750.00,818400,13612.13
2012-03-21,13950.00,14150.00,13750.00,13800.00,1172400,13661.63
2012-03-20,14350.00,14400.00,14000.00,14100.00,940800,13958.62
2012-03-19,14250.00,14550.00,14200.00,14350.00,1825900,14206.12
2012-03-16,14200.00,14250.00,13900.00,14150.00,870800,14008.12
2012-03-15,14000.00,14150.00,13800.00,14050.00,1104400,13909.12
2012-03-14,14250.00,14400.00,13950.00,14000.00,2596300,13859.63
2012-03-13,13500.00,13850.00,13500.00,13750.00,1279700,13612.13
2012-03-12,13700.00,13700.00,13350.00,13450.00,788000,13315.14
2012-03-09,13750.00,13800.00,13450.00,13750.00,1109200,13612.13
2012-03-08,13400.00,13650.00,13150.00,13650.00,1342600,13513.14
2012-03-07,12950.00,13350.00,12900.00,13300.00,700400,13166.64
2012-03-06,13450.00,13600.00,13200.00,13300.00,972500,13166.64
2012-03-05,13600.00,13650.00,13350.00,13600.00,1377000,13463.64
2012-03-02,14050.00,14150.00,13600.00,13700.00,2189700,13562.63
2012-03-01,13950.00,13950.00,13950.00,13950.00,000,13810.13
2012-02-29,14200.00,14400.00,13950.00,13950.00,1549000,13810.13
2012-02-28,13900.00,14050.00,13700.00,14050.00,1176400,13909.12
2012-02-27,13950.00,14000.00,13700.00,13850.00,1135000,13711.13
2012-02-24,13800.00,14150.00,13800.00,14150.00,1161900,14008.12
2012-02-23,13950.00,14000.00,13650.00,13800.00,1385900,13661.63
2012-02-22,14150.00,14200.00,13850.00,14100.00,1295300,13958.62
2012-02-21,14450.00,14500.00,14000.00,14300.00,1757700,14156.62
2012-02-20,14850.00,14850.00,14350.00,14550.00,1400900,14404.11
2012-02-17,14250.00,14700.00,14250.00,14600.00,2827600,14453.61
2012-02-16,14200.00,14300.00,13900.00,13900.00,1775700,13760.63
2012-02-15,13700.00,14400.00,13700.00,14400.00,3132500,14255.62
2012-02-14,13650.00,13800.00,13550.00,13700.00,1080500,13562.63
2012-02-13,13600.00,13800.00,13500.00,13650.00,1059700,13513.14
2012-02-10,13800.00,13950.00,13500.00,13650.00,1306800,13513.14
2012-02-09,13650.00,13750.00,13250.00,13750.00,3398200,13612.13
2012-02-08,13650.00,14100.00,13600.00,14000.00,1274000,13859.63
2012-02-07,13950.00,14000.00,13500.00,13650.00,1887600,13513.14
2012-02-06,14250.00,14300.00,13850.00,14000.00,1896800,13859.63
2012-02-03,13750.00,14050.00,13500.00,13850.00,1859400,13711.13
2012-02-02,13700.00,13900.00,13550.00,13750.00,3147800,13612.13
2012-02-01,13100.00,13450.00,13000.00,13400.00,2222900,13265.64
2012-01-31,12950.00,13200.00,12900.00,13150.00,1491400,13018.15
2012-01-30,13000.00,13200.00,12750.00,13000.00,1780900,12869.65
2012-01-27,12850.00,13300.00,12650.00,13100.00,2656600,12968.65
2012-01-26,12850.00,12900.00,12600.00,12750.00,1374000,12622.16
2012-01-25,12700.00,13000.00,12450.00,12750.00,1828600,12622.16
2012-01-24,12750.00,12750.00,12750.00,12750.00,000,12622.16
2012-01-23,12750.00,12750.00,12750.00,12750.00,000,12622.16
2012-01-20,12400.00,12850.00,12350.00,12750.00,3436300,12622.16
2012-01-19,12450.00,12650.00,12100.00,12300.00,2058100,12176.67
2012-01-18,12300.00,12400.00,12000.00,12200.00,2254200,12077.67
2012-01-17,11950.00,12450.00,11950.00,12300.00,3598000,12176.67
2012-01-16,11450.00,11850.00,11400.00,11700.00,1707500,11582.69
2012-01-13,11500.00,11850.00,11450.00,11600.00,2434700,11483.69
2012-01-12,10950.00,11600.00,10900.00,11500.00,4608800,11384.69
2012-01-11,10950.00,11050.00,10850.00,10850.00,1553000,10741.21
2012-01-10,10550.00,11050.00,10550.00,11000.00,2152100,10889.71
2012-01-09,10550.00,10550.00,10350.00,10550.00,852900,10444.22
2012-01-06,10850.00,10900.00,10450.00,10650.00,879900,10543.22
2012-01-05,10800.00,10900.00,10700.00,10800.00,770700,10691.71
2012-01-04,10900.00,10900.00,10750.00,10800.00,1132800,10691.71
2012-01-03,10450.00,10850.00,10450.00,10850.00,2004700,10741.21
2012-01-02,10450.00,10450.00,10100.00,10350.00,1263700,10246.22
2011-12-30,10400.00,10400.00,10400.00,10400.00,000,10295.72
2011-12-29,10400.00,10500.00,10350.00,10400.00,1514100,10295.72
2011-12-28,10450.00,10550.00,10300.00,10450.00,1025500,10345.22
2011-12-27,10650.00,10750.00,10250.00,10350.00,1348500,10246.22
2011-12-26,10800.00,10850.00,10600.00,10650.00,748200,10543.22
2011-12-23,10600.00,10700.00,10500.00,10700.00,1178400,10592.71
2011-12-22,10450.00,10600.00,10350.00,10450.00,583200,10345.22
2011-12-21,10500.00,10700.00,10400.00,10500.00,1528000,10394.72
2011-12-20,10100.00,10200.00,10000.00,10000.00,957200,9899.73
2011-12-19,10400.00,10450.00,9650.00,10050.00,3125800,9949.23
2011-12-16,10650.00,10750.00,10350.00,10500.00,1667500,10394.72
2011-12-15,10700.00,10800.00,10500.00,10550.00,1182900,10444.22
2011-12-14,10700.00,11000.00,10700.00,10900.00,967100,10790.71
