Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,22700.00,22700.00,22700.00,22700.00,000,22700.00
2012-12-28,22000.00,22950.00,21850.00,22700.00,8700,22700.00
2012-12-27,21750.00,22250.00,21450.00,22050.00,8900,22050.00
2012-12-26,21900.00,22100.00,21800.00,21950.00,13900,21950.00
2012-12-25,21950.00,21950.00,21950.00,21950.00,000,21950.00
2012-12-24,21100.00,22000.00,21100.00,21950.00,9100,21950.00
2012-12-21,21300.00,21600.00,21000.00,21250.00,1800,21250.00
2012-12-20,21400.00,21900.00,21250.00,21650.00,8100,21650.00
2012-12-19,21400.00,21400.00,21400.00,21400.00,000,21400.00
2012-12-18,21000.00,21400.00,21000.00,21400.00,4300,21400.00
2012-12-17,21250.00,21850.00,20950.00,21300.00,3700,21300.00
2012-12-14,21000.00,21500.00,21000.00,21200.00,11000,21200.00
2012-12-13,20400.00,21300.00,20400.00,21000.00,54300,21000.00
2012-12-12,20450.00,20450.00,20200.00,20400.00,2500,20400.00
2012-12-11,20300.00,20400.00,20050.00,20250.00,3600,20250.00
2012-12-10,20600.00,20750.00,19800.00,20300.00,15300,20300.00
2012-12-07,20700.00,20950.00,20200.00,20900.00,7300,20900.00
2012-12-06,20950.00,21250.00,20000.00,20700.00,27100,20700.00
2012-12-05,21650.00,21650.00,21100.00,21350.00,3200,21350.00
2012-12-04,21600.00,21600.00,21250.00,21550.00,6000,21550.00
2012-12-03,21050.00,21700.00,21050.00,21700.00,5000,21700.00
2012-11-30,21400.00,21500.00,21200.00,21350.00,3500,21350.00
2012-11-29,21150.00,21500.00,21100.00,21400.00,2800,21400.00
2012-11-28,21000.00,21500.00,21000.00,21300.00,2500,21300.00
2012-11-27,21000.00,21600.00,20650.00,21300.00,18400,21300.00
2012-11-26,21000.00,21700.00,20900.00,21300.00,9200,21300.00
2012-11-23,21350.00,21500.00,21150.00,21400.00,2300,21400.00
2012-11-22,21250.00,21900.00,21100.00,21500.00,6000,21500.00
2012-11-21,21100.00,22000.00,21100.00,21600.00,5900,21600.00
2012-11-20,21600.00,21600.00,21000.00,21450.00,3500,21450.00
2012-11-19,21400.00,21600.00,20950.00,21500.00,5000,21500.00
2012-11-16,20600.00,21150.00,20500.00,20950.00,2000,20950.00
2012-11-15,21450.00,21450.00,20100.00,20600.00,10300,20600.00
2012-11-14,21700.00,21700.00,21150.00,21450.00,1200,21450.00
2012-11-13,21400.00,21800.00,20700.00,21500.00,9800,21500.00
2012-11-12,22100.00,22100.00,21400.00,21400.00,2800,21400.00
2012-11-09,21700.00,21900.00,21350.00,21750.00,4200,21750.00
2012-11-08,21950.00,22400.00,21400.00,21700.00,4100,21700.00
2012-11-07,22350.00,22350.00,21850.00,22000.00,5500,22000.00
2012-11-06,21450.00,23700.00,21450.00,22350.00,7300,22350.00
2012-11-05,20900.00,21650.00,20750.00,21450.00,2800,21450.00
2012-11-02,20700.00,21200.00,20400.00,20750.00,2900,20750.00
2012-11-01,21200.00,21200.00,20250.00,20700.00,6400,20700.00
2012-10-31,21300.00,21600.00,19800.00,20900.00,17300,20900.00
2012-10-30,20100.00,20700.00,20050.00,20700.00,2900,20700.00
2012-10-29,19900.00,20400.00,19750.00,20300.00,4500,20300.00
2012-10-26,20600.00,20950.00,19850.00,19900.00,6700,19900.00
2012-10-25,20850.00,21400.00,20800.00,20800.00,6000,20800.00
2012-10-24,21400.00,21800.00,21250.00,21300.00,1100,21300.00
2012-10-23,20900.00,21800.00,20800.00,21400.00,13400,21400.00
2012-10-22,20500.00,21000.00,20050.00,20950.00,5100,20950.00
2012-10-19,20300.00,20800.00,19500.00,20500.00,9900,20500.00
2012-10-18,21450.00,21450.00,19800.00,20150.00,7400,20150.00
2012-10-17,21400.00,22250.00,21050.00,21100.00,11100,21100.00
2012-10-16,20000.00,22250.00,19600.00,21400.00,54200,21400.00
2012-10-15,19800.00,20300.00,19200.00,20000.00,56000,20000.00
2012-10-12,17500.00,19600.00,17200.00,19200.00,74200,19200.00
2012-10-11,17100.00,17300.00,16750.00,17150.00,3400,17150.00
2012-10-10,16750.00,17100.00,16700.00,16900.00,2300,16900.00
2012-10-09,17350.00,17400.00,17000.00,17000.00,7200,17000.00
2012-10-08,16900.00,17350.00,16800.00,17000.00,700,17000.00
2012-10-05,16450.00,16950.00,16450.00,16900.00,9300,16900.00
2012-10-04,16800.00,16950.00,16000.00,16450.00,9800,16450.00
2012-10-03,16650.00,16650.00,16650.00,16650.00,000,16650.00
2012-10-02,17100.00,17100.00,16000.00,16650.00,10300,16650.00
2012-10-01,17100.00,17100.00,17100.00,17100.00,000,17100.00
2012-09-28,16650.00,17250.00,16650.00,17100.00,1100,17100.00
2012-09-27,17150.00,17150.00,16750.00,16850.00,1200,16850.00
2012-09-26,17350.00,17350.00,17000.00,17150.00,200,17150.00
2012-09-25,17100.00,17300.00,16900.00,17200.00,3500,17200.00
2012-09-24,17200.00,17350.00,17100.00,17150.00,3900,17150.00
2012-09-21,16950.00,17500.00,16950.00,17300.00,6700,17300.00
2012-09-20,16900.00,17200.00,16900.00,17200.00,1600,17200.00
2012-09-19,16750.00,17050.00,16750.00,16950.00,2100,16950.00
2012-09-18,16800.00,16950.00,16550.00,16900.00,1300,16900.00
2012-09-17,16450.00,17250.00,16450.00,16650.00,17800,16650.00
2012-09-14,16350.00,16950.00,16050.00,16550.00,4700,16550.00
2012-09-13,16200.00,16300.00,16000.00,16300.00,1400,16300.00
2012-09-12,16350.00,16350.00,16000.00,16300.00,1100,16300.00
2012-09-11,16150.00,16350.00,16050.00,16350.00,500,16350.00
2012-09-10,16150.00,16500.00,16150.00,16200.00,200,16200.00
2012-09-07,15900.00,16200.00,15750.00,16150.00,1700,16150.00
2012-09-06,15850.00,16050.00,15850.00,15900.00,400,15900.00
2012-09-05,15850.00,15850.00,15750.00,15750.00,400,15750.00
2012-09-04,15950.00,16100.00,15750.00,15800.00,1200,15800.00
2012-09-03,16200.00,16500.00,15800.00,16000.00,5200,16000.00
2012-08-31,16050.00,16500.00,16050.00,16200.00,2300,16200.00
2012-08-30,16150.00,16400.00,16000.00,16150.00,4900,16150.00
2012-08-29,16000.00,16450.00,16000.00,16450.00,3000,16450.00
2012-08-28,16150.00,16200.00,15950.00,16200.00,4700,16200.00
2012-08-27,16150.00,16200.00,15900.00,16150.00,1600,16150.00
2012-08-24,16000.00,16350.00,15900.00,16250.00,2200,16250.00
2012-08-23,16300.00,16300.00,16000.00,16000.00,600,16000.00
2012-08-22,15950.00,16250.00,15950.00,15950.00,200,15950.00
2012-08-21,16350.00,16350.00,15900.00,15950.00,1200,15950.00
2012-08-20,15650.00,16500.00,15650.00,15800.00,400,15800.00
2012-08-17,16100.00,16100.00,15800.00,15800.00,800,15800.00
