Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,27150.00,27150.00,27150.00,27150.00,000,27150.00
2012-12-28,27350.00,27550.00,27150.00,27150.00,1135100,27150.00
2012-12-27,27350.00,27350.00,26800.00,27250.00,590700,27250.00
2012-12-26,27950.00,28350.00,27350.00,27350.00,893700,27350.00
2012-12-25,27450.00,27450.00,27450.00,27450.00,000,27450.00
2012-12-24,27800.00,27850.00,27200.00,27450.00,810700,27450.00
2012-12-21,27800.00,28000.00,27100.00,27900.00,1673800,27900.00
2012-12-20,27450.00,28000.00,27250.00,27450.00,1186900,27450.00
2012-12-19,27200.00,27200.00,27200.00,27200.00,000,27200.00
2012-12-18,26850.00,27400.00,26650.00,27200.00,938900,27200.00
2012-12-17,26850.00,26950.00,26400.00,26650.00,816000,26650.00
2012-12-14,26300.00,27000.00,26100.00,26700.00,1036800,26700.00
2012-12-13,26500.00,27150.00,26150.00,26700.00,1786900,26700.00
2012-12-12,26000.00,26700.00,25950.00,26450.00,1547200,26450.00
2012-12-11,24750.00,26150.00,24750.00,25950.00,2554300,25950.00
2012-12-10,24800.00,25200.00,24500.00,24500.00,1072300,24500.00
2012-12-07,24500.00,25200.00,24500.00,24900.00,1315300,24900.00
2012-12-06,24050.00,24900.00,23950.00,24350.00,1355100,24350.00
2012-12-05,24000.00,24150.00,23600.00,24050.00,647000,24050.00
2012-12-04,23800.00,24150.00,23700.00,24000.00,760100,24000.00
2012-12-03,24400.00,24400.00,23700.00,23950.00,1239300,23950.00
2012-11-30,23600.00,24600.00,23450.00,24300.00,2278400,24300.00
2012-11-29,22600.00,23850.00,22500.00,23600.00,2445200,23600.00
2012-11-28,22350.00,22850.00,22050.00,22200.00,1125200,22200.00
2012-11-27,22050.00,22850.00,21750.00,22600.00,1630000,22600.00
2012-11-26,21650.00,22200.00,21550.00,22050.00,911500,22050.00
2012-11-23,21500.00,21750.00,21250.00,21550.00,435000,21550.00
2012-11-22,21750.00,21850.00,21400.00,21650.00,552700,21650.00
2012-11-21,21850.00,22000.00,21100.00,21500.00,637700,21500.00
2012-11-20,22300.00,22400.00,21550.00,21750.00,676300,21750.00
2012-11-19,21400.00,22050.00,21400.00,21800.00,928100,21800.00
2012-11-16,21400.00,21950.00,21100.00,21200.00,873500,21200.00
2012-11-15,21550.00,21950.00,21450.00,21700.00,961800,21700.00
2012-11-14,22000.00,22250.00,21850.00,22250.00,704100,22250.00
2012-11-13,22650.00,22850.00,21500.00,21850.00,2260900,21850.00
2012-11-12,23450.00,23650.00,22900.00,22900.00,1172800,22900.00
2012-11-09,23600.00,23900.00,23300.00,23850.00,402300,23850.00
2012-11-08,23900.00,24100.00,23800.00,23900.00,849700,23900.00
2012-11-07,24600.00,24850.00,24300.00,24800.00,689200,24800.00
2012-11-06,24000.00,24450.00,23550.00,24450.00,580400,24450.00
2012-11-05,24100.00,24450.00,23750.00,24000.00,538900,24000.00
2012-11-02,24000.00,24350.00,23900.00,24300.00,1133100,24300.00
2012-11-01,23450.00,23500.00,22850.00,23400.00,665300,23400.00
2012-10-31,23800.00,23900.00,23250.00,23400.00,433300,23400.00
2012-10-30,23200.00,23800.00,23150.00,23400.00,417000,23400.00
2012-10-29,23050.00,23600.00,23000.00,23200.00,589400,23200.00
