Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,17700.00,17700.00,17700.00,17700.00,000,17700.00
2012-12-28,17500.00,17700.00,17400.00,17700.00,100,17700.00
2012-12-27,17500.00,18350.00,17500.00,17500.00,900,17500.00
2012-12-26,17700.00,17900.00,17650.00,17650.00,400,17306.00
2012-12-25,17700.00,17700.00,17700.00,17700.00,000,17355.03
2012-12-24,17700.00,17900.00,17500.00,17700.00,800,17355.03
2012-12-21,17500.00,17800.00,17350.00,17800.00,700,17453.08
2012-12-20,17400.00,17650.00,17350.00,17650.00,600,17306.00
2012-12-19,17800.00,17800.00,17800.00,17800.00,000,17453.08
2012-12-18,17600.00,17800.00,17450.00,17800.00,100,17453.08
2012-12-17,17400.00,17700.00,17400.00,17650.00,200,17306.00
2012-12-14,17800.00,17850.00,17550.00,17800.00,300,17453.08
2012-12-13,17750.00,17800.00,17750.00,17800.00,100,17453.08
2012-12-12,17650.00,17800.00,17650.00,17650.00,200,17306.00
2012-12-11,17900.00,18000.00,17500.00,17950.00,2100,17600.15
2012-12-10,17700.00,18000.00,17650.00,17950.00,100,17600.15
2012-12-07,18000.00,18000.00,17550.00,18000.00,1500,17649.18
2012-12-06,17900.00,18000.00,17800.00,18000.00,300,17649.18
2012-12-05,17900.00,17900.00,17500.00,17900.00,200,17551.13
2012-12-04,17850.00,17850.00,17850.00,17850.00,000,17502.10
2012-12-03,17850.00,17850.00,17850.00,17850.00,200,17502.10
2012-11-30,17950.00,18000.00,17600.00,17850.00,500,17502.10
2012-11-29,17850.00,17850.00,17550.00,17850.00,20700,17502.10
2012-11-28,17900.00,17900.00,17850.00,17850.00,1400,17502.10
2012-11-27,17900.00,17900.00,17550.00,17900.00,1600,17551.13
2012-11-26,17850.00,17850.00,17600.00,17850.00,600,17502.10
2012-11-23,17700.00,18000.00,17550.00,17850.00,1500,17502.10
2012-11-22,17950.00,17950.00,17650.00,17650.00,600,17306.00
2012-11-21,18000.00,18000.00,17600.00,17950.00,200,17600.15
2012-11-20,17900.00,18000.00,17600.00,18000.00,700,17649.18
2012-11-19,17750.00,17900.00,17750.00,17800.00,300,17453.08
2012-11-16,17150.00,17750.00,17150.00,17750.00,000,17404.05
2012-11-15,17800.00,17850.00,17800.00,17850.00,000,17502.10
2012-11-14,18000.00,18000.00,17500.00,17900.00,800,17551.13
2012-11-13,17800.00,17800.00,17800.00,17800.00,100,17453.08
2012-11-12,17950.00,18300.00,17950.00,18000.00,500,17649.18
2012-11-09,17500.00,17850.00,17500.00,17850.00,500,17502.10
2012-11-08,17400.00,17900.00,17400.00,17900.00,000,17551.13
2012-11-07,17750.00,17950.00,17750.00,17950.00,1300,17600.15
2012-11-06,17500.00,17750.00,17400.00,17750.00,800,17404.05
2012-11-05,17350.00,17850.00,17350.00,17650.00,000,17306.00
2012-11-02,17400.00,17800.00,17350.00,17650.00,200,17306.00
2012-11-01,17200.00,17750.00,17100.00,17650.00,700,17306.00
2012-10-31,17800.00,17800.00,17800.00,17800.00,000,17453.08
2012-10-30,17900.00,17900.00,17350.00,17800.00,100,17453.08
2012-10-29,17550.00,17900.00,17550.00,17900.00,500,17551.13
2012-10-26,17600.00,17600.00,17400.00,17550.00,200,17207.95
2012-10-25,17200.00,17550.00,17200.00,17550.00,000,17207.95
2012-10-24,17650.00,17650.00,17600.00,17600.00,000,17256.97
2012-10-23,17350.00,17650.00,17350.00,17650.00,1300,17306.00
2012-10-22,17250.00,17850.00,17250.00,17800.00,000,17453.08
2012-10-19,17550.00,17950.00,17500.00,17950.00,100,17600.15
2012-10-18,18000.00,18000.00,18000.00,18000.00,000,17649.18
2012-10-17,17600.00,18000.00,17450.00,18000.00,900,17649.18
2012-10-16,18000.00,18000.00,17900.00,17950.00,700,17600.15
2012-10-15,17200.00,17900.00,17200.00,17450.00,100,17109.90
2012-10-12,17800.00,17800.00,17800.00,17800.00,600,17453.08
2012-10-11,17800.00,17800.00,17800.00,17800.00,000,17453.08
2012-10-10,17800.00,17800.00,17800.00,17800.00,000,17453.08
2012-10-09,17650.00,17950.00,17650.00,17650.00,100,17306.00
2012-10-08,18500.00,18500.00,17150.00,17650.00,400,17306.00
2012-10-05,16800.00,17700.00,16800.00,17700.00,9000,17355.03
2012-10-04,17000.00,17000.00,16600.00,16800.00,41800,16472.57
2012-10-03,17000.00,17000.00,17000.00,17000.00,000,16668.67
2012-10-02,17000.00,17000.00,17000.00,17000.00,000,16668.67
2012-10-01,17000.00,17000.00,17000.00,17000.00,000,16668.67
2012-09-28,17200.00,17200.00,16850.00,17000.00,300,16668.67
2012-09-27,16800.00,17000.00,16800.00,16850.00,400,16521.59
2012-09-26,17250.00,17250.00,16600.00,16850.00,3000,16521.59
2012-09-25,18000.00,18000.00,17050.00,17250.00,700,16913.80
2012-09-24,17500.00,17500.00,16950.00,17250.00,300,16913.80
2012-09-21,17250.00,17350.00,16800.00,17350.00,2200,17011.85
2012-09-20,17300.00,17600.00,17300.00,17300.00,000,16962.82
2012-09-19,17550.00,17600.00,17300.00,17600.00,100,17256.97
2012-09-18,17500.00,17600.00,17100.00,17600.00,400,17256.97
2012-09-17,17200.00,17550.00,17150.00,17150.00,000,16815.75
2012-09-14,16500.00,17700.00,16500.00,17700.00,4000,17355.03
2012-09-13,17100.00,17100.00,17100.00,17100.00,000,16766.72
2012-09-12,17200.00,17200.00,16800.00,17000.00,800,16668.67
2012-09-11,17250.00,17250.00,17000.00,17200.00,800,16864.77
2012-09-10,17300.00,17300.00,17250.00,17250.00,000,16913.80
2012-09-07,17350.00,17350.00,16800.00,17300.00,600,16962.82
2012-09-06,17350.00,17350.00,17350.00,17350.00,000,17011.85
2012-09-05,17300.00,17400.00,17300.00,17400.00,200,17060.87
2012-09-04,16900.00,17400.00,16900.00,17350.00,000,17011.85
2012-09-03,17800.00,17800.00,16800.00,17450.00,000,17109.90
2012-08-31,16900.00,17450.00,16900.00,17250.00,600,16913.80
2012-08-30,16700.00,16850.00,16650.00,16850.00,100,16521.59
2012-08-29,16700.00,16900.00,16650.00,16850.00,100,16521.59
2012-08-28,17000.00,17000.00,16900.00,16950.00,100,16619.64
2012-08-27,16950.00,16950.00,16950.00,16950.00,000,16619.64
2012-08-24,16600.00,16950.00,16600.00,16950.00,000,16619.64
2012-08-23,17000.00,17000.00,16300.00,16950.00,200,16619.64
2012-08-22,16750.00,17000.00,16750.00,16750.00,200,16423.54
2012-08-21,16700.00,16950.00,16700.00,16950.00,100,16619.64
2012-08-20,16900.00,16950.00,16700.00,16800.00,700,16472.57
2012-08-17,16850.00,17200.00,16750.00,16900.00,1000,16570.62
2012-08-16,16900.00,17250.00,16900.00,17200.00,900,16864.77
2012-08-15,16900.00,16900.00,16900.00,16900.00,000,16570.62
2012-08-14,16700.00,16950.00,16500.00,16900.00,500,16570.62
2012-08-13,16900.00,16900.00,16900.00,16900.00,000,16570.62
2012-08-10,16800.00,17150.00,16700.00,16900.00,400,16570.62
2012-08-09,16950.00,16950.00,16650.00,16900.00,200,16570.62
2012-08-08,16750.00,16950.00,16750.00,16950.00,500,16619.64
2012-08-07,17700.00,17700.00,16550.00,16700.00,400,16374.52
2012-08-06,17100.00,17100.00,17100.00,17100.00,000,16766.72
2012-08-03,17000.00,17000.00,17000.00,17000.00,000,16668.67
2012-08-02,17050.00,17050.00,17050.00,17050.00,000,16717.69
2012-08-01,17000.00,17050.00,16850.00,17050.00,000,16717.69
2012-07-31,16350.00,17450.00,16350.00,16900.00,100,16570.62
2012-07-30,16750.00,16750.00,16750.00,16750.00,000,16423.54
