Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,9970.00,9970.00,9970.00,9970.00,000,9970.00
2012-12-28,9900.00,10150.00,9870.00,9970.00,206600,9970.00
2012-12-27,10050.00,10150.00,9820.00,9850.00,282500,9850.00
2012-12-26,10300.00,10300.00,10050.00,10050.00,197100,10050.00
2012-12-25,10200.00,10200.00,10200.00,10200.00,000,10200.00
2012-12-24,10150.00,10300.00,9990.00,10200.00,261800,10200.00
2012-12-21,10000.00,10300.00,9820.00,10300.00,278000,10300.00
2012-12-20,9650.00,10050.00,9600.00,9950.00,412100,9950.00
2012-12-19,9580.00,9580.00,9580.00,9580.00,000,9580.00
2012-12-18,9400.00,9590.00,9400.00,9580.00,180000,9580.00
2012-12-17,9360.00,9470.00,9360.00,9390.00,101400,9390.00
2012-12-14,9280.00,9460.00,9270.00,9390.00,178200,9390.00
2012-12-13,9300.00,9370.00,9280.00,9290.00,97700,9290.00
2012-12-12,9290.00,9390.00,9270.00,9340.00,156200,9340.00
2012-12-11,9120.00,9260.00,9110.00,9220.00,108200,9220.00
2012-12-10,9200.00,9300.00,9120.00,9120.00,120200,9120.00
2012-12-07,9160.00,9230.00,9130.00,9200.00,117500,9200.00
2012-12-06,9130.00,9270.00,9090.00,9160.00,208500,9160.00
2012-12-05,8910.00,9130.00,8890.00,9130.00,214000,9130.00
2012-12-04,8890.00,8940.00,8840.00,8920.00,106400,8920.00
2012-12-03,8820.00,8950.00,8820.00,8910.00,121400,8910.00
2012-11-30,8760.00,8910.00,8760.00,8850.00,143300,8850.00
2012-11-29,8740.00,8820.00,8710.00,8800.00,141400,8800.00
2012-11-28,8750.00,8750.00,8600.00,8640.00,98900,8640.00
2012-11-27,8680.00,8920.00,8680.00,8760.00,217200,8760.00
2012-11-26,8820.00,8820.00,8720.00,8740.00,82600,8740.00
2012-11-23,8630.00,8770.00,8630.00,8720.00,94100,8720.00
2012-11-22,8600.00,8710.00,8600.00,8630.00,83200,8630.00
2012-11-21,8690.00,8710.00,8580.00,8600.00,103700,8600.00
2012-11-20,8770.00,8780.00,8590.00,8590.00,133900,8590.00
2012-11-19,8600.00,8680.00,8520.00,8680.00,77600,8680.00
2012-11-16,8550.00,8610.00,8490.00,8510.00,82200,8510.00
2012-11-15,8650.00,8650.00,8510.00,8550.00,97600,8550.00
2012-11-14,8590.00,8690.00,8530.00,8690.00,109200,8690.00
2012-11-13,8650.00,8700.00,8580.00,8580.00,108700,8580.00
2012-11-12,8740.00,8750.00,8640.00,8650.00,85200,8650.00
2012-11-09,8710.00,8750.00,8600.00,8740.00,140700,8740.00
2012-11-08,8750.00,8800.00,8630.00,8710.00,153500,8710.00
2012-11-07,8810.00,8900.00,8670.00,8850.00,156100,8850.00
2012-11-06,8540.00,8790.00,8530.00,8790.00,227800,8790.00
2012-11-05,8540.00,8600.00,8500.00,8540.00,127300,8540.00
2012-11-02,8660.00,8660.00,8500.00,8540.00,131200,8540.00
2012-11-01,8690.00,8690.00,8560.00,8560.00,164300,8560.00
2012-10-31,8700.00,8730.00,8640.00,8690.00,105500,8690.00
2012-10-30,8560.00,8810.00,8500.00,8630.00,500600,8630.00
2012-10-29,8380.00,8430.00,8230.00,8230.00,105900,8230.00
2012-10-26,8430.00,8430.00,8280.00,8370.00,130800,8370.00
2012-10-25,8460.00,8490.00,8360.00,8430.00,110400,8430.00
2012-10-24,8440.00,8500.00,8440.00,8490.00,104800,8490.00
2012-10-23,8710.00,8710.00,8500.00,8570.00,103600,8570.00
2012-10-22,8490.00,8590.00,8400.00,8590.00,115200,8590.00
2012-10-19,8690.00,8710.00,8530.00,8580.00,90300,8580.00
2012-10-18,8730.00,8740.00,8630.00,8650.00,98900,8650.00
2012-10-17,8770.00,8820.00,8710.00,8710.00,76000,8710.00
2012-10-16,8660.00,8720.00,8620.00,8710.00,78100,8710.00
2012-10-15,8710.00,8770.00,8590.00,8600.00,108500,8600.00
2012-10-12,8810.00,8840.00,8710.00,8800.00,58600,8800.00
2012-10-11,8840.00,8920.00,8720.00,8810.00,118000,8810.00
2012-10-10,8950.00,8970.00,8820.00,8840.00,78300,8840.00
2012-10-09,8960.00,9040.00,8960.00,9000.00,73300,9000.00
2012-10-08,9080.00,9160.00,8960.00,8960.00,132800,8960.00
2012-10-05,9000.00,9090.00,8970.00,9090.00,131600,9090.00
2012-10-04,8820.00,8920.00,8810.00,8920.00,118900,8920.00
2012-10-03,8900.00,8900.00,8900.00,8900.00,000,8900.00
2012-10-02,8900.00,8930.00,8820.00,8900.00,58800,8900.00
2012-10-01,8820.00,8820.00,8820.00,8820.00,000,8820.00
2012-09-28,8780.00,8820.00,8710.00,8820.00,112000,8820.00
2012-09-27,8780.00,8790.00,8580.00,8710.00,325300,8710.00
2012-09-26,8890.00,8920.00,8780.00,8800.00,132000,8800.00
2012-09-25,9000.00,9080.00,8940.00,8940.00,116200,8940.00
2012-09-24,9140.00,9140.00,8950.00,9010.00,188800,9010.00
2012-09-21,9250.00,9270.00,9100.00,9160.00,150500,9160.00
2012-09-20,9330.00,9340.00,9150.00,9250.00,177100,9250.00
2012-09-19,9230.00,9390.00,9140.00,9340.00,208400,9340.00
2012-09-18,9200.00,9260.00,9120.00,9230.00,251900,9230.00
2012-09-17,9250.00,9280.00,9160.00,9220.00,358900,9220.00
2012-09-14,8820.00,9430.00,8780.00,9250.00,1435100,9250.00
2012-09-13,8640.00,8640.00,8500.00,8590.00,151000,8590.00
2012-09-12,8440.00,8600.00,8410.00,8590.00,169100,8590.00
2012-09-11,8400.00,8460.00,8350.00,8440.00,45700,8440.00
2012-09-10,8500.00,8500.00,8400.00,8450.00,57100,8450.00
