Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10600.00,10600.00,10600.00,10600.00,000,10600.00
2012-12-28,10550.00,10600.00,10350.00,10600.00,165200,10600.00
2012-12-27,10450.00,10550.00,10350.00,10550.00,104800,10550.00
2012-12-26,10450.00,10700.00,10450.00,10500.00,271300,10500.00
2012-12-25,10300.00,10300.00,10300.00,10300.00,000,10300.00
2012-12-24,10400.00,10500.00,10250.00,10300.00,161300,10300.00
2012-12-21,10500.00,10550.00,10300.00,10400.00,183000,10400.00
2012-12-20,10750.00,10750.00,10400.00,10450.00,218700,10450.00
2012-12-19,10800.00,10800.00,10800.00,10800.00,000,10800.00
2012-12-18,10600.00,10850.00,10350.00,10800.00,272200,10800.00
2012-12-17,10800.00,10850.00,10500.00,10650.00,273400,10650.00
2012-12-14,10300.00,10700.00,10250.00,10700.00,315000,10700.00
2012-12-13,10450.00,10600.00,10250.00,10400.00,305400,10400.00
2012-12-12,10450.00,10700.00,10400.00,10500.00,186700,10500.00
2012-12-11,10500.00,10750.00,10250.00,10350.00,232000,10350.00
2012-12-10,10450.00,10600.00,10400.00,10500.00,152600,10500.00
2012-12-07,10650.00,10750.00,10350.00,10350.00,218000,10350.00
2012-12-06,10400.00,10700.00,10200.00,10550.00,519500,10550.00
2012-12-05,9780.00,10350.00,9690.00,10300.00,606300,10300.00
2012-12-04,9600.00,9770.00,9580.00,9690.00,86200,9690.00
2012-12-03,9810.00,9870.00,9560.00,9690.00,131800,9690.00
2012-11-30,9900.00,9900.00,9690.00,9800.00,287900,9800.00
2012-11-29,9740.00,10100.00,9660.00,9960.00,506400,9960.00
2012-11-28,9510.00,9780.00,9490.00,9620.00,206500,9620.00
2012-11-27,9530.00,9780.00,9460.00,9550.00,372700,9550.00
2012-11-26,9550.00,9590.00,9350.00,9510.00,384100,9510.00
2012-11-23,8800.00,9450.00,8800.00,9450.00,635500,9450.00
2012-11-22,8830.00,8920.00,8790.00,8810.00,303700,8810.00
2012-11-21,8830.00,9030.00,8650.00,8770.00,362500,8770.00
2012-11-20,9000.00,9010.00,8710.00,8860.00,295300,8860.00
2012-11-19,8570.00,8890.00,8570.00,8840.00,274900,8840.00
2012-11-16,8800.00,8880.00,8530.00,8560.00,380400,8560.00
2012-11-15,8600.00,8960.00,8400.00,8820.00,652600,8820.00
2012-11-14,8100.00,8690.00,8090.00,8680.00,678000,8680.00
2012-11-13,8700.00,8700.00,8030.00,8180.00,850200,8180.00
2012-11-12,8720.00,8730.00,8550.00,8700.00,360700,8700.00
2012-11-09,9040.00,9170.00,8570.00,8690.00,872300,8690.00
2012-11-08,9320.00,9380.00,9160.00,9180.00,250500,9180.00
2012-11-07,9590.00,9660.00,9390.00,9520.00,270900,9520.00
2012-11-06,9290.00,9700.00,9270.00,9590.00,413000,9590.00
2012-11-05,9180.00,9330.00,9110.00,9250.00,372000,9250.00
2012-11-02,9320.00,9440.00,9250.00,9370.00,326500,9370.00
2012-11-01,9100.00,9240.00,9070.00,9220.00,310200,9220.00
2012-10-31,9220.00,9280.00,9150.00,9200.00,305200,9200.00
2012-10-30,9000.00,9330.00,9000.00,9110.00,439600,9110.00
2012-10-29,10000.00,10050.00,8990.00,9000.00,742400,9000.00
