Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,15750.00,15750.00,15750.00,15750.00,000,15750.00
2012-12-28,16200.00,16300.00,15750.00,15750.00,211700,15750.00
2012-12-27,15850.00,16300.00,15800.00,16200.00,214100,16200.00
2012-12-26,15600.00,16150.00,15200.00,15850.00,390200,15850.00
2012-12-25,15400.00,15400.00,15400.00,15400.00,000,15400.00
2012-12-24,15650.00,15950.00,15350.00,15400.00,367100,15400.00
2012-12-21,15250.00,15450.00,14950.00,15450.00,275000,15450.00
2012-12-20,14600.00,15550.00,14600.00,15200.00,491900,15200.00
2012-12-19,14650.00,14650.00,14650.00,14650.00,000,14650.00
2012-12-18,14600.00,14850.00,14500.00,14650.00,147300,14650.00
2012-12-17,14500.00,14800.00,14300.00,14650.00,180800,14650.00
2012-12-14,14100.00,14750.00,14050.00,14650.00,210800,14650.00
2012-12-13,13700.00,14350.00,13650.00,14100.00,206100,14100.00
2012-12-12,14250.00,14400.00,13600.00,13750.00,399700,13750.00
2012-12-11,14550.00,14650.00,14200.00,14250.00,111800,14250.00
2012-12-10,14400.00,14600.00,14000.00,14550.00,135200,14550.00
2012-12-07,14200.00,14500.00,13500.00,14400.00,354400,14400.00
2012-12-06,15250.00,15300.00,14200.00,14250.00,405000,14250.00
2012-12-05,15200.00,15300.00,14900.00,15200.00,246200,15200.00
2012-12-04,15350.00,15500.00,15050.00,15150.00,204100,15150.00
2012-12-03,15050.00,15400.00,14950.00,15300.00,222000,15300.00
2012-11-30,14800.00,15150.00,14800.00,14900.00,175900,14900.00
2012-11-29,15150.00,15200.00,14800.00,14850.00,211000,14850.00
2012-11-28,15000.00,15250.00,14800.00,14950.00,204600,14950.00
2012-11-27,15800.00,15850.00,14900.00,15000.00,507900,15000.00
2012-11-26,16200.00,16300.00,15600.00,15900.00,205500,15900.00
2012-11-23,16200.00,16250.00,15900.00,16100.00,195200,16100.00
2012-11-22,15500.00,16200.00,15350.00,16100.00,325700,16100.00
2012-11-21,15700.00,16150.00,15250.00,15350.00,186600,15350.00
2012-11-20,16050.00,16150.00,15600.00,15700.00,176600,15700.00
2012-11-19,14850.00,15700.00,14750.00,15650.00,161100,15650.00
2012-11-16,14900.00,15150.00,14650.00,14650.00,198900,14650.00
2012-11-15,15350.00,15750.00,14900.00,15000.00,336700,15000.00
2012-11-14,16200.00,16500.00,15350.00,15400.00,292500,15400.00
2012-11-13,16400.00,16500.00,16050.00,16200.00,332100,16200.00
2012-11-12,16200.00,16550.00,15950.00,16550.00,439100,16550.00
2012-11-09,15400.00,16200.00,14950.00,16050.00,353400,16050.00
2012-11-08,15700.00,15850.00,15500.00,15550.00,187800,15550.00
2012-11-07,16100.00,16200.00,15850.00,15950.00,253900,15950.00
2012-11-06,15750.00,16400.00,15750.00,15900.00,531800,15900.00
2012-11-05,15400.00,15800.00,15350.00,15550.00,199200,15550.00
2012-11-02,15300.00,15900.00,15300.00,15450.00,282600,15450.00
2012-11-01,15450.00,15550.00,14950.00,15300.00,376000,15300.00
2012-10-31,14700.00,15550.00,14650.00,15500.00,474000,15500.00
2012-10-30,14400.00,14950.00,14400.00,14550.00,361300,14550.00
2012-10-29,14650.00,14850.00,14350.00,14450.00,238500,14450.00
2012-10-26,15500.00,15650.00,14550.00,14550.00,338700,14550.00
2012-10-25,15550.00,15850.00,15400.00,15500.00,309300,15500.00
2012-10-24,14900.00,15500.00,14800.00,15500.00,366700,15500.00
2012-10-23,15400.00,15650.00,15250.00,15250.00,265700,15250.00
2012-10-22,15200.00,15450.00,14900.00,15400.00,255000,15400.00
2012-10-19,15000.00,15600.00,14900.00,15500.00,374100,15500.00
2012-10-18,15400.00,15650.00,14650.00,15000.00,625100,15000.00
2012-10-17,16100.00,16300.00,15250.00,15400.00,562100,15400.00
2012-10-16,16100.00,16300.00,15550.00,15850.00,505200,15850.00
2012-10-15,17100.00,17200.00,15300.00,16100.00,825400,16100.00
2012-10-12,17350.00,17850.00,17200.00,17200.00,356900,17200.00
2012-10-11,16950.00,17350.00,16900.00,17350.00,324400,17350.00
2012-10-10,16550.00,17300.00,16450.00,16900.00,497800,16900.00
2012-10-09,17100.00,17200.00,16250.00,16500.00,522700,16500.00
2012-10-08,17300.00,17700.00,16850.00,16850.00,425800,16850.00
2012-10-05,17350.00,17450.00,17050.00,17200.00,273000,17200.00
2012-10-04,17550.00,17550.00,16700.00,17250.00,522200,17250.00
2012-10-03,17450.00,17450.00,17450.00,17450.00,000,17450.00
2012-10-02,17500.00,17850.00,17150.00,17450.00,322900,17450.00
2012-10-01,17450.00,17450.00,17450.00,17450.00,000,17450.00
2012-09-28,16700.00,17450.00,16450.00,17450.00,551300,17450.00
2012-09-27,16550.00,16650.00,15950.00,16500.00,703000,16500.00
2012-09-26,16550.00,17050.00,16550.00,16550.00,376600,16550.00
2012-09-25,16200.00,17050.00,16000.00,16700.00,787000,16700.00
2012-09-24,16300.00,16350.00,15950.00,16200.00,398400,16200.00
2012-09-21,15550.00,16200.00,15500.00,16150.00,630700,16150.00
2012-09-20,15500.00,15900.00,15400.00,15400.00,316300,15400.00
2012-09-19,15650.00,15900.00,15400.00,15600.00,470100,15600.00
2012-09-18,15250.00,15750.00,15000.00,15750.00,770700,15750.00
2012-09-17,14500.00,15300.00,14500.00,15200.00,716900,15200.00
2012-09-14,15150.00,15150.00,14400.00,14450.00,693300,14450.00
2012-09-13,14300.00,15000.00,14250.00,15000.00,549900,15000.00
2012-09-12,14250.00,14500.00,14150.00,14250.00,316300,14250.00
2012-09-11,14450.00,14450.00,13750.00,14050.00,487900,14050.00
2012-09-10,14550.00,14650.00,14200.00,14450.00,502800,14450.00
2012-09-07,14350.00,14850.00,14000.00,14500.00,674400,14500.00
2012-09-06,14000.00,14450.00,13850.00,14200.00,771300,14200.00
2012-09-05,13950.00,14100.00,13450.00,13850.00,645700,13850.00
2012-09-04,13600.00,14250.00,13550.00,13900.00,1043700,13900.00
2012-09-03,13550.00,13700.00,13350.00,13550.00,583300,13550.00
2012-08-31,12950.00,13550.00,12750.00,13450.00,748400,13450.00
2012-08-30,12850.00,13300.00,12550.00,13000.00,1533300,13000.00
2012-08-29,12200.00,12900.00,12200.00,12750.00,832500,12750.00
2012-08-28,12300.00,12300.00,12000.00,12200.00,285900,12200.00
2012-08-27,12100.00,12300.00,12000.00,12250.00,395000,12250.00
2012-08-24,11750.00,12250.00,11650.00,12050.00,505300,12050.00
2012-08-23,11950.00,11950.00,11800.00,11850.00,192800,11850.00
2012-08-22,11800.00,12050.00,11750.00,11850.00,366400,11850.00
2012-08-21,11750.00,11900.00,11750.00,11750.00,226400,11750.00
2012-08-20,11900.00,12000.00,11800.00,11850.00,161200,11850.00
2012-08-17,11800.00,12000.00,11750.00,11950.00,338800,11950.00
2012-08-16,11800.00,11850.00,11650.00,11750.00,174200,11750.00
2012-08-15,11750.00,11750.00,11750.00,11750.00,000,11750.00
2012-08-14,11650.00,11900.00,11650.00,11750.00,278700,11750.00
2012-08-13,11800.00,11800.00,11600.00,11600.00,128900,11600.00
2012-08-10,11650.00,11800.00,11550.00,11650.00,317900,11650.00
2012-08-09,11600.00,11700.00,11450.00,11600.00,300300,11600.00
2012-08-08,11400.00,11700.00,11350.00,11500.00,423400,11500.00
2012-08-07,11400.00,11450.00,11250.00,11300.00,277500,11300.00
2012-08-06,11150.00,11550.00,11000.00,11450.00,411600,11450.00
2012-08-03,11100.00,11150.00,10900.00,10900.00,246900,10900.00
2012-08-02,11350.00,11350.00,11100.00,11150.00,290700,11150.00
2012-08-01,11250.00,11400.00,11150.00,11300.00,258500,11300.00
2012-07-31,11200.00,11350.00,11050.00,11300.00,411700,11300.00
2012-07-30,11250.00,11400.00,11200.00,11200.00,314700,11200.00
2012-07-27,11300.00,11300.00,11000.00,11100.00,571100,11100.00
2012-07-26,10950.00,11150.00,10800.00,11100.00,905900,11100.00
2012-07-25,11400.00,11400.00,10700.00,10700.00,1893500,10700.00
2012-07-24,12050.00,12300.00,11750.00,11850.00,906000,11850.00
2012-07-23,13000.00,13000.00,12200.00,12200.00,1030000,12200.00
2012-07-20,13200.00,13250.00,12950.00,13100.00,624500,13100.00
2012-07-19,13400.00,13650.00,13100.00,13300.00,907400,13300.00
