Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,15800.00,15800.00,15800.00,15800.00,000,15800.00
2012-12-28,15900.00,16000.00,15500.00,15800.00,24600,15800.00
2012-12-27,15550.00,15800.00,15400.00,15750.00,3100,15750.00
2012-12-26,15950.00,16050.00,15500.00,15500.00,22200,15500.00
2012-12-25,15800.00,15800.00,15800.00,15800.00,000,15800.00
2012-12-24,15300.00,15800.00,15300.00,15800.00,12600,15800.00
2012-12-21,15300.00,15500.00,15050.00,15300.00,34700,15300.00
2012-12-20,15900.00,15900.00,15200.00,15300.00,15700,15300.00
2012-12-19,15700.00,15700.00,15700.00,15700.00,000,15700.00
2012-12-18,15600.00,15800.00,15300.00,15700.00,15800,15700.00
2012-12-17,15850.00,15850.00,15250.00,15500.00,51000,15500.00
2012-12-14,16100.00,16100.00,15550.00,15700.00,51000,15700.00
2012-12-13,15850.00,16200.00,15750.00,16150.00,47700,16150.00
2012-12-12,16300.00,16300.00,15800.00,16050.00,22700,16050.00
2012-12-11,15900.00,16050.00,15800.00,16000.00,28800,16000.00
2012-12-10,16000.00,16150.00,15850.00,16000.00,14500,16000.00
2012-12-07,16100.00,16200.00,15900.00,16000.00,25000,16000.00
2012-12-06,15900.00,16200.00,15900.00,16100.00,10900,16100.00
2012-12-05,16250.00,16250.00,15900.00,16050.00,41500,16050.00
2012-12-04,16100.00,16300.00,15900.00,16050.00,32600,16050.00
2012-12-03,16100.00,16400.00,15800.00,16100.00,29000,16100.00
2012-11-30,15850.00,16550.00,15700.00,16150.00,41600,16150.00
2012-11-29,15650.00,15850.00,15450.00,15850.00,48800,15850.00
2012-11-28,15600.00,16000.00,15550.00,15650.00,33500,15650.00
2012-11-27,15900.00,15900.00,15450.00,15600.00,76500,15600.00
2012-11-26,15900.00,16000.00,15650.00,15700.00,32200,15700.00
2012-11-23,15700.00,16000.00,15450.00,15750.00,19400,15750.00
2012-11-22,16000.00,16400.00,15650.00,15700.00,53700,15700.00
2012-11-21,16300.00,16400.00,15800.00,15900.00,28100,15900.00
2012-11-20,15850.00,16400.00,15850.00,16100.00,57100,16100.00
2012-11-19,15850.00,16300.00,15800.00,15850.00,12300,15850.00
2012-11-16,15700.00,16250.00,15400.00,15850.00,60700,15850.00
2012-11-15,14600.00,16500.00,14600.00,15700.00,80600,15700.00
2012-11-14,15300.00,15300.00,14550.00,14700.00,57400,14700.00
2012-11-13,14900.00,15200.00,14700.00,15150.00,38900,15150.00
2012-11-12,14700.00,15100.00,14450.00,14950.00,55500,14950.00
2012-11-09,14500.00,15200.00,14350.00,14800.00,37600,14800.00
2012-11-08,14900.00,15300.00,14450.00,14450.00,61800,14450.00
2012-11-07,15000.00,15200.00,14800.00,14900.00,22100,14900.00
2012-11-06,14800.00,15000.00,14750.00,14800.00,32200,14800.00
2012-11-05,15050.00,15400.00,14650.00,14900.00,45600,14900.00
2012-11-02,15200.00,15400.00,14950.00,15050.00,70400,15050.00
2012-11-01,15150.00,15400.00,14800.00,15400.00,33400,15400.00
2012-10-31,15450.00,15650.00,15150.00,15400.00,18300,15400.00
2012-10-30,14850.00,15700.00,14800.00,15650.00,34300,15650.00
2012-10-29,15450.00,15850.00,14750.00,15100.00,68100,15100.00
2012-10-26,15500.00,16050.00,15450.00,15450.00,37400,15450.00
2012-10-25,16150.00,16150.00,15300.00,15700.00,78600,15700.00
2012-10-24,14350.00,15700.00,14350.00,15550.00,321700,15550.00
2012-10-23,15150.00,15150.00,14700.00,14700.00,28200,14700.00
2012-10-22,15000.00,15050.00,14700.00,14800.00,18800,14800.00
2012-10-19,14900.00,15150.00,14650.00,14800.00,15100,14800.00
2012-10-18,15050.00,15200.00,14750.00,14900.00,22600,14900.00
2012-10-17,14850.00,15100.00,14850.00,15000.00,7700,15000.00
2012-10-16,15100.00,15200.00,14700.00,14850.00,13900,14850.00
2012-10-15,15250.00,15300.00,14500.00,14900.00,25300,14900.00
2012-10-12,14900.00,15150.00,14550.00,15150.00,32100,15150.00
2012-10-11,15050.00,15300.00,14700.00,14950.00,21600,14950.00
2012-10-10,14750.00,15100.00,14750.00,14900.00,20700,14900.00
2012-10-09,15100.00,15100.00,14700.00,14900.00,43400,14900.00
2012-10-08,15550.00,15550.00,15100.00,15100.00,40500,15100.00
2012-10-05,15250.00,15750.00,15100.00,15700.00,37900,15700.00
2012-10-04,15400.00,15500.00,14800.00,15500.00,62500,15500.00
2012-10-03,15250.00,15250.00,15250.00,15250.00,000,15250.00
2012-10-02,15450.00,15550.00,15200.00,15250.00,25100,15250.00
2012-10-01,15650.00,15650.00,15650.00,15650.00,000,15650.00
2012-09-28,15500.00,15700.00,15100.00,15650.00,38400,15650.00
2012-09-27,15600.00,16050.00,15250.00,15550.00,60700,15550.00
2012-09-26,15250.00,15950.00,15250.00,15800.00,96400,15800.00
2012-09-25,15550.00,15600.00,15100.00,15250.00,39800,15250.00
2012-09-24,15600.00,15950.00,15200.00,15750.00,118000,15750.00
2012-09-21,14700.00,16000.00,14650.00,15600.00,114700,15600.00
2012-09-20,14100.00,14850.00,14050.00,14850.00,271000,14850.00
2012-09-19,14350.00,14550.00,13700.00,14150.00,45500,14150.00
2012-09-18,14250.00,14550.00,14250.00,14250.00,16400,14250.00
2012-09-17,14200.00,14500.00,13750.00,14500.00,22400,14500.00
2012-09-14,14250.00,14700.00,14050.00,14150.00,55800,14150.00
2012-09-13,13700.00,14250.00,13450.00,14150.00,49600,14150.00
2012-09-12,13550.00,13600.00,13200.00,13500.00,28000,13500.00
2012-09-11,13450.00,13800.00,13350.00,13500.00,11000,13500.00
2012-09-10,13800.00,13850.00,13500.00,13500.00,20400,13500.00
2012-09-07,13700.00,14400.00,13450.00,13800.00,45900,13800.00
2012-09-06,13200.00,14100.00,13200.00,13700.00,46300,13700.00
2012-09-05,13300.00,13450.00,13100.00,13200.00,18100,13200.00
2012-09-04,12700.00,13500.00,12700.00,13300.00,146800,13300.00
2012-09-03,12650.00,12950.00,12600.00,12700.00,14700,12700.00
2012-08-31,12700.00,12750.00,12500.00,12600.00,39200,12600.00
2012-08-30,12500.00,13000.00,12350.00,12650.00,106800,12650.00
2012-08-29,12500.00,12650.00,12200.00,12500.00,22500,12500.00
2012-08-28,12600.00,12650.00,12450.00,12600.00,17900,12600.00
2012-08-27,12750.00,13150.00,12550.00,12650.00,29100,12650.00
2012-08-24,12750.00,12850.00,12650.00,12850.00,26800,12850.00
2012-08-23,12850.00,12950.00,12650.00,12850.00,27200,12850.00
2012-08-22,12800.00,12800.00,12500.00,12700.00,19100,12700.00
2012-08-21,12700.00,12950.00,12600.00,12700.00,22700,12700.00
2012-08-20,12400.00,13000.00,12400.00,12700.00,49100,12700.00
2012-08-17,12550.00,12600.00,12400.00,12500.00,19700,12500.00
2012-08-16,12650.00,12650.00,12350.00,12500.00,27700,12500.00
2012-08-15,12500.00,12500.00,12500.00,12500.00,000,12500.00
2012-08-14,12650.00,12750.00,12350.00,12500.00,36500,12500.00
2012-08-13,12500.00,12700.00,12200.00,12650.00,52300,12650.00
2012-08-10,13300.00,13300.00,12500.00,12500.00,52500,12500.00
2012-08-09,12050.00,13700.00,12050.00,13300.00,169000,13300.00
2012-08-08,12000.00,12350.00,11850.00,12150.00,126400,12150.00
2012-08-07,11800.00,12200.00,11750.00,12150.00,27900,12150.00
2012-08-06,11750.00,11900.00,11700.00,11700.00,3900,11700.00
2012-08-03,11800.00,11900.00,11750.00,11800.00,3800,11800.00
2012-08-02,11850.00,11900.00,11700.00,11800.00,6000,11800.00
2012-08-01,11900.00,11900.00,11700.00,11850.00,4000,11850.00
2012-07-31,11850.00,11950.00,11700.00,11900.00,11500,11900.00
2012-07-30,12000.00,12000.00,11800.00,11850.00,15500,11850.00
2012-07-27,11800.00,12050.00,11800.00,12000.00,11500,12000.00
2012-07-26,11950.00,12100.00,11650.00,11850.00,10700,11850.00
2012-07-25,11750.00,11950.00,11500.00,11950.00,26200,11950.00
2012-07-24,11700.00,12100.00,11700.00,11850.00,113100,11850.00
2012-07-23,11650.00,11800.00,11600.00,11750.00,10000,11750.00
2012-07-20,11750.00,11800.00,11650.00,11750.00,5300,11750.00
2012-07-19,11800.00,11850.00,11700.00,11700.00,17100,11700.00
2012-07-18,11700.00,11900.00,11700.00,11800.00,31600,11800.00
2012-07-17,11800.00,11900.00,11700.00,11750.00,21300,11750.00
2012-07-16,11900.00,12200.00,11700.00,11800.00,26700,11800.00
2012-07-13,11750.00,12250.00,11700.00,11850.00,68100,11850.00
2012-07-12,11800.00,11850.00,11650.00,11700.00,13600,11700.00
2012-07-11,11750.00,11900.00,11600.00,11750.00,30100,11750.00
2012-07-10,11650.00,11850.00,11650.00,11800.00,30300,11800.00
2012-07-09,11750.00,11800.00,11550.00,11700.00,17700,11700.00
2012-07-06,11700.00,11800.00,11600.00,11700.00,8700,11700.00
2012-07-05,11900.00,11900.00,11700.00,11700.00,6600,11700.00
2012-07-04,11900.00,11900.00,11650.00,11800.00,12900,11800.00
2012-07-03,11700.00,11900.00,11550.00,11800.00,58000,11800.00
2012-07-02,11650.00,11750.00,11500.00,11700.00,19900,11700.00
2012-06-29,11600.00,11800.00,11550.00,11600.00,40500,11600.00
2012-06-28,11700.00,11950.00,11550.00,11600.00,40200,11600.00
2012-06-27,11850.00,12050.00,11650.00,11700.00,57000,11700.00
2012-06-26,11700.00,12000.00,11500.00,12000.00,63200,12000.00
2012-06-25,11700.00,11900.00,11600.00,11600.00,23800,11600.00
2012-06-22,11500.00,12000.00,11400.00,11700.00,66500,11700.00
