Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,3010.00,3010.00,3010.00,3010.00,000,3010.00
2012-12-28,2900.00,3010.00,2860.00,3010.00,505500,3010.00
2012-12-27,2800.00,2880.00,2785.00,2880.00,181100,2880.00
2012-12-26,2815.00,2850.00,2795.00,2830.00,78500,2830.00
2012-12-25,2815.00,2815.00,2815.00,2815.00,000,2815.00
2012-12-24,2870.00,2890.00,2815.00,2815.00,92200,2815.00
2012-12-21,2900.00,2900.00,2825.00,2830.00,156900,2830.00
2012-12-20,2850.00,2900.00,2815.00,2830.00,173800,2830.00
2012-12-19,2830.00,2830.00,2830.00,2830.00,000,2830.00
2012-12-18,2830.00,2840.00,2780.00,2830.00,146800,2830.00
2012-12-17,2825.00,2850.00,2775.00,2830.00,144100,2830.00
2012-12-14,2840.00,2870.00,2780.00,2845.00,164600,2845.00
2012-12-13,2760.00,2850.00,2700.00,2840.00,212100,2840.00
2012-12-12,2995.00,3035.00,2565.00,2790.00,1361000,2790.00
2012-12-11,2965.00,3030.00,2965.00,3015.00,86700,3015.00
2012-12-10,3060.00,3060.00,2955.00,2990.00,195000,2990.00
2012-12-07,3085.00,3120.00,3040.00,3045.00,198200,3045.00
2012-12-06,3120.00,3155.00,3070.00,3110.00,138400,3110.00
2012-12-05,3260.00,3260.00,3120.00,3120.00,138000,3120.00
2012-12-04,3200.00,3270.00,3175.00,3240.00,99600,3240.00
2012-12-03,3120.00,3300.00,3090.00,3245.00,265500,3245.00
2012-11-30,3130.00,3130.00,3070.00,3120.00,56800,3120.00
2012-11-29,3060.00,3140.00,3055.00,3120.00,93000,3120.00
2012-11-28,3080.00,3090.00,3050.00,3055.00,67100,3055.00
2012-11-27,3110.00,3155.00,3040.00,3090.00,318100,3090.00
2012-11-26,3130.00,3190.00,3055.00,3130.00,130200,3130.00
2012-11-23,3180.00,3225.00,3100.00,3130.00,68600,3130.00
2012-11-22,3170.00,3210.00,3145.00,3180.00,74800,3180.00
2012-11-21,3225.00,3230.00,3110.00,3160.00,106400,3160.00
2012-11-20,3195.00,3255.00,3185.00,3215.00,133000,3215.00
2012-11-19,3150.00,3205.00,3100.00,3185.00,59300,3185.00
2012-11-16,3110.00,3145.00,3035.00,3135.00,198700,3135.00
2012-11-15,3280.00,3300.00,3125.00,3135.00,207800,3135.00
2012-11-14,3270.00,3345.00,3200.00,3260.00,173400,3260.00
2012-11-13,3420.00,3445.00,3265.00,3285.00,268800,3285.00
2012-11-12,3395.00,3485.00,3330.00,3400.00,165300,3400.00
2012-11-09,3380.00,3490.00,3360.00,3395.00,339800,3395.00
2012-11-08,3375.00,3445.00,3355.00,3405.00,229000,3405.00
2012-11-07,3355.00,3470.00,3310.00,3420.00,332400,3420.00
2012-11-06,3290.00,3355.00,3250.00,3325.00,223600,3325.00
2012-11-05,3215.00,3355.00,3215.00,3340.00,288100,3340.00
2012-11-02,3235.00,3275.00,3125.00,3260.00,283300,3260.00
2012-11-01,3065.00,3155.00,3040.00,3155.00,141700,3155.00
2012-10-31,3055.00,3090.00,3025.00,3070.00,82300,3070.00
2012-10-30,3055.00,3115.00,3020.00,3050.00,94400,3050.00
2012-10-29,3100.00,3150.00,3025.00,3025.00,147000,3025.00
2012-10-26,3250.00,3295.00,3085.00,3085.00,315700,3085.00
2012-10-25,3290.00,3350.00,3245.00,3250.00,245400,3250.00
2012-10-24,3245.00,3305.00,3180.00,3270.00,249500,3270.00
2012-10-23,3165.00,3275.00,3165.00,3250.00,285800,3250.00
2012-10-22,3160.00,3230.00,3065.00,3195.00,233000,3195.00
2012-10-19,3155.00,3250.00,3115.00,3165.00,200400,3165.00
2012-10-18,3445.00,3450.00,3115.00,3165.00,567200,3165.00
2012-10-17,3505.00,3530.00,3400.00,3405.00,466000,3405.00
2012-10-16,3450.00,3525.00,3390.00,3500.00,476600,3500.00
2012-10-15,3270.00,3485.00,3200.00,3485.00,974800,3485.00
2012-10-12,3175.00,3265.00,3135.00,3250.00,270700,3250.00
2012-10-11,3265.00,3325.00,3165.00,3175.00,325900,3175.00
2012-10-10,3140.00,3270.00,3125.00,3250.00,557600,3250.00
2012-10-09,3050.00,3150.00,3020.00,3150.00,316000,3150.00
2012-10-08,3110.00,3150.00,3040.00,3040.00,218000,3040.00
2012-10-05,3100.00,3175.00,3080.00,3105.00,279800,3105.00
2012-10-04,2995.00,3145.00,2995.00,3125.00,617700,3125.00
2012-10-03,2985.00,2985.00,2985.00,2985.00,000,2985.00
2012-10-02,2920.00,2995.00,2920.00,2985.00,109900,2985.00
2012-10-01,2935.00,2935.00,2935.00,2935.00,000,2935.00
2012-09-28,2910.00,2960.00,2900.00,2935.00,134500,2935.00
2012-09-27,2940.00,2960.00,2900.00,2920.00,128200,2920.00
2012-09-26,2985.00,2985.00,2940.00,2955.00,117300,2955.00
2012-09-25,2980.00,3015.00,2955.00,2985.00,162900,2985.00
2012-09-24,2995.00,3000.00,2940.00,2980.00,146800,2980.00
2012-09-21,2920.00,2970.00,2880.00,2970.00,315300,2970.00
2012-09-20,2950.00,2960.00,2910.00,2935.00,170900,2935.00
2012-09-19,2945.00,2945.00,2890.00,2910.00,214500,2910.00
2012-09-18,2920.00,2945.00,2915.00,2930.00,101900,2930.00
2012-09-17,2875.00,2975.00,2875.00,2930.00,192400,2930.00
2012-09-14,2845.00,2895.00,2845.00,2870.00,165800,2870.00
2012-09-13,2890.00,2890.00,2830.00,2840.00,114900,2840.00
2012-09-12,2855.00,2890.00,2840.00,2855.00,93200,2855.00
2012-09-11,2910.00,2925.00,2860.00,2875.00,65000,2875.00
2012-09-10,2875.00,2905.00,2845.00,2875.00,49800,2875.00
2012-09-07,2865.00,2950.00,2855.00,2875.00,63100,2875.00
2012-09-06,2880.00,2880.00,2800.00,2840.00,70100,2840.00
2012-09-05,2885.00,2885.00,2810.00,2810.00,103300,2810.00
2012-09-04,2885.00,2890.00,2850.00,2870.00,94000,2870.00
2012-09-03,2850.00,2890.00,2810.00,2860.00,131600,2860.00
2012-08-31,2850.00,2930.00,2840.00,2880.00,98500,2880.00
2012-08-30,2955.00,2955.00,2865.00,2865.00,245600,2865.00
2012-08-29,3005.00,3050.00,2945.00,2955.00,236000,2955.00
2012-08-28,2965.00,3020.00,2965.00,3000.00,144800,3000.00
2012-08-27,3005.00,3035.00,2975.00,2980.00,264100,2980.00
2012-08-24,3030.00,3055.00,2975.00,3005.00,101700,3005.00
2012-08-23,3030.00,3065.00,2980.00,3045.00,190000,3045.00
2012-08-22,2995.00,3015.00,2985.00,3005.00,99000,3005.00
2012-08-21,2985.00,3040.00,2985.00,2995.00,131400,2995.00
2012-08-20,3070.00,3070.00,2985.00,2985.00,167900,2985.00
2012-08-17,3060.00,3085.00,3005.00,3040.00,157800,3040.00
2012-08-16,3150.00,3170.00,3050.00,3075.00,243400,3075.00
2012-08-15,3150.00,3150.00,3150.00,3150.00,000,3150.00
2012-08-14,3050.00,3170.00,3050.00,3150.00,371600,3150.00
2012-08-13,3005.00,3095.00,3005.00,3050.00,159300,3050.00
2012-08-10,3095.00,3150.00,3025.00,3045.00,157600,3045.00
2012-08-09,2950.00,3195.00,2950.00,3095.00,450400,3095.00
2012-08-08,2900.00,2970.00,2860.00,2945.00,106400,2945.00
2012-08-07,2905.00,2945.00,2870.00,2880.00,56600,2880.00
2012-08-06,2960.00,2965.00,2910.00,2910.00,85300,2910.00
2012-08-03,2880.00,2930.00,2880.00,2920.00,44400,2920.00
2012-08-02,2850.00,2960.00,2850.00,2900.00,221900,2900.00
2012-08-01,2845.00,2845.00,2785.00,2820.00,80600,2820.00
2012-07-31,2870.00,2875.00,2740.00,2850.00,214700,2850.00
2012-07-30,2830.00,2875.00,2805.00,2850.00,39700,2850.00
2012-07-27,2880.00,2880.00,2795.00,2815.00,80200,2815.00
2012-07-26,2805.00,2935.00,2800.00,2810.00,95100,2810.00
2012-07-25,2855.00,2925.00,2800.00,2800.00,91000,2800.00
2012-07-24,2915.00,2940.00,2820.00,2935.00,236500,2935.00
2012-07-23,2985.00,3050.00,2900.00,2950.00,131300,2950.00
2012-07-20,2995.00,3035.00,2970.00,3020.00,142000,3020.00
2012-07-19,3015.00,3090.00,2990.00,3020.00,209100,3020.00
2012-07-18,3015.00,3050.00,2980.00,3015.00,124800,3015.00
2012-07-17,3020.00,3150.00,2975.00,3020.00,123600,3020.00
2012-07-16,3065.00,3065.00,2970.00,3000.00,96700,3000.00
2012-07-13,3040.00,3075.00,2900.00,3050.00,275000,3050.00
2012-07-12,3040.00,3080.00,3035.00,3045.00,134100,3045.00
2012-07-11,3075.00,3090.00,3045.00,3060.00,154400,3060.00
2012-07-10,3140.00,3170.00,3085.00,3085.00,191400,3085.00
2012-07-09,3165.00,3255.00,3110.00,3140.00,372500,3140.00
2012-07-06,3080.00,3245.00,3050.00,3135.00,578100,3135.00
2012-07-05,3060.00,3090.00,3010.00,3070.00,192600,3070.00
2012-07-04,3095.00,3110.00,3030.00,3040.00,165900,3040.00
2012-07-03,3075.00,3125.00,3055.00,3090.00,221200,3090.00
