Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,6330.00,6330.00,6330.00,6330.00,000,6330.00
2012-12-28,6450.00,6450.00,6300.00,6330.00,81500,6330.00
2012-12-27,6230.00,6460.00,6230.00,6390.00,75100,6390.00
2012-12-26,6180.00,6300.00,6140.00,6250.00,122300,6250.00
2012-12-25,6180.00,6180.00,6180.00,6180.00,000,6180.00
2012-12-24,6510.00,6510.00,6180.00,6180.00,170000,6180.00
2012-12-21,6480.00,6590.00,6430.00,6430.00,90300,6430.00
2012-12-20,6640.00,6640.00,6510.00,6520.00,77600,6520.00
2012-12-19,6570.00,6570.00,6570.00,6570.00,000,6570.00
2012-12-18,6540.00,6650.00,6470.00,6570.00,61300,6570.00
2012-12-17,6540.00,6660.00,6520.00,6540.00,118800,6540.00
2012-12-14,6600.00,6640.00,6450.00,6540.00,91700,6540.00
2012-12-13,6290.00,6600.00,6290.00,6600.00,247600,6600.00
2012-12-12,6200.00,6350.00,6200.00,6280.00,65500,6280.00
2012-12-11,6280.00,6280.00,6160.00,6200.00,55500,6200.00
2012-12-10,6260.00,6320.00,6190.00,6270.00,66200,6270.00
2012-12-07,6190.00,6280.00,6180.00,6260.00,98500,6260.00
2012-12-06,6110.00,6220.00,6110.00,6190.00,74900,6190.00
2012-12-05,6350.00,6420.00,6000.00,6100.00,250100,6100.00
2012-12-04,6360.00,6440.00,6350.00,6370.00,45200,6370.00
2012-12-03,6440.00,6470.00,6330.00,6400.00,79300,6400.00
2012-11-30,6500.00,6540.00,6380.00,6400.00,82500,6400.00
2012-11-29,6500.00,6550.00,6450.00,6500.00,71100,6500.00
2012-11-28,6530.00,6600.00,6450.00,6450.00,49500,6450.00
2012-11-27,6530.00,6660.00,6480.00,6550.00,77400,6550.00
2012-11-26,6500.00,6590.00,6450.00,6500.00,95200,6500.00
2012-11-23,6630.00,6710.00,6480.00,6520.00,94600,6520.00
2012-11-22,6700.00,6750.00,6610.00,6620.00,82600,6620.00
2012-11-21,6680.00,6780.00,6540.00,6620.00,72500,6620.00
2012-11-20,6740.00,6820.00,6640.00,6720.00,74800,6720.00
2012-11-19,6660.00,6730.00,6600.00,6720.00,91800,6720.00
2012-11-16,6720.00,6800.00,6600.00,6600.00,199400,6600.00
2012-11-15,6960.00,6970.00,6730.00,6800.00,109200,6800.00
2012-11-14,6800.00,7020.00,6780.00,6990.00,122800,6990.00
2012-11-13,6780.00,6940.00,6730.00,6820.00,68900,6820.00
2012-11-12,6730.00,6870.00,6650.00,6790.00,74100,6790.00
2012-11-09,6790.00,6840.00,6600.00,6800.00,97400,6800.00
2012-11-08,6830.00,6850.00,6730.00,6770.00,83100,6770.00
2012-11-07,6840.00,6940.00,6820.00,6890.00,74100,6890.00
2012-11-06,6960.00,6960.00,6810.00,6840.00,56300,6840.00
2012-11-05,6900.00,6950.00,6660.00,6870.00,115700,6870.00
2012-11-02,6940.00,6950.00,6850.00,6900.00,66500,6900.00
2012-11-01,6750.00,6840.00,6650.00,6820.00,82300,6820.00
2012-10-31,6710.00,6860.00,6690.00,6770.00,93400,6770.00
2012-10-30,6610.00,6840.00,6610.00,6680.00,94100,6680.00
2012-10-29,6880.00,7000.00,6620.00,6660.00,137200,6660.00
2012-10-26,7000.00,7400.00,6800.00,6880.00,241100,6880.00
2012-10-25,7190.00,7230.00,7030.00,7030.00,118500,7030.00
2012-10-24,7190.00,7260.00,7140.00,7160.00,107100,7160.00
