Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,3950.00,3950.00,3950.00,3950.00,000,3950.00
2012-12-28,4005.00,4030.00,3935.00,3950.00,86500,3950.00
2012-12-27,4105.00,4110.00,3990.00,4010.00,49500,4010.00
2012-12-26,4050.00,4135.00,4000.00,4110.00,77800,4110.00
2012-12-25,4110.00,4110.00,4110.00,4110.00,000,4110.00
2012-12-24,4225.00,4225.00,4110.00,4110.00,52900,4110.00
2012-12-21,4170.00,4245.00,4070.00,4170.00,114500,4170.00
2012-12-20,4000.00,4235.00,4000.00,4170.00,119000,4170.00
2012-12-19,4030.00,4030.00,4030.00,4030.00,000,4030.00
2012-12-18,4200.00,4295.00,4000.00,4030.00,192900,4030.00
2012-12-17,3975.00,4200.00,3880.00,4150.00,201900,4150.00
2012-12-14,3850.00,3950.00,3750.00,3940.00,131600,3940.00
2012-12-13,3595.00,3940.00,3590.00,3820.00,312400,3820.00
2012-12-12,3550.00,3560.00,3495.00,3540.00,56200,3540.00
2012-12-11,3475.00,3525.00,3425.00,3510.00,34300,3510.00
2012-12-10,3460.00,3545.00,3410.00,3450.00,48500,3450.00
2012-12-07,3380.00,3475.00,3360.00,3425.00,35000,3425.00
2012-12-06,3330.00,3350.00,3270.00,3330.00,36500,3330.00
2012-12-05,3355.00,3355.00,3250.00,3290.00,33700,3290.00
2012-12-04,3345.00,3450.00,3345.00,3365.00,26500,3365.00
2012-12-03,3300.00,3430.00,3270.00,3395.00,39900,3395.00
2012-11-30,3230.00,3300.00,3230.00,3300.00,29300,3300.00
2012-11-29,3225.00,3305.00,3110.00,3235.00,85400,3235.00
2012-11-28,3300.00,3335.00,3200.00,3235.00,36200,3235.00
2012-11-27,3145.00,3430.00,3145.00,3295.00,143600,3295.00
2012-11-26,3200.00,3220.00,3100.00,3150.00,61900,3150.00
2012-11-23,3300.00,3300.00,3200.00,3240.00,43600,3240.00
2012-11-22,3320.00,3325.00,3235.00,3250.00,79500,3250.00
2012-11-21,3450.00,3485.00,3240.00,3280.00,121300,3280.00
2012-11-20,3485.00,3525.00,3445.00,3445.00,25600,3445.00
2012-11-19,3415.00,3670.00,3410.00,3490.00,34200,3490.00
2012-11-16,3565.00,3565.00,3450.00,3450.00,39400,3450.00
2012-11-15,3620.00,3620.00,3420.00,3475.00,43000,3475.00
2012-11-14,3650.00,3650.00,3575.00,3605.00,56700,3605.00
2012-11-13,3730.00,3770.00,3605.00,3640.00,35800,3640.00
2012-11-12,3775.00,3780.00,3730.00,3735.00,46200,3735.00
2012-11-09,3780.00,3845.00,3720.00,3770.00,92300,3770.00
2012-11-08,3810.00,3890.00,3780.00,3790.00,48200,3790.00
2012-11-07,3765.00,3855.00,3765.00,3855.00,25000,3855.00
2012-11-06,3705.00,3795.00,3705.00,3785.00,18800,3785.00
2012-11-05,3700.00,3795.00,3655.00,3735.00,91500,3735.00
2012-11-02,3670.00,3735.00,3655.00,3720.00,67200,3720.00
2012-11-01,3630.00,3660.00,3595.00,3620.00,60200,3620.00
2012-10-31,3625.00,3710.00,3570.00,3625.00,68900,3625.00
2012-10-30,3620.00,3695.00,3590.00,3590.00,52200,3590.00
2012-10-29,3755.00,3835.00,3590.00,3605.00,113300,3605.00
2012-10-26,3990.00,4040.00,3740.00,3745.00,160800,3745.00
2012-10-25,4175.00,4175.00,3965.00,3985.00,100300,3985.00
2012-10-24,4185.00,4245.00,4165.00,4175.00,58600,4175.00
2012-10-23,4280.00,4290.00,4180.00,4275.00,56000,4275.00
2012-10-22,4265.00,4280.00,4175.00,4280.00,49200,4280.00
2012-10-19,4320.00,4320.00,4165.00,4300.00,89000,4300.00
2012-10-18,4260.00,4300.00,4140.00,4295.00,83800,4295.00
2012-10-17,4190.00,4290.00,4110.00,4270.00,75300,4270.00
2012-10-16,4250.00,4250.00,4055.00,4145.00,100000,4145.00
2012-10-15,4285.00,4295.00,4050.00,4125.00,75600,4125.00
2012-10-12,4560.00,4560.00,4230.00,4255.00,74700,4255.00
2012-10-11,4530.00,4570.00,4460.00,4500.00,49000,4500.00
2012-10-10,4630.00,4640.00,4555.00,4570.00,32200,4570.00
2012-10-09,4620.00,4640.00,4550.00,4620.00,21500,4620.00
2012-10-08,4675.00,4675.00,4550.00,4610.00,39000,4610.00
2012-10-05,4765.00,4800.00,4450.00,4630.00,260500,4630.00
2012-10-04,5000.00,5000.00,4750.00,4765.00,143600,4765.00
