Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1855.00,1855.00,1855.00,1855.00,000,1855.00
2012-12-28,1830.00,1860.00,1830.00,1855.00,32800,1855.00
2012-12-27,1865.00,1865.00,1825.00,1860.00,37300,1860.00
2012-12-26,1875.00,1875.00,1835.00,1865.00,75800,1865.00
2012-12-25,1855.00,1855.00,1855.00,1855.00,000,1855.00
2012-12-24,1860.00,1885.00,1830.00,1855.00,36900,1855.00
2012-12-21,1880.00,1880.00,1850.00,1860.00,32200,1860.00
2012-12-20,1870.00,1890.00,1855.00,1860.00,64400,1860.00
2012-12-19,1860.00,1860.00,1860.00,1860.00,000,1860.00
2012-12-18,1860.00,1860.00,1845.00,1860.00,39400,1860.00
2012-12-17,1860.00,1870.00,1850.00,1860.00,45300,1860.00
2012-12-14,1830.00,1875.00,1830.00,1860.00,57500,1860.00
2012-12-13,1930.00,1930.00,1830.00,1860.00,126000,1860.00
2012-12-12,1940.00,1955.00,1900.00,1930.00,45400,1930.00
2012-12-11,1980.00,1980.00,1940.00,1940.00,22400,1940.00
2012-12-10,1990.00,1990.00,1950.00,1980.00,36700,1980.00
2012-12-07,1980.00,1990.00,1950.00,1975.00,44800,1975.00
2012-12-06,1990.00,1990.00,1945.00,1960.00,18700,1960.00
2012-12-05,1975.00,1985.00,1935.00,1975.00,43900,1975.00
2012-12-04,1985.00,1985.00,1945.00,1955.00,40200,1955.00
2012-12-03,1970.00,1995.00,1955.00,1965.00,24800,1965.00
2012-11-30,1930.00,1980.00,1930.00,1970.00,22000,1970.00
2012-11-29,1940.00,1960.00,1925.00,1935.00,75800,1935.00
2012-11-28,1950.00,1970.00,1925.00,1940.00,81300,1940.00
2012-11-27,1950.00,1970.00,1930.00,1960.00,54500,1960.00
2012-11-26,1970.00,1985.00,1925.00,1950.00,47500,1950.00
2012-11-23,1985.00,1990.00,1930.00,1960.00,25200,1960.00
2012-11-22,2010.00,2010.00,1935.00,1960.00,50200,1960.00
2012-11-21,2025.00,2060.00,1940.00,1960.00,107900,1960.00
2012-11-20,2030.00,2035.00,1980.00,2030.00,41300,2030.00
2012-11-19,1930.00,1985.00,1930.00,1970.00,28900,1970.00
2012-11-16,1960.00,1990.00,1915.00,1955.00,39900,1955.00
2012-11-15,1930.00,1995.00,1920.00,1960.00,85400,1960.00
2012-11-14,2040.00,2045.00,1960.00,2000.00,219400,2000.00
2012-11-13,2100.00,2150.00,2040.00,2040.00,184500,2040.00
2012-11-12,2090.00,2145.00,2060.00,2120.00,84000,2120.00
2012-11-09,2060.00,2110.00,2050.00,2090.00,78600,2090.00
2012-11-08,2095.00,2095.00,2025.00,2090.00,84100,2090.00
2012-11-07,2130.00,2130.00,2055.00,2095.00,83800,2095.00
2012-11-06,2080.00,2110.00,2055.00,2095.00,151700,2095.00
2012-11-05,2065.00,2085.00,2020.00,2060.00,259400,2060.00
2012-11-02,1925.00,2055.00,1925.00,2045.00,181900,2045.00
2012-11-01,1860.00,1935.00,1845.00,1925.00,90200,1925.00
2012-10-31,1885.00,1890.00,1835.00,1880.00,78700,1880.00
2012-10-30,1850.00,1870.00,1800.00,1870.00,100100,1870.00
2012-10-29,1920.00,1940.00,1845.00,1845.00,107700,1845.00
2012-10-26,1975.00,1975.00,1900.00,1920.00,168100,1920.00
2012-10-25,1910.00,2000.00,1910.00,1955.00,505500,1955.00
2012-10-24,1870.00,1920.00,1840.00,1910.00,1846900,1910.00
2012-10-23,1840.00,1880.00,1830.00,1880.00,244400,1880.00
2012-10-22,1825.00,1840.00,1805.00,1835.00,210300,1835.00
2012-10-19,1840.00,1850.00,1800.00,1840.00,279900,1840.00
2012-10-18,1880.00,1885.00,1825.00,1840.00,188000,1840.00
2012-10-17,1885.00,1920.00,1870.00,1870.00,88800,1870.00
2012-10-16,1880.00,1905.00,1860.00,1875.00,392900,1875.00
2012-10-15,2005.00,2005.00,1870.00,1875.00,348200,1875.00
2012-10-12,1970.00,1990.00,1930.00,1955.00,64100,1955.00
2012-10-11,2055.00,2055.00,1950.00,1970.00,119600,1970.00
2012-10-10,2090.00,2090.00,2010.00,2030.00,50500,2030.00
2012-10-09,2050.00,2065.00,2030.00,2060.00,82900,2060.00
2012-10-08,2100.00,2100.00,2040.00,2060.00,153400,2060.00
2012-10-05,2105.00,2145.00,2070.00,2100.00,58600,2100.00
2012-10-04,2065.00,2130.00,2030.00,2105.00,90100,2105.00
2012-10-03,2060.00,2060.00,2060.00,2060.00,000,2060.00
2012-10-02,2075.00,2075.00,2040.00,2060.00,92300,2060.00
2012-10-01,2050.00,2050.00,2050.00,2050.00,000,2050.00
2012-09-28,2050.00,2065.00,2025.00,2050.00,76700,2050.00
2012-09-27,2035.00,2045.00,2000.00,2045.00,80900,2045.00
2012-09-26,2030.00,2045.00,1995.00,2035.00,156700,2035.00
2012-09-25,2050.00,2065.00,2000.00,2030.00,110700,2030.00
2012-09-24,2140.00,2170.00,2040.00,2045.00,246100,2045.00
