Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,3055.00,3055.00,3055.00,3055.00,000,3055.00
2012-12-28,3120.00,3125.00,3040.00,3055.00,156100,3055.00
2012-12-27,3015.00,3080.00,2965.00,3080.00,126200,3080.00
2012-12-26,2925.00,3040.00,2905.00,2980.00,197300,2980.00
2012-12-25,2925.00,2925.00,2925.00,2925.00,000,2925.00
2012-12-24,3005.00,3035.00,2920.00,2925.00,358000,2925.00
2012-12-21,3095.00,3135.00,3000.00,3035.00,236500,3035.00
2012-12-20,3130.00,3200.00,3110.00,3110.00,139900,3110.00
2012-12-19,3130.00,3130.00,3130.00,3130.00,000,3130.00
2012-12-18,3180.00,3180.00,3090.00,3130.00,199400,3130.00
2012-12-17,3220.00,3220.00,3130.00,3135.00,210400,3135.00
2012-12-14,3110.00,3280.00,3105.00,3210.00,418900,3210.00
2012-12-13,3080.00,3180.00,3070.00,3105.00,137700,3105.00
2012-12-12,3095.00,3125.00,3060.00,3085.00,123900,3085.00
2012-12-11,3120.00,3125.00,3050.00,3070.00,112600,3070.00
2012-12-10,3080.00,3160.00,3045.00,3100.00,210800,3100.00
2012-12-07,3190.00,3220.00,3050.00,3085.00,274800,3085.00
2012-12-06,3270.00,3330.00,3180.00,3190.00,259300,3190.00
2012-12-05,3200.00,3270.00,3150.00,3230.00,299300,3230.00
2012-12-04,3150.00,3275.00,3135.00,3210.00,561800,3210.00
2012-12-03,3105.00,3145.00,3050.00,3095.00,244300,3095.00
2012-11-30,3170.00,3200.00,3090.00,3150.00,403200,3150.00
2012-11-29,3160.00,3270.00,3125.00,3170.00,474000,3170.00
2012-11-28,3110.00,3220.00,3105.00,3145.00,599500,3145.00
2012-11-27,3010.00,3290.00,2980.00,3105.00,1673100,3105.00
2012-11-26,2900.00,2975.00,2785.00,2945.00,319100,2945.00
2012-11-23,2730.00,2910.00,2720.00,2860.00,563700,2860.00
2012-11-22,2660.00,2750.00,2660.00,2695.00,177800,2695.00
2012-11-21,2790.00,2800.00,2660.00,2660.00,175800,2660.00
2012-11-20,2795.00,2820.00,2760.00,2770.00,145100,2770.00
2012-11-19,2790.00,2820.00,2730.00,2765.00,170700,2765.00
2012-11-16,2780.00,2855.00,2735.00,2780.00,181200,2780.00
2012-11-15,2675.00,2810.00,2630.00,2810.00,356800,2810.00
