Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,13700.00,13700.00,13700.00,13700.00,000,13700.00
2012-12-28,13600.00,13800.00,13450.00,13700.00,342400,13700.00
2012-12-27,13900.00,13900.00,13550.00,13600.00,450300,13600.00
2012-12-26,14000.00,14250.00,14000.00,14100.00,549400,14100.00
2012-12-25,13900.00,13900.00,13900.00,13900.00,000,13900.00
2012-12-24,14050.00,14150.00,13850.00,13900.00,327200,13900.00
2012-12-21,14150.00,14150.00,13750.00,14000.00,409300,14000.00
2012-12-20,14100.00,14250.00,14000.00,14000.00,309800,14000.00
2012-12-19,13950.00,13950.00,13950.00,13950.00,000,13950.00
2012-12-18,13900.00,14150.00,13800.00,13950.00,360900,13950.00
2012-12-17,13900.00,14000.00,13750.00,13750.00,302300,13750.00
2012-12-14,13650.00,13850.00,13450.00,13800.00,318100,13800.00
2012-12-13,13550.00,13850.00,13500.00,13750.00,416200,13750.00
2012-12-12,13700.00,13700.00,13300.00,13600.00,415100,13600.00
2012-12-11,13150.00,13700.00,13050.00,13600.00,792600,13600.00
2012-12-10,13300.00,13350.00,13050.00,13050.00,287600,13050.00
2012-12-07,13100.00,13350.00,13050.00,13250.00,491200,13250.00
2012-12-06,12800.00,13100.00,12750.00,12900.00,595900,12900.00
2012-12-05,12800.00,12900.00,12600.00,12750.00,329300,12750.00
2012-12-04,12650.00,12950.00,12600.00,12950.00,291700,12950.00
2012-12-03,12600.00,12950.00,12500.00,12700.00,584600,12700.00
2012-11-30,13150.00,13200.00,12550.00,12550.00,3168000,12550.00
2012-11-29,12950.00,13400.00,12850.00,13350.00,552100,13350.00
2012-11-28,13050.00,13050.00,12600.00,12700.00,404000,12700.00
2012-11-27,12950.00,13200.00,12900.00,13050.00,344300,13050.00
2012-11-26,12950.00,13100.00,12800.00,12800.00,177900,12800.00
2012-11-23,12850.00,12950.00,12750.00,12900.00,146400,12900.00
2012-11-22,12850.00,13100.00,12800.00,12800.00,191200,12800.00
2012-11-21,13100.00,13150.00,12700.00,12800.00,243900,12800.00
2012-11-20,13400.00,13450.00,13050.00,13150.00,218200,13150.00
2012-11-19,12850.00,13150.00,12850.00,13150.00,218100,13150.00
2012-11-16,12850.00,13150.00,12750.00,12800.00,294600,12800.00
2012-11-15,13100.00,13300.00,12750.00,12800.00,719100,12800.00
2012-11-14,13550.00,13700.00,13300.00,13550.00,211700,13550.00
2012-11-13,13900.00,14000.00,13500.00,13500.00,313700,13500.00
2012-11-12,14000.00,14200.00,13900.00,13900.00,190300,13900.00
2012-11-09,14050.00,14200.00,13850.00,14000.00,211200,14000.00
2012-11-08,14250.00,14300.00,14000.00,14300.00,291900,14300.00
2012-11-07,14850.00,15100.00,14500.00,14600.00,258000,14600.00
2012-11-06,14550.00,14900.00,14400.00,14600.00,226100,14600.00
2012-11-05,14300.00,14500.00,14200.00,14500.00,171700,14500.00
2012-11-02,14100.00,14400.00,13900.00,14400.00,267900,14400.00
2012-11-01,14000.00,14100.00,13800.00,13850.00,132700,13850.00
2012-10-31,13800.00,14050.00,13800.00,14000.00,199700,14000.00
2012-10-30,13950.00,14150.00,13600.00,13700.00,307600,13700.00
2012-10-29,14000.00,14400.00,13900.00,13900.00,195700,13900.00
2012-10-26,13800.00,14300.00,13800.00,13900.00,199700,13900.00
2012-10-25,14000.00,14250.00,14000.00,14050.00,178300,14050.00
2012-10-24,14050.00,14250.00,14050.00,14050.00,210900,14050.00
2012-10-23,14500.00,14550.00,14250.00,14250.00,247900,14250.00
2012-10-22,14300.00,14600.00,14200.00,14450.00,163300,14450.00
2012-10-19,14700.00,14800.00,14550.00,14650.00,250500,14650.00
2012-10-18,14800.00,14950.00,14550.00,14700.00,258400,14700.00
2012-10-17,14400.00,15000.00,14400.00,14700.00,296400,14700.00
2012-10-16,14550.00,14850.00,14100.00,14300.00,390100,14300.00
2012-10-15,14650.00,14850.00,14350.00,14400.00,220900,14400.00
2012-10-12,14850.00,14950.00,14600.00,14800.00,202200,14800.00
2012-10-11,15000.00,15400.00,14600.00,14800.00,416100,14800.00
2012-10-10,15750.00,15750.00,15000.00,15150.00,297700,15150.00
2012-10-09,15600.00,15900.00,15600.00,15700.00,118500,15700.00
2012-10-08,15800.00,15800.00,15600.00,15600.00,215200,15600.00
2012-10-05,16300.00,16400.00,15750.00,15800.00,299800,15800.00
2012-10-04,16600.00,16650.00,16150.00,16250.00,195100,16250.00
2012-10-03,16550.00,16550.00,16550.00,16550.00,000,16550.00
2012-10-02,16400.00,16600.00,16200.00,16550.00,148000,16550.00
2012-10-01,16300.00,16300.00,16300.00,16300.00,000,16300.00
2012-09-28,16450.00,16550.00,16300.00,16300.00,186100,16300.00
2012-09-27,16400.00,16500.00,16100.00,16300.00,244100,16300.00
2012-09-26,16750.00,16850.00,16450.00,16450.00,251700,16450.00
2012-09-25,16850.00,17350.00,16850.00,16850.00,212500,16850.00
2012-09-24,17450.00,17450.00,16850.00,17000.00,266000,17000.00
2012-09-21,17200.00,17450.00,17150.00,17450.00,377500,17450.00
2012-09-20,17800.00,17800.00,17000.00,17100.00,432200,17100.00
2012-09-19,17500.00,17850.00,17450.00,17850.00,329100,17850.00
2012-09-18,17350.00,17750.00,17000.00,17450.00,405800,17450.00
2012-09-17,17300.00,17650.00,17050.00,17350.00,647900,17350.00
2012-09-14,16800.00,17300.00,16700.00,17250.00,919500,17250.00
2012-09-13,16750.00,16750.00,16200.00,16350.00,308300,16350.00
2012-09-12,16200.00,16700.00,16200.00,16700.00,395300,16700.00
2012-09-11,16100.00,16400.00,16050.00,16200.00,286400,16200.00
2012-09-10,16250.00,16350.00,15950.00,16000.00,161700,16000.00
2012-09-07,16250.00,16250.00,15950.00,16200.00,314300,16200.00
2012-09-06,15400.00,15850.00,15350.00,15800.00,228800,15800.00
2012-09-05,15550.00,15550.00,15300.00,15350.00,180200,15350.00
2012-09-04,15450.00,15750.00,15300.00,15600.00,230600,15600.00
2012-09-03,15750.00,15850.00,15350.00,15550.00,236300,15550.00
2012-08-31,15900.00,16100.00,15600.00,15750.00,359900,15750.00
2012-08-30,16400.00,16500.00,16100.00,16200.00,328900,16200.00
2012-08-29,16400.00,16400.00,15900.00,16150.00,292900,16150.00
2012-08-28,16650.00,16850.00,16150.00,16350.00,322600,16350.00
2012-08-27,16200.00,16800.00,16200.00,16700.00,295800,16700.00
2012-08-24,16000.00,16250.00,15950.00,16150.00,214200,16150.00
2012-08-23,16250.00,16450.00,15900.00,16250.00,276300,16250.00
2012-08-22,16400.00,16450.00,15900.00,16250.00,357400,16250.00
2012-08-21,16650.00,17100.00,16450.00,16450.00,354500,16450.00
2012-08-20,16800.00,16800.00,16600.00,16700.00,266800,16700.00
2012-08-17,17000.00,17050.00,16600.00,16600.00,362400,16600.00
2012-08-16,16900.00,17300.00,16700.00,16850.00,564000,16850.00
2012-08-15,16850.00,16850.00,16850.00,16850.00,000,16850.00
2012-08-14,16950.00,16950.00,16650.00,16850.00,473700,16850.00
2012-08-13,17000.00,17150.00,16550.00,16750.00,525800,16750.00
2012-08-10,16400.00,17100.00,16200.00,16850.00,917700,16850.00
2012-08-09,15400.00,16350.00,15400.00,16300.00,1198500,16300.00
2012-08-08,15300.00,15550.00,15150.00,15350.00,458900,15350.00
2012-08-07,15300.00,15500.00,15150.00,15250.00,186200,15250.00
2012-08-06,15200.00,15400.00,15100.00,15300.00,259600,15300.00
2012-08-03,14500.00,15000.00,14500.00,14800.00,161500,14800.00
2012-08-02,14900.00,14950.00,14650.00,14800.00,169100,14800.00
2012-08-01,14650.00,15050.00,14400.00,14950.00,328500,14950.00
2012-07-31,14250.00,14850.00,14250.00,14850.00,308400,14850.00
2012-07-30,14300.00,14400.00,14150.00,14350.00,230800,14350.00
2012-07-27,13950.00,14150.00,13850.00,14100.00,242300,14100.00
2012-07-26,13300.00,13800.00,13200.00,13650.00,273100,13650.00
2012-07-25,13600.00,13800.00,13250.00,13250.00,400600,13250.00
2012-07-24,13900.00,14400.00,13900.00,13950.00,274300,13950.00
2012-07-23,14350.00,14450.00,14100.00,14150.00,258300,14150.00
2012-07-20,14450.00,14800.00,14450.00,14600.00,163600,14600.00
2012-07-19,14800.00,14900.00,14400.00,14400.00,337800,14400.00
2012-07-18,15200.00,15300.00,14550.00,14600.00,465900,14600.00
2012-07-17,15300.00,15450.00,15000.00,15200.00,221700,15200.00
2012-07-16,15350.00,15450.00,15200.00,15300.00,120000,15300.00
2012-07-13,15350.00,15350.00,14800.00,15350.00,323300,15350.00
2012-07-12,15550.00,15700.00,15250.00,15250.00,266400,15250.00
2012-07-11,15600.00,15800.00,15400.00,15450.00,292700,15450.00
2012-07-10,15750.00,15850.00,15650.00,15750.00,244700,15750.00
2012-07-09,15700.00,16000.00,15650.00,15700.00,181300,15700.00
2012-07-06,16200.00,16200.00,15800.00,15950.00,305100,15950.00
2012-07-05,15750.00,16100.00,15700.00,16100.00,303500,16100.00
2012-07-04,15900.00,16100.00,15750.00,15850.00,374400,15850.00
2012-07-03,15700.00,15900.00,15650.00,15900.00,397000,15900.00
2012-07-02,15500.00,15750.00,15400.00,15700.00,343400,15700.00
2012-06-29,14950.00,15550.00,14900.00,15300.00,279100,15300.00
2012-06-28,15200.00,15300.00,15000.00,15000.00,138200,15000.00
2012-06-27,15300.00,15300.00,14950.00,15150.00,215000,15150.00
2012-06-26,15100.00,15500.00,15000.00,15250.00,300000,15250.00
2012-06-25,15500.00,15500.00,15100.00,15200.00,239300,15200.00
2012-06-22,15750.00,15750.00,15400.00,15450.00,378800,15450.00
2012-06-21,16200.00,16400.00,15950.00,16050.00,285500,16050.00
2012-06-20,16150.00,16300.00,16050.00,16250.00,294500,16250.00
2012-06-19,16150.00,16150.00,15850.00,15900.00,266200,15900.00
2012-06-18,15950.00,16250.00,15900.00,16150.00,463300,16150.00
2012-06-15,15500.00,15600.00,15150.00,15600.00,376800,15600.00
2012-06-14,15050.00,15600.00,15050.00,15400.00,409800,15400.00
2012-06-13,15400.00,15450.00,15050.00,15200.00,255700,15200.00
2012-06-12,15050.00,15350.00,15050.00,15200.00,337500,15200.00
2012-06-11,15600.00,15850.00,15400.00,15550.00,485800,15550.00
2012-06-08,15450.00,15650.00,15150.00,15450.00,320200,15450.00
2012-06-07,15450.00,15650.00,15150.00,15250.00,582600,15250.00
2012-06-06,15150.00,15150.00,15150.00,15150.00,000,15150.00
2012-06-05,14950.00,15150.00,14300.00,15150.00,704100,15150.00
2012-06-04,15100.00,15300.00,14700.00,14750.00,490400,14750.00
2012-06-01,16300.00,16300.00,15850.00,15850.00,380900,15850.00
2012-05-31,16050.00,16350.00,15900.00,16350.00,333600,16350.00
2012-05-30,16600.00,16700.00,16300.00,16300.00,9500600,16300.00
2012-05-29,16250.00,16650.00,16200.00,16600.00,341100,16600.00
2012-05-28,16100.00,16100.00,16100.00,16100.00,000,16100.00
2012-05-25,15850.00,16200.00,15800.00,16100.00,255200,16100.00
2012-05-24,15900.00,16200.00,15650.00,15750.00,268200,15750.00
2012-05-23,16050.00,16200.00,15800.00,15850.00,321600,15850.00
2012-05-22,16100.00,16350.00,15650.00,16250.00,433100,16250.00
