Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,23300.00,23300.00,23300.00,23300.00,000,23300.00
2012-12-28,23200.00,23400.00,23000.00,23300.00,30100,23300.00
2012-12-27,23000.00,23650.00,22800.00,23150.00,50200,23150.00
2012-12-26,23450.00,23450.00,22900.00,23000.00,61600,23000.00
2012-12-25,23200.00,23200.00,23200.00,23200.00,000,23200.00
2012-12-24,23550.00,23600.00,22900.00,23200.00,55300,23200.00
2012-12-21,23700.00,24100.00,23100.00,23300.00,64700,23300.00
2012-12-20,23950.00,24850.00,23500.00,23750.00,78300,23750.00
2012-12-19,23950.00,23950.00,23950.00,23950.00,000,23950.00
2012-12-18,25250.00,25500.00,23950.00,23950.00,76900,23950.00
2012-12-17,24600.00,25200.00,24300.00,25100.00,82700,25100.00
2012-12-14,24050.00,25800.00,24000.00,24600.00,303500,24600.00
2012-12-13,23750.00,24350.00,23450.00,23850.00,93500,23850.00
2012-12-12,23300.00,24050.00,23250.00,23300.00,53400,23300.00
2012-12-11,23600.00,23750.00,22900.00,23300.00,58300,23300.00
2012-12-10,23800.00,24550.00,23450.00,23600.00,70700,23600.00
2012-12-07,23200.00,23700.00,22500.00,23600.00,79600,23600.00
2012-12-06,24000.00,24000.00,23050.00,23100.00,105100,23100.00
2012-12-05,23300.00,25750.00,23050.00,24100.00,375500,24100.00
2012-12-04,22800.00,23850.00,22350.00,22850.00,95900,22850.00
2012-12-03,22900.00,23050.00,22300.00,22800.00,61200,22800.00
2012-11-30,23100.00,23100.00,22500.00,22900.00,47300,22900.00
2012-11-29,23300.00,23600.00,22750.00,23100.00,72000,23100.00
2012-11-28,23100.00,23850.00,22950.00,23150.00,91600,23150.00
2012-11-27,23100.00,24050.00,22600.00,22850.00,138900,22850.00
2012-11-26,23400.00,24350.00,22150.00,22850.00,195500,22850.00
2012-11-23,24050.00,24050.00,22550.00,23050.00,140300,23050.00
2012-11-22,24850.00,26400.00,23050.00,23950.00,421300,23950.00
2012-11-21,22500.00,23600.00,22000.00,23600.00,286300,23600.00
