Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,6040.00,6040.00,6040.00,6040.00,000,6040.00
2012-12-28,6110.00,6110.00,5950.00,6040.00,47800,6040.00
2012-12-27,6000.00,6080.00,5990.00,6040.00,17300,6040.00
2012-12-26,5960.00,6110.00,5960.00,6010.00,547400,6010.00
2012-12-25,6000.00,6000.00,6000.00,6000.00,000,6000.00
2012-12-24,5920.00,6060.00,5860.00,6000.00,65600,6000.00
2012-12-21,5930.00,6030.00,5870.00,5900.00,116100,5900.00
2012-12-20,6170.00,6210.00,5900.00,5920.00,190400,5920.00
2012-12-19,6090.00,6090.00,6090.00,6090.00,000,6090.00
2012-12-18,6100.00,6230.00,5990.00,6090.00,124600,6090.00
2012-12-17,6200.00,6240.00,5990.00,6050.00,156200,6050.00
2012-12-14,6440.00,6450.00,6220.00,6220.00,119000,6220.00
2012-12-13,6340.00,6470.00,6230.00,6440.00,161000,6440.00
2012-12-12,6300.00,6550.00,6230.00,6300.00,200500,6300.00
2012-12-11,6210.00,6320.00,6150.00,6300.00,100600,6300.00
2012-12-10,6070.00,6230.00,5990.00,6210.00,64600,6210.00
2012-12-07,6140.00,6290.00,6030.00,6070.00,102300,6070.00
2012-12-06,6180.00,6200.00,5990.00,6150.00,145700,6150.00
2012-12-05,6260.00,6300.00,6110.00,6160.00,118600,6160.00
2012-12-04,6170.00,6350.00,6050.00,6250.00,108700,6250.00
2012-12-03,6280.00,6330.00,6170.00,6200.00,171100,6200.00
2012-11-30,6250.00,6350.00,6160.00,6250.00,126900,6250.00
2012-11-29,6120.00,6300.00,6100.00,6200.00,139700,6200.00
2012-11-28,6040.00,6190.00,5920.00,6060.00,81500,6060.00
2012-11-27,6210.00,6280.00,5990.00,6050.00,139200,6050.00
2012-11-26,6150.00,6260.00,6020.00,6200.00,126300,6200.00
2012-11-23,5940.00,6120.00,5940.00,6090.00,97100,6090.00
2012-11-22,5930.00,6000.00,5900.00,5930.00,43400,5930.00
2012-11-21,6040.00,6100.00,5880.00,5910.00,62400,5910.00
2012-11-20,6150.00,6230.00,6010.00,6080.00,79200,6080.00
2012-11-19,5850.00,6190.00,5850.00,6140.00,191500,6140.00
2012-11-16,6100.00,6230.00,5810.00,5880.00,129600,5880.00
2012-11-15,6280.00,6330.00,6000.00,6060.00,185300,6060.00
2012-11-14,6320.00,6400.00,6200.00,6320.00,96600,6320.00
2012-11-13,6410.00,6500.00,6250.00,6280.00,161400,6280.00
2012-11-12,6540.00,6550.00,6380.00,6380.00,96700,6380.00
2012-11-09,6590.00,6590.00,6440.00,6520.00,89700,6520.00
2012-11-08,6440.00,6630.00,6320.00,6620.00,149400,6620.00
2012-11-07,6640.00,6680.00,6390.00,6440.00,190300,6440.00
2012-11-06,6770.00,6790.00,6590.00,6640.00,114700,6640.00
2012-11-05,6660.00,6790.00,6570.00,6760.00,319700,6760.00
2012-11-02,6410.00,6630.00,6350.00,6630.00,232300,6630.00
2012-11-01,6510.00,6550.00,6340.00,6360.00,110100,6360.00
2012-10-31,6440.00,6590.00,6410.00,6500.00,377700,6500.00
2012-10-30,6220.00,6440.00,6220.00,6390.00,66500,6390.00
2012-10-29,6150.00,6400.00,6060.00,6270.00,191800,6270.00
2012-10-26,6340.00,6410.00,6110.00,6200.00,502900,6200.00
2012-10-25,6500.00,6560.00,6300.00,6340.00,243900,6340.00
2012-10-24,6400.00,6600.00,6350.00,6470.00,209000,6470.00
2012-10-23,6470.00,6590.00,6400.00,6500.00,92200,6500.00
2012-10-22,6340.00,6480.00,6300.00,6470.00,84600,6470.00
2012-10-19,6420.00,6440.00,6120.00,6430.00,86200,6430.00
2012-10-18,6300.00,6450.00,6200.00,6360.00,150700,6360.00
2012-10-17,6600.00,6610.00,6210.00,6250.00,249000,6250.00
2012-10-16,6730.00,6730.00,6450.00,6600.00,143800,6600.00
2012-10-15,6660.00,6800.00,6450.00,6670.00,305400,6670.00
