Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,74000.00,74000.00,74000.00,74000.00,000,74000.00
2012-12-28,76100.00,76200.00,73000.00,74000.00,3200,74000.00
2012-12-27,75500.00,76500.00,73900.00,75300.00,1200,75300.00
2012-12-26,74600.00,77200.00,74600.00,76000.00,1300,76000.00
2012-12-25,76400.00,76400.00,76400.00,76400.00,000,76400.00
2012-12-24,75800.00,76700.00,75800.00,76400.00,200,76400.00
2012-12-21,77300.00,77300.00,75800.00,76200.00,1200,76200.00
2012-12-20,76400.00,77400.00,73500.00,76400.00,300,76400.00
2012-12-19,76500.00,76500.00,76500.00,76500.00,000,76500.00
2012-12-18,76000.00,77400.00,75000.00,76500.00,2000,76500.00
2012-12-17,74600.00,79700.00,74600.00,76000.00,2600,76000.00
2012-12-14,73900.00,75200.00,73200.00,75100.00,1000,75100.00
2012-12-13,73300.00,74500.00,73300.00,73900.00,600,73900.00
2012-12-12,72600.00,74000.00,72300.00,73300.00,2200,73300.00
2012-12-11,72000.00,73500.00,72000.00,73400.00,2000,73400.00
2012-12-10,73300.00,74100.00,71700.00,72100.00,2000,72100.00
2012-12-07,71000.00,72700.00,70900.00,72700.00,2200,72700.00
2012-12-06,71200.00,72800.00,70800.00,70800.00,17500,70800.00
2012-12-05,70200.00,71700.00,70200.00,71200.00,700,71200.00
2012-12-04,69800.00,71200.00,69800.00,70900.00,400,70900.00
2012-12-03,70300.00,71400.00,70000.00,71000.00,1300,71000.00
2012-11-30,72000.00,72000.00,70000.00,71700.00,1300,71700.00
2012-11-29,71800.00,72400.00,70600.00,70900.00,1300,70900.00
2012-11-28,72100.00,72100.00,70200.00,71700.00,2400,71700.00
2012-11-27,72800.00,72800.00,71000.00,72100.00,2300,72100.00
2012-11-26,70400.00,72000.00,70400.00,71700.00,1700,71700.00
2012-11-23,70500.00,71500.00,70400.00,71000.00,2400,71000.00
2012-11-22,69500.00,71300.00,69500.00,70100.00,1000,70100.00
2012-11-21,70000.00,70200.00,68600.00,68900.00,1500,68900.00
2012-11-20,69600.00,70300.00,69400.00,69600.00,1100,69600.00
2012-11-19,69300.00,69900.00,68200.00,69600.00,1500,69600.00
2012-11-16,69200.00,69900.00,67800.00,68800.00,2400,68800.00
2012-11-15,69900.00,70100.00,68500.00,69400.00,2100,69400.00
2012-11-14,72000.00,72500.00,70400.00,70400.00,1300,70400.00
2012-11-13,72200.00,73000.00,71500.00,72000.00,700,72000.00
2012-11-12,71100.00,73100.00,71100.00,72400.00,1100,72400.00
2012-11-09,73400.00,73400.00,71400.00,71700.00,1700,71700.00
2012-11-08,72400.00,74000.00,72400.00,73000.00,300,73000.00
2012-11-07,73900.00,73900.00,72300.00,73400.00,1000,73400.00
2012-11-06,73900.00,74700.00,72300.00,72800.00,1700,72800.00
2012-11-05,72400.00,74500.00,71800.00,73200.00,1800,73200.00
2012-11-02,72600.00,73800.00,72100.00,72900.00,4300,72900.00
2012-11-01,70900.00,72100.00,70300.00,72100.00,7000,72100.00
2012-10-31,69100.00,71200.00,69100.00,70500.00,4400,70500.00
2012-10-30,68100.00,70200.00,67300.00,69000.00,5700,69000.00
2012-10-29,69200.00,71000.00,68000.00,68100.00,2000,68100.00
2012-10-26,70300.00,71000.00,69000.00,69500.00,1100,69500.00
2012-10-25,71200.00,71200.00,70000.00,70300.00,1000,70300.00
2012-10-24,69800.00,70800.00,69300.00,70600.00,2600,70600.00
2012-10-23,70600.00,71700.00,69400.00,70700.00,3200,70700.00
2012-10-22,69900.00,72300.00,68600.00,71600.00,5000,71600.00
2012-10-19,73500.00,74000.00,68900.00,69700.00,9700,69700.00
2012-10-18,73700.00,74000.00,73200.00,73500.00,1800,73500.00
2012-10-17,73800.00,75900.00,73600.00,73900.00,6600,73900.00
2012-10-16,74300.00,75300.00,73000.00,74000.00,7900,74000.00
2012-10-15,71800.00,75800.00,71600.00,73000.00,13400,73000.00
2012-10-12,70200.00,71500.00,69700.00,71500.00,2100,71500.00
2012-10-11,70900.00,70900.00,69700.00,70200.00,1700,70200.00
2012-10-10,68500.00,70500.00,68300.00,70500.00,1500,70500.00
2012-10-09,70700.00,71500.00,68900.00,69800.00,5500,69800.00
2012-10-08,69700.00,72800.00,69700.00,70700.00,5800,70700.00
2012-10-05,68400.00,69700.00,68200.00,69700.00,3100,69700.00
2012-10-04,69900.00,70000.00,68500.00,69100.00,1100,69100.00
2012-10-03,69900.00,69900.00,69900.00,69900.00,000,69900.00
2012-10-02,70000.00,70200.00,68000.00,69900.00,2200,69900.00
2012-10-01,70000.00,70000.00,70000.00,70000.00,000,70000.00
2012-09-28,70800.00,71800.00,69300.00,70000.00,11300,70000.00
2012-09-27,68500.00,71000.00,67300.00,70000.00,7800,70000.00
2012-09-26,69600.00,70400.00,67700.00,68600.00,6200,68600.00
2012-09-25,71000.00,71500.00,69000.00,69600.00,4600,69600.00
2012-09-24,71200.00,72000.00,70100.00,71500.00,3800,71500.00
2012-09-21,68800.00,72200.00,68800.00,71500.00,9200,71500.00
2012-09-20,67800.00,69000.00,67800.00,68800.00,2200,68800.00
2012-09-19,67800.00,69000.00,66800.00,68400.00,3800,68400.00
2012-09-18,66200.00,68600.00,65700.00,68400.00,14500,68400.00
2012-09-17,65000.00,67000.00,64000.00,66800.00,7200,66800.00
2012-09-14,66400.00,66400.00,64900.00,65500.00,1000,65500.00
2012-09-13,63600.00,65100.00,63000.00,64800.00,2800,64800.00
2012-09-12,64300.00,64900.00,63600.00,63700.00,1100,63700.00
2012-09-11,64500.00,64500.00,63600.00,64000.00,1100,64000.00
2012-09-10,65000.00,65000.00,63700.00,64300.00,500,64300.00
2012-09-07,65000.00,65000.00,64300.00,64900.00,1700,64900.00
2012-09-06,64500.00,65000.00,64000.00,64900.00,1200,64900.00
2012-09-05,64200.00,64900.00,63100.00,64600.00,1300,64600.00
2012-09-04,63400.00,64600.00,63400.00,64600.00,900,64600.00
2012-09-03,62300.00,64200.00,62300.00,63700.00,1400,63700.00
2012-08-31,61600.00,62800.00,61600.00,62300.00,2800,62300.00
2012-08-30,64000.00,64600.00,62000.00,62200.00,6200,62200.00
2012-08-29,63600.00,64800.00,63600.00,64000.00,1200,64000.00
2012-08-28,63200.00,64100.00,62900.00,63600.00,1300,63600.00
2012-08-27,63700.00,64600.00,63000.00,64500.00,1300,64500.00
2012-08-24,65300.00,65300.00,63100.00,64300.00,2100,64300.00
2012-08-23,65000.00,65900.00,64500.00,65000.00,1500,65000.00
2012-08-22,64300.00,65100.00,63400.00,65000.00,2000,65000.00
2012-08-21,63000.00,64400.00,63000.00,63600.00,2500,63600.00
2012-08-20,61700.00,62800.00,61700.00,62600.00,1400,62600.00
2012-08-17,62000.00,63000.00,62000.00,62000.00,500,62000.00
2012-08-16,62200.00,63100.00,61800.00,62800.00,900,62800.00
2012-08-15,63100.00,63100.00,63100.00,63100.00,000,63100.00
2012-08-14,63400.00,63400.00,62400.00,63100.00,600,63100.00
2012-08-13,61500.00,63300.00,61200.00,62900.00,1100,62900.00
2012-08-10,62500.00,63200.00,61100.00,61500.00,1500,61500.00
2012-08-09,61900.00,63400.00,61600.00,62500.00,1600,62500.00
2012-08-08,60000.00,62400.00,60000.00,62000.00,4000,62000.00
2012-08-07,60000.00,60200.00,59600.00,60000.00,1400,60000.00
2012-08-06,59100.00,60500.00,59100.00,59500.00,900,59500.00
2012-08-03,59700.00,59700.00,58700.00,59400.00,1800,59400.00
2012-08-02,59800.00,60000.00,59000.00,59400.00,1400,59400.00
2012-08-01,59800.00,60700.00,59500.00,59500.00,4800,59500.00
2012-07-31,60000.00,61000.00,60000.00,60700.00,1700,60700.00
2012-07-30,59200.00,61000.00,59200.00,60000.00,1900,60000.00
2012-07-27,59500.00,60600.00,58500.00,59000.00,2000,59000.00
2012-07-26,59500.00,59900.00,58900.00,59500.00,4100,59500.00
