Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,129000.00,129000.00,129000.00,129000.00,000,129000.00
2012-12-28,128500.00,131000.00,126000.00,129000.00,211500,129000.00
2012-12-27,124500.00,129500.00,123500.00,129000.00,392600,129000.00
2012-12-26,121500.00,123500.00,119000.00,122000.00,435600,122000.00
2012-12-25,119000.00,119000.00,119000.00,119000.00,000,119000.00
2012-12-24,121000.00,122000.00,116000.00,119000.00,452100,119000.00
2012-12-21,124000.00,124500.00,121000.00,122500.00,212200,122500.00
2012-12-20,123500.00,125500.00,123000.00,123000.00,205100,123000.00
2012-12-19,123000.00,123000.00,123000.00,123000.00,000,123000.00
2012-12-18,130500.00,131000.00,122000.00,123000.00,351900,123000.00
2012-12-17,131000.00,132500.00,129500.00,130000.00,131700,130000.00
2012-12-14,131000.00,132500.00,130500.00,130500.00,61100,130500.00
2012-12-13,130500.00,133000.00,129500.00,131500.00,74400,131500.00
2012-12-12,132000.00,133000.00,130500.00,130500.00,52900,130500.00
2012-12-11,128500.00,132500.00,128500.00,130500.00,91200,130500.00
2012-12-10,128500.00,130500.00,127500.00,129000.00,61100,129000.00
2012-12-07,130500.00,131000.00,128500.00,128500.00,35300,128500.00
2012-12-06,128500.00,131500.00,127500.00,129000.00,54600,129000.00
2012-12-05,128000.00,130000.00,128000.00,128500.00,22600,128500.00
2012-12-04,127500.00,129500.00,127500.00,128000.00,16900,128000.00
2012-12-03,127000.00,129500.00,127000.00,128500.00,28100,128500.00
2012-11-30,127500.00,130000.00,126500.00,126500.00,80900,126500.00
2012-11-29,127000.00,129000.00,126000.00,127500.00,53400,127500.00
2012-11-28,124500.00,126500.00,124500.00,125000.00,23000,125000.00
2012-11-27,125000.00,127500.00,124000.00,125500.00,65800,125500.00
2012-11-26,124500.00,125000.00,123000.00,124000.00,31700,124000.00
2012-11-23,122500.00,124500.00,122000.00,123000.00,39000,123000.00
2012-11-22,122000.00,125000.00,121500.00,122000.00,53600,122000.00
2012-11-21,124500.00,125500.00,121500.00,121500.00,47800,121500.00
2012-11-20,125500.00,126500.00,124500.00,124500.00,43600,124500.00
2012-11-19,122000.00,125000.00,122000.00,124000.00,16700,124000.00
2012-11-16,123500.00,124000.00,121500.00,122000.00,41500,122000.00
2012-11-15,121500.00,124500.00,120000.00,123000.00,57900,123000.00
2012-11-14,121000.00,125000.00,121000.00,122500.00,71900,122500.00
2012-11-13,123500.00,124500.00,120500.00,121500.00,53200,121500.00
2012-11-12,123500.00,124500.00,121000.00,123000.00,94000,123000.00
2012-11-09,125500.00,125500.00,121500.00,125000.00,110900,125000.00
2012-11-08,127000.00,128500.00,124000.00,127000.00,66900,127000.00
2012-11-07,128000.00,128500.00,127000.00,128500.00,50300,128500.00
2012-11-06,126500.00,129000.00,126500.00,127500.00,45900,127500.00
2012-11-05,126000.00,127500.00,125500.00,127000.00,25800,127000.00
2012-11-02,124500.00,127000.00,124500.00,125500.00,45200,125500.00
2012-11-01,125000.00,126500.00,122000.00,123000.00,95700,123000.00
2012-10-31,127000.00,128000.00,125000.00,126000.00,52000,126000.00
