Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,2515.00,2515.00,2515.00,2515.00,000,2515.00
2012-12-28,2490.00,2520.00,2435.00,2515.00,36500,2515.00
2012-12-27,2430.00,2490.00,2400.00,2490.00,52500,2490.00
2012-12-26,2450.00,2450.00,2400.00,2430.00,29800,2430.00
2012-12-25,2450.00,2450.00,2450.00,2450.00,000,2450.00
2012-12-24,2490.00,2490.00,2405.00,2450.00,37900,2450.00
2012-12-21,2450.00,2495.00,2430.00,2475.00,49500,2475.00
2012-12-20,2410.00,2455.00,2370.00,2445.00,34000,2445.00
2012-12-19,2385.00,2385.00,2385.00,2385.00,000,2385.00
2012-12-18,2440.00,2440.00,2360.00,2385.00,36700,2385.00
2012-12-17,2455.00,2455.00,2355.00,2410.00,22400,2410.00
2012-12-14,2455.00,2460.00,2405.00,2460.00,50800,2460.00
2012-12-13,2405.00,2470.00,2370.00,2440.00,41100,2440.00
2012-12-12,2430.00,2430.00,2365.00,2400.00,57300,2400.00
2012-12-11,2440.00,2440.00,2320.00,2425.00,58700,2425.00
2012-12-10,2420.00,2480.00,2380.00,2420.00,60300,2420.00
2012-12-07,2405.00,2430.00,2365.00,2420.00,63500,2420.00
2012-12-06,2310.00,2405.00,2285.00,2405.00,66900,2405.00
2012-12-05,2300.00,2340.00,2250.00,2310.00,40400,2310.00
2012-12-04,2300.00,2360.00,2285.00,2350.00,39900,2350.00
2012-12-03,2305.00,2395.00,2270.00,2300.00,23300,2300.00
2012-11-30,2355.00,2365.00,2315.00,2340.00,34500,2340.00
2012-11-29,2345.00,2380.00,2315.00,2325.00,13700,2325.00
2012-11-28,2310.00,2370.00,2300.00,2360.00,27300,2360.00
2012-11-27,2250.00,2355.00,2235.00,2350.00,91800,2350.00
2012-11-26,2280.00,2280.00,2210.00,2270.00,23400,2270.00
2012-11-23,2230.00,2280.00,2200.00,2280.00,50900,2280.00
2012-11-22,2280.00,2280.00,2205.00,2205.00,51400,2205.00
2012-11-21,2255.00,2285.00,2220.00,2250.00,48900,2250.00
2012-11-20,2275.00,2310.00,2215.00,2255.00,91000,2255.00
2012-11-19,2310.00,2310.00,2200.00,2270.00,37900,2270.00
2012-11-16,2370.00,2370.00,2230.00,2250.00,34700,2250.00
2012-11-15,2340.00,2350.00,2270.00,2325.00,39200,2325.00
2012-11-14,2370.00,2370.00,2280.00,2345.00,48900,2345.00
2012-11-13,2390.00,2405.00,2310.00,2350.00,28300,2350.00
2012-11-12,2385.00,2405.00,2320.00,2370.00,63100,2370.00
2012-11-09,2240.00,2380.00,2215.00,2370.00,91500,2370.00
2012-11-08,2220.00,2235.00,2195.00,2235.00,44600,2235.00
2012-11-07,2240.00,2270.00,2225.00,2255.00,33100,2255.00
2012-11-06,2250.00,2275.00,2195.00,2235.00,91600,2235.00
2012-11-05,2150.00,2285.00,2115.00,2245.00,98600,2245.00
2012-11-02,2260.00,2310.00,2145.00,2145.00,144200,2145.00
2012-11-01,2350.00,2350.00,2180.00,2240.00,216400,2240.00
2012-10-31,2375.00,2420.00,2300.00,2350.00,110700,2350.00
2012-10-30,2435.00,2450.00,2370.00,2395.00,55300,2395.00
2012-10-29,2440.00,2500.00,2400.00,2410.00,71500,2410.00
2012-10-26,2520.00,2530.00,2490.00,2505.00,38500,2505.00
2012-10-25,2565.00,2575.00,2505.00,2510.00,48100,2510.00
2012-10-24,2630.00,2630.00,2525.00,2525.00,56400,2525.00
2012-10-23,2610.00,2630.00,2605.00,2620.00,49300,2620.00
2012-10-22,2600.00,2660.00,2600.00,2620.00,24600,2620.00
2012-10-19,2665.00,2670.00,2635.00,2665.00,16000,2665.00
2012-10-18,2675.00,2675.00,2595.00,2660.00,37200,2660.00
2012-10-17,2660.00,2695.00,2645.00,2645.00,46600,2645.00
2012-10-16,2640.00,2675.00,2600.00,2660.00,58300,2660.00
2012-10-15,2705.00,2705.00,2635.00,2640.00,62200,2640.00
2012-10-12,2695.00,2715.00,2650.00,2705.00,74600,2705.00
2012-10-11,2720.00,2740.00,2660.00,2685.00,49200,2685.00
2012-10-10,2750.00,2750.00,2700.00,2720.00,45400,2720.00
2012-10-09,2725.00,2760.00,2715.00,2750.00,36000,2750.00
2012-10-08,2750.00,2785.00,2715.00,2725.00,45300,2725.00
2012-10-05,2805.00,2810.00,2720.00,2750.00,86400,2750.00
2012-10-04,2805.00,2810.00,2770.00,2790.00,62100,2790.00
2012-10-03,2815.00,2815.00,2815.00,2815.00,000,2815.00
2012-10-02,2810.00,2845.00,2780.00,2815.00,45300,2815.00
2012-10-01,2810.00,2810.00,2810.00,2810.00,000,2810.00
2012-09-28,2835.00,2870.00,2810.00,2810.00,50700,2810.00
2012-09-27,2850.00,2850.00,2775.00,2845.00,42700,2845.00
2012-09-26,2870.00,2870.00,2825.00,2840.00,40400,2840.00
2012-09-25,2860.00,2880.00,2835.00,2850.00,55700,2850.00
2012-09-24,2850.00,2865.00,2830.00,2865.00,42100,2865.00
2012-09-21,2905.00,2930.00,2850.00,2850.00,73100,2850.00
