Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,45200.00,45200.00,45200.00,45200.00,000,45200.00
2012-12-28,44750.00,45450.00,44700.00,45200.00,208800,45200.00
2012-12-27,45100.00,45500.00,44550.00,44750.00,289000,44750.00
2012-12-26,45650.00,46100.00,45100.00,45250.00,311500,45250.00
2012-12-25,45750.00,45750.00,45750.00,45750.00,000,45750.00
2012-12-24,45750.00,46400.00,45400.00,45750.00,351600,45750.00
2012-12-21,44700.00,45600.00,44700.00,45400.00,355300,45400.00
2012-12-20,46000.00,46250.00,44550.00,44800.00,852200,44800.00
2012-12-19,45950.00,45950.00,45950.00,45950.00,000,45950.00
2012-12-18,47000.00,47050.00,45350.00,45950.00,556700,45950.00
2012-12-17,46550.00,47400.00,46200.00,46600.00,527800,46600.00
2012-12-14,45600.00,46200.00,45400.00,46100.00,300800,46100.00
2012-12-13,45000.00,45900.00,45000.00,45900.00,640000,45900.00
2012-12-12,46300.00,46300.00,45200.00,45350.00,612700,45350.00
2012-12-11,43800.00,46200.00,43450.00,46100.00,1283400,46100.00
2012-12-10,43500.00,43900.00,42550.00,43600.00,676700,43600.00
2012-12-07,43000.00,44200.00,43000.00,43300.00,885100,43300.00
2012-12-06,40750.00,42800.00,40600.00,42700.00,801400,42700.00
2012-12-05,40950.00,41200.00,40250.00,40800.00,328000,40800.00
2012-12-04,40000.00,40900.00,40000.00,40900.00,327000,40900.00
2012-12-03,40300.00,40700.00,39900.00,40150.00,562100,40150.00
2012-11-30,41850.00,41900.00,40550.00,40650.00,922100,40650.00
2012-11-29,42250.00,42750.00,41650.00,41700.00,630300,41700.00
2012-11-28,42100.00,42350.00,41650.00,41750.00,335000,41750.00
2012-11-27,42050.00,42650.00,42000.00,42500.00,338100,42500.00
2012-11-26,42750.00,43450.00,41850.00,42000.00,309300,42000.00
2012-11-23,43300.00,43600.00,42500.00,42700.00,191500,42700.00
2012-11-22,42750.00,43450.00,42600.00,42750.00,150500,42750.00
2012-11-21,42800.00,43600.00,42150.00,42250.00,266700,42250.00
2012-11-20,42700.00,43400.00,42500.00,42900.00,247700,42900.00
2012-11-19,41800.00,42550.00,41800.00,41900.00,194100,41900.00
2012-11-16,42500.00,43400.00,41500.00,41800.00,373800,41800.00
2012-11-15,43050.00,43600.00,42600.00,42850.00,268400,42850.00
2012-11-14,42000.00,45250.00,42000.00,43650.00,870200,43650.00
2012-11-13,42150.00,43200.00,41750.00,42000.00,595400,42000.00
