Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,3200.00,3200.00,3200.00,3200.00,000,3200.00
2012-12-28,3145.00,3230.00,3100.00,3200.00,234500,3200.00
2012-12-27,2960.00,3130.00,2960.00,3130.00,369900,3130.00
2012-12-26,3010.00,3070.00,2935.00,2960.00,52000,2921.30
2012-12-25,2970.00,2970.00,2970.00,2970.00,000,2931.17
2012-12-24,2920.00,3015.00,2920.00,2970.00,83200,2931.17
2012-12-21,2910.00,3030.00,2890.00,2970.00,97300,2931.17
2012-12-20,3000.00,3000.00,2905.00,2905.00,88200,2867.02
2012-12-19,2965.00,2965.00,2965.00,2965.00,000,2926.23
2012-12-18,3065.00,3065.00,2940.00,2965.00,77100,2926.23
2012-12-17,3020.00,3100.00,2995.00,3010.00,109100,2970.65
2012-12-14,2960.00,3065.00,2935.00,3035.00,269500,2995.32
2012-12-13,2900.00,2970.00,2895.00,2970.00,78200,2931.17
2012-12-12,3025.00,3025.00,2870.00,2900.00,97800,2862.08
2012-12-11,2940.00,2995.00,2930.00,2985.00,51100,2945.97
2012-12-10,2985.00,3025.00,2915.00,2960.00,127500,2921.30
2012-12-07,2920.00,2985.00,2880.00,2905.00,88600,2867.02
2012-12-06,2865.00,2955.00,2865.00,2920.00,79700,2881.82
2012-12-05,2980.00,3055.00,2835.00,2890.00,225500,2852.22
2012-12-04,2930.00,3045.00,2930.00,2980.00,93900,2941.04
2012-12-03,2925.00,2980.00,2900.00,2930.00,90300,2891.69
2012-11-30,3045.00,3055.00,2920.00,2935.00,189800,2896.63
2012-11-29,3080.00,3145.00,3020.00,3040.00,212500,3000.25
2012-11-28,3090.00,3125.00,3045.00,3065.00,84600,3024.93
2012-11-27,3110.00,3195.00,3055.00,3070.00,132600,3029.86
2012-11-26,3210.00,3210.00,3050.00,3110.00,204400,3069.34
2012-11-23,3130.00,3240.00,3040.00,3210.00,345300,3168.03
2012-11-22,2880.00,3140.00,2845.00,3090.00,363500,3049.60
2012-11-21,2920.00,2950.00,2835.00,2835.00,121200,2797.93
2012-11-20,2955.00,3015.00,2915.00,2940.00,79700,2901.56
2012-11-19,2930.00,2960.00,2890.00,2950.00,72600,2911.43
2012-11-16,2915.00,2950.00,2805.00,2890.00,88300,2852.22
2012-11-15,3040.00,3050.00,2880.00,2915.00,164800,2876.89
2012-11-14,3160.00,3180.00,2960.00,3040.00,191800,3000.25
2012-11-13,3375.00,3375.00,3110.00,3165.00,319000,3123.62
2012-11-12,3300.00,3400.00,3170.00,3300.00,846600,3256.85
2012-11-09,3085.00,3180.00,3015.00,3175.00,164300,3133.49
2012-11-08,3095.00,3130.00,3050.00,3115.00,78700,3074.27
2012-11-07,3000.00,3145.00,2940.00,3145.00,151000,3103.88
2012-11-06,3055.00,3060.00,2940.00,3000.00,80800,2960.78
2012-11-05,3030.00,3080.00,2960.00,3055.00,74000,3015.06
2012-11-02,3050.00,3120.00,2950.00,3025.00,145900,2985.45
2012-11-01,2955.00,3050.00,2955.00,3010.00,82600,2970.65
2012-10-31,2930.00,3065.00,2930.00,3000.00,99500,2960.78
2012-10-30,2935.00,2980.00,2925.00,2935.00,108100,2896.63
2012-10-29,3080.00,3100.00,2820.00,2935.00,193900,2896.63
2012-10-26,3350.00,3350.00,3040.00,3080.00,243500,3039.73
2012-10-25,3415.00,3465.00,3225.00,3280.00,165100,3237.12
2012-10-24,3480.00,3500.00,3380.00,3425.00,178100,3380.22
2012-10-23,3490.00,3545.00,3410.00,3495.00,232900,3449.31
2012-10-22,3210.00,3465.00,3160.00,3435.00,272200,3390.09
2012-10-19,3290.00,3375.00,3205.00,3300.00,203000,3256.85
2012-10-18,3420.00,3530.00,3170.00,3335.00,395100,3291.40
2012-10-17,3375.00,3480.00,3310.00,3395.00,317700,3350.61
2012-10-16,3440.00,3690.00,3380.00,3380.00,1483800,3335.81
2012-10-15,3245.00,3350.00,3100.00,3280.00,337300,3237.12
2012-10-12,3130.00,3195.00,3070.00,3180.00,185000,3138.42
2012-10-11,3070.00,3195.00,3065.00,3130.00,209700,3089.08
2012-10-10,3170.00,3225.00,3080.00,3125.00,221100,3084.14
2012-10-09,3230.00,3270.00,3080.00,3175.00,538900,3133.49
2012-10-08,3285.00,3285.00,3175.00,3265.00,341900,3222.31
2012-10-05,3260.00,3340.00,3170.00,3290.00,561400,3246.99
2012-10-04,3140.00,3345.00,3060.00,3215.00,571000,3172.97
2012-10-03,3095.00,3095.00,3095.00,3095.00,000,3054.53
2012-10-02,2940.00,3095.00,2905.00,3095.00,421500,3054.53
2012-10-01,2980.00,2980.00,2980.00,2980.00,000,2941.04
2012-09-28,3100.00,3220.00,2980.00,2980.00,741100,2941.04
2012-09-27,3070.00,3160.00,2985.00,3100.00,397500,3059.47
2012-09-26,3010.00,3050.00,2940.00,3040.00,414300,3000.25
2012-09-25,3030.00,3030.00,2920.00,3010.00,293400,2970.65
2012-09-24,3100.00,3100.00,2975.00,3030.00,366600,2990.38
2012-09-21,3015.00,3105.00,2960.00,3100.00,434100,3059.47
2012-09-20,2955.00,3100.00,2900.00,3015.00,703200,2975.58
2012-09-19,2865.00,3140.00,2865.00,3000.00,1584900,2960.78
2012-09-18,2850.00,2945.00,2760.00,2860.00,1445100,2822.61
2012-09-17,2470.00,2750.00,2420.00,2750.00,1021400,2714.05
2012-09-14,2360.00,2480.00,2330.00,2395.00,437300,2363.69
