Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,25400.00,25400.00,25400.00,25400.00,000,25400.00
2012-12-28,25000.00,25700.00,25000.00,25400.00,100,25400.00
2012-12-27,25350.00,25700.00,25350.00,25650.00,100,25650.00
2012-12-26,24950.00,25700.00,24750.00,25350.00,2000,24748.00
2012-12-25,25600.00,25600.00,25600.00,25600.00,000,24992.06
2012-12-24,25200.00,26500.00,25200.00,25600.00,100,24992.06
2012-12-21,24700.00,25200.00,24700.00,24850.00,1700,24259.87
2012-12-20,25300.00,25300.00,25050.00,25050.00,000,24455.12
2012-12-19,25300.00,25300.00,25300.00,25300.00,000,24699.19
2012-12-18,25000.00,25300.00,25000.00,25300.00,100,24699.19
2012-12-17,24750.00,25000.00,24750.00,25000.00,000,24406.31
2012-12-14,24650.00,24700.00,24600.00,24700.00,47400,24113.44
2012-12-13,24900.00,24900.00,24650.00,24650.00,500,24064.62
2012-12-12,25000.00,25100.00,24600.00,24900.00,100,24308.69
2012-12-11,25050.00,25100.00,24700.00,25000.00,200,24406.31
2012-12-10,25750.00,26000.00,24500.00,24600.00,704100,24015.81
2012-12-07,25650.00,25650.00,25250.00,25350.00,1200,24748.00
2012-12-06,26100.00,26100.00,25500.00,25650.00,2000,25040.87
2012-12-05,26350.00,26350.00,26000.00,26150.00,100,25529.00
2012-12-04,26100.00,26250.00,26000.00,26200.00,200,25577.81
2012-12-03,26700.00,26700.00,25200.00,26100.00,3400,25480.19
2012-11-30,26400.00,26400.00,26050.00,26150.00,300,25529.00
2012-11-29,26050.00,26400.00,26000.00,26000.00,100,25382.56
2012-11-28,26450.00,26450.00,26050.00,26050.00,300,25431.38
2012-11-27,26350.00,26350.00,26000.00,26050.00,300,25431.38
2012-11-26,27000.00,27000.00,26350.00,26350.00,000,25724.25
2012-11-23,26700.00,26700.00,26700.00,26700.00,000,26065.94
2012-11-22,26700.00,26700.00,26700.00,26700.00,000,26065.94
2012-11-21,26700.00,26700.00,26700.00,26700.00,000,26065.94
2012-11-20,26750.00,26750.00,26700.00,26700.00,2700,26065.94
2012-11-19,26950.00,26950.00,26950.00,26950.00,000,26310.00
2012-11-16,26950.00,26950.00,26900.00,26950.00,000,26310.00
2012-11-15,26350.00,26700.00,26350.00,26700.00,000,26065.94
2012-11-14,26350.00,26350.00,26350.00,26350.00,000,25724.25
2012-11-13,26150.00,26350.00,26150.00,26350.00,000,25724.25
2012-11-12,26300.00,26400.00,26300.00,26400.00,3300,25773.06
2012-11-09,26450.00,26450.00,26200.00,26300.00,100,25675.44
2012-11-08,26300.00,26950.00,26300.00,26400.00,000,25773.06
2012-11-07,26400.00,26400.00,26400.00,26400.00,000,25773.06
2012-11-06,26550.00,26550.00,26400.00,26400.00,200,25773.06
2012-11-05,26550.00,26950.00,26550.00,26600.00,200,25968.31
2012-11-02,27350.00,27350.00,27350.00,27350.00,000,26700.50
2012-11-01,27350.00,27350.00,27350.00,27350.00,000,26700.50
2012-10-31,27000.00,27200.00,26700.00,27200.00,000,26554.07
2012-10-30,27100.00,27100.00,27100.00,27100.00,000,26456.44
2012-10-29,27750.00,27750.00,27100.00,27100.00,100,26456.44
2012-10-26,27050.00,27250.00,27050.00,27100.00,400,26456.44
2012-10-25,27500.00,27500.00,27500.00,27500.00,200,26846.94
2012-10-24,27400.00,27950.00,27400.00,27500.00,000,26846.94
2012-10-23,27750.00,27750.00,27750.00,27750.00,000,27091.01
2012-10-22,27750.00,27750.00,27750.00,27750.00,000,27091.01
2012-10-19,27600.00,27750.00,27500.00,27750.00,000,27091.01
2012-10-18,28050.00,28050.00,28050.00,28050.00,000,27383.88
2012-10-17,28100.00,28100.00,28050.00,28050.00,000,27383.88
2012-10-16,28050.00,28050.00,28050.00,28050.00,000,27383.88
2012-10-15,28050.00,28050.00,28050.00,28050.00,000,27383.88
2012-10-12,28000.00,28000.00,28000.00,28000.00,000,27335.07
2012-10-11,27950.00,28000.00,27950.00,28000.00,500,27335.07
2012-10-10,27950.00,27950.00,27950.00,27950.00,000,27286.26
2012-10-09,28000.00,28000.00,28000.00,28000.00,000,27335.07
2012-10-08,27900.00,28000.00,27900.00,28000.00,200,27335.07
2012-10-05,27550.00,28100.00,27550.00,27750.00,200,27091.01
2012-10-04,28000.00,28000.00,27700.00,27700.00,000,27042.19
2012-10-03,28000.00,28000.00,28000.00,28000.00,000,27335.07
2012-10-02,28000.00,28000.00,28000.00,28000.00,000,27335.07
2012-10-01,28000.00,28000.00,28000.00,28000.00,000,27335.07
2012-09-28,27950.00,28000.00,27650.00,28000.00,16100,27335.07
2012-09-27,28000.00,28000.00,27950.00,27950.00,500,27286.26
2012-09-26,28150.00,28150.00,27950.00,27950.00,100,27286.26
2012-09-25,27850.00,27900.00,27800.00,27800.00,000,27139.82
2012-09-24,27700.00,28000.00,27700.00,27700.00,000,27042.19
2012-09-21,27850.00,28100.00,27850.00,28100.00,000,27432.69
2012-09-20,27850.00,27900.00,27850.00,27850.00,9600,27188.63
2012-09-19,27750.00,27800.00,27700.00,27800.00,4400,27139.82
2012-09-18,27700.00,28000.00,27700.00,27700.00,800,27042.19
2012-09-17,28000.00,28000.00,28000.00,28000.00,000,27335.07
2012-09-14,27750.00,28000.00,27700.00,28000.00,100,27335.07
2012-09-13,27850.00,27850.00,27800.00,27800.00,000,27139.82
2012-09-12,27900.00,27900.00,27900.00,27900.00,000,27237.44
2012-09-11,27750.00,28100.00,27750.00,27800.00,100,27139.82
2012-09-10,28250.00,28250.00,28250.00,28250.00,000,27579.13
2012-09-07,27750.00,27750.00,27750.00,27750.00,000,27091.01
2012-09-06,27750.00,27750.00,27750.00,27750.00,000,27091.01
2012-09-05,27800.00,27800.00,27750.00,27750.00,2800,27091.01
2012-09-04,27900.00,28000.00,27450.00,27800.00,7800,27139.82
2012-09-03,28150.00,28150.00,27900.00,27900.00,7200,27237.44
2012-08-31,27600.00,27950.00,27600.00,27900.00,100,27237.44
2012-08-30,27600.00,27600.00,27600.00,27600.00,000,26944.57
2012-08-29,27950.00,27950.00,27950.00,27950.00,000,27286.26
2012-08-28,28050.00,28050.00,27950.00,27950.00,200,27286.26
2012-08-27,27850.00,27850.00,27850.00,27850.00,1000,27188.63
2012-08-24,27900.00,27900.00,27900.00,27900.00,000,27237.44
2012-08-23,27650.00,27900.00,27650.00,27900.00,600,27237.44
2012-08-22,28000.00,28000.00,27600.00,27600.00,1000,26944.57
2012-08-21,28050.00,28050.00,28000.00,28000.00,1000,27335.07
2012-08-20,27800.00,28050.00,27750.00,28050.00,000,27383.88
2012-08-17,28050.00,28050.00,27750.00,27750.00,1000,27091.01
2012-08-16,27750.00,27800.00,27650.00,27750.00,500,27091.01
2012-08-15,27550.00,27550.00,27550.00,27550.00,000,26895.75
2012-08-14,29050.00,29050.00,27550.00,27550.00,3800,26895.75
2012-08-13,29050.00,29050.00,29050.00,29050.00,000,28360.13
2012-08-10,29200.00,29200.00,28400.00,29050.00,000,28360.13
2012-08-09,29000.00,29000.00,28400.00,29000.00,200,28311.32
2012-08-08,28550.00,28750.00,28550.00,28750.00,1200,28067.26
2012-08-07,28600.00,28750.00,28500.00,28500.00,200,27823.19
2012-08-06,28800.00,28950.00,28400.00,28450.00,1200,27774.38
2012-08-03,28650.00,28850.00,28650.00,28800.00,200,28116.07
2012-08-02,28550.00,28600.00,28400.00,28600.00,100,27920.82
2012-08-01,28550.00,28550.00,28400.00,28400.00,000,27725.57
2012-07-31,28300.00,28400.00,28300.00,28350.00,800,27676.76
2012-07-30,27700.00,28300.00,27700.00,28300.00,1000,27627.94
2012-07-27,27600.00,28150.00,27600.00,27700.00,1100,27042.19
2012-07-26,27650.00,30900.00,27300.00,27600.00,2300,26944.57
2012-07-25,28700.00,28700.00,26750.00,27800.00,5000,27139.82
2012-07-24,29050.00,29450.00,28050.00,28700.00,2500,28018.44
2012-07-23,30200.00,30200.00,29050.00,29050.00,1100,28360.13
2012-07-20,30000.00,30600.00,29350.00,30200.00,6100,29482.82
2012-07-19,28850.00,32900.00,28850.00,29950.00,6500,29238.76
2012-07-18,29150.00,29500.00,28500.00,28650.00,7600,27969.63
