Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,138500.00,138500.00,138500.00,138500.00,000,138500.00
2012-12-28,138000.00,140500.00,135500.00,138500.00,38900,138500.00
2012-12-27,138000.00,138500.00,136500.00,137000.00,20400,137000.00
2012-12-26,137000.00,139000.00,136000.00,138000.00,40300,136925.00
2012-12-25,134000.00,134000.00,134000.00,134000.00,000,132956.16
2012-12-24,136500.00,137500.00,134000.00,134000.00,24300,132956.16
2012-12-21,134000.00,137000.00,132500.00,136000.00,35000,134940.58
2012-12-20,130500.00,134000.00,130000.00,133000.00,46200,131963.95
2012-12-19,131500.00,131500.00,131500.00,131500.00,000,130475.63
2012-12-18,134000.00,134000.00,130500.00,131500.00,54500,130475.63
2012-12-17,136000.00,137500.00,132000.00,133000.00,48500,131963.95
2012-12-14,138000.00,138500.00,134500.00,134500.00,49400,133452.27
2012-12-13,137500.00,140000.00,137500.00,139500.00,38500,138413.32
2012-12-12,135500.00,139000.00,135500.00,138000.00,38800,136925.00
2012-12-11,140500.00,141000.00,136000.00,136000.00,64500,134940.58
2012-12-10,138500.00,141000.00,137500.00,140500.00,45500,139405.53
2012-12-07,145000.00,145000.00,138000.00,138500.00,58500,137421.11
2012-12-06,145000.00,146000.00,144000.00,144000.00,20600,142878.26
2012-12-05,146000.00,147500.00,145000.00,145000.00,27000,143870.47
2012-12-04,145000.00,147500.00,143500.00,146000.00,31100,144862.68
2012-12-03,147000.00,147000.00,145000.00,145500.00,22500,144366.58
2012-11-30,145500.00,149000.00,145000.00,146000.00,24500,144862.68
2012-11-29,144000.00,147500.00,144000.00,146500.00,31000,145358.79
2012-11-28,145000.00,146000.00,143500.00,143500.00,29600,142382.16
2012-11-27,152000.00,152500.00,145000.00,145000.00,57100,143870.47
2012-11-26,149500.00,151000.00,147500.00,151000.00,17600,149823.73
2012-11-23,147500.00,150000.00,145500.00,149000.00,37800,147839.31
2012-11-22,149500.00,151000.00,148000.00,148000.00,18400,146847.10
2012-11-21,148500.00,152500.00,148500.00,149000.00,24800,147839.31
2012-11-20,152000.00,153500.00,147500.00,150500.00,31900,149327.63
2012-11-19,152500.00,152500.00,149500.00,152000.00,13500,150815.94
2012-11-16,151000.00,154000.00,149000.00,150000.00,30700,148831.52
2012-11-15,159000.00,160000.00,151000.00,153500.00,33500,152304.26
2012-11-14,159500.00,162000.00,154000.00,159500.00,28500,158257.52
2012-11-13,164000.00,164000.00,157500.00,158000.00,22400,156769.20
2012-11-12,157000.00,163000.00,153000.00,162000.00,68600,160738.04
2012-11-09,148000.00,158500.00,146000.00,157000.00,74700,155776.99
2012-11-08,146000.00,150000.00,145500.00,148000.00,56200,146847.10
2012-11-07,153000.00,153500.00,146000.00,146500.00,73000,145358.79
2012-11-06,158500.00,160000.00,152500.00,153500.00,56800,152304.26
2012-11-05,152000.00,159500.00,150500.00,159000.00,42300,157761.41
2012-11-02,155500.00,157000.00,150500.00,151500.00,40900,150319.84
2012-11-01,158500.00,159000.00,154000.00,155000.00,40100,153792.57
2012-10-31,152500.00,159000.00,152000.00,158000.00,50100,156769.20
2012-10-30,152000.00,154500.00,149000.00,152500.00,45100,151312.05
2012-10-29,156500.00,157000.00,152000.00,152500.00,53300,151312.05
2012-10-26,165000.00,165000.00,152500.00,156500.00,125800,155280.89
2012-10-25,172500.00,175000.00,167500.00,167500.00,61200,166195.20
2012-10-24,168000.00,176000.00,166500.00,173500.00,70200,172148.46
2012-10-23,165000.00,169500.00,161500.00,168500.00,78300,167187.41
2012-10-22,164000.00,166500.00,162500.00,165000.00,16500,163714.67
2012-10-19,171000.00,171000.00,160500.00,164500.00,25500,163218.57
2012-10-18,168500.00,171500.00,167500.00,168500.00,29300,167187.41
2012-10-17,171500.00,172500.00,167000.00,167500.00,34900,166195.20
2012-10-16,170500.00,172500.00,165000.00,171500.00,59900,170164.04
2012-10-15,175500.00,176500.00,167000.00,170500.00,53200,169171.83
2012-10-12,164000.00,175000.00,163500.00,175000.00,48900,173636.78
2012-10-11,166500.00,168000.00,160000.00,163000.00,42200,161730.25
2012-10-10,169500.00,171500.00,167000.00,170000.00,28600,168675.73
2012-10-09,173000.00,175000.00,169500.00,169500.00,35200,168179.62
2012-10-08,172000.00,174500.00,168000.00,172500.00,31600,171156.25
2012-10-05,167000.00,173000.00,164500.00,170500.00,43100,169171.83
2012-10-04,165500.00,170500.00,164500.00,168000.00,33000,166691.31
2012-10-03,166000.00,166000.00,166000.00,166000.00,000,164706.88
2012-10-02,168000.00,169000.00,166000.00,166000.00,24800,164706.88
2012-10-01,169500.00,169500.00,169500.00,169500.00,000,168179.62
2012-09-28,168000.00,170000.00,166500.00,169500.00,47600,168179.62
2012-09-27,161000.00,170000.00,160000.00,167500.00,93400,166195.20
2012-09-26,155500.00,161000.00,154000.00,159500.00,66200,158257.52
2012-09-25,156000.00,157000.00,153500.00,153500.00,27300,152304.26
2012-09-24,154000.00,155000.00,151000.00,155000.00,26200,153792.57
2012-09-21,150000.00,155000.00,148500.00,154000.00,31600,152800.36
2012-09-20,155000.00,155500.00,148000.00,148500.00,40600,147343.21
2012-09-19,150000.00,156000.00,149000.00,154000.00,44200,152800.36
2012-09-18,147500.00,149000.00,147000.00,149000.00,18000,147839.31
2012-09-17,151000.00,151000.00,146000.00,147000.00,44500,145854.89
2012-09-14,151500.00,153000.00,150500.00,151500.00,21800,150319.84
2012-09-13,150000.00,153000.00,150000.00,150500.00,13100,149327.63
2012-09-12,149000.00,152500.00,148500.00,151500.00,21800,150319.84
2012-09-11,148500.00,152000.00,148000.00,148500.00,19200,147343.21
2012-09-10,154500.00,154500.00,148000.00,148500.00,34900,147343.21
2012-09-07,154000.00,155500.00,152500.00,153000.00,31000,151808.15
2012-09-06,153000.00,157000.00,152000.00,155500.00,17000,154288.68
2012-09-05,156000.00,156000.00,152000.00,152000.00,22100,150815.94
2012-09-04,156000.00,158500.00,155500.00,155500.00,27000,154288.68
2012-09-03,157000.00,160000.00,155000.00,156000.00,24600,154784.78
2012-08-31,160000.00,160500.00,156500.00,157000.00,35900,155776.99
2012-08-30,158000.00,159500.00,156000.00,158500.00,29200,157265.31
2012-08-29,159000.00,161000.00,157000.00,157000.00,39700,155776.99
2012-08-28,159000.00,159500.00,156500.00,158000.00,31600,156769.20
2012-08-27,149500.00,158500.00,149500.00,158000.00,69400,156769.20
2012-08-24,150000.00,150500.00,148000.00,150000.00,24800,148831.52
2012-08-23,149500.00,150500.00,148500.00,149500.00,30400,148335.42
2012-08-22,148500.00,150000.00,148000.00,149000.00,12600,147839.31
2012-08-21,151000.00,151000.00,148000.00,148500.00,19800,147343.21
2012-08-20,150000.00,151500.00,149000.00,150000.00,22600,148831.52
2012-08-17,151000.00,151500.00,149000.00,150500.00,24400,149327.63
2012-08-16,148500.00,150500.00,147000.00,150000.00,30800,148831.52
2012-08-15,148000.00,148000.00,148000.00,148000.00,000,146847.10
2012-08-14,147000.00,148000.00,146000.00,148000.00,18700,146847.10
2012-08-13,145000.00,147500.00,145000.00,145500.00,14200,144366.58
2012-08-10,147500.00,147500.00,144000.00,145500.00,27200,144366.58
2012-08-09,145500.00,147000.00,144500.00,147000.00,37800,145854.89
2012-08-08,147500.00,150000.00,145000.00,145000.00,41900,143870.47
2012-08-07,148500.00,149500.00,145000.00,149000.00,24100,147839.31
2012-08-06,148500.00,150000.00,148000.00,148000.00,21000,146847.10
2012-08-03,146500.00,149000.00,145000.00,148500.00,16600,147343.21
2012-08-02,146000.00,146500.00,144500.00,146000.00,22500,144862.68
2012-08-01,146000.00,151500.00,144500.00,144500.00,51900,143374.37
2012-07-31,145000.00,147000.00,144000.00,145000.00,18900,143870.47
2012-07-30,143000.00,145000.00,141000.00,145000.00,18400,143870.47
2012-07-27,143500.00,143500.00,140500.00,143000.00,12000,141886.05
2012-07-26,142000.00,144000.00,140500.00,140500.00,17400,139405.53
2012-07-25,142500.00,144500.00,139500.00,144000.00,23000,142878.26
2012-07-24,142000.00,145000.00,141500.00,144000.00,8900,142878.26
2012-07-23,146000.00,146000.00,140000.00,143000.00,20300,141886.05
2012-07-20,144500.00,146000.00,143500.00,146000.00,15100,144862.68
2012-07-19,144000.00,145500.00,142500.00,145000.00,16700,143870.47
2012-07-18,142000.00,144000.00,140500.00,142500.00,13600,141389.95
2012-07-17,143000.00,145000.00,141500.00,141500.00,14700,140397.74
2012-07-16,138000.00,144000.00,138000.00,142500.00,19500,141389.95
2012-07-13,139000.00,139500.00,136500.00,138000.00,16500,136925.00
2012-07-12,143000.00,144000.00,139000.00,139000.00,12000,137917.21
2012-07-11,141500.00,144500.00,141000.00,143500.00,6500,142382.16
2012-07-10,143500.00,145000.00,141500.00,143000.00,19400,141886.05
2012-07-09,142000.00,145000.00,142000.00,143500.00,8000,142382.16
2012-07-06,139500.00,145000.00,139500.00,143500.00,30200,142382.16
2012-07-05,141500.00,143000.00,139500.00,139500.00,35600,138413.32
2012-07-04,145000.00,145000.00,139000.00,143000.00,67000,141886.05
2012-07-03,152000.00,152000.00,143500.00,145500.00,62600,144366.58
2012-07-02,147000.00,151500.00,147000.00,151000.00,12900,149823.73
2012-06-29,148000.00,151000.00,148000.00,149000.00,30500,147839.31
2012-06-28,146000.00,151000.00,143500.00,149500.00,36300,148335.42
2012-06-27,144500.00,149000.00,140500.00,147000.00,45100,145854.89
2012-06-26,148500.00,150000.00,142500.00,142500.00,49100,141389.95
2012-06-25,147500.00,150500.00,146500.00,150500.00,22100,149327.63
2012-06-22,146500.00,150000.00,145000.00,148500.00,34900,147343.21
2012-06-21,143500.00,147500.00,142500.00,147000.00,27500,145854.89
2012-06-20,146000.00,147500.00,143500.00,144000.00,36000,142878.26
2012-06-19,142500.00,146500.00,142000.00,146000.00,40100,144862.68
2012-06-18,143500.00,144500.00,141000.00,142500.00,30000,141389.95
2012-06-15,143000.00,145500.00,139500.00,142000.00,68400,140893.84
2012-06-14,140000.00,142000.00,138500.00,142000.00,51700,140893.84
2012-06-13,138000.00,140000.00,136500.00,139500.00,32100,138413.32
2012-06-12,140000.00,140000.00,137000.00,138000.00,17700,136925.00
2012-06-11,137500.00,140000.00,136000.00,139500.00,38100,138413.32
2012-06-08,137000.00,139000.00,136000.00,138500.00,27100,137421.11
2012-06-07,137500.00,140000.00,135500.00,138500.00,57000,137421.11
2012-06-06,137500.00,137500.00,137500.00,137500.00,000,136428.90
2012-06-05,129500.00,138500.00,129500.00,137500.00,70000,136428.90
2012-06-04,127500.00,130000.00,126000.00,129500.00,39800,128491.21
2012-06-01,126500.00,129000.00,125500.00,129000.00,20500,127995.11
2012-05-31,121000.00,128500.00,121000.00,127000.00,35600,126010.69
2012-05-30,123500.00,124000.00,121000.00,123000.00,23100,122041.85
2012-05-29,125000.00,127000.00,123000.00,124000.00,21100,123034.06
2012-05-28,126000.00,126000.00,126000.00,126000.00,000,125018.48
2012-05-25,126500.00,127500.00,125000.00,126000.00,25200,125018.48
2012-05-24,124000.00,127500.00,122500.00,127000.00,17000,126010.69
2012-05-23,120000.00,124500.00,119000.00,124000.00,24100,123034.06
2012-05-22,121500.00,122000.00,118000.00,122000.00,45800,121049.64
2012-05-21,123000.00,123000.00,120000.00,121000.00,23500,120057.43
2012-05-18,122000.00,124500.00,118500.00,124000.00,38200,123034.06
2012-05-17,124000.00,126000.00,122000.00,123500.00,28100,122537.95
2012-05-16,129000.00,129000.00,124500.00,124500.00,34600,123530.16
2012-05-15,128500.00,131500.00,128000.00,129000.00,26500,127995.11
2012-05-14,132500.00,133000.00,129000.00,129000.00,25600,127995.11
2012-05-11,130000.00,134000.00,129500.00,132500.00,31800,131467.84
2012-05-10,132500.00,132500.00,129500.00,129500.00,14900,128491.21
2012-05-09,130000.00,131500.00,129000.00,131500.00,15900,130475.63
2012-05-08,132000.00,133500.00,130000.00,130000.00,27500,128987.32
2012-05-07,130000.00,132000.00,128500.00,131000.00,25100,129979.53
2012-05-04,133000.00,133000.00,129000.00,131000.00,30100,129979.53
2012-05-03,130500.00,133500.00,129500.00,133000.00,20300,131963.95
2012-05-02,133500.00,135000.00,128000.00,129000.00,46500,127995.11
2012-05-01,134000.00,134000.00,134000.00,134000.00,000,132956.16
2012-04-30,133000.00,136000.00,133000.00,134000.00,34600,132956.16
2012-04-27,135500.00,139500.00,134000.00,134000.00,105900,132956.16
2012-04-26,131000.00,134500.00,130500.00,134500.00,78100,133452.27
2012-04-25,129000.00,130000.00,127500.00,130000.00,39000,128987.32
2012-04-24,125500.00,128500.00,124500.00,128000.00,36600,127002.90
2012-04-23,128000.00,128000.00,126000.00,127000.00,15300,126010.69
