Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,72000.00,72000.00,72000.00,72000.00,000,72000.00
2012-12-28,71300.00,72500.00,71000.00,72000.00,329100,72000.00
2012-12-27,70900.00,71500.00,70700.00,71100.00,235200,71100.00
2012-12-26,72100.00,72300.00,71000.00,71000.00,305400,71000.00
2012-12-25,71800.00,71800.00,71800.00,71800.00,000,71800.00
2012-12-24,72400.00,72400.00,71300.00,71800.00,219900,71800.00
2012-12-21,73400.00,73500.00,70900.00,72400.00,500800,72400.00
2012-12-20,73500.00,74100.00,72400.00,73000.00,426400,73000.00
2012-12-19,72700.00,72700.00,72700.00,72700.00,000,72700.00
2012-12-18,73400.00,73900.00,71800.00,72700.00,341600,72700.00
2012-12-17,73500.00,73800.00,72500.00,72900.00,199100,72900.00
2012-12-14,72800.00,74100.00,72100.00,73500.00,348400,73500.00
2012-12-13,72700.00,73400.00,71900.00,73000.00,613400,73000.00
2012-12-12,72000.00,73300.00,71900.00,72900.00,391600,72900.00
2012-12-11,70200.00,71800.00,70200.00,71300.00,356900,71300.00
2012-12-10,70000.00,70200.00,68900.00,70100.00,462100,70100.00
2012-12-07,72000.00,72000.00,70400.00,70400.00,350200,70400.00
2012-12-06,70700.00,72700.00,70700.00,71700.00,374000,71700.00
2012-12-05,70800.00,71700.00,70300.00,71100.00,154800,71100.00
2012-12-04,71300.00,71400.00,70100.00,71400.00,241800,71400.00
2012-12-03,71300.00,72400.00,71200.00,72200.00,205100,72200.00
2012-11-30,71100.00,72900.00,70800.00,71300.00,221000,71300.00
2012-11-29,71000.00,71800.00,70500.00,71400.00,253000,71400.00
2012-11-28,70900.00,71400.00,69700.00,70700.00,256200,70700.00
2012-11-27,70800.00,72400.00,69600.00,71400.00,530300,71400.00
2012-11-26,70600.00,71300.00,69600.00,70100.00,232200,70100.00
2012-11-23,70800.00,71200.00,69800.00,70500.00,308100,70500.00
2012-11-22,71100.00,71500.00,69600.00,71000.00,320800,71000.00
2012-11-21,73000.00,73000.00,69600.00,70600.00,346000,70600.00
2012-11-20,73800.00,73900.00,71400.00,72400.00,309900,72400.00
2012-11-19,69200.00,73000.00,69200.00,72500.00,458500,72500.00
2012-11-16,71400.00,72100.00,68900.00,69400.00,581100,69400.00
2012-11-15,70500.00,72100.00,70400.00,71900.00,324900,71900.00
2012-11-14,72800.00,73500.00,70900.00,71500.00,449200,71500.00
2012-11-13,73500.00,73500.00,72100.00,72600.00,230400,72600.00
2012-11-12,75300.00,75500.00,72400.00,72800.00,435700,72800.00
2012-11-09,74000.00,76000.00,73200.00,75300.00,380400,75300.00
2012-11-08,73100.00,75500.00,72700.00,74500.00,410400,74500.00
2012-11-07,74800.00,75300.00,74200.00,74400.00,409200,74400.00
2012-11-06,71900.00,74600.00,71600.00,74400.00,944900,74400.00
2012-11-05,71000.00,71500.00,70300.00,71400.00,333200,71400.00
2012-11-02,70500.00,71900.00,70300.00,71500.00,867800,71500.00
2012-11-01,68600.00,69600.00,67500.00,69400.00,398600,69400.00
2012-10-31,68500.00,69800.00,68300.00,68600.00,519400,68600.00
2012-10-30,65900.00,68400.00,65600.00,67900.00,519300,67900.00
