Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,23700.00,23700.00,23700.00,23700.00,000,23700.00
2012-12-28,23300.00,24400.00,23250.00,23700.00,120100,23700.00
2012-12-27,23300.00,23550.00,23100.00,23100.00,81300,23100.00
2012-12-26,23800.00,24150.00,23700.00,23700.00,133500,23700.00
2012-12-25,23800.00,23800.00,23800.00,23800.00,000,23800.00
2012-12-24,23900.00,23900.00,23600.00,23800.00,89300,23800.00
2012-12-21,23950.00,24250.00,23700.00,23700.00,153800,23700.00
2012-12-20,23650.00,24250.00,23200.00,23750.00,182600,23750.00
2012-12-19,23900.00,23900.00,23900.00,23900.00,000,23900.00
2012-12-18,24100.00,24600.00,23850.00,23900.00,197200,23900.00
2012-12-17,25150.00,25150.00,23600.00,23850.00,188100,23850.00
2012-12-14,25150.00,25150.00,24300.00,25000.00,176900,25000.00
2012-12-13,24050.00,24950.00,24050.00,24950.00,144900,24950.00
2012-12-12,24450.00,24600.00,24250.00,24600.00,98800,24600.00
2012-12-11,24450.00,24450.00,24050.00,24400.00,121600,24400.00
2012-12-10,23700.00,24450.00,23700.00,24450.00,189500,24450.00
2012-12-07,24250.00,24250.00,23850.00,23850.00,206100,23850.00
2012-12-06,23700.00,24150.00,23650.00,23900.00,166400,23900.00
2012-12-05,23800.00,24050.00,23650.00,23800.00,148200,23800.00
2012-12-04,24250.00,24350.00,23800.00,23800.00,150600,23800.00
2012-12-03,24450.00,24500.00,24100.00,24350.00,299200,24350.00
2012-11-30,24000.00,24350.00,23850.00,24350.00,218000,24350.00
2012-11-29,23400.00,24100.00,23350.00,24000.00,274900,24000.00
2012-11-28,23500.00,23550.00,23050.00,23200.00,69200,23200.00
2012-11-27,24050.00,24100.00,23350.00,23350.00,73000,23350.00
2012-11-26,24000.00,24150.00,23700.00,23950.00,206800,23950.00
2012-11-23,23300.00,23950.00,23100.00,23650.00,253100,23650.00
2012-11-22,23450.00,23450.00,22750.00,23150.00,237000,23150.00
2012-11-21,22500.00,23000.00,22150.00,22900.00,130400,22900.00
2012-11-20,22550.00,22800.00,22150.00,22250.00,89600,22250.00
2012-11-19,23000.00,23300.00,22300.00,22850.00,140200,22850.00
2012-11-16,22750.00,23350.00,22550.00,23250.00,185000,23250.00
2012-11-15,22500.00,23050.00,22450.00,22950.00,187800,22950.00
2012-11-14,22700.00,22900.00,22500.00,22750.00,108300,22750.00
2012-11-13,22900.00,23100.00,22500.00,22700.00,135000,22700.00
2012-11-12,22550.00,22800.00,22450.00,22800.00,218500,22800.00
2012-11-09,21500.00,22300.00,21150.00,22200.00,221300,22200.00
2012-11-08,21350.00,21900.00,21150.00,21750.00,193700,21750.00
2012-11-07,21700.00,21700.00,21300.00,21450.00,95000,21450.00
2012-11-06,20600.00,21950.00,20600.00,21750.00,344800,21750.00
2012-11-05,20850.00,21200.00,20400.00,20600.00,233800,20600.00
2012-11-02,20650.00,21250.00,20300.00,20850.00,239200,20850.00
2012-11-01,20100.00,20650.00,17400.00,20200.00,314000,20200.00
2012-10-31,20200.00,20800.00,20050.00,20300.00,239900,20300.00
2012-10-30,20500.00,20650.00,20000.00,20100.00,238500,20100.00
2012-10-29,20900.00,21000.00,20400.00,20500.00,103600,20500.00
2012-10-26,21600.00,21800.00,20800.00,20800.00,216100,20800.00
2012-10-25,21600.00,22250.00,21350.00,21600.00,140100,21600.00
2012-10-24,22200.00,22600.00,21800.00,21850.00,126300,21850.00
2012-10-23,23250.00,23250.00,22450.00,22450.00,104600,22450.00
2012-10-22,23000.00,23050.00,22800.00,23000.00,338000,23000.00
2012-10-19,22800.00,23000.00,22600.00,22800.00,90500,22800.00
2012-10-18,23000.00,23100.00,22700.00,22700.00,78700,22700.00
2012-10-17,22500.00,23050.00,22450.00,23000.00,175700,23000.00
2012-10-16,22500.00,22650.00,21900.00,22250.00,186500,22250.00
2012-10-15,22650.00,22850.00,22450.00,22600.00,339400,22600.00
2012-10-12,22400.00,22850.00,22350.00,22650.00,295400,22650.00
2012-10-11,22250.00,22550.00,22150.00,22500.00,249900,22500.00
2012-10-10,22200.00,22450.00,22150.00,22250.00,213300,22250.00
2012-10-09,21650.00,22500.00,21650.00,22500.00,385100,22500.00
2012-10-08,21550.00,21900.00,21500.00,21850.00,166100,21850.00
2012-10-05,21600.00,21800.00,21450.00,21550.00,310700,21550.00
2012-10-04,22100.00,22300.00,21100.00,21600.00,539400,21600.00
2012-10-03,22250.00,22250.00,22250.00,22250.00,000,22250.00
2012-10-02,23000.00,23000.00,22100.00,22250.00,282600,22250.00
2012-10-01,23000.00,23000.00,23000.00,23000.00,000,23000.00
2012-09-28,22200.00,23350.00,22100.00,23000.00,436400,23000.00
2012-09-27,22050.00,22300.00,21850.00,21950.00,258500,21950.00
2012-09-26,21950.00,22550.00,21800.00,22500.00,368400,22500.00
2012-09-25,23000.00,23000.00,22100.00,22300.00,637100,22300.00
2012-09-24,23700.00,23700.00,22850.00,23000.00,705600,23000.00
2012-09-21,23950.00,24000.00,23700.00,24000.00,462500,24000.00
2012-09-20,23700.00,24150.00,23600.00,23950.00,1128000,23950.00
2012-09-19,23900.00,23900.00,23450.00,23500.00,349600,23500.00
2012-09-18,23800.00,23950.00,23600.00,23800.00,128200,23800.00
2012-09-17,24000.00,24000.00,23500.00,23800.00,210700,23800.00
2012-09-14,24600.00,24600.00,23800.00,24000.00,726300,24000.00
2012-09-13,24000.00,24100.00,23700.00,24000.00,190300,24000.00
2012-09-12,23550.00,24000.00,23550.00,24000.00,153300,24000.00
2012-09-11,23550.00,23750.00,23450.00,23500.00,225900,23500.00
2012-09-10,23650.00,24000.00,23500.00,23750.00,150400,23750.00
2012-09-07,24200.00,24250.00,23950.00,24000.00,205400,24000.00
2012-09-06,23750.00,24150.00,23550.00,24000.00,216900,24000.00
2012-09-05,23500.00,23850.00,23500.00,23550.00,195600,23550.00
2012-09-04,23600.00,23800.00,23500.00,23550.00,256800,23550.00
2012-09-03,24000.00,24100.00,23550.00,23550.00,319300,23550.00
2012-08-31,24300.00,24600.00,23750.00,24100.00,519800,24100.00
2012-08-30,24200.00,25050.00,23900.00,24500.00,1033100,24500.00
2012-08-29,23850.00,24050.00,23500.00,23850.00,407100,23850.00
2012-08-28,24050.00,24150.00,23650.00,23850.00,228400,23850.00
2012-08-27,24500.00,24900.00,23950.00,24200.00,263300,24200.00
2012-08-24,23700.00,24550.00,23700.00,24500.00,383400,24500.00
2012-08-23,23600.00,24050.00,23600.00,24000.00,222300,24000.00
2012-08-22,23350.00,24100.00,23200.00,23650.00,328000,23650.00
2012-08-21,23400.00,23650.00,23200.00,23350.00,216500,23350.00
2012-08-20,23700.00,23800.00,23050.00,23500.00,537900,23500.00
2012-08-17,24200.00,24250.00,23800.00,23900.00,97700,23900.00
2012-08-16,24150.00,24300.00,23950.00,24100.00,179500,24100.00
2012-08-15,24000.00,24000.00,24000.00,24000.00,000,24000.00
2012-08-14,24300.00,24350.00,23850.00,24000.00,230900,24000.00
2012-08-13,23850.00,24250.00,23800.00,24100.00,162500,24100.00
2012-08-10,23750.00,24050.00,23650.00,24050.00,267000,24050.00
2012-08-09,23650.00,23950.00,23350.00,23950.00,520400,23950.00
2012-08-08,23750.00,24400.00,23500.00,23500.00,1154000,23500.00
2012-08-07,26300.00,27400.00,22600.00,23000.00,3499200,23000.00
2012-08-06,26050.00,26500.00,25600.00,26500.00,643700,26500.00
2012-08-03,26500.00,26950.00,25850.00,25850.00,850400,25850.00
2012-08-02,25700.00,27400.00,25550.00,27400.00,1113300,27400.00
2012-08-01,25850.00,25900.00,25350.00,25800.00,310600,25800.00
2012-07-31,25650.00,26000.00,25100.00,25500.00,613100,25500.00
2012-07-30,24850.00,25650.00,24600.00,25600.00,471400,25600.00
2012-07-27,25350.00,25550.00,24300.00,24650.00,487300,24650.00
2012-07-26,24400.00,25000.00,23900.00,24950.00,712500,24950.00
2012-07-25,22600.00,24250.00,22550.00,24150.00,1330000,24150.00
2012-07-24,23050.00,24500.00,22600.00,24100.00,1929500,24100.00
2012-07-23,24850.00,25350.00,24350.00,24850.00,113000,24850.00
2012-07-20,25650.00,25650.00,24100.00,25550.00,1224500,25550.00
