Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,34700.00,34700.00,34700.00,34700.00,000,34700.00
2012-12-28,34650.00,35000.00,34250.00,34700.00,752900,34700.00
2012-12-27,34800.00,35000.00,34400.00,34600.00,653700,34600.00
2012-12-26,35750.00,35850.00,34750.00,35000.00,734600,35000.00
2012-12-25,35300.00,35300.00,35300.00,35300.00,000,35300.00
2012-12-24,35800.00,36000.00,35250.00,35300.00,545300,35300.00
2012-12-21,35900.00,36200.00,35400.00,35700.00,2130600,35700.00
2012-12-20,35200.00,35800.00,35100.00,35200.00,1716800,35200.00
2012-12-19,34800.00,34800.00,34800.00,34800.00,000,34800.00
2012-12-18,34900.00,35150.00,34650.00,34800.00,1079100,34800.00
2012-12-17,35100.00,35250.00,34700.00,34900.00,1128700,34900.00
2012-12-14,34950.00,35200.00,34750.00,34950.00,812600,34950.00
2012-12-13,35000.00,35250.00,34500.00,35250.00,1484100,35250.00
2012-12-12,34300.00,35400.00,34300.00,35250.00,1481100,35250.00
2012-12-11,33500.00,34600.00,33450.00,34350.00,1347500,34350.00
2012-12-10,33600.00,33950.00,33450.00,33700.00,628700,33700.00
2012-12-07,33900.00,34000.00,33300.00,34000.00,941700,34000.00
2012-12-06,33550.00,33900.00,32950.00,33600.00,951500,33600.00
2012-12-05,32600.00,33150.00,32500.00,33000.00,1102800,33000.00
2012-12-04,33050.00,33250.00,32500.00,32700.00,1173000,32700.00
2012-12-03,33200.00,33600.00,33000.00,33450.00,1633800,33450.00
2012-11-30,33350.00,33750.00,32950.00,33600.00,988600,33600.00
2012-11-29,32450.00,33450.00,32400.00,33350.00,1436800,33350.00
2012-11-28,32100.00,32450.00,31650.00,32400.00,602200,32400.00
2012-11-27,32300.00,33000.00,32000.00,32600.00,1292000,32600.00
2012-11-26,32000.00,32400.00,31550.00,32300.00,559600,32300.00
2012-11-23,31850.00,32300.00,31800.00,32300.00,541300,32300.00
2012-11-22,32100.00,32450.00,31850.00,32200.00,672000,32200.00
2012-11-21,32100.00,32300.00,31500.00,32000.00,899400,32000.00
2012-11-20,31650.00,32300.00,31350.00,32200.00,1185700,32200.00
2012-11-19,30900.00,31500.00,30900.00,31450.00,472900,31450.00
2012-11-16,30100.00,31300.00,30100.00,31200.00,1220600,31200.00
2012-11-15,30250.00,30500.00,30100.00,30350.00,715200,30350.00
2012-11-14,30850.00,31100.00,30650.00,30650.00,651700,30650.00
2012-11-13,31200.00,31250.00,30600.00,31000.00,631300,31000.00
2012-11-12,31550.00,31600.00,31050.00,31200.00,610700,31200.00
2012-11-09,31350.00,31850.00,30850.00,31550.00,1039900,31550.00
2012-11-08,31800.00,31900.00,31200.00,31350.00,1235100,31350.00
2012-11-07,33000.00,33050.00,32150.00,32450.00,1028400,32450.00
2012-11-06,32200.00,33100.00,31900.00,32800.00,1625200,32800.00
