Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,20050.00,20050.00,20050.00,20050.00,000,20050.00
2012-12-28,20600.00,21150.00,19900.00,20050.00,158700,20050.00
2012-12-27,20200.00,20700.00,19700.00,20450.00,131900,20450.00
2012-12-26,21950.00,22050.00,20100.00,20600.00,249500,20600.00
2012-12-25,20700.00,20700.00,20700.00,20700.00,000,20700.00
2012-12-24,21050.00,21600.00,20450.00,20700.00,171800,20700.00
2012-12-21,20700.00,21550.00,20100.00,21200.00,233100,21200.00
2012-12-20,22200.00,22250.00,20350.00,20700.00,381200,20700.00
2012-12-19,22000.00,22000.00,22000.00,22000.00,000,22000.00
2012-12-18,26000.00,26150.00,21600.00,22000.00,541400,22000.00
2012-12-17,25350.00,27200.00,24750.00,25400.00,465600,25400.00
2012-12-14,29850.00,31000.00,26000.00,26250.00,658000,26250.00
2012-12-13,27500.00,29400.00,27200.00,27900.00,387300,27900.00
2012-12-12,30800.00,31800.00,27050.00,28400.00,1078900,28400.00
2012-12-11,27650.00,30850.00,26650.00,29800.00,1059600,29800.00
2012-12-10,31200.00,33650.00,25700.00,27650.00,1216100,27650.00
2012-12-07,30000.00,32500.00,28800.00,30200.00,1687800,30200.00
2012-12-06,23950.00,28300.00,23400.00,28300.00,1001000,28300.00
2012-12-05,28800.00,29350.00,24650.00,24650.00,978100,24650.00
2012-12-04,30900.00,31400.00,27300.00,29000.00,1174700,29000.00
2012-12-03,28200.00,28900.00,27400.00,28900.00,542300,28900.00
2012-11-30,22700.00,25150.00,22500.00,25150.00,629300,25150.00
2012-11-29,18500.00,21900.00,18300.00,21900.00,319900,21900.00
2012-11-28,19000.00,19350.00,18550.00,19050.00,63500,19050.00
2012-11-27,18500.00,18950.00,17750.00,18900.00,72000,18900.00
2012-11-26,19300.00,19300.00,18150.00,18500.00,78600,18500.00
2012-11-23,18800.00,19300.00,18500.00,18950.00,83800,18950.00
2012-11-22,18200.00,19400.00,18100.00,18900.00,133900,18900.00
2012-11-21,17800.00,19950.00,17400.00,18150.00,403000,18150.00
2012-11-20,16750.00,17950.00,16100.00,17850.00,156400,17850.00
2012-11-19,16150.00,16750.00,15600.00,16650.00,117100,16650.00
2012-11-16,15800.00,16150.00,14950.00,16150.00,121400,16150.00
2012-11-15,17800.00,17900.00,15900.00,15900.00,188200,15900.00
2012-11-14,18000.00,18700.00,17650.00,18150.00,160100,18150.00
2012-11-13,18250.00,18550.00,17500.00,18100.00,157600,18100.00
2012-11-12,18600.00,19200.00,17450.00,18350.00,335000,18350.00
2012-11-09,18950.00,19400.00,17900.00,18900.00,314200,18900.00
2012-11-08,19450.00,20400.00,18300.00,19150.00,709400,19150.00
2012-11-07,23100.00,23950.00,21000.00,21000.00,481100,21000.00
2012-11-06,21650.00,24700.00,19700.00,24650.00,2253200,24650.00
2012-11-05,19000.00,21500.00,18300.00,21500.00,1001600,21500.00
