Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,48600.00,48600.00,48600.00,48600.00,000,48600.00
2012-12-28,48550.00,49600.00,48550.00,48600.00,1800,48600.00
2012-12-27,49300.00,49500.00,48100.00,48550.00,4700,48550.00
2012-12-26,49450.00,49700.00,48300.00,49300.00,12200,49300.00
2012-12-25,48700.00,48700.00,48700.00,48700.00,000,48700.00
2012-12-24,50500.00,50600.00,48700.00,48700.00,5600,48700.00
2012-12-21,48500.00,50400.00,48450.00,49700.00,9700,49700.00
2012-12-20,47550.00,48450.00,46300.00,48300.00,7400,48300.00
2012-12-19,47500.00,47500.00,47500.00,47500.00,000,47500.00
2012-12-18,48400.00,48450.00,47200.00,47500.00,7600,47500.00
2012-12-17,45850.00,47500.00,45550.00,47450.00,6300,47450.00
2012-12-14,45000.00,45500.00,44500.00,45500.00,5400,45500.00
2012-12-13,44800.00,45300.00,44500.00,45000.00,11400,45000.00
2012-12-12,44900.00,45200.00,44500.00,44800.00,2700,44800.00
2012-12-11,44700.00,44900.00,44100.00,44900.00,6400,44900.00
2012-12-10,45500.00,45500.00,44650.00,44700.00,4100,44700.00
2012-12-07,45800.00,46400.00,45300.00,45500.00,2000,45500.00
2012-12-06,46300.00,46300.00,45600.00,45850.00,5700,45850.00
2012-12-05,45500.00,46300.00,45150.00,45850.00,9100,45850.00
2012-12-04,44900.00,45800.00,44700.00,45150.00,9000,45150.00
2012-12-03,43500.00,45000.00,43500.00,44800.00,13600,44800.00
2012-11-30,43400.00,44200.00,43050.00,44200.00,7700,44200.00
2012-11-29,43550.00,43950.00,43000.00,43400.00,9500,43400.00
2012-11-28,44000.00,44000.00,42900.00,43000.00,8100,43000.00
2012-11-27,43250.00,44700.00,43250.00,43400.00,6000,43400.00
2012-11-26,44300.00,44300.00,43200.00,43750.00,3200,43750.00
2012-11-23,44700.00,44700.00,43450.00,44300.00,3600,44300.00
2012-11-22,44100.00,44700.00,43750.00,44100.00,9100,44100.00
2012-11-21,44450.00,45000.00,43800.00,44000.00,8800,44000.00
2012-11-20,44050.00,44100.00,43450.00,44050.00,9400,44050.00
2012-11-19,43000.00,44450.00,43000.00,43850.00,6600,43850.00
2012-11-16,44350.00,44350.00,42900.00,43250.00,4300,43250.00
2012-11-15,41400.00,44400.00,41400.00,44300.00,14200,44300.00
2012-11-14,41900.00,41900.00,41150.00,41900.00,6300,41900.00
2012-11-13,41800.00,42300.00,41600.00,41900.00,3600,41900.00
2012-11-12,43750.00,43750.00,41100.00,41750.00,10800,41750.00
2012-11-09,43750.00,44450.00,43200.00,43350.00,7600,43350.00
2012-11-08,44000.00,44500.00,43850.00,43850.00,11700,43850.00
2012-11-07,44300.00,44600.00,43950.00,44400.00,4000,44400.00
2012-11-06,44250.00,44900.00,43900.00,44450.00,8700,44450.00
2012-11-05,44650.00,44900.00,44050.00,44200.00,5900,44200.00
2012-11-02,44250.00,44800.00,43700.00,44700.00,31000,44700.00
2012-11-01,43500.00,44750.00,43100.00,44100.00,6300,44100.00
2012-10-31,44300.00,45350.00,43900.00,44150.00,9100,44150.00
2012-10-30,45050.00,45050.00,44150.00,44250.00,4300,44250.00
2012-10-29,43650.00,45250.00,43650.00,44150.00,7700,44150.00
2012-10-26,43950.00,44400.00,43150.00,43600.00,4700,43600.00
2012-10-25,43150.00,44650.00,43000.00,43500.00,4300,43500.00
2012-10-24,43200.00,44900.00,43200.00,43750.00,8800,43750.00
