Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,7380.00,7380.00,7380.00,7380.00,000,7380.00
2012-12-28,7130.00,7470.00,7090.00,7380.00,46900,7380.00
2012-12-27,7250.00,7250.00,6990.00,7130.00,102000,7130.00
2012-12-26,7100.00,7330.00,7100.00,7330.00,80100,7330.00
2012-12-25,7100.00,7100.00,7100.00,7100.00,000,7100.00
2012-12-24,7050.00,7100.00,7030.00,7100.00,15900,7100.00
2012-12-21,7050.00,7110.00,7040.00,7100.00,22000,7100.00
2012-12-20,7080.00,7130.00,7000.00,7100.00,11600,7100.00
2012-12-19,7110.00,7110.00,7110.00,7110.00,000,7110.00
2012-12-18,7140.00,7150.00,7040.00,7110.00,18400,7110.00
2012-12-17,7170.00,7170.00,7050.00,7060.00,18200,7060.00
2012-12-14,7080.00,7150.00,6960.00,7110.00,11900,7110.00
2012-12-13,7080.00,7120.00,7030.00,7080.00,23800,7080.00
2012-12-12,7080.00,7100.00,7000.00,7080.00,10200,7080.00
2012-12-11,7080.00,7120.00,7000.00,7080.00,13200,7080.00
2012-12-10,7130.00,7140.00,7000.00,7040.00,12300,7040.00
2012-12-07,7070.00,7140.00,6920.00,7100.00,18300,7100.00
2012-12-06,6950.00,7060.00,6900.00,7000.00,24400,7000.00
2012-12-05,6880.00,6990.00,6810.00,6950.00,5900,6950.00
2012-12-04,6920.00,7010.00,6910.00,6950.00,5000,6950.00
2012-12-03,6890.00,7070.00,6890.00,6950.00,5600,6950.00
2012-11-30,6930.00,7000.00,6850.00,6930.00,10600,6930.00
2012-11-29,6840.00,7030.00,6840.00,6980.00,17000,6980.00
2012-11-28,6830.00,6850.00,6770.00,6830.00,8800,6830.00
2012-11-27,6830.00,6870.00,6730.00,6860.00,5700,6860.00
2012-11-26,6840.00,6840.00,6710.00,6760.00,6900,6760.00
2012-11-23,6770.00,6910.00,6700.00,6750.00,15400,6750.00
2012-11-22,6840.00,6940.00,6750.00,6800.00,24800,6800.00
2012-11-21,6950.00,6990.00,6800.00,6850.00,46900,6850.00
2012-11-20,6910.00,7080.00,6800.00,6860.00,30800,6860.00
2012-11-19,6740.00,6910.00,6740.00,6860.00,11500,6860.00
2012-11-16,6690.00,6790.00,6650.00,6720.00,40600,6720.00
2012-11-15,6630.00,6760.00,6610.00,6690.00,31200,6690.00
2012-11-14,6730.00,6790.00,6620.00,6720.00,26400,6720.00
2012-11-13,6810.00,6870.00,6710.00,6720.00,33800,6720.00
2012-11-12,6750.00,6800.00,6750.00,6800.00,31800,6800.00
2012-11-09,6720.00,6780.00,6660.00,6760.00,23300,6760.00
2012-11-08,6780.00,6780.00,6700.00,6760.00,24500,6760.00
2012-11-07,6860.00,6860.00,6740.00,6810.00,20900,6810.00
2012-11-06,6710.00,6820.00,6710.00,6820.00,12400,6820.00
2012-11-05,6700.00,6760.00,6690.00,6720.00,25600,6720.00
2012-11-02,7060.00,7060.00,6690.00,6690.00,70700,6690.00
2012-11-01,6950.00,6980.00,6820.00,6900.00,67700,6900.00
2012-10-31,7060.00,7100.00,6930.00,6970.00,40100,6970.00
2012-10-30,6970.00,7200.00,6970.00,6980.00,98800,6980.00
2012-10-29,7110.00,7140.00,7000.00,7010.00,13800,7010.00
2012-10-26,7320.00,7320.00,7050.00,7110.00,56900,7110.00
2012-10-25,7330.00,7490.00,7260.00,7330.00,25800,7330.00
2012-10-24,7450.00,7450.00,7250.00,7450.00,34300,7450.00
2012-10-23,7500.00,7540.00,7410.00,7440.00,41600,7440.00
2012-10-22,7640.00,7690.00,7490.00,7490.00,18600,7490.00
2012-10-19,7500.00,7580.00,7430.00,7540.00,12000,7540.00
2012-10-18,7600.00,7680.00,7470.00,7560.00,16600,7560.00
2012-10-17,7690.00,7690.00,7500.00,7580.00,11800,7580.00
2012-10-16,7540.00,7560.00,7460.00,7540.00,28800,7540.00
2012-10-15,7590.00,7730.00,7410.00,7530.00,23700,7530.00
2012-10-12,7500.00,7740.00,7500.00,7630.00,28400,7630.00
2012-10-11,7490.00,7590.00,7410.00,7560.00,16700,7560.00
2012-10-10,7520.00,7670.00,7360.00,7500.00,21500,7500.00
2012-10-09,7650.00,7740.00,7510.00,7590.00,20300,7590.00
2012-10-08,7820.00,7910.00,7530.00,7650.00,51200,7650.00
2012-10-05,7880.00,7940.00,7780.00,7860.00,58900,7860.00
2012-10-04,7890.00,7890.00,7750.00,7770.00,23300,7770.00
2012-10-03,7890.00,7890.00,7890.00,7890.00,000,7890.00
2012-10-02,7970.00,7970.00,7780.00,7890.00,16800,7890.00
2012-10-01,7970.00,7970.00,7970.00,7970.00,000,7970.00
2012-09-28,8020.00,8100.00,7830.00,7970.00,11100,7970.00
2012-09-27,8080.00,8150.00,7750.00,7970.00,44200,7970.00
2012-09-26,8150.00,8170.00,7960.00,8100.00,32000,8100.00
2012-09-25,8200.00,8200.00,7950.00,8090.00,40400,8090.00
2012-09-24,8300.00,8300.00,8000.00,8180.00,39100,8180.00
2012-09-21,8180.00,8350.00,8120.00,8280.00,84000,8280.00
2012-09-20,8050.00,8260.00,8030.00,8260.00,126000,8260.00
2012-09-19,7900.00,8080.00,7770.00,8050.00,39800,8050.00
2012-09-18,7930.00,7950.00,7740.00,7950.00,32200,7950.00
2012-09-17,7950.00,7980.00,7860.00,7950.00,41500,7950.00
2012-09-14,7900.00,8050.00,7800.00,7950.00,62700,7950.00
2012-09-13,7590.00,7860.00,7520.00,7740.00,80900,7740.00
2012-09-12,7330.00,7560.00,7270.00,7500.00,40300,7500.00
2012-09-11,7210.00,7300.00,7170.00,7250.00,37200,7250.00
2012-09-10,7220.00,7350.00,7150.00,7230.00,5700,7230.00
2012-09-07,7280.00,7280.00,7220.00,7230.00,9900,7230.00
2012-09-06,7140.00,7270.00,7140.00,7160.00,3400,7160.00
2012-09-05,7210.00,7230.00,7160.00,7190.00,11200,7190.00
2012-09-04,7140.00,7240.00,7140.00,7230.00,5100,7230.00
2012-09-03,7200.00,7290.00,7110.00,7190.00,4100,7190.00
2012-08-31,7330.00,7400.00,7200.00,7200.00,10800,7200.00
2012-08-30,7590.00,7590.00,7280.00,7390.00,10400,7390.00
2012-08-29,7480.00,7580.00,7480.00,7510.00,3900,7510.00
2012-08-28,7640.00,7640.00,7510.00,7550.00,2900,7550.00
2012-08-27,7600.00,7690.00,7580.00,7640.00,13200,7640.00
2012-08-24,7610.00,7620.00,7550.00,7600.00,7900,7600.00
2012-08-23,7600.00,7680.00,7590.00,7680.00,11000,7680.00
2012-08-22,7690.00,7710.00,7500.00,7600.00,11900,7600.00
2012-08-21,7680.00,7720.00,7630.00,7690.00,10300,7690.00
2012-08-20,7600.00,7680.00,7560.00,7670.00,8700,7670.00
2012-08-17,7580.00,7640.00,7560.00,7630.00,18500,7630.00
2012-08-16,7550.00,7590.00,7500.00,7570.00,16900,7570.00
2012-08-15,7590.00,7590.00,7590.00,7590.00,000,7590.00
2012-08-14,7530.00,7640.00,7530.00,7590.00,30500,7590.00
2012-08-13,7640.00,7640.00,7440.00,7530.00,10800,7530.00
2012-08-10,7450.00,7560.00,7260.00,7520.00,13200,7520.00
2012-08-09,6950.00,7480.00,6950.00,7480.00,35200,7480.00
2012-08-08,6910.00,6990.00,6910.00,6950.00,34200,6950.00
2012-08-07,6810.00,6930.00,6810.00,6880.00,17900,6880.00
2012-08-06,6900.00,6910.00,6840.00,6860.00,10000,6860.00
2012-08-03,6820.00,6880.00,6750.00,6820.00,9200,6820.00
2012-08-02,6740.00,6850.00,6740.00,6820.00,11200,6820.00
