Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,5680.00,5680.00,5680.00,5680.00,000,5680.00
2012-12-28,5620.00,5710.00,5610.00,5680.00,15700,5680.00
2012-12-27,5710.00,5720.00,5530.00,5690.00,24300,5690.00
2012-12-26,5600.00,5680.00,5560.00,5620.00,12600,5620.00
2012-12-25,5590.00,5590.00,5590.00,5590.00,000,5590.00
2012-12-24,5650.00,5750.00,5590.00,5590.00,26600,5590.00
2012-12-21,5850.00,5850.00,5660.00,5720.00,36200,5720.00
2012-12-20,5880.00,5880.00,5660.00,5750.00,26900,5750.00
2012-12-19,5750.00,5750.00,5750.00,5750.00,000,5750.00
2012-12-18,5750.00,5780.00,5660.00,5750.00,25400,5750.00
2012-12-17,5670.00,5790.00,5600.00,5680.00,36100,5680.00
2012-12-14,5610.00,5660.00,5530.00,5640.00,21500,5640.00
2012-12-13,5470.00,5680.00,5470.00,5620.00,62900,5620.00
2012-12-12,5410.00,5510.00,5410.00,5510.00,18900,5510.00
2012-12-11,5340.00,5470.00,5340.00,5470.00,32700,5470.00
2012-12-10,5350.00,5450.00,5310.00,5340.00,17200,5340.00
2012-12-07,5500.00,5500.00,5380.00,5410.00,15800,5410.00
2012-12-06,5350.00,5510.00,5350.00,5420.00,44800,5420.00
2012-12-05,5380.00,5400.00,5260.00,5350.00,33100,5350.00
2012-12-04,5370.00,5440.00,5370.00,5380.00,25300,5380.00
2012-12-03,5350.00,5460.00,5350.00,5420.00,37200,5420.00
2012-11-30,5310.00,5420.00,5310.00,5420.00,26200,5420.00
2012-11-29,5350.00,5410.00,5310.00,5350.00,28900,5350.00
2012-11-28,5280.00,5310.00,5230.00,5300.00,16500,5300.00
2012-11-27,5130.00,5310.00,5130.00,5220.00,176100,5220.00
2012-11-26,5110.00,5230.00,5110.00,5200.00,37400,5200.00
2012-11-23,5030.00,5140.00,5030.00,5140.00,26900,5140.00
2012-11-22,5170.00,5170.00,5030.00,5040.00,48100,5040.00
2012-11-21,5160.00,5180.00,5040.00,5080.00,43300,5080.00
2012-11-20,5090.00,5260.00,5080.00,5130.00,27500,5130.00
2012-11-19,5080.00,5090.00,5000.00,5060.00,48700,5060.00
2012-11-16,5040.00,5130.00,5020.00,5050.00,25500,5050.00
2012-11-15,5080.00,5120.00,5030.00,5030.00,57800,5030.00
2012-11-14,5080.00,5170.00,5030.00,5130.00,39300,5130.00
2012-11-13,5080.00,5110.00,5030.00,5050.00,64900,5050.00
2012-11-12,5120.00,5180.00,5040.00,5100.00,88700,5100.00
2012-11-09,5150.00,5200.00,5080.00,5140.00,67300,5140.00
2012-11-08,5100.00,5210.00,5100.00,5140.00,34000,5140.00
2012-11-07,5260.00,5280.00,5150.00,5190.00,65800,5190.00
2012-11-06,5150.00,5330.00,5150.00,5270.00,60300,5270.00
2012-11-05,5110.00,5200.00,5070.00,5130.00,41100,5130.00
2012-11-02,5370.00,5380.00,5060.00,5060.00,135600,5060.00
2012-11-01,5560.00,5560.00,5250.00,5280.00,89700,5280.00
2012-10-31,5590.00,5660.00,5500.00,5530.00,69100,5530.00
2012-10-30,5810.00,5840.00,5540.00,5560.00,84400,5560.00
2012-10-29,5910.00,5980.00,5760.00,5780.00,21700,5780.00
2012-10-26,6110.00,6120.00,5830.00,5910.00,40100,5910.00
2012-10-25,6070.00,6210.00,6010.00,6080.00,20300,6080.00
2012-10-24,6170.00,6170.00,5890.00,6150.00,62600,6150.00
