Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,246500.00,246500.00,246500.00,246500.00,000,246500.00
2012-12-28,246000.00,247000.00,242000.00,246500.00,2600,246500.00
2012-12-27,245000.00,245500.00,241000.00,245000.00,8500,245000.00
2012-12-26,253500.00,256500.00,253500.00,256000.00,11600,256000.00
2012-12-25,253500.00,253500.00,253500.00,253500.00,000,253500.00
2012-12-24,254500.00,255000.00,253000.00,253500.00,4500,253500.00
2012-12-21,252500.00,255000.00,252500.00,254500.00,2900,254500.00
2012-12-20,252000.00,253500.00,250500.00,253500.00,1800,253500.00
2012-12-19,251000.00,251000.00,251000.00,251000.00,000,251000.00
2012-12-18,251000.00,251500.00,250000.00,251000.00,1900,251000.00
2012-12-17,250000.00,251000.00,250000.00,250500.00,2600,250500.00
2012-12-14,248000.00,250500.00,247000.00,250000.00,2500,250000.00
2012-12-13,245500.00,249000.00,245500.00,249000.00,1600,249000.00
2012-12-12,248000.00,250000.00,245000.00,246500.00,3400,246500.00
2012-12-11,249500.00,251000.00,247500.00,248000.00,2900,248000.00
2012-12-10,251500.00,251500.00,249500.00,250500.00,1400,250500.00
2012-12-07,250500.00,251500.00,249000.00,251500.00,700,251500.00
2012-12-06,250500.00,251500.00,249500.00,250500.00,800,250500.00
2012-12-05,254000.00,254000.00,250000.00,250500.00,2100,250500.00
2012-12-04,254000.00,255000.00,252500.00,253000.00,700,253000.00
2012-12-03,256000.00,256000.00,253500.00,254000.00,600,254000.00
2012-11-30,253500.00,255500.00,252500.00,254500.00,500,254500.00
2012-11-29,254000.00,254500.00,252000.00,253000.00,600,253000.00
2012-11-28,256000.00,257500.00,252500.00,253000.00,600,253000.00
2012-11-27,255500.00,258000.00,250000.00,256000.00,3200,256000.00
2012-11-26,254000.00,255500.00,252500.00,255500.00,3200,255500.00
2012-11-23,251500.00,252500.00,251000.00,252500.00,500,252500.00
2012-11-22,250000.00,251500.00,249000.00,250500.00,700,250500.00
2012-11-21,249000.00,251000.00,248000.00,251000.00,1400,251000.00
2012-11-20,251000.00,251000.00,247000.00,249000.00,1100,249000.00
2012-11-19,247500.00,250000.00,245500.00,250000.00,700,250000.00
2012-11-16,248000.00,250000.00,245500.00,246500.00,1500,246500.00
2012-11-15,250000.00,250000.00,246000.00,248000.00,1500,248000.00
2012-11-14,249000.00,251000.00,248000.00,250500.00,1200,250500.00
2012-11-13,252000.00,252000.00,249000.00,249500.00,700,249500.00
2012-11-12,253500.00,255000.00,248500.00,251000.00,2600,251000.00
2012-11-09,253000.00,255000.00,252000.00,254000.00,900,254000.00
2012-11-08,255000.00,256000.00,252500.00,253000.00,1000,253000.00
2012-11-07,254500.00,256000.00,254500.00,256000.00,900,256000.00
2012-11-06,253000.00,255000.00,253000.00,253500.00,1100,253500.00
2012-11-05,255500.00,256000.00,252000.00,253000.00,1000,253000.00
2012-11-02,253000.00,256500.00,253000.00,255500.00,2200,255500.00
2012-11-01,246000.00,252000.00,246000.00,252000.00,1600,252000.00
2012-10-31,241000.00,246500.00,241000.00,246000.00,1700,246000.00
2012-10-30,245000.00,246500.00,239000.00,241000.00,3200,241000.00
2012-10-29,245500.00,248000.00,244500.00,245000.00,2700,245000.00
2012-10-26,249500.00,251000.00,245500.00,247500.00,1300,247500.00
2012-10-25,249000.00,251500.00,248000.00,249000.00,1500,249000.00
2012-10-24,249000.00,251500.00,249000.00,251000.00,800,251000.00
2012-10-23,254500.00,254500.00,249500.00,249500.00,1400,249500.00
2012-10-22,248500.00,254500.00,248500.00,253500.00,4300,253500.00
2012-10-19,252500.00,252500.00,248500.00,248500.00,1500,248500.00
2012-10-18,253000.00,253500.00,251000.00,252500.00,1400,252500.00
2012-10-17,253000.00,253500.00,251500.00,253000.00,2400,253000.00
2012-10-16,251000.00,252000.00,250000.00,252000.00,900,252000.00
2012-10-15,250000.00,252000.00,249500.00,251000.00,1900,251000.00
2012-10-12,249500.00,250000.00,248500.00,250000.00,800,250000.00
2012-10-11,248000.00,250000.00,248000.00,249500.00,1300,249500.00
2012-10-10,250000.00,251000.00,248500.00,249500.00,1600,249500.00
2012-10-09,249500.00,251500.00,248500.00,250000.00,1000,250000.00
2012-10-08,245000.00,249500.00,244500.00,249500.00,1600,249500.00
2012-10-05,242000.00,245000.00,242000.00,244500.00,1800,244500.00
2012-10-04,240500.00,243500.00,240000.00,242500.00,1200,242500.00
2012-10-03,240500.00,240500.00,240500.00,240500.00,000,240500.00
2012-10-02,242000.00,243000.00,240000.00,240500.00,1500,240500.00
2012-10-01,241000.00,241000.00,241000.00,241000.00,000,241000.00
2012-09-28,241000.00,241500.00,238000.00,241000.00,1600,241000.00
2012-09-27,239000.00,241000.00,238500.00,241000.00,1200,241000.00
2012-09-26,240000.00,240500.00,239000.00,239000.00,300,239000.00
2012-09-25,240500.00,241500.00,239000.00,239500.00,1600,239500.00
2012-09-24,240500.00,241000.00,239000.00,240500.00,1000,240500.00
2012-09-21,240000.00,241000.00,238000.00,240500.00,1000,240500.00
2012-09-20,238000.00,240000.00,235000.00,238000.00,2100,238000.00
2012-09-19,241500.00,241500.00,236500.00,238000.00,3600,238000.00
2012-09-18,239500.00,241500.00,239000.00,240500.00,400,240500.00
2012-09-17,240000.00,242000.00,238000.00,239000.00,1200,239000.00
2012-09-14,233500.00,240000.00,233500.00,240000.00,2900,240000.00
2012-09-13,233000.00,234500.00,233000.00,234500.00,1200,234500.00
2012-09-12,233500.00,234000.00,231500.00,233000.00,700,233000.00
2012-09-11,230000.00,233000.00,230000.00,233000.00,700,233000.00
2012-09-10,231000.00,232000.00,229000.00,232000.00,1000,232000.00
2012-09-07,230500.00,234000.00,230000.00,231500.00,1400,231500.00
2012-09-06,229000.00,233000.00,228500.00,231500.00,1000,231500.00
2012-09-05,230000.00,231000.00,227500.00,228500.00,800,228500.00
2012-09-04,231000.00,231500.00,229000.00,229000.00,400,229000.00
2012-09-03,229000.00,231000.00,227000.00,231000.00,1000,231000.00
2012-08-31,228500.00,229500.00,227000.00,228500.00,1300,228500.00
2012-08-30,230000.00,231500.00,227500.00,229000.00,3100,229000.00
2012-08-29,231000.00,231500.00,228500.00,230000.00,2400,230000.00
2012-08-28,230000.00,232000.00,230000.00,231000.00,300,231000.00
2012-08-27,231000.00,233000.00,229000.00,231000.00,1600,231000.00
2012-08-24,231500.00,232000.00,230000.00,231000.00,700,231000.00
2012-08-23,232000.00,233000.00,230000.00,232000.00,600,232000.00
2012-08-22,232000.00,232500.00,229500.00,232000.00,1200,232000.00
2012-08-21,233500.00,234000.00,231000.00,232000.00,800,232000.00
2012-08-20,233500.00,234500.00,231500.00,233500.00,1200,233500.00
2012-08-17,232500.00,234000.00,232000.00,233000.00,1400,233000.00
2012-08-16,232500.00,233000.00,230500.00,232000.00,1000,232000.00
2012-08-15,232500.00,232500.00,232500.00,232500.00,000,232500.00
2012-08-14,233000.00,234000.00,230000.00,232500.00,1500,232500.00
2012-08-13,230500.00,233500.00,230000.00,233000.00,1200,233000.00
2012-08-10,230000.00,231500.00,228000.00,231000.00,800,231000.00
2012-08-09,226000.00,230500.00,226000.00,230500.00,2000,230500.00
2012-08-08,224000.00,233000.00,224000.00,227500.00,2200,227500.00
2012-08-07,218000.00,226500.00,218000.00,224000.00,3300,224000.00
2012-08-06,219000.00,219000.00,217500.00,218000.00,600,218000.00
2012-08-03,219000.00,219000.00,217000.00,217500.00,200,217500.00
2012-08-02,217000.00,219500.00,216500.00,218000.00,2400,218000.00
2012-08-01,216500.00,218000.00,216500.00,216500.00,600,216500.00
2012-07-31,218000.00,218500.00,216000.00,218000.00,500,218000.00
2012-07-30,216000.00,218000.00,216000.00,218000.00,200,218000.00
2012-07-27,216500.00,218000.00,216500.00,217000.00,700,217000.00
2012-07-26,215500.00,217000.00,215500.00,217000.00,200,217000.00
2012-07-25,215500.00,217000.00,214500.00,216500.00,600,216500.00
2012-07-24,215500.00,217000.00,215000.00,215000.00,700,215000.00
2012-07-23,216000.00,217500.00,215000.00,216500.00,500,216500.00
2012-07-20,215500.00,218000.00,215500.00,217000.00,800,217000.00
2012-07-19,217500.00,217500.00,215000.00,216000.00,400,216000.00
2012-07-18,215000.00,217500.00,215000.00,216000.00,1200,216000.00
2012-07-17,215000.00,216500.00,215000.00,215000.00,200,215000.00
2012-07-16,214500.00,215000.00,214000.00,214000.00,400,214000.00
2012-07-13,214500.00,215000.00,214000.00,214000.00,600,214000.00
2012-07-12,215500.00,216500.00,214000.00,214500.00,500,214500.00
2012-07-11,216500.00,216500.00,214500.00,215000.00,100,215000.00
2012-07-10,215000.00,217000.00,214000.00,215000.00,500,215000.00
2012-07-09,216000.00,217000.00,215000.00,215000.00,400,215000.00
2012-07-06,217000.00,218000.00,215500.00,216500.00,1100,216500.00
2012-07-05,216500.00,217000.00,215500.00,216000.00,400,216000.00
2012-07-04,215500.00,217500.00,215500.00,216500.00,200,216500.00
2012-07-03,213500.00,217500.00,213500.00,217500.00,700,217500.00
2012-07-02,213500.00,215000.00,213500.00,214000.00,300,214000.00
2012-06-29,214500.00,214500.00,210500.00,213500.00,900,213500.00
2012-06-28,216000.00,216000.00,214000.00,214500.00,600,214500.00
2012-06-27,216500.00,217000.00,215500.00,215500.00,1400,213780.00
2012-06-26,216500.00,217500.00,216000.00,217000.00,500,215268.03
2012-06-25,218500.00,218500.00,216500.00,216500.00,400,214772.02
2012-06-22,218000.00,218500.00,217000.00,217500.00,300,215764.04
2012-06-21,218500.00,220000.00,218000.00,218500.00,1900,216756.06
2012-06-20,218000.00,219000.00,216500.00,218500.00,900,216756.06
2012-06-19,218500.00,218500.00,215000.00,217500.00,400,215764.04
2012-06-18,217500.00,219000.00,216500.00,218500.00,700,216756.06
2012-06-15,217500.00,218500.00,216500.00,217500.00,500,215764.04
2012-06-14,213000.00,218000.00,213000.00,218000.00,1800,216260.05
2012-06-13,212000.00,213500.00,211500.00,213000.00,200,211299.96
2012-06-12,213000.00,213500.00,210000.00,212500.00,200,210803.95
2012-06-11,214000.00,214000.00,212000.00,213000.00,400,211299.96
2012-06-08,213500.00,213500.00,211500.00,212500.00,300,210803.95
2012-06-07,213500.00,215500.00,209500.00,209500.00,1100,207827.89
2012-06-06,213500.00,213500.00,213500.00,213500.00,000,211795.97
2012-06-05,211000.00,217000.00,210000.00,213500.00,900,211795.97
2012-06-04,211000.00,212000.00,208000.00,211000.00,900,209315.92
2012-06-01,212000.00,213500.00,211000.00,213000.00,300,211299.96
2012-05-31,209500.00,212000.00,209000.00,212000.00,800,210307.94
2012-05-30,212000.00,212000.00,209500.00,210000.00,600,208323.90
2012-05-29,212500.00,212500.00,208500.00,211000.00,600,209315.92
2012-05-28,210000.00,210000.00,210000.00,210000.00,000,208323.90
2012-05-25,209000.00,211500.00,209000.00,210000.00,600,208323.90
2012-05-24,207500.00,210000.00,207000.00,210000.00,700,208323.90
2012-05-23,209500.00,209500.00,207500.00,207500.00,1500,205843.86
2012-05-22,211000.00,211000.00,207000.00,209500.00,1100,207827.89
2012-05-21,209500.00,210500.00,208500.00,210500.00,1300,208819.91
2012-05-18,213500.00,213500.00,209000.00,209000.00,3000,207331.88
2012-05-17,213000.00,215000.00,212500.00,213500.00,900,211795.97
2012-05-16,216500.00,216500.00,213500.00,213500.00,1600,211795.97
2012-05-15,215500.00,217500.00,213500.00,216500.00,3200,214772.02
2012-05-14,216000.00,218000.00,215500.00,216000.00,900,214276.01
2012-05-11,216000.00,217000.00,215000.00,216500.00,600,214772.02
2012-05-10,217500.00,218500.00,216000.00,216000.00,600,214276.01
2012-05-09,215500.00,218500.00,215500.00,216500.00,800,214772.02
2012-05-08,216500.00,217500.00,215000.00,217500.00,400,215764.04
2012-05-07,215000.00,218000.00,214500.00,216500.00,1000,214772.02
2012-05-04,216000.00,217500.00,215000.00,215000.00,1000,213283.99
2012-05-03,217500.00,217500.00,215500.00,216000.00,600,214276.01
2012-05-02,216000.00,218500.00,215000.00,216000.00,1100,214276.01
2012-05-01,216000.00,216000.00,216000.00,216000.00,000,214276.01
2012-04-30,220000.00,220000.00,216000.00,216000.00,900,214276.01
2012-04-27,215000.00,220000.00,214000.00,220000.00,1200,218244.09
2012-04-26,216500.00,217500.00,214500.00,214500.00,800,212787.99
2012-04-25,217000.00,218000.00,213000.00,214500.00,700,212787.99
2012-04-24,218000.00,218500.00,216000.00,216000.00,500,214276.01
2012-04-23,218000.00,218000.00,216000.00,217500.00,400,215764.04
2012-04-20,218500.00,220000.00,215500.00,215500.00,2000,213780.00
2012-04-19,219500.00,221500.00,218500.00,218500.00,1500,216756.06
2012-04-18,221500.00,221500.00,219000.00,219500.00,1600,217748.08
2012-04-17,221000.00,221000.00,218500.00,220000.00,200,218244.09
2012-04-16,221000.00,221000.00,217000.00,220500.00,700,218740.10
2012-04-13,217000.00,220000.00,216000.00,220000.00,1000,218244.09
2012-04-12,217000.00,217000.00,215500.00,217000.00,400,215268.03
2012-04-11,217500.00,217500.00,217500.00,217500.00,000,215764.04
2012-04-10,213500.00,217500.00,213500.00,217500.00,700,215764.04
2012-04-09,217000.00,218500.00,213000.00,215000.00,1300,213283.99
2012-04-06,214000.00,218000.00,213000.00,218000.00,500,216260.05
2012-04-05,215500.00,218000.00,212000.00,215000.00,1900,213283.99
2012-04-04,216000.00,217000.00,215000.00,217000.00,600,215268.03
2012-04-03,216500.00,217000.00,215000.00,215000.00,600,213283.99
2012-04-02,216500.00,217000.00,215000.00,216000.00,700,214276.01
2012-03-30,215000.00,216500.00,214000.00,214500.00,300,212787.99
2012-03-29,214000.00,216500.00,209500.00,214000.00,1400,212291.98
2012-03-28,218500.00,218500.00,213000.00,214000.00,2500,212291.98
2012-03-27,220000.00,221500.00,214000.00,217000.00,2500,215268.03
2012-03-26,222000.00,222500.00,217000.00,219500.00,1000,217748.08
2012-03-23,221500.00,222500.00,220500.00,221000.00,700,219236.11
2012-03-22,223500.00,224000.00,221500.00,222000.00,500,220228.12
2012-03-21,223000.00,224500.00,220000.00,224000.00,800,222212.16
2012-03-20,224000.00,225000.00,223000.00,224000.00,800,222212.16
2012-03-19,225500.00,226500.00,224000.00,225000.00,1000,223204.18
2012-03-16,225000.00,225500.00,223000.00,225500.00,500,223700.19
2012-03-15,224500.00,225000.00,222500.00,225000.00,1100,223204.18
2012-03-14,225000.00,225500.00,224000.00,225000.00,1300,223204.18
2012-03-13,224500.00,226500.00,224000.00,225000.00,700,223204.18
2012-03-12,224000.00,226000.00,222000.00,223500.00,1500,221716.15
2012-03-09,227000.00,227500.00,225000.00,225000.00,1400,223204.18
2012-03-08,223000.00,227500.00,220500.00,225000.00,2900,223204.18
2012-03-07,219500.00,225000.00,217000.00,223000.00,3100,221220.14
2012-03-06,218000.00,219000.00,216500.00,218000.00,2000,216260.05
2012-03-05,217500.00,218000.00,216000.00,216500.00,1300,214772.02
2012-03-02,215500.00,218000.00,215000.00,217000.00,1000,215268.03
2012-03-01,215500.00,215500.00,215500.00,215500.00,000,213780.00
