Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,19800.00,19800.00,19800.00,19800.00,000,19800.00
2012-12-28,19750.00,20000.00,19500.00,19800.00,418800,19800.00
2012-12-27,19000.00,19750.00,18800.00,19550.00,301000,19550.00
2012-12-26,19850.00,20100.00,18900.00,19000.00,499000,19000.00
2012-12-25,19850.00,19850.00,19850.00,19850.00,000,19850.00
2012-12-24,19600.00,20150.00,19300.00,19850.00,372900,19850.00
2012-12-21,20400.00,20450.00,19600.00,19600.00,498300,19600.00
2012-12-20,19350.00,20400.00,19200.00,20300.00,834000,20300.00
2012-12-19,19350.00,19350.00,19350.00,19350.00,000,19350.00
2012-12-18,19550.00,19650.00,19000.00,19350.00,391400,19350.00
2012-12-17,19100.00,19800.00,18900.00,19250.00,653200,19250.00
2012-12-14,18250.00,19250.00,18250.00,19100.00,705900,19100.00
2012-12-13,19150.00,19600.00,18700.00,19100.00,891200,19100.00
2012-12-12,18800.00,19200.00,18500.00,19100.00,1076700,19100.00
2012-12-11,17400.00,19000.00,17300.00,18850.00,1612400,18850.00
2012-12-10,18050.00,18800.00,17450.00,17550.00,1283900,17550.00
2012-12-07,17100.00,18300.00,16800.00,18100.00,1264000,18100.00
2012-12-06,17050.00,17800.00,16550.00,16550.00,1407800,16550.00
2012-12-05,15050.00,17300.00,14950.00,16850.00,1626500,16850.00
2012-12-04,14850.00,15050.00,14700.00,15050.00,172500,15050.00
2012-12-03,14950.00,15100.00,14800.00,14850.00,195900,14850.00
2012-11-30,15200.00,15250.00,14900.00,14900.00,290000,14900.00
2012-11-29,14700.00,15350.00,14600.00,15150.00,490200,15150.00
2012-11-28,14850.00,14900.00,14400.00,14500.00,519900,14500.00
2012-11-27,15250.00,15300.00,14900.00,15000.00,498400,15000.00
2012-11-26,15450.00,15500.00,15150.00,15150.00,272700,15150.00
2012-11-23,15100.00,15550.00,15000.00,15400.00,279800,15400.00
2012-11-22,15400.00,15650.00,15000.00,15100.00,333600,15100.00
2012-11-21,15550.00,15650.00,15250.00,15300.00,256800,15300.00
2012-11-20,15500.00,16200.00,15400.00,15500.00,574600,15500.00
2012-11-19,15200.00,15350.00,15050.00,15250.00,180000,15250.00
2012-11-16,15450.00,15550.00,14950.00,15100.00,313900,15100.00
2012-11-15,15450.00,15850.00,15300.00,15600.00,334400,15600.00
2012-11-14,15150.00,15800.00,14850.00,15800.00,328700,15800.00
2012-11-13,15750.00,15850.00,14950.00,14950.00,273000,14950.00
2012-11-12,15500.00,15900.00,15200.00,15650.00,407700,15650.00
2012-11-09,15050.00,15450.00,14700.00,15450.00,335500,15450.00
2012-11-08,14700.00,15650.00,14550.00,15150.00,653500,15150.00
2012-11-07,15950.00,15950.00,15050.00,15100.00,957200,15100.00
2012-11-06,16750.00,16750.00,15650.00,15850.00,996800,15850.00
2012-11-05,16850.00,17250.00,16300.00,16700.00,1952000,16700.00
2012-11-02,14400.00,16100.00,14350.00,16100.00,1118100,16100.00
2012-11-01,14250.00,14700.00,14000.00,14000.00,666400,14000.00
2012-10-31,14100.00,14250.00,13700.00,14100.00,463500,14100.00
2012-10-30,13850.00,14350.00,13550.00,13750.00,588800,13750.00
2012-10-29,14450.00,14650.00,14000.00,14100.00,245300,14100.00
2012-10-26,15200.00,15200.00,14550.00,14600.00,290600,14600.00
2012-10-25,15100.00,15300.00,14850.00,15250.00,336900,15250.00
2012-10-24,15550.00,15600.00,15000.00,15150.00,656300,15150.00
2012-10-23,15700.00,16250.00,15500.00,15800.00,527000,15800.00
2012-10-22,15600.00,15850.00,15350.00,15650.00,354300,15650.00
2012-10-19,16300.00,16550.00,15750.00,15850.00,634800,15850.00
2012-10-18,16300.00,16500.00,16150.00,16350.00,398700,16350.00
2012-10-17,16550.00,16850.00,16200.00,16200.00,692800,16200.00
2012-10-16,17200.00,17350.00,16150.00,16450.00,1063300,16450.00
2012-10-15,18050.00,18150.00,16800.00,17000.00,953000,17000.00
2012-10-12,18250.00,18350.00,17850.00,18000.00,752500,18000.00
2012-10-11,18650.00,19000.00,17950.00,18300.00,1064200,18300.00
2012-10-10,17950.00,18950.00,17900.00,18700.00,1189100,18700.00
2012-10-09,18100.00,18600.00,18100.00,18100.00,979300,18100.00
2012-10-08,18300.00,18900.00,18250.00,18500.00,1529200,18500.00
2012-10-05,18600.00,18850.00,18000.00,18250.00,2565800,18250.00
2012-10-04,20600.00,20600.00,17550.00,18850.00,4879300,18850.00
2012-10-03,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-10-02,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-10-01,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-28,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-27,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-26,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-25,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-24,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-21,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-20,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-19,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-18,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-17,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-14,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-13,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-12,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-11,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-10,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-07,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-06,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-05,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-04,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-09-03,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-08-31,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-08-30,41600.00,41600.00,41600.00,41600.00,000,41600.00
2012-08-29,41300.00,43500.00,41200.00,41600.00,4106400,41600.00
2012-08-28,41050.00,42050.00,39900.00,41600.00,1827400,41600.00
2012-08-27,41500.00,42000.00,41000.00,41550.00,652700,41550.00
2012-08-24,41900.00,42000.00,41200.00,41200.00,686900,41200.00
2012-08-23,43200.00,43200.00,41950.00,42300.00,594000,42300.00
2012-08-22,42600.00,42900.00,41800.00,42900.00,467600,42900.00
2012-08-21,43050.00,43450.00,42200.00,42200.00,377500,42200.00
2012-08-20,42700.00,43500.00,42550.00,43050.00,804900,43050.00
2012-08-17,42800.00,42900.00,42100.00,42800.00,573300,42800.00
2012-08-16,42650.00,42850.00,42300.00,42750.00,666100,42750.00
2012-08-15,42300.00,42300.00,42300.00,42300.00,000,42300.00
2012-08-14,42200.00,42350.00,41700.00,42300.00,681700,42300.00
2012-08-13,41750.00,42200.00,41200.00,41800.00,673000,41800.00
2012-08-10,41400.00,41750.00,40650.00,41700.00,999000,41700.00
2012-08-09,39600.00,41450.00,39600.00,41150.00,1567300,41150.00
2012-08-08,39250.00,40300.00,39250.00,39800.00,774300,39800.00
2012-08-07,40100.00,40600.00,39400.00,39500.00,684200,39500.00
2012-08-06,39300.00,40050.00,38750.00,40000.00,904700,40000.00
2012-08-03,39300.00,39950.00,38700.00,38900.00,1092400,38900.00
2012-08-02,39750.00,40100.00,38500.00,39850.00,1393800,39850.00
2012-08-01,41000.00,41150.00,39550.00,39550.00,2537700,39550.00
2012-07-31,40350.00,42250.00,40350.00,41700.00,1272900,41700.00
2012-07-30,41550.00,41650.00,40600.00,40750.00,653800,40750.00
2012-07-27,42450.00,42500.00,40900.00,41200.00,949800,41200.00
2012-07-26,41800.00,42000.00,40900.00,42000.00,609800,42000.00
2012-07-25,40300.00,41400.00,40050.00,41250.00,397900,41250.00
2012-07-24,41500.00,41650.00,40700.00,40900.00,672300,40900.00
2012-07-23,41300.00,41900.00,40400.00,41700.00,629900,41700.00
2012-07-20,42000.00,42150.00,41350.00,41800.00,763200,41800.00
2012-07-19,42450.00,42450.00,41500.00,42200.00,615000,42200.00
2012-07-18,42400.00,42750.00,41800.00,41950.00,410600,41950.00
2012-07-17,42200.00,42750.00,42000.00,42400.00,313900,42400.00
2012-07-16,43550.00,43550.00,42400.00,42450.00,612700,42450.00
2012-07-13,42000.00,43200.00,41450.00,43000.00,880700,43000.00
2012-07-12,42450.00,42800.00,41600.00,41600.00,866100,41600.00
2012-07-11,41150.00,42500.00,41100.00,42450.00,852200,42450.00
2012-07-10,42500.00,42500.00,41200.00,41350.00,957200,41350.00
2012-07-09,42800.00,42900.00,41800.00,42100.00,1109500,42100.00
2012-07-06,43950.00,44200.00,42600.00,42950.00,724100,42950.00
2012-07-05,43900.00,44150.00,43650.00,43800.00,452500,43800.00
2012-07-04,43800.00,44300.00,43250.00,44200.00,1448700,44200.00
2012-07-03,45000.00,45000.00,43450.00,43550.00,1848400,43550.00
2012-07-02,45400.00,45500.00,44700.00,44800.00,618900,44800.00
2012-06-29,46100.00,46100.00,44750.00,45300.00,463100,45300.00
2012-06-28,44950.00,45450.00,44750.00,45150.00,256600,45150.00
2012-06-27,45650.00,46050.00,44600.00,44650.00,766800,44650.00
2012-06-26,46550.00,46800.00,45650.00,45650.00,296400,45650.00
2012-06-25,46550.00,46850.00,46000.00,46100.00,229600,46100.00
2012-06-22,47000.00,47350.00,46550.00,47000.00,315900,47000.00
2012-06-21,47850.00,48400.00,47500.00,47800.00,282800,47800.00
2012-06-20,48300.00,48750.00,47450.00,47750.00,776700,47750.00
2012-06-19,46750.00,47800.00,46700.00,47800.00,595000,47800.00
2012-06-18,47000.00,47200.00,46300.00,46900.00,598700,46900.00
2012-06-15,47400.00,48250.00,46400.00,46500.00,655800,46500.00
2012-06-14,46000.00,47150.00,45950.00,47150.00,1068500,47150.00
2012-06-13,45900.00,46200.00,45500.00,45750.00,561300,45750.00
2012-06-12,45600.00,46150.00,45300.00,45400.00,673100,45400.00
2012-06-11,46700.00,47200.00,46100.00,46400.00,1009800,46400.00
2012-06-08,47050.00,47300.00,45100.00,46500.00,724300,46500.00
2012-06-07,46300.00,47050.00,46050.00,46500.00,580900,46500.00
2012-06-06,45500.00,45500.00,45500.00,45500.00,000,45500.00
2012-06-05,46450.00,46900.00,45500.00,45500.00,514100,45500.00
2012-06-04,45800.00,46450.00,45800.00,46000.00,889500,46000.00
2012-06-01,47000.00,47600.00,46500.00,47200.00,458900,47200.00
2012-05-31,46200.00,47500.00,46000.00,47500.00,776300,47500.00
2012-05-30,47000.00,47000.00,46000.00,46350.00,788700,46350.00
2012-05-29,48050.00,48250.00,46900.00,47000.00,734700,47000.00
2012-05-28,48200.00,48200.00,48200.00,48200.00,000,48200.00
2012-05-25,45450.00,48200.00,45400.00,48200.00,930600,48200.00
2012-05-24,45600.00,45850.00,44750.00,45450.00,442600,45450.00
2012-05-23,45800.00,46300.00,44650.00,45250.00,523500,45250.00
2012-05-22,46650.00,46650.00,45400.00,45550.00,505900,45550.00
2012-05-21,44400.00,46450.00,44000.00,46150.00,573500,46150.00
2012-05-18,45000.00,45200.00,43350.00,44000.00,986400,44000.00
2012-05-17,44550.00,45600.00,44350.00,45000.00,763300,45000.00
2012-05-16,47100.00,47600.00,44350.00,44350.00,591700,44350.00
2012-05-15,47000.00,47400.00,46400.00,46800.00,620600,46800.00
2012-05-14,45500.00,47000.00,45500.00,47000.00,839400,47000.00
2012-05-11,46150.00,46400.00,45300.00,45300.00,501800,45300.00
2012-05-10,47000.00,47000.00,46050.00,46200.00,450800,46200.00
2012-05-09,45950.00,47100.00,45600.00,47050.00,609600,47050.00
2012-05-08,46700.00,47000.00,45800.00,46100.00,671200,46100.00
2012-05-07,46050.00,47550.00,45950.00,47000.00,449600,47000.00
2012-05-04,47800.00,47800.00,46750.00,47300.00,766900,47300.00
2012-05-03,46500.00,47850.00,46500.00,47850.00,774200,47850.00
2012-05-02,49200.00,49300.00,46200.00,46500.00,1870300,46500.00
2012-05-01,47900.00,47900.00,47900.00,47900.00,000,47900.00
2012-04-30,46000.00,48950.00,45450.00,47900.00,1195100,47900.00
2012-04-27,46600.00,46700.00,45050.00,45500.00,589200,45500.00
2012-04-26,46650.00,47000.00,44950.00,46600.00,1215900,46600.00
2012-04-25,45350.00,46450.00,45200.00,46400.00,828500,46400.00
2012-04-24,44700.00,46000.00,44650.00,45000.00,892300,45000.00
2012-04-23,43800.00,45300.00,43500.00,45150.00,779200,45150.00
2012-04-20,44150.00,44350.00,43450.00,44100.00,662200,44100.00
2012-04-19,43100.00,44600.00,43100.00,44000.00,783000,44000.00
2012-04-18,42900.00,43350.00,42250.00,43300.00,892400,43300.00
2012-04-17,43000.00,43400.00,42650.00,43000.00,480300,43000.00
2012-04-16,42000.00,43000.00,41450.00,42800.00,596300,42800.00
2012-04-13,43200.00,43350.00,42550.00,42650.00,623700,42650.00
2012-04-12,42000.00,43100.00,40850.00,43100.00,1230900,43100.00
2012-04-11,42400.00,42400.00,42400.00,42400.00,000,42400.00
2012-04-10,44000.00,44050.00,42350.00,42400.00,977900,42400.00
2012-04-09,44450.00,44450.00,43300.00,44350.00,392800,44350.00
2012-04-06,44800.00,44950.00,44150.00,44550.00,486100,44550.00
2012-04-05,44200.00,44950.00,43650.00,44650.00,979100,44650.00
2012-04-04,43650.00,44950.00,43650.00,44200.00,1019900,44200.00
2012-04-03,42900.00,43700.00,42600.00,43550.00,795200,43550.00
2012-04-02,42100.00,43100.00,42100.00,43100.00,740500,43100.00
2012-03-30,42600.00,42950.00,41950.00,41950.00,929400,41950.00
2012-03-29,42500.00,43150.00,42400.00,43050.00,648000,43050.00
2012-03-28,42050.00,42950.00,42050.00,42300.00,486200,42300.00
2012-03-27,42700.00,42900.00,42050.00,42150.00,742700,42150.00
2012-03-26,42850.00,42900.00,42050.00,42550.00,459600,42550.00
2012-03-23,42650.00,42900.00,42150.00,42450.00,527500,42450.00
2012-03-22,43500.00,43700.00,42650.00,42950.00,608100,42950.00
2012-03-21,42000.00,44000.00,41750.00,43750.00,1171100,43750.00
2012-03-20,42650.00,42750.00,41750.00,42000.00,786100,42000.00
2012-03-19,43000.00,43350.00,42100.00,42650.00,710400,42650.00
2012-03-16,44400.00,44850.00,43000.00,43000.00,759000,43000.00
2012-03-15,44150.00,44550.00,44100.00,44300.00,514800,44300.00
