Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,22950.00,22950.00,22950.00,22950.00,000,22950.00
2012-12-28,22450.00,22950.00,22450.00,22950.00,000,22950.00
2012-12-27,22700.00,22700.00,22700.00,22700.00,000,22700.00
2012-12-26,23250.00,23250.00,22700.00,22700.00,60500,22700.00
2012-12-25,23000.00,23000.00,23000.00,23000.00,000,23000.00
2012-12-24,23000.00,23000.00,23000.00,23000.00,000,23000.00
2012-12-21,23150.00,23150.00,23150.00,23150.00,000,23150.00
2012-12-20,23250.00,23250.00,23250.00,23250.00,000,23250.00
2012-12-19,22900.00,22900.00,22900.00,22900.00,000,22900.00
2012-12-18,23450.00,23450.00,22900.00,22900.00,000,22900.00
2012-12-17,23500.00,23500.00,23500.00,23500.00,000,23500.00
2012-12-14,23300.00,23500.00,23250.00,23500.00,1000,23500.00
2012-12-13,22800.00,22950.00,22800.00,22950.00,000,22950.00
2012-12-12,22800.00,22800.00,22800.00,22800.00,000,22800.00
2012-12-11,22500.00,22500.00,22500.00,22500.00,1000,22500.00
2012-12-10,22950.00,22950.00,22500.00,22550.00,200,22550.00
2012-12-07,23000.00,23000.00,22650.00,22650.00,100,22650.00
2012-12-06,22800.00,22800.00,22800.00,22800.00,000,22800.00
2012-12-05,21950.00,22800.00,21950.00,22800.00,200,22800.00
2012-12-04,22900.00,22900.00,22900.00,22900.00,000,22900.00
2012-12-03,23500.00,23500.00,22550.00,22800.00,200,22800.00
2012-11-30,23000.00,23400.00,23000.00,23300.00,1600,23300.00
2012-11-29,23400.00,23400.00,23000.00,23000.00,100,23000.00
2012-11-28,23450.00,23450.00,23450.00,23450.00,000,23450.00
2012-11-27,23000.00,23450.00,23000.00,23450.00,1400,23450.00
2012-11-26,23000.00,23550.00,23000.00,23550.00,000,23550.00
2012-11-23,23100.00,23100.00,23000.00,23000.00,000,23000.00
2012-11-22,23000.00,23000.00,22900.00,23000.00,300,23000.00
2012-11-21,23000.00,23050.00,23000.00,23000.00,1100,23000.00
2012-11-20,23000.00,23000.00,22500.00,22950.00,1400,22950.00
2012-11-19,23000.00,23100.00,23000.00,23050.00,000,23050.00
2012-11-16,23200.00,23300.00,23000.00,23000.00,200,23000.00
2012-11-15,23000.00,23600.00,22950.00,23450.00,8300,23450.00
2012-11-14,23000.00,23250.00,22900.00,23050.00,1200,23050.00
2012-11-13,23050.00,23050.00,23000.00,23000.00,200,23000.00
2012-11-12,23050.00,23050.00,23000.00,23000.00,100,23000.00
2012-11-09,23250.00,23250.00,23250.00,23250.00,300,23250.00
2012-11-08,23000.00,23250.00,23000.00,23250.00,000,23250.00
2012-11-07,22900.00,23400.00,22900.00,23400.00,100,23400.00
2012-11-06,23400.00,23400.00,23400.00,23400.00,000,23400.00
2012-11-05,23300.00,23400.00,23300.00,23400.00,200,23400.00
2012-11-02,23250.00,23300.00,23250.00,23300.00,000,23300.00
2012-11-01,23400.00,23400.00,23400.00,23400.00,000,23400.00
2012-10-31,23000.00,23450.00,23000.00,23400.00,500,23400.00
2012-10-30,22900.00,23000.00,22500.00,23000.00,200,23000.00
2012-10-29,23000.00,23350.00,23000.00,23000.00,200,23000.00
2012-10-26,23000.00,23000.00,23000.00,23000.00,400,23000.00
2012-10-25,22700.00,23050.00,22700.00,23000.00,100,23000.00
2012-10-24,23000.00,23000.00,23000.00,23000.00,000,23000.00
2012-10-23,23000.00,23050.00,23000.00,23000.00,200,23000.00
2012-10-22,23000.00,23000.00,23000.00,23000.00,100,23000.00
2012-10-19,22700.00,23050.00,22700.00,23050.00,000,23050.00
2012-10-18,23000.00,23050.00,23000.00,23050.00,300,23050.00
2012-10-17,23000.00,23000.00,22900.00,23000.00,300,23000.00
2012-10-16,22850.00,22900.00,22800.00,22900.00,400,22900.00
2012-10-15,22750.00,22850.00,22750.00,22750.00,1000,22750.00
2012-10-12,22750.00,22750.00,22650.00,22700.00,400,22700.00
2012-10-11,22550.00,22600.00,22400.00,22600.00,800,22600.00
2012-10-10,22500.00,22500.00,22300.00,22400.00,900,22400.00
2012-10-09,22400.00,22400.00,22050.00,22050.00,000,22050.00
2012-10-08,22100.00,22100.00,22000.00,22000.00,100,22000.00
2012-10-05,22200.00,22200.00,21950.00,22100.00,200,22100.00
2012-10-04,22200.00,22200.00,22200.00,22200.00,000,22200.00
2012-10-03,22200.00,22200.00,22200.00,22200.00,000,22200.00
2012-10-02,22300.00,22300.00,22200.00,22200.00,000,22200.00
2012-10-01,22300.00,22300.00,22300.00,22300.00,000,22300.00
2012-09-28,22400.00,22400.00,22150.00,22300.00,100,22300.00
2012-09-27,22050.00,22300.00,22050.00,22300.00,100,22300.00
2012-09-26,22300.00,22300.00,22100.00,22300.00,300,22300.00
2012-09-25,22950.00,22950.00,22400.00,22500.00,400,22500.00
2012-09-24,22300.00,23000.00,22000.00,23000.00,2400,23000.00
2012-09-21,22100.00,22300.00,21850.00,22150.00,800,22150.00
2012-09-20,22000.00,22300.00,22000.00,22300.00,200,22300.00
2012-09-19,22300.00,22300.00,22100.00,22250.00,400,22250.00
2012-09-18,22300.00,22300.00,22300.00,22300.00,000,22300.00
2012-09-17,22050.00,22500.00,22050.00,22400.00,800,22400.00
2012-09-14,22300.00,22500.00,21850.00,22200.00,1900,22200.00
2012-09-13,22150.00,22500.00,22150.00,22500.00,000,22500.00
2012-09-12,22000.00,22650.00,22000.00,22600.00,200,22600.00
2012-09-11,22100.00,22350.00,22000.00,22350.00,500,22350.00
2012-09-10,22400.00,22450.00,22100.00,22300.00,500,22300.00
2012-09-07,22450.00,22450.00,22450.00,22450.00,000,22450.00
2012-09-06,22600.00,22600.00,22350.00,22350.00,000,22350.00
2012-09-05,22600.00,22600.00,22300.00,22600.00,100,22600.00
2012-09-04,22400.00,22400.00,22250.00,22400.00,500,22400.00
2012-09-03,22600.00,22700.00,22400.00,22400.00,100,22400.00
2012-08-31,22500.00,22600.00,22500.00,22600.00,2800,22600.00
2012-08-30,22550.00,22700.00,22500.00,22550.00,800,22550.00
2012-08-29,23100.00,23200.00,22600.00,22600.00,800,22600.00
2012-08-28,23650.00,23650.00,22750.00,23100.00,2200,23100.00
2012-08-27,22950.00,24450.00,22550.00,24450.00,4100,24450.00
2012-08-24,22500.00,22800.00,22500.00,22800.00,000,22800.00
2012-08-23,22500.00,22650.00,22350.00,22650.00,300,22650.00
2012-08-22,22600.00,22600.00,22500.00,22500.00,100,22500.00
2012-08-21,22600.00,22600.00,22600.00,22600.00,000,22600.00
2012-08-20,22800.00,22800.00,22600.00,22600.00,000,22600.00
2012-08-17,22800.00,22800.00,22800.00,22800.00,000,22800.00
2012-08-16,22950.00,22950.00,22450.00,22800.00,500,22800.00
2012-08-15,22900.00,22900.00,22900.00,22900.00,000,22900.00
2012-08-14,22900.00,22950.00,22700.00,22900.00,100,22900.00
2012-08-13,22650.00,22950.00,22600.00,22900.00,200,22900.00
2012-08-10,22800.00,22950.00,22700.00,22950.00,300,22950.00
2012-08-09,22700.00,22750.00,22500.00,22750.00,200,22750.00
2012-08-08,22750.00,22750.00,22700.00,22700.00,000,22700.00
2012-08-07,22250.00,22500.00,22000.00,22500.00,800,22500.00
2012-08-06,22500.00,22500.00,22500.00,22500.00,000,22500.00
2012-08-03,22350.00,22350.00,22300.00,22300.00,500,22300.00
2012-08-02,22500.00,22500.00,22500.00,22500.00,000,22500.00
2012-08-01,22600.00,22700.00,22600.00,22700.00,000,22700.00
2012-07-31,22550.00,22600.00,22550.00,22600.00,000,22600.00
2012-07-30,22900.00,22900.00,22550.00,22550.00,200,22550.00
2012-07-27,22650.00,22650.00,22650.00,22650.00,000,22650.00
2012-07-26,22600.00,22650.00,22500.00,22650.00,100,22650.00
2012-07-25,22500.00,22750.00,22500.00,22500.00,4600,22500.00
2012-07-24,22550.00,22550.00,22450.00,22550.00,1800,22550.00
2012-07-23,22600.00,22600.00,22500.00,22500.00,100,22500.00
2012-07-20,22600.00,22600.00,22600.00,22600.00,100,22600.00
2012-07-19,22600.00,22600.00,22600.00,22600.00,000,22600.00
2012-07-18,22750.00,22850.00,22600.00,22600.00,000,22600.00
2012-07-17,22750.00,22900.00,22500.00,22750.00,3700,22750.00
2012-07-16,22550.00,23150.00,22500.00,22700.00,800,22700.00
2012-07-13,22500.00,22900.00,22500.00,22550.00,1400,22550.00
2012-07-12,22600.00,23100.00,22450.00,23000.00,1200,23000.00
2012-07-11,22600.00,23500.00,22500.00,23200.00,900,23200.00
2012-07-10,22900.00,22900.00,22500.00,22900.00,2300,22900.00
2012-07-09,22900.00,22900.00,22650.00,22900.00,000,22900.00
2012-07-06,22850.00,22850.00,22850.00,22850.00,000,22850.00
2012-07-05,22650.00,22750.00,22650.00,22750.00,200,22750.00
2012-07-04,22600.00,22700.00,22600.00,22700.00,300,22700.00
2012-07-03,22850.00,22850.00,22550.00,22650.00,300,22650.00
2012-07-02,22800.00,23100.00,22500.00,22650.00,500,22650.00
2012-06-29,22800.00,22850.00,22650.00,22850.00,1000,22850.00
2012-06-28,22850.00,22950.00,22800.00,22800.00,100,22800.00
2012-06-27,22800.00,23100.00,22800.00,23100.00,000,23100.00
2012-06-26,23000.00,23000.00,22800.00,23000.00,700,23000.00
2012-06-25,23250.00,23250.00,23000.00,23000.00,000,23000.00
2012-06-22,23000.00,23250.00,22900.00,23250.00,200,23250.00
2012-06-21,23300.00,23300.00,22950.00,23100.00,500,23100.00
2012-06-20,23300.00,23300.00,22850.00,23000.00,000,23000.00
2012-06-19,22600.00,23000.00,22600.00,23000.00,100,23000.00
2012-06-18,23800.00,23800.00,22850.00,22900.00,100,22900.00
2012-06-15,22750.00,22750.00,22750.00,22750.00,000,22750.00
2012-06-14,22700.00,22750.00,22700.00,22750.00,000,22750.00
2012-06-13,22600.00,22850.00,22550.00,22700.00,100,22700.00
2012-06-12,22700.00,22700.00,22700.00,22700.00,100,22700.00
2012-06-11,23550.00,23550.00,22700.00,22700.00,000,22700.00
2012-06-08,23000.00,23000.00,22500.00,22700.00,000,22700.00
2012-06-07,23000.00,23000.00,22500.00,22600.00,300,22600.00
2012-06-06,22500.00,22500.00,22500.00,22500.00,000,22500.00
2012-06-05,22500.00,22500.00,22500.00,22500.00,100,22500.00
2012-06-04,22500.00,22500.00,22200.00,22500.00,2300,22500.00
2012-06-01,22550.00,22900.00,22450.00,22500.00,700,22500.00
2012-05-31,22500.00,22600.00,22500.00,22600.00,100,22600.00
2012-05-30,22550.00,22600.00,22500.00,22600.00,100,22600.00
2012-05-29,22500.00,22550.00,22500.00,22550.00,400,22550.00
2012-05-28,22650.00,22650.00,22650.00,22650.00,000,22650.00
2012-05-25,22500.00,23350.00,22400.00,22650.00,400,22650.00
2012-05-24,23750.00,23750.00,21900.00,22500.00,1300,22500.00
2012-05-23,22900.00,22900.00,22900.00,22900.00,000,22900.00
2012-05-22,22950.00,22950.00,22600.00,22900.00,100,22900.00
2012-05-21,22400.00,22500.00,21800.00,22500.00,2300,22500.00
2012-05-18,22000.00,22000.00,20900.00,21400.00,2400,21400.00
2012-05-17,22150.00,22400.00,22150.00,22300.00,200,22300.00
2012-05-16,22500.00,22600.00,22000.00,22600.00,400,22600.00
2012-05-15,23000.00,23000.00,22500.00,22800.00,200,22800.00
2012-05-14,23000.00,23000.00,22800.00,22900.00,100,22900.00
2012-05-11,23200.00,23250.00,22950.00,23000.00,100,23000.00
2012-05-10,23000.00,23050.00,22950.00,23050.00,200,23050.00
2012-05-09,23400.00,23400.00,22900.00,23000.00,500,23000.00
2012-05-08,23600.00,23600.00,23500.00,23500.00,100,23500.00
2012-05-07,23000.00,23000.00,23000.00,23000.00,100,23000.00
2012-05-04,22600.00,23050.00,22600.00,23000.00,300,23000.00
2012-05-03,23850.00,23850.00,22800.00,22850.00,2600,22850.00
2012-05-02,23350.00,24200.00,22500.00,24200.00,4000,24200.00
2012-05-01,23500.00,23500.00,23500.00,23500.00,000,23500.00
2012-04-30,23700.00,23700.00,23000.00,23500.00,1200,23500.00
2012-04-27,23700.00,24000.00,23700.00,23700.00,200,23700.00
2012-04-26,24300.00,24300.00,23800.00,23800.00,1100,23800.00
2012-04-25,24450.00,25100.00,23700.00,24400.00,800,24400.00
2012-04-24,24250.00,25200.00,24250.00,24400.00,300,24400.00
2012-04-23,24200.00,24300.00,24200.00,24250.00,400,24250.00
2012-04-20,24400.00,24400.00,23800.00,24200.00,400,24200.00
2012-04-19,25000.00,25350.00,24200.00,24200.00,1700,24200.00
2012-04-18,25000.00,25200.00,24500.00,25200.00,500,25200.00
2012-04-17,25100.00,25100.00,24800.00,24950.00,100,24950.00
2012-04-16,24600.00,24950.00,24150.00,24950.00,400,24950.00
2012-04-13,24550.00,24650.00,24050.00,24600.00,1800,24600.00
2012-04-12,24950.00,25000.00,24500.00,24650.00,300,24650.00
2012-04-11,24700.00,24700.00,24700.00,24700.00,000,24700.00
2012-04-10,24850.00,25000.00,24700.00,24700.00,600,24700.00
2012-04-09,24550.00,25450.00,24500.00,25000.00,1600,25000.00
2012-04-06,25200.00,25200.00,24850.00,25150.00,100,25150.00
2012-04-05,24650.00,24800.00,24650.00,24800.00,000,24800.00
2012-04-04,25100.00,25300.00,24850.00,25000.00,1800,25000.00
2012-04-03,25100.00,25500.00,24800.00,25100.00,2200,25100.00
2012-04-02,25100.00,25100.00,25100.00,25100.00,000,25100.00
2012-03-30,25050.00,25550.00,25050.00,25100.00,500,25100.00
2012-03-29,25200.00,25550.00,25000.00,25500.00,1000,25500.00
2012-03-28,25250.00,25400.00,25250.00,25350.00,100,25350.00
2012-03-27,25500.00,25500.00,25050.00,25150.00,1600,25150.00
2012-03-26,25300.00,25300.00,25100.00,25300.00,600,25300.00
2012-03-23,25200.00,25350.00,25100.00,25300.00,600,25300.00
2012-03-22,25200.00,25500.00,25100.00,25100.00,1200,25100.00
2012-03-21,25300.00,25450.00,25200.00,25450.00,500,25450.00
2012-03-20,25300.00,25700.00,25300.00,25350.00,2700,25350.00
2012-03-19,25150.00,25350.00,25100.00,25300.00,300,25300.00
2012-03-16,25100.00,25250.00,25050.00,25150.00,700,25150.00
2012-03-15,25150.00,25400.00,25100.00,25200.00,600,25200.00
2012-03-14,25100.00,25450.00,25100.00,25350.00,900,25350.00
2012-03-13,25050.00,25300.00,24950.00,25300.00,1900,25300.00
2012-03-12,25350.00,25350.00,25000.00,25100.00,1500,25100.00
2012-03-09,25100.00,25300.00,25100.00,25150.00,2600,25150.00
2012-03-08,26050.00,26050.00,24900.00,25150.00,9200,25150.00
2012-03-07,26000.00,26500.00,26000.00,26350.00,800,26350.00
2012-03-06,27250.00,27300.00,26750.00,26800.00,500,26800.00
2012-03-05,27650.00,27650.00,27050.00,27100.00,200,27100.00
2012-03-02,27200.00,27700.00,26900.00,27700.00,1400,27700.00
2012-03-01,27150.00,27150.00,27150.00,27150.00,000,27150.00
2012-02-29,27200.00,27750.00,27150.00,27150.00,800,27150.00
2012-02-28,27300.00,27500.00,26850.00,26950.00,2200,26950.00
2012-02-27,28400.00,28800.00,28250.00,28250.00,700,28250.00
2012-02-24,27700.00,28500.00,27250.00,28250.00,1100,28250.00
2012-02-23,26900.00,27150.00,26850.00,27150.00,200,27150.00
2012-02-22,27400.00,27600.00,27200.00,27200.00,1100,27200.00
2012-02-21,26700.00,27350.00,26700.00,27150.00,2600,27150.00
2012-02-20,26200.00,27000.00,25950.00,26350.00,3200,26350.00
2012-02-17,26400.00,26400.00,25500.00,25950.00,1200,25950.00
2012-02-16,26050.00,26300.00,25900.00,26250.00,200,26250.00
2012-02-15,26000.00,26300.00,25900.00,26050.00,500,26050.00
2012-02-14,26350.00,26450.00,25950.00,26150.00,1300,26150.00
2012-02-13,26000.00,26450.00,25950.00,26350.00,3800,26350.00
2012-02-10,25700.00,25700.00,25550.00,25650.00,000,25650.00
2012-02-09,25600.00,25700.00,25500.00,25700.00,200,25700.00
2012-02-08,25750.00,25800.00,25500.00,25800.00,300,25800.00
2012-02-07,25450.00,25750.00,25400.00,25750.00,200,25750.00
2012-02-06,25550.00,25700.00,25550.00,25700.00,200,25700.00
2012-02-03,25150.00,25550.00,25100.00,25550.00,200,25550.00
2012-02-02,25750.00,25750.00,25250.00,25250.00,300,25250.00
2012-02-01,25450.00,25450.00,25000.00,25350.00,200,25350.00
2012-01-31,25000.00,25400.00,25000.00,25400.00,500,25400.00
2012-01-30,25000.00,25000.00,25000.00,25000.00,300,25000.00
2012-01-27,25100.00,25100.00,24950.00,25000.00,2000,25000.00
2012-01-26,25100.00,25100.00,25050.00,25050.00,000,25050.00
2012-01-25,25100.00,25100.00,25100.00,25100.00,000,25100.00
2012-01-24,25100.00,25100.00,25100.00,25100.00,000,25100.00
2012-01-23,25100.00,25100.00,25100.00,25100.00,000,25100.00
2012-01-20,25050.00,25250.00,25050.00,25100.00,300,25100.00
2012-01-19,25000.00,25450.00,25000.00,25100.00,500,25100.00
2012-01-18,25300.00,25300.00,25000.00,25000.00,300,25000.00
2012-01-17,25200.00,25200.00,25200.00,25200.00,000,25200.00
2012-01-16,25000.00,25200.00,25000.00,25200.00,200,25200.00
2012-01-13,25000.00,25050.00,25000.00,25050.00,200,25050.00
2012-01-12,25000.00,25250.00,25000.00,25050.00,1300,25050.00
2012-01-11,25050.00,25050.00,25000.00,25000.00,400,25000.00
2012-01-10,25050.00,25150.00,25050.00,25050.00,000,25050.00
2012-01-09,25450.00,25450.00,25000.00,25000.00,1900,25000.00
2012-01-06,25150.00,25150.00,25000.00,25000.00,1900,25000.00
2012-01-05,25900.00,25900.00,25000.00,25350.00,800,25350.00
2012-01-04,25100.00,25250.00,25100.00,25100.00,200,25100.00
2012-01-03,25100.00,25150.00,25100.00,25150.00,100,25150.00
2012-01-02,25750.00,25750.00,25150.00,25200.00,100,25200.00
2011-12-30,25050.00,25050.00,25050.00,25050.00,000,25050.00
2011-12-29,25050.00,25050.00,25050.00,25050.00,000,25050.00
2011-12-28,25500.00,25500.00,25050.00,25050.00,000,25050.00
2011-12-27,25750.00,25750.00,25150.00,25150.00,500,24494.35
2011-12-26,25400.00,26150.00,25300.00,25300.00,500,24640.44
2011-12-23,25300.00,25550.00,25300.00,25550.00,100,24883.92
2011-12-22,25500.00,25500.00,25500.00,25500.00,000,24835.23
2011-12-21,25900.00,25900.00,25500.00,25500.00,100,24835.23
2011-12-20,25050.00,25500.00,25050.00,25100.00,300,24445.65
2011-12-19,25600.00,26050.00,25000.00,25050.00,400,24396.96
2011-12-16,25600.00,25600.00,25600.00,25600.00,000,24932.62
2011-12-15,25600.00,26100.00,25600.00,26100.00,200,25419.58
2011-12-14,25700.00,25700.00,25700.00,25700.00,100,25030.01
2011-12-13,26000.00,26000.00,25750.00,25800.00,100,25127.40
2011-12-12,28450.00,28450.00,26000.00,26150.00,4000,25468.28
2011-12-09,26000.00,26100.00,25400.00,25900.00,1300,25224.80
2011-12-08,27650.00,27650.00,25750.00,26900.00,800,26198.73
2011-12-07,25550.00,27050.00,25550.00,25750.00,1000,25078.71
2011-12-06,25600.00,25600.00,25300.00,25550.00,000,24883.92
2011-12-05,25650.00,25700.00,25400.00,25600.00,1500,24932.62
2011-12-02,25350.00,25650.00,25350.00,25650.00,100,24981.32
2011-12-01,25500.00,26000.00,25000.00,25350.00,1500,24689.14
2011-11-30,25500.00,25500.00,25500.00,25500.00,000,24835.23
2011-11-29,25450.00,25600.00,25450.00,25500.00,600,24835.23
2011-11-28,25500.00,25500.00,25500.00,25500.00,000,24835.23
2011-11-25,25700.00,25700.00,25300.00,25300.00,000,24640.44
2011-11-24,25200.00,25200.00,25100.00,25100.00,800,24445.65
2011-11-23,25800.00,25800.00,25200.00,25300.00,600,24640.44
2011-11-22,27000.00,27000.00,25450.00,25600.00,500,24932.62
2011-11-21,25200.00,25200.00,25200.00,25200.00,000,24543.05
2011-11-18,25050.00,25800.00,25000.00,25050.00,700,24396.96
2011-11-17,25100.00,25100.00,25050.00,25050.00,100,24396.96
2011-11-16,25050.00,25100.00,25000.00,25050.00,600,24396.96
2011-11-15,25200.00,25200.00,24900.00,25000.00,500,24348.26
2011-11-14,25050.00,25150.00,25050.00,25100.00,200,24445.65
2011-11-11,25350.00,25350.00,25050.00,25050.00,300,24396.96
2011-11-10,25100.00,25100.00,24950.00,25000.00,900,24348.26
2011-11-09,28950.00,28950.00,25800.00,25800.00,2800,25127.40
2011-11-08,25050.00,25500.00,25000.00,25500.00,500,24835.23
2011-11-07,25050.00,25050.00,25000.00,25050.00,600,24396.96
2011-11-04,25050.00,25300.00,25050.00,25300.00,300,24640.44
2011-11-03,25600.00,25600.00,25050.00,25050.00,1400,24396.96
2011-11-02,25050.00,25600.00,25000.00,25600.00,5100,24932.62
2011-11-01,25000.00,25200.00,24950.00,25000.00,2300,24348.26
2011-10-31,25100.00,25200.00,25100.00,25200.00,200,24543.05
2011-10-28,25050.00,25100.00,25050.00,25100.00,300,24445.65
2011-10-27,25000.00,25200.00,25000.00,25050.00,2000,24396.96
2011-10-26,24500.00,24700.00,24350.00,24500.00,500,23861.30
2011-10-25,24500.00,24500.00,24500.00,24500.00,1500,23861.30
2011-10-24,24150.00,24700.00,24150.00,24450.00,400,23812.60
2011-10-21,24000.00,24400.00,24000.00,24400.00,200,23763.90
2011-10-20,24550.00,24550.00,24450.00,24450.00,2000,23812.60
2011-10-19,24500.00,24700.00,24500.00,24650.00,700,24007.38
2011-10-18,24500.00,24500.00,24150.00,24450.00,300,23812.60
2011-10-17,24650.00,24650.00,24250.00,24500.00,800,23861.30
2011-10-14,24500.00,24550.00,24000.00,24250.00,1600,23617.81
2011-10-13,24200.00,25050.00,24050.00,24850.00,1300,24202.17
2011-10-12,24300.00,25000.00,24100.00,24800.00,400,24153.47
2011-10-11,24350.00,24550.00,24300.00,24300.00,1200,23666.51
2011-10-10,24400.00,24500.00,24150.00,24150.00,2700,23520.42
2011-10-07,24700.00,25000.00,24700.00,25000.00,400,24348.26
2011-10-06,25300.00,25350.00,25200.00,25200.00,300,24543.05
2011-10-04,24800.00,25900.00,24800.00,25900.00,000,25224.80
2011-09-30,25300.00,25300.00,25200.00,25250.00,100,24591.74
2011-09-29,25200.00,25350.00,25200.00,25300.00,100,24640.44
2011-09-28,25400.00,25450.00,24750.00,25350.00,000,24689.14
2011-09-27,25000.00,25850.00,25000.00,25850.00,100,25176.10
2011-09-26,25050.00,25450.00,25000.00,25000.00,700,24348.26
2011-09-23,25550.00,26000.00,25400.00,25500.00,700,24835.23
2011-09-22,26250.00,26250.00,26250.00,26250.00,000,25565.67
2011-09-21,26100.00,26150.00,26000.00,26050.00,200,25370.89
2011-09-20,26450.00,26450.00,26450.00,26450.00,000,25760.46
2011-09-19,26450.00,26450.00,26400.00,26400.00,100,25711.76
2011-09-16,26500.00,26500.00,26000.00,26450.00,1600,25760.46
2011-09-15,26550.00,26550.00,26000.00,26500.00,100,25809.16
2011-09-14,26550.00,27200.00,26550.00,27200.00,000,26490.91
2011-09-09,27500.00,27500.00,27500.00,27500.00,000,26783.09
2011-09-08,27700.00,27700.00,27500.00,27500.00,100,26783.09
2011-09-07,27600.00,27750.00,27600.00,27750.00,200,27026.57
2011-09-06,26550.00,27700.00,26550.00,27700.00,000,26977.87
2011-09-05,27750.00,27750.00,27450.00,27450.00,000,26734.39
2011-09-02,27450.00,27850.00,27300.00,27800.00,300,27075.27
2011-09-01,28000.00,28100.00,27850.00,27850.00,100,27123.96
2011-08-31,27900.00,27900.00,27900.00,27900.00,000,27172.66
2011-08-30,29600.00,29600.00,27250.00,27300.00,200,26588.30
2011-08-29,27750.00,27750.00,27150.00,27150.00,000,26442.21
2011-08-26,27100.00,27100.00,27100.00,27100.00,200,26393.51
2011-08-25,27350.00,27350.00,27050.00,27050.00,400,26344.82
2011-08-24,27500.00,27500.00,26900.00,27350.00,100,26637.00
2011-08-23,27500.00,27500.00,27500.00,27500.00,000,26783.09
2011-08-22,27800.00,27800.00,27500.00,27500.00,000,26783.09
2011-08-19,27550.00,29100.00,26500.00,27700.00,1400,26977.87
2011-08-18,28600.00,31200.00,28500.00,29500.00,000,28730.95
2011-08-17,28400.00,29000.00,28100.00,28450.00,500,27708.32
2011-08-16,28550.00,28550.00,28350.00,28400.00,800,27659.62
2011-08-12,28550.00,28550.00,28300.00,28300.00,000,27562.23
2011-08-11,27950.00,28900.00,27450.00,28750.00,300,28000.50
2011-08-10,27600.00,29400.00,27600.00,29100.00,000,28341.38
2011-08-09,29000.00,29000.00,27100.00,28500.00,500,27757.02
2011-08-08,29000.00,29000.00,28500.00,29000.00,2000,28243.98
2011-08-05,29000.00,29200.00,29000.00,29000.00,300,28243.98
2011-08-04,30050.00,30050.00,29500.00,29500.00,400,28730.95
2011-08-03,31400.00,31400.00,30100.00,30100.00,1000,29315.31
2011-08-02,30100.00,30100.00,30050.00,30050.00,1400,29266.61
2011-08-01,30050.00,30300.00,30050.00,30300.00,100,29510.09
2011-07-29,30550.00,30550.00,30050.00,30050.00,100,29266.61
2011-07-28,30050.00,30500.00,30000.00,30500.00,2100,29704.88
2011-07-27,30100.00,30100.00,30000.00,30050.00,300,29266.61
2011-07-26,30050.00,30100.00,30050.00,30100.00,200,29315.31
2011-07-25,30300.00,30300.00,30050.00,30050.00,000,29266.61
2011-07-22,30050.00,30350.00,30050.00,30300.00,200,29510.09
2011-07-21,30100.00,30300.00,30000.00,30050.00,500,29266.61
2011-07-20,30150.00,30150.00,30000.00,30100.00,300,29315.31
2011-07-19,30500.00,30500.00,30050.00,30050.00,000,29266.61
2011-07-18,30200.00,30500.00,30200.00,30200.00,000,29412.70
2011-07-15,30050.00,30500.00,30000.00,30150.00,600,29364.00
2011-07-14,30150.00,30200.00,30150.00,30200.00,000,29412.70
2011-07-13,30050.00,30400.00,30050.00,30400.00,000,29607.48
2011-07-12,30100.00,30450.00,30100.00,30450.00,000,29656.18
2011-07-11,30050.00,30650.00,30050.00,30100.00,000,29315.31
2011-07-08,30400.00,30400.00,30100.00,30100.00,100,29315.31
2011-07-07,30100.00,30400.00,30000.00,30400.00,300,29607.48
2011-07-06,30150.00,30150.00,30050.00,30100.00,100,29315.31
2011-07-05,30050.00,31000.00,30050.00,30150.00,200,29364.00
2011-07-04,30050.00,30050.00,30050.00,30050.00,000,29266.61
2011-07-01,30050.00,30150.00,30000.00,30100.00,400,29315.31
2011-06-30,30050.00,30100.00,30050.00,30100.00,000,29315.31
2011-06-29,30050.00,30500.00,30000.00,30100.00,300,29315.31
2011-06-28,30000.00,30900.00,30000.00,30900.00,000,30094.45
2011-06-27,30000.00,30000.00,30000.00,30000.00,000,29217.91
2011-06-24,30000.00,30050.00,30000.00,30050.00,000,29266.61
2011-06-23,30000.00,30300.00,30000.00,30000.00,800,29217.91
2011-06-22,30450.00,30450.00,30050.00,30050.00,200,29266.61
2011-06-21,30000.00,30500.00,30000.00,30500.00,200,29704.88
